,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,2221427000.0,2566863000.0,2788322000.0,2975851000.0,5252279000.0,5481101000.0,4538818000.0,4298467000.0,,,,,,,2221427000.0,2788322000.0,5252279000.0,4538818000.0,,,,,2788322000.0,5481101000.0,,,,2221427000.0,5252279000.0,,,,2975851000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,2903215000.0,3204072000.0,2806438000.0,2509418000.0,,,,,,,,,2903215000.0,2806438000.0,,,,,,3204072000.0,,,,,2903215000.0,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,319167000.0,304788000.0,420580000.0,423854000.0,431886000.0,379747000.0,378593000.0,319015000.0,379641000.0,435489000.0,488263000.0,533324000.0,770284000.0,1025899000.0,809182000.0,730310000.0,,,319167000.0,420580000.0,431886000.0,378593000.0,379641000.0,488263000.0,770284000.0,809182000.0,,304788000.0,431886000.0,319015000.0,488263000.0,1025899000.0,,319167000.0,431886000.0,379641000.0,770284000.0,,304788000.0,378593000.0,533324000.0,,378593000.0,304788000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,128755000.0,135813000.0,156390000.0,162331000.0,155012000.0,139385000.0,131012000.0,113624000.0,130525000.0,143760000.0,161230000.0,177593000.0,226023000.0,291844000.0,280796000.0,287243000.0,,,128755000.0,156390000.0,155012000.0,131012000.0,130525000.0,161230000.0,226023000.0,280796000.0,,135813000.0,155012000.0,113624000.0,161230000.0,291844000.0,,128755000.0,155012000.0,130525000.0,226023000.0,,135813000.0,131012000.0,177593000.0,,131012000.0,135813000.0,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,324326000.0,1148120000.0,775818000.0,463522000.0,621596000.0,,,,,,,,,1148120000.0,463522000.0,,,,,,775818000.0,,,,,1148120000.0,,,,324326000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,19761000.0,18666000.0,19988000.0,20090000.0,-25588000.0,3278000.0,4654000.0,3110000.0,9113000.0,23723000.0,13560000.0,-125397000.0,200863000.0,131305000.0,98947000.0,9453000.0,,,19761000.0,19988000.0,-25588000.0,4654000.0,9113000.0,13560000.0,200863000.0,98947000.0,,18666000.0,-25588000.0,3110000.0,13560000.0,131305000.0,,19761000.0,-25588000.0,9113000.0,200863000.0,,18666000.0,4654000.0,-125397000.0,,4654000.0,18666000.0,,CommonMetricExtracted
NetIncome,,,,,107032000.0,64957000.0,128460000.0,,,,,,,,,,947257000.0,644513000.0,364575000.0,612143000.0,,,107032000.0,128460000.0,,,,,947257000.0,364575000.0,,64957000.0,,,,644513000.0,,107032000.0,,,947257000.0,,64957000.0,,,,,64957000.0,,CommonMetricExtracted
Cash,,,,482352000.0,492759000.0,319944000.0,477931000.0,478370000.0,333824000.0,469412000.0,537038000.0,519195000.0,547533000.0,641947000.0,604516000.0,715566000.0,1750327000.0,1328716000.0,1149023000.0,1520842000.0,,482352000.0,319944000.0,478370000.0,469412000.0,519195000.0,641947000.0,715566000.0,1328716000.0,1520842000.0,492759000.0,478370000.0,537038000.0,641947000.0,1750327000.0,1520842000.0,482352000.0,478370000.0,519195000.0,715566000.0,1520842000.0,492759000.0,469412000.0,604516000.0,1520842000.0,469412000.0,1520842000.0,1520842000.0,1520842000.0,CommonMetricExtracted
CurrentReceivables,,,,,,195247000.0,258294000.0,223104000.0,179565000.0,182029000.0,179823000.0,142778000.0,185179000.0,214885000.0,383309000.0,394743000.0,612225000.0,675604000.0,630382000.0,541715000.0,,,195247000.0,223104000.0,182029000.0,142778000.0,214885000.0,394743000.0,675604000.0,541715000.0,,223104000.0,179823000.0,214885000.0,612225000.0,541715000.0,,223104000.0,142778000.0,394743000.0,541715000.0,,182029000.0,383309000.0,541715000.0,182029000.0,541715000.0,541715000.0,541715000.0,CommonMetricExtracted
