,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,2734000000.0,2828000000.0,2310000000.0,2788000000.0,4553000000.0,3854000000.0,2581000000.0,2941000000.0,,,,,,,2734000000.0,2310000000.0,4553000000.0,2581000000.0,,,,,2310000000.0,3854000000.0,,,,2734000000.0,4553000000.0,,,,2788000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,999300000.0,1187900000.0,1244200000.0,1403100000.0,1636900000.0,1757800000.0,1682700000.0,1829100000.0,1998100000.0,2084000000.0,2007000000.0,1920000000.0,2482000000.0,2355000000.0,1988000000.0,2110000000.0,,,999300000.0,1244200000.0,1636900000.0,1682700000.0,1998100000.0,2007000000.0,2482000000.0,1988000000.0,,1187900000.0,1636900000.0,1829100000.0,2007000000.0,2355000000.0,,999300000.0,1636900000.0,1998100000.0,2482000000.0,,1187900000.0,1682700000.0,1920000000.0,,1682700000.0,1187900000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,115900000.0,118800000.0,111200000.0,129400000.0,150200000.0,149500000.0,152800000.0,185100000.0,191300000.0,209300000.0,230000000.0,211000000.0,241000000.0,264000000.0,257000000.0,291000000.0,,,115900000.0,111200000.0,150200000.0,152800000.0,191300000.0,230000000.0,241000000.0,257000000.0,,118800000.0,150200000.0,185100000.0,230000000.0,264000000.0,,115900000.0,150200000.0,191300000.0,241000000.0,,118800000.0,152800000.0,211000000.0,,152800000.0,118800000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,-169500000.0,-47900000.0,-184100000.0,38000000.0,206600000.0,-105000000.0,-95400000.0,164900000.0,510200000.0,524000000.0,-23000000.0,621000000.0,1795000000.0,1155000000.0,248000000.0,547000000.0,,,-169500000.0,-184100000.0,206600000.0,-95400000.0,510200000.0,-23000000.0,1795000000.0,248000000.0,,-47900000.0,206600000.0,164900000.0,-23000000.0,1155000000.0,,-169500000.0,206600000.0,510200000.0,1795000000.0,,-47900000.0,-95400000.0,621000000.0,,-95400000.0,-47900000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,-63400000.0,-22100000.0,-39100000.0,7600000.0,41100000.0,-27200000.0,-2700000.0,19800000.0,119100000.0,122000000.0,-13000000.0,125000000.0,426000000.0,274000000.0,74000000.0,140000000.0,,,-63400000.0,-39100000.0,41100000.0,-2700000.0,119100000.0,-13000000.0,426000000.0,74000000.0,,-22100000.0,41100000.0,19800000.0,-13000000.0,274000000.0,,-63400000.0,41100000.0,119100000.0,426000000.0,,-22100000.0,-2700000.0,125000000.0,,-2700000.0,-22100000.0,,CommonMetricExtracted
NetIncome,,,,,-121800000.0,-38600000.0,-181100000.0,28800000.0,177100000.0,-75400000.0,-88100000.0,,390000000.0,395000000.0,-10000000.0,497000000.0,1373000000.0,1083000000.0,178000000.0,420000000.0,,,-121800000.0,-181100000.0,177100000.0,-88100000.0,390000000.0,-10000000.0,1373000000.0,178000000.0,,-38600000.0,177100000.0,,-10000000.0,1083000000.0,,-121800000.0,177100000.0,390000000.0,1373000000.0,,-38600000.0,-88100000.0,497000000.0,,-88100000.0,-38600000.0,,CommonMetricExtracted
Cash,,,,97700000.0,394100000.0,389300000.0,340000000.0,560900000.0,656800000.0,532700000.0,434700000.0,659300000.0,928000000.0,878400000.0,181000000.0,535000000.0,358000000.0,,222000000.0,340000000.0,,97700000.0,389300000.0,560900000.0,532700000.0,659300000.0,878400000.0,535000000.0,,340000000.0,394100000.0,560900000.0,434700000.0,878400000.0,358000000.0,340000000.0,97700000.0,560900000.0,659300000.0,535000000.0,340000000.0,394100000.0,532700000.0,181000000.0,340000000.0,532700000.0,340000000.0,340000000.0,340000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,66800000.0,65100000.0,82700000.0,78100000.0,108400000.0,96400000.0,108300000.0,142500000.0,128000000.0,164000000.0,184000000.0,191000000.0,,155000000.0,131000000.0,,,66800000.0,82700000.0,108400000.0,108300000.0,128000000.0,184000000.0,,131000000.0,,82700000.0,96400000.0,128000000.0,191000000.0,131000000.0,,82700000.0,108300000.0,184000000.0,131000000.0,,108400000.0,164000000.0,131000000.0,108400000.0,131000000.0,131000000.0,131000000.0,CommonMetricExtracted
