,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,459575000.0,166227000.0,150997000.0,130786000.0,222609000.0,527971000.0,564222000.0,,,,,,,,166227000.0,130786000.0,527971000.0,,,,,166227000.0,222609000.0,,,,,130786000.0,,,,150997000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,70091000.0,72973000.0,109858000.0,141000000.0,196834000.0,260232000.0,297856000.0,290101000.0,292383000.0,304536000.0,215348000.0,109006000.0,96248000.0,168317000.0,417544000.0,442673000.0,,,70091000.0,109858000.0,196834000.0,297856000.0,292383000.0,215348000.0,96248000.0,417544000.0,,72973000.0,196834000.0,290101000.0,215348000.0,168317000.0,,70091000.0,196834000.0,292383000.0,96248000.0,,72973000.0,297856000.0,109006000.0,,297856000.0,72973000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,64833000.0,80854000.0,119692000.0,137404000.0,191552000.0,168072000.0,158919000.0,145886000.0,179262000.0,193003000.0,202056000.0,75256000.0,84063000.0,74993000.0,95050000.0,92001000.0,,,64833000.0,119692000.0,191552000.0,158919000.0,179262000.0,202056000.0,84063000.0,95050000.0,,80854000.0,191552000.0,145886000.0,202056000.0,74993000.0,,64833000.0,191552000.0,179262000.0,84063000.0,,80854000.0,158919000.0,75256000.0,,158919000.0,80854000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,93435000.0,69811000.0,37428000.0,61150000.0,23162000.0,101798000.0,128519000.0,114368000.0,97043000.0,58949000.0,-113508000.0,-44248000.0,-53872000.0,-40195000.0,-15347000.0,3590000.0,,,93435000.0,37428000.0,23162000.0,128519000.0,97043000.0,-113508000.0,-53872000.0,-15347000.0,,69811000.0,23162000.0,114368000.0,-113508000.0,-40195000.0,,93435000.0,23162000.0,97043000.0,-53872000.0,,69811000.0,128519000.0,-44248000.0,,128519000.0,69811000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,3484000.0,8941000.0,10724000.0,7641000.0,2982000.0,5829000.0,18567000.0,18932000.0,,,,,,,3484000.0,10724000.0,2982000.0,18567000.0,,,,,10724000.0,5829000.0,,,,3484000.0,2982000.0,,,,7641000.0,,,,,CommonMetricExtracted
Taxes,,,,,42744000.0,40822000.0,33525000.0,15936000.0,14656000.0,39379000.0,44136000.0,42080000.0,42506000.0,48597000.0,3725000.0,2656000.0,7560000.0,327000.0,-2309000.0,3363000.0,,,42744000.0,33525000.0,14656000.0,44136000.0,42506000.0,3725000.0,7560000.0,-2309000.0,,40822000.0,14656000.0,42080000.0,3725000.0,327000.0,,42744000.0,14656000.0,42506000.0,7560000.0,,40822000.0,44136000.0,2656000.0,,44136000.0,40822000.0,,CommonMetricExtracted
NetIncome,,,,,86601000.0,38990000.0,2647000.0,44651000.0,12977000.0,70111000.0,94735000.0,82454000.0,73070000.0,64246000.0,-307618000.0,-78358000.0,-38057000.0,-43876000.0,-35074000.0,-17440000.0,,,86601000.0,2647000.0,12977000.0,94735000.0,73070000.0,-307618000.0,-38057000.0,-35074000.0,,38990000.0,12977000.0,82454000.0,-307618000.0,-43876000.0,,86601000.0,12977000.0,73070000.0,-38057000.0,,38990000.0,94735000.0,-78358000.0,,94735000.0,38990000.0,,CommonMetricExtracted
Cash,,,,,,153742000.0,95263000.0,39123000.0,53665000.0,58672000.0,117583000.0,223644000.0,258457000.0,90054000.0,46065000.0,217671000.0,198572000.0,43940000.0,35499000.0,59065000.0,,,153742000.0,39123000.0,58672000.0,223644000.0,90054000.0,217671000.0,43940000.0,59065000.0,,39123000.0,117583000.0,90054000.0,198572000.0,59065000.0,,39123000.0,223644000.0,217671000.0,59065000.0,,58672000.0,46065000.0,59065000.0,58672000.0,59065000.0,59065000.0,59065000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,154911000.0,103125000.0,58947000.0,47725000.0,62790000.0,62409000.0,80725000.0,,,,,,,154911000.0,58947000.0,62790000.0,80725000.0,,,,154911000.0,47725000.0,80725000.0,,,,58947000.0,80725000.0,,,103125000.0,80725000.0,,80725000.0,80725000.0,80725000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,3622000.0,6725000.0,10779000.0,12222000.0,10785000.0,12979000.0,10004000.0,8020000.0,12887000.0,7535000.0,19860000.0,22361000.0,34226000.0,27337000.0,18226000.0,,,3622000.0,10779000.0,10785000.0,10004000.0,12887000.0,19860000.0,34226000.0,18226000.0,,10779000.0,12979000.0,12887000.0,22361000.0,18226000.0,,10779000.0,10004000.0,19860000.0,18226000.0,,10785000.0,7535000.0,18226000.0,10785000.0,18226000.0,18226000.0,18226000.0,CommonMetricExtracted
CurrentAssets,,,,,,310090000.0,400089000.0,584402000.0,937199000.0,1008895000.0,994316000.0,923723000.0,1106190000.0,426841000.0,295650000.0,319306000.0,294317000.0,217732000.0,163636000.0,187696000.0,,,310090000.0,584402000.0,1008895000.0,923723000.0,426841000.0,319306000.0,217732000.0,187696000.0,,584402000.0,994316000.0,426841000.0,294317000.0,187696000.0,,584402000.0,923723000.0,319306000.0,187696000.0,,1008895000.0,295650000.0,187696000.0,1008895000.0,187696000.0,187696000.0,187696000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,7286000.0,35807000.0,52616000.0,48301000.0,47797000.0,52320000.0,54977000.0,39411000.0,27054000.0,18554000.0,6656000.0,7492000.0,24599000.0,27447000.0,31936000.0,,,7286000.0,52616000.0,47797000.0,54977000.0,27054000.0,6656000.0,24599000.0,31936000.0,,52616000.0,52320000.0,27054000.0,7492000.0,31936000.0,,52616000.0,54977000.0,6656000.0,31936000.0,,47797000.0,18554000.0,31936000.0,47797000.0,31936000.0,31936000.0,31936000.0,CommonMetricExtracted
Goodwill,,,,,116197000.0,76346000.0,209570000.0,182737000.0,175806000.0,186576000.0,166437000.0,179478000.0,188833000.0,283240000.0,149387000.0,24169000.0,29153000.0,162657000.0,133743000.0,138551000.0,,,76346000.0,182737000.0,186576000.0,179478000.0,283240000.0,24169000.0,162657000.0,138551000.0,116197000.0,182737000.0,166437000.0,283240000.0,29153000.0,138551000.0,,182737000.0,179478000.0,24169000.0,138551000.0,116197000.0,186576000.0,149387000.0,138551000.0,186576000.0,138551000.0,138551000.0,138551000.0,CommonMetricExtracted
