,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,2649181000.0,3288319000.0,3979296000.0,4401879000.0,6256617000.0,8110518000.0,9619278000.0,,,,,,,,3288319000.0,4401879000.0,8110518000.0,,,,,3288319000.0,6256617000.0,,,,,4401879000.0,,,,3979296000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,1144775000.0,1250391000.0,1472032000.0,1755910000.0,1937888000.0,2648052000.0,3618178000.0,4009873000.0,,,,,,,1144775000.0,1472032000.0,1937888000.0,3618178000.0,,,,,1472032000.0,2648052000.0,,,,1144775000.0,1937888000.0,,,,1755910000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,118098000.0,136161000.0,214556000.0,282393000.0,386387000.0,448718000.0,538147000.0,628090000.0,778465000.0,904264000.0,1110451000.0,1334276000.0,1609003000.0,2225034000.0,2757447000.0,3397218000.0,,,118098000.0,214556000.0,386387000.0,538147000.0,778465000.0,1110451000.0,1609003000.0,2757447000.0,,136161000.0,386387000.0,628090000.0,1110451000.0,2225034000.0,,118098000.0,386387000.0,778465000.0,1609003000.0,,136161000.0,538147000.0,1334276000.0,,538147000.0,136161000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,897393000.0,819350000.0,1333869000.0,1332571000.0,2175735000.0,,,,,,,,,819350000.0,1332571000.0,,,,,,1333869000.0,,,,,819350000.0,,,,897393000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,136309000.0,185283000.0,270097000.0,190389000.0,133694000.0,201251000.0,340084000.0,317239000.0,409916000.0,637823000.0,636339000.0,956560000.0,798133000.0,1538518000.0,,,,136309000.0,270097000.0,133694000.0,340084000.0,409916000.0,636339000.0,798133000.0,,,270097000.0,201251000.0,409916000.0,956560000.0,,,270097000.0,340084000.0,636339000.0,,,133694000.0,637823000.0,,133694000.0,,,CommonMetricExtracted
NetIncome,,,,,39363000.0,58281000.0,121847000.0,184063000.0,270556000.0,279547000.0,239033000.0,266047000.0,303381000.0,258662000.0,483801000.0,645596000.0,588913000.0,975322000.0,854800000.0,1550190000.0,,,39363000.0,121847000.0,270556000.0,239033000.0,303381000.0,483801000.0,588913000.0,854800000.0,,58281000.0,270556000.0,266047000.0,483801000.0,975322000.0,,39363000.0,270556000.0,303381000.0,588913000.0,,58281000.0,239033000.0,645596000.0,,239033000.0,58281000.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,734846000.0,990501000.0,881320000.0,1093505000.0,1150517000.0,1259871000.0,1154867000.0,2243971000.0,,,,,,,990501000.0,1093505000.0,1259871000.0,2243971000.0,,,,990501000.0,1150517000.0,2243971000.0,,,,1093505000.0,2243971000.0,,,881320000.0,2243971000.0,,2243971000.0,2243971000.0,2243971000.0,CommonMetricExtracted
CurrentReceivables,,,,,,8238000.0,9116000.0,5202000.0,6351000.0,11903000.0,13746000.0,13108000.0,9200000.0,19173000.0,35786000.0,40219000.0,62399000.0,77001000.0,132906000.0,124769000.0,,,8238000.0,5202000.0,11903000.0,13108000.0,19173000.0,40219000.0,77001000.0,124769000.0,,5202000.0,13746000.0,19173000.0,62399000.0,124769000.0,,5202000.0,13108000.0,40219000.0,124769000.0,,11903000.0,35786000.0,124769000.0,11903000.0,124769000.0,124769000.0,124769000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,6408000.0,8357000.0,35301000.0,46197000.0,64671000.0,26987000.0,39069000.0,48098000.0,57949000.0,70542000.0,125107000.0,192572000.0,238672000.0,184502000.0,,,,8357000.0,46197000.0,26987000.0,48098000.0,70542000.0,192572000.0,184502000.0,,8357000.0,64671000.0,48098000.0,125107000.0,184502000.0,,8357000.0,26987000.0,70542000.0,184502000.0,,46197000.0,57949000.0,184502000.0,46197000.0,184502000.0,184502000.0,184502000.0,CommonMetricExtracted
Inventory,,,,,,,,,155222000.0,188790000.0,208116000.0,284009000.0,298432000.0,329562000.0,404842000.0,518513000.0,647230000.0,966481000.0,1447367000.0,1323602000.0,,,,,188790000.0,284009000.0,329562000.0,518513000.0,966481000.0,1323602000.0,,,208116000.0,329562000.0,647230000.0,1323602000.0,,,284009000.0,518513000.0,1323602000.0,,188790000.0,404842000.0,1323602000.0,188790000.0,1323602000.0,1323602000.0,1323602000.0,CommonMetricExtracted
CurrentAssets,,,,,,216410000.0,389279000.0,527093000.0,787053000.0,945539000.0,951012000.0,917039000.0,1162737000.0,1436282000.0,1429282000.0,1807938000.0,2124379000.0,2614853000.0,3159453000.0,4060577000.0,,,216410000.0,527093000.0,945539000.0,917039000.0,1436282000.0,1807938000.0,2614853000.0,4060577000.0,,527093000.0,951012000.0,1436282000.0,2124379000.0,4060577000.0,,527093000.0,917039000.0,1807938000.0,4060577000.0,,945539000.0,1429282000.0,4060577000.0,945539000.0,4060577000.0,4060577000.0,4060577000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,61591000.0,70954000.0,162941000.0,214639000.0,255603000.0,296008000.0,349605000.0,423499000.0,473642000.0,567237000.0,671693000.0,745687000.0,927710000.0,1269614000.0,1545811000.0,,,61591000.0,162941000.0,255603000.0,349605000.0,473642000.0,671693000.0,927710000.0,1545811000.0,,162941000.0,296008000.0,473642000.0,745687000.0,1545811000.0,,162941000.0,349605000.0,671693000.0,1545811000.0,,255603000.0,567237000.0,1545811000.0,255603000.0,1545811000.0,1545811000.0,1545811000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,24182000.0,386877000.0,386880000.0,24144000.0,24083000.0,,,,,,,,24182000.0,386880000.0,24083000.0,,,,,386877000.0,24083000.0,,,,24182000.0,24083000.0,,,,24083000.0,,24083000.0,24083000.0,24083000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,241000.0,80080000.0,71299000.0,21961000.0,0.0,,,,,,,,241000.0,71299000.0,0.0,,,,,80080000.0,0.0,,,,241000.0,0.0,,,,0.0,,0.0,0.0,0.0,CommonMetricExtracted
TotalAssets,,,,,,307258000.0,499302000.0,734634000.0,1051078000.0,1252388000.0,1296213000.0,1314077000.0,1657541000.0,1998483000.0,2084711000.0,3281354000.0,4185215000.0,4942478000.0,5607038000.0,7091941000.0,,,307258000.0,734634000.0,1252388000.0,1314077000.0,1998483000.0,3281354000.0,4942478000.0,7091941000.0,,734634000.0,1296213000.0,1998483000.0,4185215000.0,7091941000.0,,734634000.0,1314077000.0,3281354000.0,7091941000.0,,1252388000.0,2084711000.0,7091941000.0,1252388000.0,7091941000.0,7091941000.0,7091941000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,18770000.0,25058000.0,23256000.0,40682000.0,13416000.0,29412000.0,48117000.0,55136000.0,40346000.0,162945000.0,106433000.0,407470000.0,754380000.0,746176000.0,709094000.0,,,18770000.0,23256000.0,13416000.0,48117000.0,40346000.0,106433000.0,754380000.0,709094000.0,,23256000.0,29412000.0,40346000.0,407470000.0,709094000.0,,23256000.0,48117000.0,106433000.0,709094000.0,,13416000.0,162945000.0,709094000.0,13416000.0,709094000.0,709094000.0,709094000.0,CommonMetricExtracted
CurrentLiability,,,,,,69304000.0,102236000.0,126314000.0,160887000.0,135659000.0,189813000.0,269028000.0,297228000.0,362739000.0,609658000.0,895005000.0,1429905000.0,2178893000.0,2385965000.0,2595504000.0,,,69304000.0,126314000.0,135659000.0,269028000.0,362739000.0,895005000.0,2178893000.0,2595504000.0,,126314000.0,189813000.0,362739000.0,1429905000.0,2595504000.0,,126314000.0,269028000.0,895005000.0,2595504000.0,,135659000.0,609658000.0,2595504000.0,135659000.0,2595504000.0,2595504000.0,2595504000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,15472000.0,19645000.0,25014000.0,,35515000.0,43131000.0,50332000.0,48857000.0,59321000.0,81911000.0,617060000.0,641566000.0,705672000.0,882402000.0,1183213000.0,,,15472000.0,25014000.0,35515000.0,50332000.0,59321000.0,617060000.0,705672000.0,1183213000.0,,25014000.0,43131000.0,59321000.0,641566000.0,1183213000.0,,25014000.0,50332000.0,617060000.0,1183213000.0,,35515000.0,81911000.0,1183213000.0,35515000.0,1183213000.0,1183213000.0,1183213000.0,CommonMetricExtracted
TotalLiability,,,,,,74150000.0,105009000.0,128453000.0,163779000.0,155706000.0,206645000.0,286595000.0,297568000.0,401523000.0,638736000.0,1329136000.0,1626649000.0,2202432000.0,2458239000.0,2859860000.0,,,74150000.0,128453000.0,155706000.0,286595000.0,401523000.0,1329136000.0,2202432000.0,2859860000.0,,128453000.0,206645000.0,401523000.0,1626649000.0,2859860000.0,,128453000.0,286595000.0,1329136000.0,2859860000.0,,155706000.0,638736000.0,2859860000.0,155706000.0,2859860000.0,2859860000.0,2859860000.0,CommonMetricExtracted
ShareholderEquity,,,,,,233108000.0,390389000.0,601376000.0,887299000.0,1096682000.0,1089568000.0,1027482000.0,1359973000.0,1596960000.0,1445975000.0,1952218000.0,2558566000.0,2740046000.0,3148799000.0,4232081000.0,,,233108000.0,601376000.0,1096682000.0,1027482000.0,1596960000.0,1952218000.0,2740046000.0,4232081000.0,,601376000.0,1089568000.0,1596960000.0,2558566000.0,4232081000.0,,601376000.0,1027482000.0,1952218000.0,4232081000.0,,1096682000.0,1445975000.0,4232081000.0,1096682000.0,4232081000.0,4232081000.0,4232081000.0,CommonMetricExtracted
OperatingCashFlow,,,,,46438000.0,117960000.0,179995000.0,203615000.0,280113000.0,278339000.0,314449000.0,298740000.0,386392000.0,489337000.0,742779000.0,669316000.0,803336000.0,1389108000.0,966463000.0,2296164000.0,,,46438000.0,179995000.0,280113000.0,314449000.0,386392000.0,742779000.0,803336000.0,966463000.0,,117960000.0,280113000.0,298740000.0,742779000.0,1389108000.0,,46438000.0,280113000.0,386392000.0,803336000.0,,117960000.0,314449000.0,669316000.0,,314449000.0,117960000.0,,CommonMetricExtracted
CapitalExpenditures,,,,,40530000.0,15497000.0,30357000.0,116657000.0,93229000.0,106408000.0,119733000.0,143487000.0,149511000.0,157864000.0,225807000.0,283048000.0,229226000.0,394502000.0,638657000.0,651865000.0,,,40530000.0,30357000.0,93229000.0,119733000.0,149511000.0,225807000.0,229226000.0,638657000.0,,15497000.0,93229000.0,143487000.0,225807000.0,394502000.0,,40530000.0,93229000.0,149511000.0,229226000.0,,15497000.0,119733000.0,283048000.0,,119733000.0,15497000.0,,CommonMetricExtracted
InvestingCashFlow,,,,,-46795000.0,-16307000.0,-42839000.0,-122311000.0,-93229000.0,-106408000.0,-119733000.0,-143487000.0,-149511000.0,-173392000.0,-242794000.0,-278408000.0,-695532000.0,-427891000.0,-569937000.0,-654132000.0,,,-46795000.0,-42839000.0,-93229000.0,-119733000.0,-149511000.0,-242794000.0,-695532000.0,-569937000.0,,-16307000.0,-93229000.0,-143487000.0,-242794000.0,-427891000.0,,-46795000.0,-93229000.0,-149511000.0,-695532000.0,,-16307000.0,-119733000.0,-278408000.0,,-119733000.0,-16307000.0,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,13460000.0,-2649000.0,13699000.0,15364000.0,-5491000.0,8907000.0,-149077000.0,-272491000.0,-25338000.0,-97862000.0,-590214000.0,-177173000.0,-80788000.0,-844987000.0,-467487000.0,-548828000.0,,,13460000.0,13699000.0,-5491000.0,-149077000.0,-25338000.0,-590214000.0,-80788000.0,-467487000.0,,-2649000.0,-5491000.0,-272491000.0,-590214000.0,-844987000.0,,13460000.0,-5491000.0,-25338000.0,-80788000.0,,-2649000.0,-149077000.0,-177173000.0,,-149077000.0,-2649000.0,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,0.47199153247739584,0.44765486560154294,0.4412614693654355,0.4402410879535762,0.4232402271067575,0.44610936070914337,0.4168580011930209,,,,,,,,0.44765486560154294,0.4402410879535762,0.44610936070914337,,,,,0.44765486560154294,0.4232402271067575,,,,,0.4402410879535762,,,,0.4412614693654355,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,1398790000.0,1816287000.0,2223386000.0,2463991000.0,3608565000.0,4492340000.0,5609405000.0,,,,,,,,1816287000.0,2463991000.0,4492340000.0,,,,,1816287000.0,3608565000.0,,,,,2463991000.0,,,,2223386000.0,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,0.5280084675226041,0.5523451343984571,0.5587385306345645,0.5597589120464238,0.5767597728932424,0.5538906392908567,0.583141998806979,,,,,,,,0.5523451343984571,0.5597589120464238,0.5538906392908567,,,,,0.5523451343984571,0.5767597728932424,,,,,0.5597589120464238,,,,0.5587385306345645,,,,,CommonMetricCalculated
