,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,19654100000.0,21034300000.0,21991200000.0,20863500000.0,18001000000.0,20724400000.0,19827500000.0,18914500000.0,17853900000.0,,,,,,,21034300000.0,20863500000.0,20724400000.0,18914500000.0,,,,19654100000.0,20863500000.0,19827500000.0,,,,21034300000.0,20724400000.0,,,,18001000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,16320300000.0,17549700000.0,18412200000.0,17488400000.0,15176300000.0,17316900000.0,16255100000.0,15556500000.0,14767100000.0,,,,,,,17549700000.0,17488400000.0,17316900000.0,15556500000.0,,,,16320300000.0,17488400000.0,16255100000.0,,,,17549700000.0,17316900000.0,,,,15176300000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,2695400000.0,2782300000.0,2666200000.0,2570300000.0,2822100000.0,2940700000.0,3047100000.0,2780800000.0,,,,,,,2695400000.0,2666200000.0,2822100000.0,3047100000.0,,,,,2666200000.0,2940700000.0,,,,2695400000.0,2822100000.0,,,,2570300000.0,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,493500000.0,41700000.0,-122000000.0,524200000.0,411700000.0,511900000.0,719900000.0,688900000.0,750800000.0,789200000.0,796700000.0,644900000.0,187600000.0,585400000.0,581700000.0,255800000.0,306000000.0,,,41700000.0,524200000.0,511900000.0,688900000.0,789200000.0,644900000.0,585400000.0,255800000.0,,-122000000.0,511900000.0,750800000.0,644900000.0,581700000.0,,41700000.0,511900000.0,789200000.0,585400000.0,,-122000000.0,688900000.0,187600000.0,,688900000.0,-122000000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,51900000.0,42000000.0,-40600000.0,39900000.0,17300000.0,24600000.0,49900000.0,49200000.0,,,,,,,51900000.0,-40600000.0,17300000.0,49900000.0,,,,,-40600000.0,24600000.0,,,,51900000.0,17300000.0,,,,39900000.0,,,,,CommonMetricExtracted
Taxes,,,,237100000.0,-13700000.0,98400000.0,228300000.0,170800000.0,187500000.0,254000000.0,241500000.0,257600000.0,191900000.0,198000000.0,219800000.0,123900000.0,185700000.0,183300000.0,117100000.0,111700000.0,,,-13700000.0,228300000.0,187500000.0,241500000.0,191900000.0,219800000.0,185700000.0,117100000.0,,98400000.0,187500000.0,257600000.0,219800000.0,183300000.0,,-13700000.0,187500000.0,191900000.0,185700000.0,,98400000.0,241500000.0,123900000.0,,241500000.0,98400000.0,,CommonMetricExtracted
NetIncome,,,,205500000.0,-9200000.0,-263600000.0,251600000.0,197600000.0,288000000.0,427600000.0,419200000.0,443700000.0,545400000.0,556700000.0,465700000.0,23800000.0,382400000.0,373800000.0,88800000.0,145100000.0,,,-9200000.0,251600000.0,288000000.0,419200000.0,545400000.0,465700000.0,382400000.0,88800000.0,,-263600000.0,288000000.0,443700000.0,465700000.0,373800000.0,,-9200000.0,288000000.0,545400000.0,382400000.0,,-263600000.0,419200000.0,23800000.0,,419200000.0,-263600000.0,,CommonMetricExtracted
Cash,,,537500000.0,874000000.0,1014600000.0,772600000.0,580500000.0,648100000.0,737600000.0,699200000.0,730500000.0,598500000.0,689000000.0,591900000.0,1025800000.0,1567100000.0,847800000.0,639000000.0,581300000.0,509400000.0,,874000000.0,772600000.0,648100000.0,699200000.0,598500000.0,591900000.0,1567100000.0,639000000.0,509400000.0,1014600000.0,648100000.0,730500000.0,591900000.0,847800000.0,509400000.0,874000000.0,648100000.0,598500000.0,1567100000.0,509400000.0,1014600000.0,699200000.0,1025800000.0,509400000.0,699200000.0,509400000.0,509400000.0,509400000.0,CommonMetricExtracted
CurrentReceivables,,,,,3070800000.0,3844100000.0,4181300000.0,4179000000.0,4277900000.0,4134500000.0,4243000000.0,4413100000.0,5370500000.0,5276100000.0,5273100000.0,4912400000.0,5448200000.0,5137400000.0,4830000000.0,4297200000.0,,,3844100000.0,4179000000.0,4134500000.0,4413100000.0,5276100000.0,4912400000.0,5137400000.0,4297200000.0,3070800000.0,4179000000.0,4243000000.0,5276100000.0,5448200000.0,4297200000.0,,4179000000.0,4413100000.0,4912400000.0,4297200000.0,3070800000.0,4134500000.0,5273100000.0,4297200000.0,4134500000.0,4297200000.0,4297200000.0,4297200000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,129100000.0,185600000.0,186900000.0,126700000.0,158000000.0,160800000.0,163700000.0,,,,,,,129100000.0,186900000.0,158000000.0,163700000.0,,,,129100000.0,126700000.0,163700000.0,,,,186900000.0,163700000.0,,,185600000.0,163700000.0,,163700000.0,163700000.0,163700000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
