,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,5456650000.0,4881951000.0,4514810000.0,4504571000.0,4588433000.0,5457741000.0,5434687000.0,5441219000.0,5379546000.0,,,,,,,4881951000.0,4504571000.0,5457741000.0,5441219000.0,,,,5456650000.0,4504571000.0,5434687000.0,,,,4881951000.0,5457741000.0,,,,4588433000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,3233596000.0,2716149000.0,2901222000.0,3120211000.0,,,,,2902259000.0,3061122000.0,2716127000.0,2527230000.0,2345330000.0,2831079000.0,2953335000.0,2857503000.0,2645478000.0,,,2716149000.0,3120211000.0,,,3061122000.0,2527230000.0,2831079000.0,2857503000.0,,2901222000.0,,2902259000.0,2527230000.0,2953335000.0,,2716149000.0,,3061122000.0,2831079000.0,,2901222000.0,,2345330000.0,,,2901222000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,1405801000.0,1405478000.0,1670379000.0,1560575000.0,1614065000.0,1547584000.0,1400211000.0,1521366000.0,1508744000.0,1390022000.0,1345906000.0,1351426000.0,1271582000.0,1497271000.0,1532465000.0,,,,1405478000.0,1560575000.0,1547584000.0,1521366000.0,1390022000.0,1351426000.0,1497271000.0,,1405801000.0,1560575000.0,1400211000.0,1390022000.0,1271582000.0,,,1560575000.0,1521366000.0,1351426000.0,,1405801000.0,1547584000.0,1345906000.0,,1547584000.0,1405801000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,541792000.0,731168000.0,901902000.0,1041101000.0,1021015000.0,1168103000.0,653714000.0,540922000.0,527675000.0,-335698000.0,-234349000.0,39240000.0,380885000.0,729562000.0,675515000.0,561659000.0,694282000.0,,,731168000.0,1041101000.0,1168103000.0,540922000.0,-335698000.0,39240000.0,729562000.0,561659000.0,,901902000.0,1168103000.0,527675000.0,39240000.0,675515000.0,,731168000.0,1168103000.0,-335698000.0,729562000.0,,901902000.0,540922000.0,380885000.0,,540922000.0,901902000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,132818000.0,123786000.0,118774000.0,,,,,,,,,,123786000.0,,,,,,132818000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,108328000.0,131343000.0,161962000.0,202165000.0,168581000.0,195184000.0,88036000.0,94499000.0,91720000.0,553334000.0,116196000.0,58324000.0,68649000.0,-420381000.0,135851000.0,269475000.0,105626000.0,,,131343000.0,202165000.0,195184000.0,94499000.0,553334000.0,58324000.0,-420381000.0,269475000.0,,161962000.0,195184000.0,91720000.0,58324000.0,135851000.0,,131343000.0,195184000.0,553334000.0,-420381000.0,,161962000.0,94499000.0,68649000.0,,94499000.0,161962000.0,,CommonMetricExtracted
NetIncome,,,,379636000.0,528704000.0,684863000.0,768508000.0,776464000.0,903944000.0,498874000.0,369416000.0,318022000.0,-1053836000.0,-530993000.0,-213512000.0,126628000.0,902987000.0,393913000.0,214352000.0,541817000.0,,,528704000.0,768508000.0,903944000.0,369416000.0,-1053836000.0,-213512000.0,902987000.0,214352000.0,,684863000.0,903944000.0,318022000.0,-213512000.0,393913000.0,,528704000.0,903944000.0,-1053836000.0,902987000.0,,684863000.0,369416000.0,126628000.0,,369416000.0,684863000.0,,CommonMetricExtracted
Cash,,,901148000.0,617694000.0,1116997000.0,1281123000.0,1369113000.0,1335711000.0,1039216000.0,971650000.0,892814000.0,869531000.0,1079221000.0,594481000.0,630028000.0,762181000.0,731362000.0,761235000.0,1261363000.0,1387908000.0,,617694000.0,1281123000.0,1335711000.0,971650000.0,869531000.0,594481000.0,762181000.0,761235000.0,1387908000.0,1116997000.0,1335711000.0,892814000.0,594481000.0,731362000.0,1387908000.0,617694000.0,1335711000.0,869531000.0,762181000.0,1387908000.0,1116997000.0,971650000.0,630028000.0,1387908000.0,971650000.0,1387908000.0,1387908000.0,1387908000.0,CommonMetricExtracted
CurrentReceivables,,,,,749335000.0,1146106000.0,1246687000.0,1226833000.0,1260105000.0,1094452000.0,1145099000.0,1115217000.0,1128610000.0,970083000.0,936359000.0,1033966000.0,1072684000.0,860221000.0,1081827000.0,1003178000.0,,,1146106000.0,1226833000.0,1094452000.0,1115217000.0,970083000.0,1033966000.0,860221000.0,1003178000.0,749335000.0,1226833000.0,1145099000.0,970083000.0,1072684000.0,1003178000.0,,1226833000.0,1115217000.0,1033966000.0,1003178000.0,749335000.0,1094452000.0,936359000.0,1003178000.0,1094452000.0,1003178000.0,1003178000.0,1003178000.0,CommonMetricExtracted
