,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,4992000000.0,5099000000.0,5539000000.0,6714000000.0,7391000000.0,8346000000.0,9473000000.0,,10776000000.0,12497000000.0,14950000000.0,16883000000.0,15301000000.0,18884000000.0,22237000000.0,25098000000.0,28167000000.0,,,5099000000.0,6714000000.0,8346000000.0,,12497000000.0,16883000000.0,18884000000.0,25098000000.0,,5539000000.0,8346000000.0,10776000000.0,16883000000.0,22237000000.0,,5099000000.0,8346000000.0,12497000000.0,18884000000.0,,5539000000.0,,15301000000.0,,,5539000000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,-534000000.0,2260000000.0,2752000000.0,2713000000.0,3937000000.0,4503000000.0,5106000000.0,5078000000.0,5761000000.0,6622000000.0,7282000000.0,9664000000.0,8081000000.0,10082000000.0,12264000000.0,14008000000.0,15582000000.0,,,2260000000.0,2713000000.0,4503000000.0,5078000000.0,6622000000.0,9664000000.0,10082000000.0,14008000000.0,,2752000000.0,4503000000.0,5761000000.0,9664000000.0,12264000000.0,,2260000000.0,4503000000.0,6622000000.0,10082000000.0,,2752000000.0,5078000000.0,8081000000.0,,5078000000.0,2752000000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,471000000.0,575000000.0,646000000.0,,,,,,,,,,575000000.0,,,,,,471000000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,-129000000.0,755000000.0,910000000.0,842000000.0,1174000000.0,1384000000.0,1462000000.0,1150000000.0,1587000000.0,2607000000.0,1345000000.0,1613000000.0,1349000000.0,1620000000.0,1802000000.0,2444000000.0,2380000000.0,,,755000000.0,842000000.0,1384000000.0,1150000000.0,2607000000.0,1613000000.0,1620000000.0,2444000000.0,,910000000.0,1384000000.0,1587000000.0,1613000000.0,1802000000.0,,755000000.0,1384000000.0,2607000000.0,1620000000.0,,910000000.0,1150000000.0,1349000000.0,,1150000000.0,910000000.0,,CommonMetricExtracted
NetIncome,,,,-254000000.0,1463000000.0,1847000000.0,1904000000.0,2759000000.0,3116000000.0,3617000000.0,3808000000.0,4059000000.0,3915000000.0,5859000000.0,8118000000.0,6411000000.0,8687000000.0,9930000000.0,11195000000.0,12874000000.0,,,1463000000.0,1904000000.0,3116000000.0,3808000000.0,3915000000.0,8118000000.0,8687000000.0,11195000000.0,,1847000000.0,3116000000.0,4059000000.0,8118000000.0,9930000000.0,,1463000000.0,3116000000.0,3915000000.0,8687000000.0,,1847000000.0,3808000000.0,6411000000.0,,3808000000.0,1847000000.0,,CommonMetricExtracted
Cash,,,1659000000.0,1505000000.0,2055000000.0,3067000000.0,3734000000.0,,3599000000.0,5137000000.0,5747000000.0,6721000000.0,5933000000.0,,,10113000000.0,7421000000.0,7008000000.0,8588000000.0,8442000000.0,,1505000000.0,3067000000.0,,5137000000.0,6721000000.0,,10113000000.0,7008000000.0,8442000000.0,2055000000.0,,5747000000.0,,7421000000.0,8442000000.0,1505000000.0,,6721000000.0,10113000000.0,8442000000.0,2055000000.0,5137000000.0,,8442000000.0,5137000000.0,8442000000.0,8442000000.0,8442000000.0,CommonMetricExtracted
CurrentReceivables,,,,,536000000.0,650000000.0,808000000.0,,966000000.0,1109000000.0,1079000000.0,1416000000.0,1969000000.0,2013000000.0,,2646000000.0,3006000000.0,3425000000.0,4060000000.0,3773000000.0,,,650000000.0,,1109000000.0,1416000000.0,2013000000.0,2646000000.0,3425000000.0,3773000000.0,536000000.0,,1079000000.0,2013000000.0,3006000000.0,3773000000.0,,,1416000000.0,2646000000.0,3773000000.0,536000000.0,1109000000.0,,3773000000.0,1109000000.0,3773000000.0,3773000000.0,3773000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,400000000.0,404000000.0,,471000000.0,741000000.0,664000000.0,850000000.0,1040000000.0,1204000000.0,,1883000000.0,2271000000.0,2346000000.0,2643000000.0,2992000000.0,,,400000000.0,,741000000.0,850000000.0,1204000000.0,1883000000.0,2346000000.0,2992000000.0,,,664000000.0,1204000000.0,2271000000.0,2992000000.0,,,850000000.0,1883000000.0,2992000000.0,,741000000.0,,2992000000.0,741000000.0,2992000000.0,2992000000.0,2992000000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
