,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,23522400000.0,22744700000.0,24074600000.0,27006000000.0,27567000000.0,28105700000.0,27441300000.0,25413000000.0,24621900000.0,22820400000.0,21257900000.0,21364400000.0,19207800000.0,23222900000.0,23183000000.0,25494000000.0,25920000000.0,,,22744700000.0,27006000000.0,28105700000.0,25413000000.0,22820400000.0,21364400000.0,23222900000.0,25494000000.0,,24074600000.0,28105700000.0,24621900000.0,21364400000.0,23183000000.0,,22744700000.0,28105700000.0,22820400000.0,23222900000.0,,24074600000.0,25413000000.0,19207800000.0,,25413000000.0,24074600000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,5586100000.0,5178000000.0,5300100000.0,6167200000.0,6318200000.0,6361300000.0,6129700000.0,5552200000.0,4896900000.0,4033500000.0,3153800000.0,2980300000.0,2564200000.0,3096800000.0,2737300000.0,3039000000.0,2995000000.0,,,5178000000.0,6167200000.0,6361300000.0,5552200000.0,4033500000.0,2980300000.0,3096800000.0,3039000000.0,,5300100000.0,6361300000.0,4896900000.0,2980300000.0,2737300000.0,,5178000000.0,6361300000.0,4033500000.0,3096800000.0,,5300100000.0,5552200000.0,2564200000.0,,5552200000.0,5300100000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,1985400000.0,1966900000.0,2245000000.0,2377800000.0,2492200000.0,2435200000.0,2412000000.0,,,,,,,,1966900000.0,2377800000.0,2435200000.0,,,,,1966900000.0,2492200000.0,,,,,2377800000.0,,,,2245000000.0,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,6442900000.0,6841000000.0,7473100000.0,8529700000.0,8604600000.0,8764300000.0,7949200000.0,7145500000.0,7744500000.0,9552700000.0,8822600000.0,9069800000.0,7324000000.0,10356000000.0,9371000000.0,11647000000.0,11712000000.0,,,6841000000.0,8529700000.0,8764300000.0,7145500000.0,9552700000.0,9069800000.0,10356000000.0,11647000000.0,,7473100000.0,8764300000.0,7744500000.0,9069800000.0,9371000000.0,,6841000000.0,8764300000.0,9552700000.0,10356000000.0,,7473100000.0,7145500000.0,7324000000.0,,7145500000.0,7473100000.0,,CommonMetricExtracted
Interest,,,,522600000.0,473200000.0,450900000.0,492800000.0,516600000.0,527800000.0,576400000.0,638300000.0,884800000.0,921300000.0,981200000.0,1121900000.0,1218100000.0,1185800000.0,1207000000.0,1361000000.0,1506000000.0,,,473200000.0,492800000.0,527800000.0,638300000.0,921300000.0,1121900000.0,1185800000.0,1361000000.0,,450900000.0,527800000.0,884800000.0,1121900000.0,1207000000.0,,473200000.0,527800000.0,921300000.0,1185800000.0,,450900000.0,638300000.0,1218100000.0,,638300000.0,450900000.0,,CommonMetricExtracted
Taxes,,,,1844800000.0,1936000000.0,2054000000.0,2509100000.0,2614200000.0,2618600000.0,2614200000.0,2026400000.0,2179500000.0,3381200000.0,1891800000.0,1992700000.0,1410200000.0,1582700000.0,1648000000.0,2053400000.0,2121000000.0,,,1936000000.0,2509100000.0,2618600000.0,2026400000.0,3381200000.0,1992700000.0,1582700000.0,2053400000.0,,2054000000.0,2618600000.0,2179500000.0,1992700000.0,1648000000.0,,1936000000.0,2618600000.0,3381200000.0,1582700000.0,,2054000000.0,2026400000.0,1410200000.0,,2026400000.0,2054000000.0,,CommonMetricExtracted
NetIncome,,,,4313200000.0,4551000000.0,4946300000.0,5503100000.0,5464800000.0,5585900000.0,4757800000.0,4529300000.0,4686500000.0,5192300000.0,5924300000.0,6025400000.0,4730500000.0,7545200000.0,6177400000.0,8469000000.0,8223000000.0,,,4551000000.0,5503100000.0,5585900000.0,4529300000.0,5192300000.0,6025400000.0,7545200000.0,8469000000.0,,4946300000.0,5585900000.0,4686500000.0,6025400000.0,6177400000.0,,4551000000.0,5585900000.0,5192300000.0,7545200000.0,,4946300000.0,4529300000.0,4730500000.0,,4529300000.0,4946300000.0,,CommonMetricExtracted
Cash,,,1981300000.0,2063400000.0,1796000000.0,2387000000.0,2335700000.0,2336100000.0,2798700000.0,2077900000.0,7685500000.0,1223400000.0,2463800000.0,866000000.0,,3449100000.0,4709200000.0,2583800000.0,4579300000.0,1085000000.0,,2063400000.0,2387000000.0,2336100000.0,2077900000.0,1223400000.0,866000000.0,3449100000.0,2583800000.0,1085000000.0,1796000000.0,2336100000.0,7685500000.0,866000000.0,4709200000.0,1085000000.0,2063400000.0,2336100000.0,1223400000.0,3449100000.0,1085000000.0,1796000000.0,2077900000.0,,1085000000.0,2077900000.0,1085000000.0,1085000000.0,1085000000.0,CommonMetricExtracted
CurrentReceivables,,,,,1060400000.0,1179100000.0,1334700000.0,1375300000.0,1319800000.0,1214400000.0,1298700000.0,1474100000.0,1976200000.0,2441500000.0,,2110300000.0,1872400000.0,2115000000.0,2488000000.0,2383000000.0,,,1179100000.0,1375300000.0,1214400000.0,1474100000.0,2441500000.0,2110300000.0,2115000000.0,2383000000.0,1060400000.0,1375300000.0,1298700000.0,2441500000.0,1872400000.0,2383000000.0,,1375300000.0,1474100000.0,2110300000.0,2383000000.0,1060400000.0,1214400000.0,,2383000000.0,1214400000.0,2383000000.0,2383000000.0,2383000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,453700000.0,692500000.0,615800000.0,1089000000.0,807900000.0,783200000.0,558700000.0,565200000.0,828400000.0,694600000.0,,632700000.0,511300000.0,673400000.0,866300000.0,1074000000.0,,,692500000.0,1089000000.0,783200000.0,565200000.0,694600000.0,632700000.0,673400000.0,1074000000.0,453700000.0,1089000000.0,558700000.0,694600000.0,511300000.0,1074000000.0,,1089000000.0,565200000.0,632700000.0,1074000000.0,453700000.0,783200000.0,,1074000000.0,783200000.0,1074000000.0,1074000000.0,1074000000.0,CommonMetricExtracted
Inventory,,,,,106200000.0,109900000.0,116800000.0,121700000.0,123700000.0,110000000.0,100100000.0,58900000.0,58800000.0,51100000.0,,51100000.0,55600000.0,52000000.0,53000000.0,56000000.0,,,109900000.0,121700000.0,110000000.0,58900000.0,51100000.0,51100000.0,52000000.0,56000000.0,106200000.0,121700000.0,100100000.0,51100000.0,55600000.0,56000000.0,,121700000.0,58900000.0,51100000.0,56000000.0,106200000.0,110000000.0,,56000000.0,110000000.0,56000000.0,56000000.0,56000000.0,CommonMetricExtracted
CurrentAssets,,,,,3416300000.0,4368500000.0,4403000000.0,4922100000.0,5050100000.0,4185500000.0,9643000000.0,4848600000.0,5327200000.0,4053200000.0,,6243200000.0,7148500000.0,5424200000.0,7986400000.0,4599000000.0,,,4368500000.0,4922100000.0,4185500000.0,4848600000.0,4053200000.0,6243200000.0,5424200000.0,4599000000.0,3416300000.0,4922100000.0,9643000000.0,4053200000.0,7148500000.0,4599000000.0,,4922100000.0,4848600000.0,6243200000.0,4599000000.0,3416300000.0,4185500000.0,,4599000000.0,4185500000.0,4599000000.0,4599000000.0,4599000000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,21531500000.0,22060600000.0,22834500000.0,24677200000.0,25747300000.0,24557500000.0,23117600000.0,21257600000.0,22448300000.0,22842700000.0,,24958200000.0,24720600000.0,23773600000.0,24908000000.0,25295000000.0,,,22060600000.0,24677200000.0,24557500000.0,21257600000.0,22842700000.0,24958200000.0,23773600000.0,25295000000.0,21531500000.0,24677200000.0,23117600000.0,22842700000.0,24720600000.0,25295000000.0,,24677200000.0,21257600000.0,24958200000.0,25295000000.0,21531500000.0,24557500000.0,,25295000000.0,24557500000.0,25295000000.0,25295000000.0,25295000000.0,CommonMetricExtracted
Goodwill,,,,,2425200000.0,2586100000.0,2653200000.0,2804000000.0,2872700000.0,2735300000.0,2516300000.0,2336500000.0,2379700000.0,2331500000.0,,2773100000.0,2782500000.0,2900400000.0,3040400000.0,3145000000.0,,,2586100000.0,2804000000.0,2735300000.0,2336500000.0,2331500000.0,2773100000.0,2900400000.0,3145000000.0,2425200000.0,2804000000.0,2516300000.0,2331500000.0,2782500000.0,3145000000.0,,2804000000.0,2336500000.0,2773100000.0,3145000000.0,2425200000.0,2735300000.0,,3145000000.0,2735300000.0,3145000000.0,3145000000.0,3145000000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,28461500000.0,30224900000.0,31975200000.0,32989900000.0,35386500000.0,36626300000.0,34281400000.0,37938700000.0,31023900000.0,33803700000.0,32811200000.0,,52626800000.0,53854300000.0,50436000000.0,56147000000.0,55182000000.0,,28461500000.0,31975200000.0,35386500000.0,34281400000.0,31023900000.0,32811200000.0,52626800000.0,50436000000.0,55182000000.0,30224900000.0,35386500000.0,37938700000.0,32811200000.0,53854300000.0,55182000000.0,28461500000.0,35386500000.0,31023900000.0,52626800000.0,55182000000.0,30224900000.0,34281400000.0,,55182000000.0,34281400000.0,55182000000.0,55182000000.0,55182000000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,0.0,2192400000.0,0.0,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,0.0,,,,0.0,,0.0,0.0,0.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,2693200000.0,2640800000.0,2804500000.0,3032400000.0,2786900000.0,2417900000.0,2641400000.0,2430000000.0,2615200000.0,2719800000.0,,3009100000.0,3077800000.0,2885900000.0,3711100000.0,3001000000.0,,,2640800000.0,3032400000.0,2417900000.0,2430000000.0,2719800000.0,3009100000.0,2885900000.0,3001000000.0,2693200000.0,3032400000.0,2641400000.0,2719800000.0,3077800000.0,3001000000.0,,3032400000.0,2430000000.0,3009100000.0,3001000000.0,2693200000.0,2417900000.0,,3001000000.0,2417900000.0,3001000000.0,3001000000.0,3001000000.0,CommonMetricExtracted
CurrentLiability,,,,,2988700000.0,2924700000.0,3509200000.0,3403100000.0,3170000000.0,2747900000.0,2950400000.0,3468300000.0,2890600000.0,2973500000.0,,6181200000.0,4020000000.0,3802100000.0,6859000000.0,3861000000.0,,,2924700000.0,3403100000.0,2747900000.0,3468300000.0,2973500000.0,6181200000.0,3802100000.0,3861000000.0,2988700000.0,3403100000.0,2950400000.0,2973500000.0,4020000000.0,3861000000.0,,3403100000.0,3468300000.0,6181200000.0,3861000000.0,2988700000.0,2747900000.0,,3861000000.0,2747900000.0,3861000000.0,3861000000.0,3861000000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,1363100000.0,1586900000.0,1612600000.0,1526200000.0,1669100000.0,2065900000.0,2074000000.0,2064300000.0,1154400000.0,1096300000.0,,1054100000.0,1081000000.0,1051800000.0,14008000000.0,13659000000.0,,,1586900000.0,1526200000.0,2065900000.0,2064300000.0,1096300000.0,1054100000.0,1051800000.0,13659000000.0,1363100000.0,1526200000.0,2074000000.0,1096300000.0,1081000000.0,13659000000.0,,1526200000.0,2064300000.0,1054100000.0,13659000000.0,1363100000.0,2065900000.0,,13659000000.0,2065900000.0,13659000000.0,13659000000.0,13659000000.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,2025600000.0,2075600000.0,1997500000.0,1681000000.0,1914000000.0,,,,,,,,2025600000.0,1997500000.0,1914000000.0,,,,,2075600000.0,1914000000.0,,,,2025600000.0,1914000000.0,,,,1914000000.0,,1914000000.0,1914000000.0,1914000000.0,CommonMetricExtracted
ShareholderEquity,,,15279800000.0,13382600000.0,14033900000.0,14634200000.0,14390200000.0,15293600000.0,16009700000.0,12853400000.0,7087900000.0,-2204300000.0,-3268000000.0,-6258400000.0,,-7824900000.0,-4601000000.0,-6003000000.0,-4706700000.0,-3797000000.0,,13382600000.0,14634200000.0,15293600000.0,12853400000.0,-2204300000.0,-6258400000.0,-7824900000.0,-6003000000.0,-3797000000.0,14033900000.0,15293600000.0,7087900000.0,-6258400000.0,-4601000000.0,-3797000000.0,13382600000.0,15293600000.0,-2204300000.0,-7824900000.0,-3797000000.0,14033900000.0,12853400000.0,,-3797000000.0,12853400000.0,-3797000000.0,-3797000000.0,-3797000000.0,CommonMetricExtracted
