,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,3980800000.0,5349500000.0,5274200000.0,5438400000.0,6820900000.0,8438700000.0,7634400000.0,,,,,,,,5349500000.0,5438400000.0,8438700000.0,,,,,5349500000.0,6820900000.0,,,,,5438400000.0,,,,5274200000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,386793000.0,413487000.0,612769000.0,590782000.0,,,,,1650600000.0,1560100000.0,2418200000.0,2032100000.0,2059600000.0,2371300000.0,2740800000.0,2638700000.0,,,386793000.0,612769000.0,,,1650600000.0,2418200000.0,2059600000.0,2740800000.0,,413487000.0,,,2418200000.0,2371300000.0,,386793000.0,,1650600000.0,2059600000.0,,413487000.0,,2032100000.0,,,413487000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,161218000.0,167222000.0,227781000.0,212391000.0,261471000.0,267278000.0,274815000.0,301700000.0,499811000.0,452100000.0,682900000.0,676600000.0,610300000.0,718900000.0,797700000.0,734200000.0,,,161218000.0,227781000.0,261471000.0,274815000.0,499811000.0,682900000.0,610300000.0,797700000.0,,167222000.0,261471000.0,301700000.0,682900000.0,718900000.0,,161218000.0,261471000.0,499811000.0,610300000.0,,167222000.0,274815000.0,676600000.0,,274815000.0,167222000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,115524000.0,120823000.0,170607000.0,182650000.0,254723000.0,305043000.0,349543000.0,372600000.0,545300000.0,529300000.0,826300000.0,877800000.0,836400000.0,989100000.0,1118300000.0,1097400000.0,,,115524000.0,170607000.0,254723000.0,349543000.0,545300000.0,826300000.0,836400000.0,1118300000.0,,120823000.0,254723000.0,372600000.0,826300000.0,989100000.0,,115524000.0,254723000.0,545300000.0,836400000.0,,120823000.0,349543000.0,877800000.0,,349543000.0,120823000.0,,CommonMetricExtracted
OperatingMargin,,,,,233328000.0,244959000.0,474183000.0,396516000.0,178553000.0,458864000.0,425620000.0,352345000.0,275817000.0,936300000.0,714300000.0,647100000.0,998100000.0,1849600000.0,3116000000.0,2571000000.0,,,233328000.0,474183000.0,178553000.0,425620000.0,275817000.0,714300000.0,998100000.0,3116000000.0,,244959000.0,178553000.0,352345000.0,714300000.0,1849600000.0,,233328000.0,178553000.0,275817000.0,998100000.0,,244959000.0,425620000.0,647100000.0,,425620000.0,244959000.0,,CommonMetricExtracted
Interest,,,,,29440000.0,31150000.0,31521000.0,34266000.0,40915000.0,48716000.0,62034000.0,104018000.0,146346000.0,199000000.0,502900000.0,497300000.0,356900000.0,257000000.0,203900000.0,198300000.0,,,29440000.0,31521000.0,40915000.0,62034000.0,146346000.0,502900000.0,356900000.0,203900000.0,,31150000.0,40915000.0,104018000.0,502900000.0,257000000.0,,29440000.0,40915000.0,146346000.0,356900000.0,,31150000.0,62034000.0,497300000.0,,62034000.0,31150000.0,,CommonMetricExtracted
Taxes,,,,,-13508000.0,20808000.0,31531000.0,42990000.0,24788000.0,37073000.0,-19418000.0,-42600000.0,-80800000.0,481900000.0,-151400000.0,-420200000.0,-9900000.0,197000000.0,672000000.0,459000000.0,,,-13508000.0,31531000.0,24788000.0,-19418000.0,-80800000.0,-151400000.0,-9900000.0,672000000.0,,20808000.0,24788000.0,-42600000.0,-151400000.0,197000000.0,,-13508000.0,24788000.0,-80800000.0,-9900000.0,,20808000.0,-19418000.0,-420200000.0,,-19418000.0,20808000.0,,CommonMetricExtracted
NetIncome,,,,,245587000.0,217005000.0,418950000.0,336705000.0,127389000.0,395281000.0,369009000.0,324132000.0,164639000.0,255400000.0,355900000.0,570600000.0,349400000.0,1285500000.0,2237700000.0,1906900000.0,,,245587000.0,418950000.0,127389000.0,369009000.0,164639000.0,355900000.0,349400000.0,2237700000.0,,217005000.0,127389000.0,324132000.0,355900000.0,1285500000.0,,245587000.0,127389000.0,164639000.0,349400000.0,,217005000.0,369009000.0,570600000.0,,369009000.0,217005000.0,,CommonMetricExtracted
Cash,,,,487736000.0,446329000.0,492130000.0,703924000.0,635755000.0,528334000.0,466603000.0,607815000.0,2092751000.0,908700000.0,901300000.0,428600000.0,401000000.0,280000000.0,317400000.0,234000000.0,319700000.0,,487736000.0,492130000.0,635755000.0,466603000.0,2092751000.0,901300000.0,401000000.0,317400000.0,319700000.0,446329000.0,635755000.0,607815000.0,901300000.0,280000000.0,319700000.0,487736000.0,635755000.0,2092751000.0,401000000.0,319700000.0,446329000.0,466603000.0,428600000.0,319700000.0,466603000.0,319700000.0,319700000.0,319700000.0,CommonMetricExtracted
CurrentReceivables,,,,,,137806000.0,181202000.0,170201000.0,229955000.0,242405000.0,273937000.0,290183000.0,478400000.0,563700000.0,880600000.0,934000000.0,997700000.0,1072600000.0,1305300000.0,1143700000.0,,,137806000.0,170201000.0,242405000.0,290183000.0,563700000.0,934000000.0,1072600000.0,1143700000.0,,170201000.0,273937000.0,563700000.0,997700000.0,1143700000.0,,170201000.0,290183000.0,934000000.0,1143700000.0,,242405000.0,880600000.0,1143700000.0,242405000.0,1143700000.0,1143700000.0,1143700000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,116579000.0,180800000.0,217278000.0,242334000.0,262725000.0,279456000.0,306815000.0,417202000.0,476200000.0,711700000.0,685700000.0,665000000.0,854400000.0,1324900000.0,1316000000.0,,,116579000.0,217278000.0,262725000.0,306815000.0,476200000.0,685700000.0,854400000.0,1316000000.0,,217278000.0,279456000.0,476200000.0,665000000.0,1316000000.0,,217278000.0,306815000.0,685700000.0,1316000000.0,,262725000.0,711700000.0,1316000000.0,262725000.0,1316000000.0,1316000000.0,1316000000.0,CommonMetricExtracted
CurrentAssets,,,,,,1610969000.0,1774983000.0,2015861000.0,2236370000.0,1969399000.0,2664617000.0,3096713000.0,2305040000.0,3356300000.0,2214800000.0,2217200000.0,2145200000.0,2452600000.0,3069300000.0,3013000000.0,,,1610969000.0,2015861000.0,1969399000.0,3096713000.0,3356300000.0,2217200000.0,2452600000.0,3013000000.0,,2015861000.0,2664617000.0,3356300000.0,2145200000.0,3013000000.0,,2015861000.0,3096713000.0,2217200000.0,3013000000.0,,1969399000.0,2214800000.0,3013000000.0,1969399000.0,3013000000.0,3013000000.0,3013000000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,493039000.0,540513000.0,516611000.0,514544000.0,531967000.0,581572000.0,609396000.0,683338000.0,767900000.0,996700000.0,876100000.0,854700000.0,967900000.0,1177900000.0,1194600000.0,,,493039000.0,516611000.0,531967000.0,609396000.0,767900000.0,876100000.0,967900000.0,1194600000.0,,516611000.0,581572000.0,767900000.0,854700000.0,1194600000.0,,516611000.0,609396000.0,876100000.0,1194600000.0,,531967000.0,996700000.0,1194600000.0,531967000.0,1194600000.0,1194600000.0,1194600000.0,CommonMetricExtracted
