,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,3604200000.0,4204100000.0,4443000000.0,4829000000.0,5371000000.0,6218000000.0,5468000000.0,5916000000.0,7088000000.0,,,,,,,4204100000.0,4829000000.0,6218000000.0,5916000000.0,,,,3604200000.0,4829000000.0,5468000000.0,,,,4204100000.0,6218000000.0,,,,5371000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,1216000000.0,1246000000.0,1387000000.0,1475000000.0,1637000000.0,1613000000.0,1687000000.0,1945000000.0,,,,,,,1216000000.0,1387000000.0,1637000000.0,1687000000.0,,,,,1387000000.0,1613000000.0,,,,1216000000.0,1637000000.0,,,,1475000000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,441300000.0,495700000.0,588000000.0,629600000.0,752200000.0,822100000.0,869300000.0,921300000.0,936400000.0,991400000.0,1080100000.0,1167000000.0,1229000000.0,1480000000.0,1527000000.0,1632000000.0,1735000000.0,,,495700000.0,629600000.0,822100000.0,921300000.0,991400000.0,1167000000.0,1480000000.0,1632000000.0,,588000000.0,822100000.0,936400000.0,1167000000.0,1527000000.0,,495700000.0,822100000.0,991400000.0,1480000000.0,,588000000.0,921300000.0,1229000000.0,,921300000.0,588000000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,748200000.0,687500000.0,772800000.0,888400000.0,1077400000.0,1234600000.0,1439100000.0,1473400000.0,650900000.0,1821000000.0,1868200000.0,1998000000.0,2388000000.0,2844000000.0,1883000000.0,2137000000.0,2875000000.0,,,687500000.0,888400000.0,1234600000.0,1473400000.0,1821000000.0,1998000000.0,2844000000.0,2137000000.0,,772800000.0,1234600000.0,650900000.0,1998000000.0,1883000000.0,,687500000.0,1234600000.0,1821000000.0,2844000000.0,,772800000.0,1473400000.0,2388000000.0,,1473400000.0,772800000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,268200000.0,239100000.0,201000000.0,261800000.0,324300000.0,353400000.0,455000000.0,430000000.0,282200000.0,779100000.0,352000000.0,381000000.0,452000000.0,541000000.0,386000000.0,327000000.0,640000000.0,,,239100000.0,261800000.0,353400000.0,430000000.0,779100000.0,381000000.0,541000000.0,327000000.0,,201000000.0,353400000.0,282200000.0,381000000.0,386000000.0,,239100000.0,353400000.0,779100000.0,541000000.0,,201000000.0,430000000.0,452000000.0,,430000000.0,201000000.0,,CommonMetricExtracted
NetIncome,,,,461600000.0,407100000.0,513400000.0,578000000.0,699700000.0,815900000.0,1006000000.0,949600000.0,275800000.0,1008000000.0,1320000000.0,1429000000.0,1777000000.0,2214000000.0,1374000000.0,1608000000.0,2059000000.0,,,407100000.0,578000000.0,815900000.0,949600000.0,1008000000.0,1429000000.0,2214000000.0,1608000000.0,,513400000.0,815900000.0,275800000.0,1429000000.0,1374000000.0,,407100000.0,815900000.0,1008000000.0,2214000000.0,,513400000.0,949600000.0,1777000000.0,,949600000.0,513400000.0,,CommonMetricExtracted
Cash,,,426300000.0,245900000.0,473900000.0,659600000.0,760000000.0,1755400000.0,1919500000.0,1219500000.0,1757400000.0,2051500000.0,1071500000.0,1685000000.0,1832000000.0,2597000000.0,1811000000.0,1769000000.0,2130000000.0,2408000000.0,,245900000.0,659600000.0,1755400000.0,1219500000.0,2051500000.0,1685000000.0,2597000000.0,1769000000.0,2408000000.0,473900000.0,1755400000.0,1757400000.0,1685000000.0,1811000000.0,2408000000.0,245900000.0,1755400000.0,2051500000.0,2597000000.0,2408000000.0,473900000.0,1219500000.0,1832000000.0,2408000000.0,1219500000.0,2408000000.0,2408000000.0,2408000000.0,CommonMetricExtracted
CurrentReceivables,,,,,444900000.0,497500000.0,,621800000.0,694200000.0,792400000.0,802000000.0,,1147200000.0,1287100000.0,1419000000.0,1430000000.0,1720000000.0,1652000000.0,1659000000.0,1801000000.0,,,497500000.0,621800000.0,792400000.0,,1287100000.0,1430000000.0,1652000000.0,1801000000.0,444900000.0,621800000.0,802000000.0,1287100000.0,1720000000.0,1801000000.0,,621800000.0,,1430000000.0,1801000000.0,444900000.0,792400000.0,1419000000.0,1801000000.0,792400000.0,1801000000.0,1801000000.0,1801000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,1012900000.0,1343000000.0,,2525700000.0,2968800000.0,2686400000.0,3243100000.0,,2580600000.0,3387000000.0,3679000000.0,4509000000.0,4011000000.0,4094000000.0,4341000000.0,5290000000.0,,,1343000000.0,2525700000.0,2686400000.0,,3387000000.0,4509000000.0,4094000000.0,5290000000.0,1012900000.0,2525700000.0,3243100000.0,3387000000.0,4011000000.0,5290000000.0,,2525700000.0,,4509000000.0,5290000000.0,1012900000.0,2686400000.0,3679000000.0,5290000000.0,2686400000.0,5290000000.0,5290000000.0,5290000000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,293000000.0,319300000.0,,307100000.0,278700000.0,302300000.0,306400000.0,,325100000.0,320400000.0,292000000.0,278000000.0,347000000.0,502000000.0,603000000.0,656000000.0,,,319300000.0,307100000.0,302300000.0,,320400000.0,278000000.0,502000000.0,656000000.0,293000000.0,307100000.0,306400000.0,320400000.0,347000000.0,656000000.0,,307100000.0,,278000000.0,656000000.0,293000000.0,302300000.0,292000000.0,656000000.0,302300000.0,656000000.0,656000000.0,656000000.0,CommonMetricExtracted
Goodwill,,,,338000000.0,349200000.0,465500000.0,,637100000.0,665200000.0,1021100000.0,976300000.0,1023600000.0,3753200000.0,3781300000.0,3722000000.0,4556000000.0,5999000000.0,5839000000.0,5956000000.0,5994000000.0,,338000000.0,465500000.0,637100000.0,1021100000.0,1023600000.0,3781300000.0,4556000000.0,5839000000.0,5994000000.0,349200000.0,637100000.0,976300000.0,3781300000.0,5999000000.0,5994000000.0,338000000.0,637100000.0,1023600000.0,4556000000.0,5994000000.0,349200000.0,1021100000.0,3722000000.0,5994000000.0,1021100000.0,5994000000.0,5994000000.0,5994000000.0,CommonMetricExtracted
IntangibleAssets,,,,,104900000.0,168800000.0,,226500000.0,221600000.0,345500000.0,299100000.0,,1631600000.0,1566100000.0,1498000000.0,1824000000.0,2467000000.0,2210000000.0,2049000000.0,1890000000.0,,,168800000.0,226500000.0,345500000.0,,1566100000.0,1824000000.0,2210000000.0,1890000000.0,104900000.0,226500000.0,299100000.0,1566100000.0,2467000000.0,1890000000.0,,226500000.0,,1824000000.0,1890000000.0,104900000.0,345500000.0,1498000000.0,1890000000.0,345500000.0,1890000000.0,1890000000.0,1890000000.0,CommonMetricExtracted
TotalAssets,,,,,2003300000.0,2540300000.0,,3960900000.0,4395100000.0,4669000000.0,5123400000.0,,8594200000.0,9526200000.0,10265000000.0,12409000000.0,14680000000.0,14349000000.0,14622000000.0,15505000000.0,,,2540300000.0,3960900000.0,4669000000.0,,9526200000.0,12409000000.0,14349000000.0,15505000000.0,2003300000.0,3960900000.0,5123400000.0,9526200000.0,14680000000.0,15505000000.0,,3960900000.0,,12409000000.0,15505000000.0,2003300000.0,4669000000.0,10265000000.0,15505000000.0,4669000000.0,15505000000.0,15505000000.0,15505000000.0,CommonMetricExtracted
ShorttermDebt,,,,,3800000.0,11300000.0,,63800000.0,0.0,,,,299500000.0,450000000.0,0.0,,,,0.0,697000000.0,,,11300000.0,63800000.0,,,450000000.0,,,697000000.0,3800000.0,63800000.0,,450000000.0,,697000000.0,,63800000.0,,,697000000.0,3800000.0,,0.0,697000000.0,,697000000.0,697000000.0,697000000.0,CommonMetricExtracted
