,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,5003278000.0,4176501000.0,3909695000.0,4050492000.0,4075431000.0,4462404000.0,4670558000.0,4191549000.0,4128828000.0,4443351000.0,4531552000.0,5336776000.0,5532750000.0,5680733000.0,6973864000.0,4657340000.0,1757978000.0,,,4176501000.0,4050492000.0,4462404000.0,4191549000.0,4443351000.0,5336776000.0,5680733000.0,4657340000.0,,3909695000.0,4462404000.0,4128828000.0,5336776000.0,6973864000.0,,4176501000.0,4462404000.0,4443351000.0,5680733000.0,,3909695000.0,4191549000.0,5532750000.0,,4191549000.0,3909695000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,2893510000.0,3135466000.0,3256121000.0,3895294000.0,4028262000.0,4078623000.0,4978857000.0,2970872000.0,414491000.0,,,,,,,3135466000.0,3895294000.0,4078623000.0,2970872000.0,,,,2893510000.0,3895294000.0,4978857000.0,,,,3135466000.0,4078623000.0,,,,4028262000.0,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,512037000.0,-153097000.0,410727000.0,406367000.0,19207000.0,492899000.0,488225000.0,319775000.0,409120000.0,428712000.0,401723000.0,481220000.0,544925000.0,534219000.0,573953000.0,425978000.0,265642000.0,,,-153097000.0,406367000.0,492899000.0,319775000.0,428712000.0,481220000.0,534219000.0,425978000.0,,410727000.0,492899000.0,409120000.0,481220000.0,573953000.0,,-153097000.0,492899000.0,428712000.0,534219000.0,,410727000.0,319775000.0,544925000.0,,319775000.0,410727000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,80683000.0,104624000.0,108347000.0,,,,,,,,,,104624000.0,,,,,,80683000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,166597000.0,163353000.0,172923000.0,176140000.0,188359000.0,192562000.0,142585000.0,151826000.0,166673000.0,168638000.0,196143000.0,217253000.0,211454000.0,243338000.0,196046000.0,106216000.0,,,166597000.0,172923000.0,188359000.0,142585000.0,166673000.0,196143000.0,211454000.0,196046000.0,,163353000.0,188359000.0,151826000.0,196143000.0,243338000.0,,166597000.0,188359000.0,166673000.0,211454000.0,,163353000.0,142585000.0,217253000.0,,142585000.0,163353000.0,,CommonMetricExtracted
NetIncome,,,,293673000.0,-123274000.0,240659000.0,213026000.0,-754000.0,,,,,281203000.0,272318000.0,335453000.0,390205000.0,378131000.0,367489000.0,414707000.0,281108000.0,,,-123274000.0,213026000.0,,,281203000.0,335453000.0,378131000.0,414707000.0,,240659000.0,,,335453000.0,367489000.0,,-123274000.0,,281203000.0,378131000.0,,240659000.0,,390205000.0,,,240659000.0,,CommonMetricExtracted
Cash,,,105820000.0,51714000.0,175114000.0,222074000.0,162772000.0,49042000.0,57340000.0,81855000.0,84591000.0,46107000.0,34599000.0,53948000.0,66459000.0,59547000.0,54161000.0,80517000.0,76975000.0,66904000.0,,51714000.0,222074000.0,49042000.0,81855000.0,46107000.0,53948000.0,59547000.0,80517000.0,66904000.0,175114000.0,49042000.0,84591000.0,53948000.0,54161000.0,66904000.0,51714000.0,49042000.0,46107000.0,59547000.0,66904000.0,175114000.0,81855000.0,66459000.0,66904000.0,81855000.0,66904000.0,66904000.0,66904000.0,CommonMetricExtracted
CurrentReceivables,,,,,531980000.0,583743000.0,646251000.0,678123000.0,713067000.0,693318000.0,590105000.0,630243000.0,727030000.0,722945000.0,836605000.0,873986000.0,946741000.0,1305642000.0,942782000.0,274303000.0,,,583743000.0,678123000.0,693318000.0,630243000.0,722945000.0,873986000.0,1305642000.0,274303000.0,531980000.0,678123000.0,590105000.0,722945000.0,946741000.0,274303000.0,,678123000.0,630243000.0,873986000.0,274303000.0,531980000.0,693318000.0,836605000.0,274303000.0,693318000.0,274303000.0,274303000.0,274303000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,249804000.0,252897000.0,274205000.0,317415000.0,282391000.0,300811000.0,253727000.0,238273000.0,226583000.0,287309000.0,278407000.0,291167000.0,335609000.0,387525000.0,87392000.0,44940000.0,,,252897000.0,317415000.0,300811000.0,238273000.0,287309000.0,291167000.0,387525000.0,44940000.0,249804000.0,317415000.0,253727000.0,287309000.0,335609000.0,44940000.0,,317415000.0,238273000.0,291167000.0,44940000.0,249804000.0,300811000.0,278407000.0,44940000.0,300811000.0,44940000.0,44940000.0,44940000.0,CommonMetricExtracted
CurrentAssets,,,,,1061658000.0,1167168000.0,1194638000.0,1128081000.0,1116688000.0,1217403000.0,1021042000.0,977475000.0,1069995000.0,1184132000.0,1297701000.0,1337347000.0,1550943000.0,2011748000.0,1363723000.0,666259000.0,,,1167168000.0,1128081000.0,1217403000.0,977475000.0,1184132000.0,1337347000.0,2011748000.0,666259000.0,1061658000.0,1128081000.0,1021042000.0,1184132000.0,1550943000.0,666259000.0,,1128081000.0,977475000.0,1337347000.0,666259000.0,1061658000.0,1217403000.0,1297701000.0,666259000.0,1217403000.0,666259000.0,666259000.0,666259000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,3894117000.0,4115180000.0,4285014000.0,4498839000.0,4931379000.0,5526764000.0,4311097000.0,3931327000.0,4079188000.0,4578677000.0,4917142000.0,5166939000.0,5756388000.0,6091545000.0,5120910000.0,5344292000.0,,,4115180000.0,4498839000.0,5526764000.0,3931327000.0,4578677000.0,5166939000.0,6091545000.0,5344292000.0,3894117000.0,4498839000.0,4311097000.0,4578677000.0,5756388000.0,5344292000.0,,4498839000.0,3931327000.0,5166939000.0,5344292000.0,3894117000.0,5526764000.0,4917142000.0,5344292000.0,5526764000.0,5344292000.0,5344292000.0,5344292000.0,CommonMetricExtracted
