,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,8959087000.0,9491290000.0,9983634000.0,9970672000.0,9552197000.0,11200613000.0,11737100000.0,11135115000.0,10836900000.0,,,,,,,9491290000.0,9970672000.0,11200613000.0,11135115000.0,,,,8959087000.0,9970672000.0,11737100000.0,,,,9491290000.0,11200613000.0,,,,9552197000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,6146262000.0,6494876000.0,7145564000.0,7294629000.0,7121507000.0,7931879000.0,8793700000.0,8425500000.0,8149200000.0,,,,,,,6494876000.0,7294629000.0,7931879000.0,8425500000.0,,,,6146262000.0,7294629000.0,8793700000.0,,,,6494876000.0,7931879000.0,,,,7121507000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,1188500000.0,1088431000.0,1101337000.0,1110550000.0,1373878000.0,1381396000.0,1573120000.0,1532882000.0,1642241000.0,1742744000.0,1848819000.0,1794688000.0,1933723000.0,2003438000.0,2119716000.0,1984800000.0,,,1188500000.0,1101337000.0,1373878000.0,1573120000.0,1642241000.0,1848819000.0,1933723000.0,2119716000.0,,1088431000.0,1373878000.0,1532882000.0,1848819000.0,2003438000.0,,1188500000.0,1373878000.0,1642241000.0,1933723000.0,,1088431000.0,1573120000.0,1794688000.0,,1573120000.0,1088431000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,43730000.0,314169000.0,315542000.0,379508000.0,546931000.0,772796000.0,837566000.0,1279943000.0,1354173000.0,1095326000.0,827224000.0,636002000.0,1335011000.0,244217000.0,-287800000.0,694700000.0,,,43730000.0,315542000.0,546931000.0,837566000.0,1354173000.0,827224000.0,1335011000.0,-287800000.0,,314169000.0,546931000.0,1279943000.0,827224000.0,244217000.0,,43730000.0,546931000.0,1354173000.0,1335011000.0,,314169000.0,837566000.0,636002000.0,,837566000.0,314169000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,51900000.0,77500000.0,48500000.0,,,,,,,,,,77500000.0,,,,,,51900000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,-76694000.0,2713000.0,21649000.0,53599000.0,78385000.0,131637000.0,131875000.0,307559000.0,343165000.0,184346000.0,4974000.0,68647000.0,256445000.0,158110000.0,84900000.0,128200000.0,,,-76694000.0,21649000.0,78385000.0,131875000.0,343165000.0,4974000.0,256445000.0,84900000.0,,2713000.0,78385000.0,307559000.0,4974000.0,158110000.0,,-76694000.0,78385000.0,343165000.0,256445000.0,,2713000.0,131875000.0,68647000.0,,131875000.0,2713000.0,,CommonMetricExtracted
NetIncome,,,,,-1019000.0,189935000.0,178225000.0,250893000.0,349291000.0,532254000.0,616986000.0,933566000.0,974692000.0,864855000.0,744571000.0,515727000.0,1033548000.0,25800000.0,-439371000.0,517800000.0,,,-1019000.0,178225000.0,349291000.0,616986000.0,974692000.0,744571000.0,1033548000.0,-439371000.0,,189935000.0,349291000.0,933566000.0,744571000.0,25800000.0,,-1019000.0,349291000.0,974692000.0,1033548000.0,,189935000.0,616986000.0,515727000.0,,616986000.0,189935000.0,,CommonMetricExtracted
Cash,,,89604000.0,93519000.0,531458000.0,354217000.0,311945000.0,477672000.0,54066000.0,97877000.0,81692000.0,121665000.0,84884000.0,119050000.0,134785000.0,768625000.0,268895000.0,509623000.0,642600000.0,666600000.0,,93519000.0,354217000.0,477672000.0,97877000.0,121665000.0,119050000.0,768625000.0,509623000.0,666600000.0,531458000.0,477672000.0,81692000.0,119050000.0,268895000.0,666600000.0,93519000.0,477672000.0,121665000.0,768625000.0,666600000.0,531458000.0,97877000.0,134785000.0,666600000.0,97877000.0,666600000.0,666600000.0,666600000.0,CommonMetricExtracted
CurrentReceivables,,,,,673931000.0,614473000.0,686165000.0,679473000.0,1062875000.0,1081963000.0,1257505000.0,1376151000.0,1558159000.0,1606159000.0,1526619000.0,1709493000.0,1839985000.0,1904786000.0,1874700000.0,1804200000.0,,,614473000.0,679473000.0,1081963000.0,1376151000.0,1606159000.0,1709493000.0,1904786000.0,1804200000.0,673931000.0,679473000.0,1257505000.0,1606159000.0,1839985000.0,1804200000.0,,679473000.0,1376151000.0,1709493000.0,1804200000.0,673931000.0,1081963000.0,1526619000.0,1804200000.0,1081963000.0,1804200000.0,1804200000.0,1804200000.0,CommonMetricExtracted
PrepaidExpenses,,,,,108947000.0,91731000.0,112779000.0,138117000.0,204034000.0,225759000.0,258633000.0,267724000.0,376836000.0,421553000.0,415546000.0,369432000.0,394649000.0,498222000.0,515819000.0,490200000.0,,,91731000.0,138117000.0,225759000.0,267724000.0,421553000.0,369432000.0,498222000.0,490200000.0,108947000.0,138117000.0,258633000.0,421553000.0,394649000.0,490200000.0,,138117000.0,267724000.0,369432000.0,490200000.0,108947000.0,225759000.0,415546000.0,490200000.0,225759000.0,490200000.0,490200000.0,490200000.0,CommonMetricExtracted
Inventory,,,,,892981000.0,1007503000.0,1113630000.0,1133736000.0,1572325000.0,1543313000.0,1607256000.0,1675751000.0,1948663000.0,2287615000.0,2282328000.0,1913020000.0,2391672000.0,2793765000.0,2551900000.0,2513600000.0,,,1007503000.0,1133736000.0,1543313000.0,1675751000.0,2287615000.0,1913020000.0,2793765000.0,2513600000.0,892981000.0,1133736000.0,1607256000.0,2287615000.0,2391672000.0,2513600000.0,,1133736000.0,1675751000.0,1913020000.0,2513600000.0,892981000.0,1543313000.0,2282328000.0,2513600000.0,1543313000.0,2513600000.0,2513600000.0,2513600000.0,CommonMetricExtracted
CurrentAssets,,,,,2359000000.0,2248613000.0,2398164000.0,2550046000.0,3085718000.0,3132270000.0,3249972000.0,3471512000.0,4072967000.0,4509296000.0,4429457000.0,5363654000.0,5238357000.0,5895099000.0,5604300000.0,5496900000.0,,,2248613000.0,2550046000.0,3132270000.0,3471512000.0,4509296000.0,5363654000.0,5895099000.0,5496900000.0,2359000000.0,2550046000.0,3249972000.0,4509296000.0,5238357000.0,5496900000.0,,2550046000.0,3471512000.0,5363654000.0,5496900000.0,2359000000.0,3132270000.0,4429457000.0,5496900000.0,3132270000.0,5496900000.0,5496900000.0,5496900000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,1791412000.0,1687124000.0,1712154000.0,1692852000.0,2701743000.0,2703210000.0,3147118000.0,3370348000.0,4270790000.0,4699902000.0,4698917000.0,4591229000.0,4636865000.0,4661178000.0,4993200000.0,4579900000.0,,,1687124000.0,1692852000.0,2703210000.0,3370348000.0,4699902000.0,4591229000.0,4661178000.0,4579900000.0,1791412000.0,1692852000.0,3147118000.0,4699902000.0,4636865000.0,4579900000.0,,1692852000.0,3370348000.0,4591229000.0,4579900000.0,1791412000.0,2703210000.0,4698917000.0,4579900000.0,2703210000.0,4579900000.0,4579900000.0,4579900000.0,CommonMetricExtracted
Goodwill,,,,,1411128000.0,1369394000.0,1375175000.0,1385771000.0,1736092000.0,1604352000.0,2293365000.0,2274426000.0,2471459000.0,2520966000.0,2570027000.0,2650831000.0,2607909000.0,1927800000.0,1159724000.0,1112100000.0,,,1369394000.0,1385771000.0,1604352000.0,2274426000.0,2520966000.0,2650831000.0,1927800000.0,1112100000.0,1411128000.0,1385771000.0,2293365000.0,2520966000.0,2607909000.0,1112100000.0,,1385771000.0,2274426000.0,2650831000.0,1112100000.0,1411128000.0,1604352000.0,2570027000.0,1112100000.0,1604352000.0,1112100000.0,1112100000.0,1112100000.0,CommonMetricExtracted
IntangibleAssets,,,,,307735000.0,220237000.0,154668000.0,98296000.0,111010000.0,79318000.0,304192000.0,254459000.0,247559000.0,254430000.0,226147000.0,224339000.0,205075000.0,189620000.0,169637000.0,134100000.0,,,220237000.0,98296000.0,79318000.0,254459000.0,254430000.0,224339000.0,189620000.0,134100000.0,307735000.0,98296000.0,304192000.0,254430000.0,205075000.0,134100000.0,,98296000.0,254459000.0,224339000.0,134100000.0,307735000.0,79318000.0,226147000.0,134100000.0,79318000.0,134100000.0,134100000.0,134100000.0,CommonMetricExtracted
TotalAssets,,,,,6391446000.0,6098926000.0,6206228000.0,6303684000.0,8494177000.0,8285544000.0,9942364000.0,10230596000.0,12094853000.0,13099123000.0,13386680000.0,14327751000.0,14224517000.0,14120432000.0,13559869000.0,12778600000.0,,,6098926000.0,6303684000.0,8285544000.0,10230596000.0,13099123000.0,14327751000.0,14120432000.0,12778600000.0,6391446000.0,6303684000.0,9942364000.0,13099123000.0,14224517000.0,12778600000.0,,6303684000.0,10230596000.0,14327751000.0,12778600000.0,6391446000.0,8285544000.0,13386680000.0,12778600000.0,8285544000.0,12778600000.0,12778600000.0,12778600000.0,CommonMetricExtracted
ShorttermDebt,,,,,52907000.0,350588000.0,386255000.0,55213000.0,127218000.0,851305000.0,2003003000.0,1382738000.0,1203683000.0,1742373000.0,1051498000.0,377255000.0,624503000.0,840571000.0,1001715000.0,559400000.0,,,350588000.0,55213000.0,851305000.0,1382738000.0,1742373000.0,377255000.0,840571000.0,559400000.0,52907000.0,55213000.0,2003003000.0,1742373000.0,624503000.0,559400000.0,,55213000.0,1382738000.0,377255000.0,559400000.0,52907000.0,851305000.0,1051498000.0,559400000.0,851305000.0,559400000.0,559400000.0,559400000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,831115000.0,698326000.0,715091000.0,773436000.0,1193593000.0,1104509000.0,1256025000.0,1335582000.0,1451672000.0,1523866000.0,1559140000.0,1895951000.0,2217418000.0,2124448000.0,2035339000.0,2004400000.0,,,698326000.0,773436000.0,1104509000.0,1335582000.0,1523866000.0,1895951000.0,2124448000.0,2004400000.0,831115000.0,773436000.0,1256025000.0,1523866000.0,2217418000.0,2004400000.0,,773436000.0,1335582000.0,1895951000.0,2004400000.0,831115000.0,1104509000.0,1559140000.0,2004400000.0,1104509000.0,2004400000.0,2004400000.0,2004400000.0,CommonMetricExtracted
