,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,1295342000.0,1915977000.0,2075108000.0,1899800000.0,2330000000.0,2950000000.0,3547000000.0,3622000000.0,3586000000.0,,,,,,,1915977000.0,1899800000.0,2950000000.0,3622000000.0,,,,1295342000.0,1899800000.0,3547000000.0,,,,1915977000.0,2950000000.0,,,,2330000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,1570000000.0,2000000000.0,1980000000.0,1878000000.0,,,,,,,,,1570000000.0,1980000000.0,,,,,,2000000000.0,,,,,1570000000.0,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,120618000.0,100429000.0,119841000.0,128015000.0,127185000.0,142014000.0,131828000.0,129087000.0,229171000.0,290548000.0,298118000.0,330346000.0,353100000.0,385100000.0,488000000.0,675000000.0,674000000.0,,,100429000.0,128015000.0,142014000.0,129087000.0,290548000.0,330346000.0,385100000.0,675000000.0,,119841000.0,142014000.0,229171000.0,330346000.0,488000000.0,,100429000.0,142014000.0,290548000.0,385100000.0,,119841000.0,129087000.0,353100000.0,,129087000.0,119841000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,72753000.0,50212000.0,62689000.0,61033000.0,60118000.0,63570000.0,62888000.0,68305000.0,110579000.0,132555000.0,135720000.0,164100000.0,173100000.0,200000000.0,241000000.0,288000000.0,271000000.0,,,50212000.0,61033000.0,63570000.0,68305000.0,132555000.0,164100000.0,200000000.0,288000000.0,,62689000.0,63570000.0,110579000.0,164100000.0,241000000.0,,50212000.0,63570000.0,132555000.0,200000000.0,,62689000.0,68305000.0,173100000.0,,68305000.0,62689000.0,,CommonMetricExtracted
OperatingMargin,,,,50874000.0,-171661000.0,195507000.0,184925000.0,74223000.0,58387000.0,135142000.0,156612000.0,157267000.0,406634000.0,494100000.0,219851000.0,454000000.0,699000000.0,617000000.0,-1554000000.0,498000000.0,,,-171661000.0,184925000.0,58387000.0,156612000.0,406634000.0,219851000.0,699000000.0,-1554000000.0,,195507000.0,58387000.0,157267000.0,219851000.0,617000000.0,,-171661000.0,58387000.0,406634000.0,699000000.0,,195507000.0,156612000.0,454000000.0,,156612000.0,195507000.0,,CommonMetricExtracted
Interest,,,,577000.0,62000.0,135000.0,32000.0,146000.0,85000.0,72000.0,143000.0,30611000.0,30990000.0,16942000.0,44135000.0,29100000.0,25400000.0,177000000.0,356000000.0,284000000.0,,,62000.0,32000.0,85000.0,143000.0,30990000.0,44135000.0,25400000.0,356000000.0,,135000.0,85000.0,30611000.0,44135000.0,177000000.0,,62000.0,85000.0,30990000.0,25400000.0,,135000.0,143000.0,29100000.0,,143000.0,135000.0,,CommonMetricExtracted
Taxes,,,,,,143725000.0,131563000.0,49874000.0,32194000.0,101821000.0,113210000.0,85433000.0,373131000.0,383800000.0,123751000.0,373000000.0,540000000.0,413000000.0,-2005000000.0,38000000.0,,,,131563000.0,32194000.0,113210000.0,373131000.0,123751000.0,540000000.0,-2005000000.0,,143725000.0,32194000.0,85433000.0,123751000.0,413000000.0,,,32194000.0,373131000.0,540000000.0,,143725000.0,113210000.0,373000000.0,,113210000.0,143725000.0,,CommonMetricExtracted
NetIncome,,,,30117000.0,-212659000.0,142587000.0,129731000.0,48029000.0,35776000.0,115778000.0,122297000.0,104809000.0,339132000.0,392900000.0,140400000.0,350100000.0,551400000.0,333000000.0,-1841000000.0,190000000.0,,,-212659000.0,129731000.0,35776000.0,122297000.0,339132000.0,140400000.0,551400000.0,-1841000000.0,,142587000.0,35776000.0,104809000.0,140400000.0,333000000.0,,-212659000.0,35776000.0,339132000.0,551400000.0,,142587000.0,122297000.0,350100000.0,,122297000.0,142587000.0,,CommonMetricExtracted
Cash,,,,,,,,,,,227574000.0,233910000.0,333887000.0,644345000.0,414600000.0,608300000.0,966300000.0,909000000.0,875000000.0,714000000.0,,,,,,233910000.0,644345000.0,608300000.0,909000000.0,714000000.0,,,227574000.0,644345000.0,966300000.0,714000000.0,,,233910000.0,608300000.0,714000000.0,,,414600000.0,714000000.0,,714000000.0,714000000.0,714000000.0,CommonMetricExtracted
CurrentReceivables,,,,,94215000.0,138181000.0,120894000.0,82060000.0,116744000.0,106362000.0,101883000.0,248757000.0,300308000.0,295454000.0,341100000.0,392700000.0,443000000.0,720000000.0,603000000.0,615000000.0,,,138181000.0,82060000.0,106362000.0,248757000.0,295454000.0,392700000.0,720000000.0,615000000.0,94215000.0,82060000.0,101883000.0,295454000.0,443000000.0,615000000.0,,82060000.0,248757000.0,392700000.0,615000000.0,94215000.0,106362000.0,341100000.0,615000000.0,106362000.0,615000000.0,615000000.0,615000000.0,CommonMetricExtracted
