,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,3818749000.0,3965600000.0,4244300000.0,4739100000.0,4729900000.0,5414000000.0,6161000000.0,6777200000.0,6536000000.0,,,,,,,3965600000.0,4739100000.0,5414000000.0,6777200000.0,,,,3818749000.0,4739100000.0,6161000000.0,,,,3965600000.0,5414000000.0,,,,4729900000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,1645906000.0,1364870000.0,1460906000.0,1411808000.0,1711751000.0,1791594000.0,2435591000.0,2817803000.0,2909783000.0,2993700000.0,3277700000.0,3560100000.0,3477100000.0,4065600000.0,4738000000.0,4754600000.0,4658000000.0,,,1364870000.0,1411808000.0,1791594000.0,2817803000.0,2993700000.0,3560100000.0,4065600000.0,4754600000.0,,1460906000.0,1791594000.0,2909783000.0,3560100000.0,4738000000.0,,1364870000.0,1791594000.0,2993700000.0,4065600000.0,,1460906000.0,2817803000.0,3477100000.0,,2817803000.0,1460906000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,151348000.0,139400000.0,133230000.0,124138000.0,138398000.0,150091000.0,169245000.0,218234000.0,248005000.0,262128000.0,280600000.0,302700000.0,305900000.0,351000000.0,397000000.0,443000000.0,447000000.0,,,139400000.0,124138000.0,150091000.0,218234000.0,262128000.0,302700000.0,351000000.0,443000000.0,,133230000.0,150091000.0,248005000.0,302700000.0,397000000.0,,139400000.0,150091000.0,262128000.0,351000000.0,,133230000.0,218234000.0,305900000.0,,218234000.0,133230000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,323386000.0,187577000.0,198382000.0,161022000.0,156170000.0,217988000.0,314873000.0,494167000.0,677266000.0,700400000.0,690737000.0,884900000.0,1005400000.0,973800000.0,1207000000.0,1596000000.0,2707000000.0,,,187577000.0,161022000.0,217988000.0,494167000.0,700400000.0,884900000.0,973800000.0,1596000000.0,,198382000.0,217988000.0,677266000.0,884900000.0,1207000000.0,,187577000.0,217988000.0,700400000.0,973800000.0,,198382000.0,494167000.0,1005400000.0,,494167000.0,198382000.0,,CommonMetricExtracted
Interest,,,,74299000.0,73460000.0,68456000.0,58586000.0,53339000.0,53467000.0,66057000.0,76287000.0,81677000.0,91500000.0,137100000.0,129300000.0,118100000.0,142700000.0,169000000.0,165300000.0,169000000.0,,,73460000.0,58586000.0,53467000.0,76287000.0,91500000.0,129300000.0,142700000.0,165300000.0,,68456000.0,53467000.0,81677000.0,129300000.0,169000000.0,,73460000.0,53467000.0,91500000.0,142700000.0,,68456000.0,76287000.0,118100000.0,,76287000.0,68456000.0,,CommonMetricExtracted
Taxes,,,,72088000.0,27375000.0,30918000.0,21003000.0,17431000.0,44045000.0,94847000.0,124863000.0,181584000.0,-94457000.0,105705000.0,136300000.0,168200000.0,153200000.0,235000000.0,293000000.0,600000000.0,,,27375000.0,21003000.0,44045000.0,124863000.0,-94457000.0,136300000.0,153200000.0,293000000.0,,30918000.0,44045000.0,181584000.0,136300000.0,235000000.0,,27375000.0,44045000.0,-94457000.0,153200000.0,,30918000.0,124863000.0,168200000.0,,124863000.0,30918000.0,,CommonMetricExtracted
NetIncome,,,,179750000.0,88164000.0,98664000.0,83573000.0,85527000.0,119432000.0,154294000.0,288938000.0,425444000.0,713400000.0,470400000.0,612000000.0,721100000.0,702800000.0,867000000.0,1170000000.0,1996000000.0,,,88164000.0,83573000.0,119432000.0,288938000.0,713400000.0,612000000.0,702800000.0,1170000000.0,,98664000.0,119432000.0,425444000.0,612000000.0,867000000.0,,88164000.0,119432000.0,713400000.0,702800000.0,,98664000.0,288938000.0,721100000.0,,288938000.0,98664000.0,,CommonMetricExtracted
Cash,,,20038000.0,37794000.0,263591000.0,70323000.0,26022000.0,25394000.0,42437000.0,108651000.0,168409000.0,50038000.0,1446364000.0,44900000.0,21000000.0,207300000.0,258400000.0,358000000.0,1272000000.0,670000000.0,,37794000.0,70323000.0,25394000.0,108651000.0,50038000.0,44900000.0,207300000.0,358000000.0,670000000.0,263591000.0,25394000.0,168409000.0,44900000.0,258400000.0,670000000.0,37794000.0,25394000.0,50038000.0,207300000.0,670000000.0,263591000.0,108651000.0,21000000.0,670000000.0,108651000.0,670000000.0,670000000.0,670000000.0,CommonMetricExtracted
CurrentReceivables,,,,,162815000.0,183361000.0,203748000.0,224050000.0,245421000.0,421001000.0,410921000.0,,487240000.0,523300000.0,573700000.0,575100000.0,774000000.0,785900000.0,753300000.0,678000000.0,,,183361000.0,224050000.0,421001000.0,,523300000.0,575100000.0,785900000.0,678000000.0,162815000.0,224050000.0,410921000.0,523300000.0,774000000.0,678000000.0,,224050000.0,,575100000.0,678000000.0,162815000.0,421001000.0,573700000.0,678000000.0,421001000.0,678000000.0,678000000.0,678000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,332569000.0,331894000.0,322607000.0,332311000.0,347307000.0,484919000.0,469141000.0,521624000.0,600591000.0,663035000.0,690800000.0,709000000.0,752600000.0,873700000.0,989000000.0,1115000000.0,,,331894000.0,332311000.0,484919000.0,521624000.0,663035000.0,709000000.0,873700000.0,1115000000.0,332569000.0,332311000.0,469141000.0,663035000.0,752600000.0,1115000000.0,,332311000.0,521624000.0,709000000.0,1115000000.0,332569000.0,484919000.0,690800000.0,1115000000.0,484919000.0,1115000000.0,1115000000.0,1115000000.0,CommonMetricExtracted
CurrentAssets,,,,,856860000.0,696211000.0,657850000.0,700401000.0,755366000.0,1288816000.0,1082168000.0,1086385000.0,2631160000.0,1365816000.0,1426700000.0,1668300000.0,2025600000.0,2876900000.0,3919000000.0,2542000000.0,,,696211000.0,700401000.0,1288816000.0,1086385000.0,1365816000.0,1668300000.0,2876900000.0,2542000000.0,856860000.0,700401000.0,1082168000.0,1365816000.0,2025600000.0,2542000000.0,,700401000.0,1086385000.0,1668300000.0,2542000000.0,856860000.0,1288816000.0,1426700000.0,2542000000.0,1288816000.0,2542000000.0,2542000000.0,2542000000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,1692905000.0,1687830000.0,1774291000.0,1753241000.0,1799241000.0,3402770000.0,3156000000.0,3423395000.0,3592813000.0,5157229000.0,5206000000.0,5242300000.0,6338000000.0,6316700000.0,6186000000.0,10109000000.0,,,1687830000.0,1753241000.0,3402770000.0,3423395000.0,5157229000.0,5242300000.0,6316700000.0,10109000000.0,1692905000.0,1753241000.0,3156000000.0,5157229000.0,6338000000.0,10109000000.0,,1753241000.0,3423395000.0,5242300000.0,10109000000.0,1692905000.0,3402770000.0,5206000000.0,10109000000.0,3402770000.0,10109000000.0,10109000000.0,10109000000.0,CommonMetricExtracted
Goodwill,,,,,624224000.0,626527000.0,616671000.0,616204000.0,616621000.0,2068799000.0,2068235000.0,2159337000.0,2160300000.0,2399118000.0,2396800000.0,2414000000.0,3494400000.0,3649500000.0,3389500000.0,3767000000.0,,,626527000.0,616204000.0,2068799000.0,2159337000.0,2399118000.0,2414000000.0,3649500000.0,3767000000.0,624224000.0,616204000.0,2068235000.0,2399118000.0,3494400000.0,3767000000.0,,616204000.0,2159337000.0,2414000000.0,3767000000.0,624224000.0,2068799000.0,2396800000.0,3767000000.0,2068799000.0,3767000000.0,3767000000.0,3767000000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,65827000.0,69110000.0,506349000.0,501300000.0,486800000.0,508000000.0,1065000000.0,847800000.0,698000000.0,730000000.0,,,,,,69110000.0,501300000.0,508000000.0,847800000.0,730000000.0,,,65827000.0,501300000.0,1065000000.0,730000000.0,,,69110000.0,508000000.0,730000000.0,,,486800000.0,730000000.0,,730000000.0,730000000.0,730000000.0,CommonMetricExtracted
