,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,3049393000.0,3369045000.0,3807183000.0,4200819000.0,4598638000.0,5541352000.0,6311050000.0,7140027000.0,7492709000.0,,,,,,,3369045000.0,4200819000.0,5541352000.0,7140027000.0,,,,3049393000.0,4200819000.0,6311050000.0,,,,3369045000.0,5541352000.0,,,,4598638000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,1231355000.0,1511808000.0,1682234000.0,1874758000.0,2432839000.0,3136483000.0,3345821000.0,3443831000.0,,,,,,,1231355000.0,1682234000.0,2432839000.0,3345821000.0,,,,,1682234000.0,3136483000.0,,,,1231355000.0,2432839000.0,,,,1874758000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,745788000.0,891548000.0,1079685000.0,1201623000.0,1293272000.0,1415962000.0,1626157000.0,1801419000.0,1571964000.0,2068482000.0,1989459000.0,,,,,,891548000.0,1201623000.0,1415962000.0,1801419000.0,2068482000.0,,,,1079685000.0,1415962000.0,1571964000.0,,,,1201623000.0,1801419000.0,,,891548000.0,1626157000.0,,891548000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,65445000.0,126979000.0,137273000.0,171051000.0,209134000.0,225233000.0,262603000.0,344815000.0,367000000.0,380945000.0,300268000.0,308127000.0,216563000.0,423944000.0,380340000.0,437494000.0,480411000.0,,,126979000.0,171051000.0,225233000.0,344815000.0,380945000.0,308127000.0,423944000.0,437494000.0,,137273000.0,225233000.0,367000000.0,308127000.0,380340000.0,,126979000.0,225233000.0,380945000.0,423944000.0,,137273000.0,344815000.0,216563000.0,,344815000.0,137273000.0,,CommonMetricExtracted
NetIncome,,,,,208716000.0,212029000.0,286219000.0,340020000.0,338661000.0,483185000.0,546733000.0,712685000.0,820678000.0,993004000.0,1107835000.0,1409594000.0,1377475000.0,1191624000.0,1630988000.0,1509048000.0,,,208716000.0,286219000.0,338661000.0,546733000.0,820678000.0,1107835000.0,1377475000.0,1630988000.0,,212029000.0,338661000.0,712685000.0,1107835000.0,1191624000.0,,208716000.0,338661000.0,820678000.0,1377475000.0,,212029000.0,546733000.0,1409594000.0,,546733000.0,212029000.0,,CommonMetricExtracted
Cash,,,12440000.0,256801000.0,328349000.0,354842000.0,359331000.0,222514000.0,211349000.0,370323000.0,2175417000.0,377582000.0,528622000.0,637513000.0,797957000.0,1180413000.0,1326462000.0,1307141000.0,2297675000.0,1533287000.0,,256801000.0,354842000.0,222514000.0,370323000.0,377582000.0,637513000.0,1180413000.0,1307141000.0,1533287000.0,328349000.0,222514000.0,2175417000.0,637513000.0,1326462000.0,1533287000.0,256801000.0,222514000.0,377582000.0,1180413000.0,1533287000.0,328349000.0,370323000.0,797957000.0,1533287000.0,370323000.0,1533287000.0,1533287000.0,1533287000.0,CommonMetricExtracted
CurrentReceivables,,,,,104206000.0,166041000.0,218072000.0,236044000.0,291638000.0,280755000.0,352955000.0,448051000.0,449476000.0,484562000.0,540330000.0,666012000.0,896658000.0,1016203000.0,1193964000.0,1221646000.0,,,166041000.0,236044000.0,280755000.0,448051000.0,484562000.0,666012000.0,1016203000.0,1221646000.0,104206000.0,236044000.0,352955000.0,484562000.0,896658000.0,1221646000.0,,236044000.0,448051000.0,666012000.0,1221646000.0,104206000.0,280755000.0,540330000.0,1221646000.0,280755000.0,1221646000.0,1221646000.0,1221646000.0,CommonMetricExtracted
