,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,1503000000.0,2103100000.0,2212700000.0,1975500000.0,1808400000.0,2050100000.0,2297900000.0,2407800000.0,,,,,,,1503000000.0,2212700000.0,1808400000.0,2297900000.0,,,,,2212700000.0,2050100000.0,,,,1503000000.0,1808400000.0,,,,1975500000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,990408000.0,1215979000.0,1320600000.0,1167400000.0,1239400000.0,1249900000.0,1129000000.0,1249700000.0,1746600000.0,1847200000.0,1668000000.0,1515000000.0,1740800000.0,1908500000.0,1882200000.0,,,,1215979000.0,1167400000.0,1249900000.0,1249700000.0,1847200000.0,1515000000.0,1908500000.0,,990408000.0,1167400000.0,1129000000.0,1847200000.0,1740800000.0,,,1167400000.0,1249700000.0,1515000000.0,,990408000.0,1249900000.0,1668000000.0,,1249900000.0,990408000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,168038000.0,189335000.0,189046000.0,166300000.0,181700000.0,184500000.0,204500000.0,205000000.0,245800000.0,244100000.0,249600000.0,210900000.0,215100000.0,234000000.0,273900000.0,,,,189335000.0,166300000.0,184500000.0,205000000.0,244100000.0,210900000.0,234000000.0,,168038000.0,166300000.0,204500000.0,244100000.0,215100000.0,,,166300000.0,205000000.0,210900000.0,,168038000.0,184500000.0,249600000.0,,184500000.0,168038000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,4130000.0,42921000.0,67524000.0,-600000.0,37200000.0,52700000.0,37100000.0,42300000.0,92200000.0,109700000.0,37900000.0,-97700000.0,119200000.0,150400000.0,240700000.0,,,,42921000.0,-600000.0,52700000.0,42300000.0,109700000.0,-97700000.0,150400000.0,,4130000.0,-600000.0,37100000.0,109700000.0,119200000.0,,,-600000.0,42300000.0,-97700000.0,,4130000.0,52700000.0,37900000.0,,52700000.0,4130000.0,,CommonMetricExtracted
Interest,,,,,,22888000.0,33723000.0,12500000.0,12600000.0,12400000.0,11700000.0,11100000.0,17200000.0,25600000.0,24800000.0,22700000.0,19400000.0,15600000.0,20700000.0,24100000.0,,,,33723000.0,12600000.0,11700000.0,17200000.0,24800000.0,19400000.0,20700000.0,,22888000.0,12600000.0,11100000.0,24800000.0,15600000.0,,,12600000.0,17200000.0,19400000.0,,22888000.0,11700000.0,22700000.0,,11700000.0,22888000.0,,CommonMetricExtracted
Taxes,,,,,,9673000.0,4543000.0,9931000.0,9800000.0,-107900000.0,19000000.0,-8900000.0,5900000.0,39500000.0,-5100000.0,12400000.0,90200000.0,15200000.0,-28300000.0,51200000.0,,,,4543000.0,9800000.0,19000000.0,5900000.0,-5100000.0,90200000.0,-28300000.0,,9673000.0,9800000.0,-8900000.0,-5100000.0,15200000.0,,,9800000.0,5900000.0,90200000.0,,9673000.0,19000000.0,12400000.0,,19000000.0,9673000.0,,CommonMetricExtracted
NetIncome,,,,,,-31826000.0,5233000.0,38804000.0,-22800000.0,131900000.0,22800000.0,-1000000.0,14900000.0,23800000.0,85900000.0,-2000000.0,-209500000.0,86300000.0,153600000.0,163400000.0,,,,5233000.0,-22800000.0,22800000.0,14900000.0,85900000.0,-209500000.0,153600000.0,,-31826000.0,-22800000.0,-1000000.0,85900000.0,86300000.0,,,-22800000.0,14900000.0,-209500000.0,,-31826000.0,22800000.0,-2000000.0,,22800000.0,-31826000.0,,CommonMetricExtracted
Cash,,,,,43536000.0,43700000.0,32930000.0,31445000.0,23800000.0,87200000.0,70500000.0,68900000.0,34200000.0,39300000.0,41700000.0,70900000.0,37800000.0,45200000.0,67100000.0,60100000.0,,,43700000.0,31445000.0,87200000.0,68900000.0,39300000.0,70900000.0,45200000.0,60100000.0,43536000.0,31445000.0,70500000.0,39300000.0,37800000.0,60100000.0,,31445000.0,68900000.0,70900000.0,60100000.0,43536000.0,87200000.0,41700000.0,60100000.0,87200000.0,60100000.0,60100000.0,60100000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,219189000.0,216103000.0,194500000.0,221100000.0,192900000.0,189100000.0,295200000.0,342400000.0,338600000.0,292500000.0,267900000.0,367500000.0,398000000.0,422900000.0,,,,216103000.0,221100000.0,189100000.0,342400000.0,292500000.0,367500000.0,422900000.0,,216103000.0,192900000.0,342400000.0,267900000.0,422900000.0,,216103000.0,189100000.0,292500000.0,422900000.0,,221100000.0,338600000.0,422900000.0,221100000.0,422900000.0,422900000.0,422900000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,122629000.0,120819000.0,118800000.0,116800000.0,107700000.0,111000000.0,168500000.0,191300000.0,200700000.0,207400000.0,195600000.0,281200000.0,324900000.0,357900000.0,,,,120819000.0,116800000.0,111000000.0,191300000.0,207400000.0,281200000.0,357900000.0,,120819000.0,107700000.0,191300000.0,195600000.0,357900000.0,,120819000.0,111000000.0,207400000.0,357900000.0,,116800000.0,200700000.0,357900000.0,116800000.0,357900000.0,357900000.0,357900000.0,CommonMetricExtracted
CurrentAssets,,,,,,,428428000.0,427531000.0,399000000.0,498800000.0,464200000.0,412500000.0,553300000.0,643100000.0,646800000.0,633300000.0,644800000.0,757600000.0,846400000.0,894000000.0,,,,427531000.0,498800000.0,412500000.0,643100000.0,633300000.0,757600000.0,894000000.0,,427531000.0,464200000.0,643100000.0,644800000.0,894000000.0,,427531000.0,412500000.0,633300000.0,894000000.0,,498800000.0,646800000.0,894000000.0,498800000.0,894000000.0,894000000.0,894000000.0,CommonMetricExtracted
