,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,2411937000.0,2497524000.0,2709468000.0,2904663000.0,2884554000.0,2851993000.0,3035783000.0,3319122000.0,3609160000.0,,,,,,,2497524000.0,2904663000.0,2851993000.0,3319122000.0,,,,2411937000.0,2904663000.0,3035783000.0,,,,2497524000.0,2851993000.0,,,,2884554000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,1311618000.0,1501641000.0,1651203000.0,1724232000.0,1826561000.0,1850809000.0,1788828000.0,1700354000.0,1766002000.0,1924283000.0,2088831000.0,2118150000.0,2076270000.0,2211384000.0,2423245000.0,2605214000.0,,,1311618000.0,1651203000.0,1826561000.0,1788828000.0,1766002000.0,2088831000.0,2076270000.0,2423245000.0,,1501641000.0,1826561000.0,1700354000.0,2088831000.0,2211384000.0,,1311618000.0,1826561000.0,1766002000.0,2076270000.0,,1501641000.0,1788828000.0,2118150000.0,,1788828000.0,1501641000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,281173000.0,313408000.0,353964000.0,385051000.0,396636000.0,403487000.0,371498000.0,339961000.0,356141000.0,393759000.0,404653000.0,397947000.0,412028000.0,448531000.0,469836000.0,494887000.0,,,281173000.0,353964000.0,396636000.0,371498000.0,356141000.0,404653000.0,412028000.0,469836000.0,,313408000.0,396636000.0,339961000.0,404653000.0,448531000.0,,281173000.0,396636000.0,356141000.0,412028000.0,,313408000.0,371498000.0,397947000.0,,371498000.0,313408000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,100022000.0,102600000.0,106385000.0,116403000.0,134652000.0,139462000.0,132271000.0,147336000.0,144646000.0,130186000.0,126453000.0,110865000.0,125528000.0,109527000.0,106551000.0,112773000.0,,,100022000.0,106385000.0,134652000.0,132271000.0,144646000.0,126453000.0,125528000.0,106551000.0,,102600000.0,134652000.0,147336000.0,126453000.0,109527000.0,,100022000.0,134652000.0,144646000.0,125528000.0,,102600000.0,132271000.0,110865000.0,,132271000.0,102600000.0,,CommonMetricExtracted
OperatingMargin,,,,,110561000.0,149436000.0,183785000.0,208841000.0,165006000.0,218923000.0,183834000.0,172860000.0,181711000.0,183837000.0,233758000.0,5417000.0,203774000.0,202979000.0,216052000.0,267813000.0,,,110561000.0,183785000.0,165006000.0,183834000.0,181711000.0,233758000.0,203774000.0,216052000.0,,149436000.0,165006000.0,172860000.0,233758000.0,202979000.0,,110561000.0,165006000.0,181711000.0,203774000.0,,149436000.0,183834000.0,5417000.0,,183834000.0,149436000.0,,CommonMetricExtracted
Interest,,,,,39321000.0,38742000.0,35666000.0,34312000.0,26962000.0,12513000.0,28967000.0,34605000.0,34551000.0,36238000.0,39269000.0,38897000.0,33892000.0,36757000.0,63578000.0,62112000.0,,,39321000.0,35666000.0,26962000.0,28967000.0,34551000.0,39269000.0,33892000.0,63578000.0,,38742000.0,26962000.0,34605000.0,39269000.0,36757000.0,,39321000.0,26962000.0,34551000.0,33892000.0,,38742000.0,28967000.0,38897000.0,,28967000.0,38742000.0,,CommonMetricExtracted
Taxes,,,,,25516000.0,41342000.0,47764000.0,56379000.0,44509000.0,60725000.0,51951000.0,49227000.0,41301000.0,87209000.0,54010000.0,-3788000.0,46554000.0,47802000.0,45054000.0,60593000.0,,,25516000.0,47764000.0,44509000.0,51951000.0,41301000.0,54010000.0,46554000.0,45054000.0,,41342000.0,44509000.0,49227000.0,54010000.0,47802000.0,,25516000.0,44509000.0,41301000.0,46554000.0,,41342000.0,51951000.0,-3788000.0,,51951000.0,41342000.0,,CommonMetricExtracted
NetIncome,,,,,85045000.0,108094000.0,136021000.0,152462000.0,120497000.0,158198000.0,131883000.0,126745000.0,141280000.0,96507000.0,179748000.0,9205000.0,157220000.0,155177000.0,170998000.0,207220000.0,,,85045000.0,136021000.0,120497000.0,131883000.0,141280000.0,179748000.0,157220000.0,170998000.0,,108094000.0,120497000.0,126745000.0,179748000.0,155177000.0,,85045000.0,120497000.0,141280000.0,157220000.0,,108094000.0,131883000.0,9205000.0,,131883000.0,108094000.0,,CommonMetricExtracted
Cash,,,,86814000.0,81493000.0,112421000.0,113679000.0,148841000.0,157090000.0,231292000.0,309853000.0,325128000.0,368073000.0,125584000.0,89702000.0,84583000.0,99599000.0,103895000.0,68959000.0,61694000.0,,86814000.0,112421000.0,148841000.0,231292000.0,325128000.0,125584000.0,84583000.0,103895000.0,61694000.0,81493000.0,148841000.0,309853000.0,125584000.0,99599000.0,61694000.0,86814000.0,148841000.0,325128000.0,84583000.0,61694000.0,81493000.0,231292000.0,89702000.0,61694000.0,231292000.0,61694000.0,61694000.0,61694000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,990262000.0,1141324000.0,1128985000.0,,,,,,,,,990262000.0,1128985000.0,,,,,,1128985000.0,,,,,1128985000.0,,,,1128985000.0,,1128985000.0,1128985000.0,1128985000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,23773000.0,26076000.0,29474000.0,36183000.0,42452000.0,34653000.0,34688000.0,41499000.0,44404000.0,47096000.0,49837000.0,58842000.0,60349000.0,50862000.0,86245000.0,,,23773000.0,29474000.0,42452000.0,34688000.0,44404000.0,49837000.0,60349000.0,86245000.0,,29474000.0,34653000.0,44404000.0,58842000.0,86245000.0,,29474000.0,34688000.0,49837000.0,86245000.0,,42452000.0,47096000.0,86245000.0,42452000.0,86245000.0,86245000.0,86245000.0,CommonMetricExtracted
Inventory,,,,,,460857000.0,502373000.0,538262000.0,551674000.0,517056000.0,493360000.0,479040000.0,489127000.0,512522000.0,534974000.0,623043000.0,613095000.0,588466000.0,724002000.0,863702000.0,,,460857000.0,538262000.0,517056000.0,479040000.0,512522000.0,623043000.0,588466000.0,863702000.0,,538262000.0,493360000.0,512522000.0,613095000.0,863702000.0,,538262000.0,479040000.0,623043000.0,863702000.0,,517056000.0,534974000.0,863702000.0,517056000.0,863702000.0,863702000.0,863702000.0,CommonMetricExtracted
CurrentAssets,,,,,,1292279000.0,1380446000.0,1548908000.0,1647375000.0,1664064000.0,1627495000.0,1620147000.0,1626439000.0,1478543000.0,1628973000.0,1613487000.0,1718780000.0,1758310000.0,1985332000.0,2140749000.0,,,1292279000.0,1548908000.0,1664064000.0,1620147000.0,1478543000.0,1613487000.0,1758310000.0,2140749000.0,,1548908000.0,1627495000.0,1478543000.0,1718780000.0,2140749000.0,,1548908000.0,1620147000.0,1613487000.0,2140749000.0,,1664064000.0,1628973000.0,2140749000.0,1664064000.0,2140749000.0,2140749000.0,2140749000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,481726000.0,486944000.0,503872000.0,546179000.0,562363000.0,555348000.0,536756000.0,522369000.0,522991000.0,552865000.0,586767000.0,600498000.0,645778000.0,688908000.0,814696000.0,929357000.0,,,486944000.0,546179000.0,555348000.0,522369000.0,552865000.0,600498000.0,688908000.0,929357000.0,481726000.0,546179000.0,536756000.0,552865000.0,645778000.0,929357000.0,,546179000.0,522369000.0,600498000.0,929357000.0,481726000.0,555348000.0,586767000.0,929357000.0,555348000.0,929357000.0,929357000.0,929357000.0,CommonMetricExtracted
Goodwill,,,,560735000.0,698459000.0,704816000.0,735021000.0,762854000.0,766924000.0,757852000.0,737212000.0,740162000.0,774268000.0,797217000.0,784240000.0,821856000.0,851605000.0,805320000.0,821301000.0,833764000.0,,560735000.0,704816000.0,762854000.0,757852000.0,740162000.0,797217000.0,821856000.0,805320000.0,833764000.0,698459000.0,762854000.0,737212000.0,797217000.0,851605000.0,833764000.0,560735000.0,762854000.0,740162000.0,821856000.0,833764000.0,698459000.0,757852000.0,784240000.0,833764000.0,757852000.0,833764000.0,833764000.0,833764000.0,CommonMetricExtracted
IntangibleAssets,,,,,,205874000.0,197545000.0,212195000.0,208756000.0,178070000.0,143723000.0,113560000.0,108818000.0,95537000.0,79646000.0,85046000.0,106095000.0,85410000.0,71637000.0,63479000.0,,,205874000.0,212195000.0,178070000.0,113560000.0,95537000.0,85046000.0,85410000.0,63479000.0,,212195000.0,143723000.0,95537000.0,106095000.0,63479000.0,,212195000.0,113560000.0,85046000.0,63479000.0,,178070000.0,79646000.0,63479000.0,178070000.0,63479000.0,63479000.0,63479000.0,CommonMetricExtracted
TotalAssets,,,,,2634317000.0,2712134000.0,2842967000.0,3105907000.0,3237095000.0,3208452000.0,3086471000.0,3041859000.0,3090592000.0,2964048000.0,3114237000.0,3225831000.0,3433169000.0,3431841000.0,3808036000.0,4093626000.0,,,2712134000.0,3105907000.0,3208452000.0,3041859000.0,2964048000.0,3225831000.0,3431841000.0,4093626000.0,2634317000.0,3105907000.0,3086471000.0,2964048000.0,3433169000.0,4093626000.0,,3105907000.0,3041859000.0,3225831000.0,4093626000.0,2634317000.0,3208452000.0,3114237000.0,4093626000.0,3208452000.0,4093626000.0,4093626000.0,4093626000.0,CommonMetricExtracted
