,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,25744000000.0,25576000000.0,25364000000.0,25110000000.0,26153000000.0,26013000000.0,25096000000.0,24483000000.0,24018000000.0,,,,,,,25576000000.0,25110000000.0,26013000000.0,24483000000.0,,,,25744000000.0,25110000000.0,25096000000.0,,,,25576000000.0,26013000000.0,,,,26153000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,7765000000.0,7531000000.0,7373000000.0,7085000000.0,7818000000.0,7119000000.0,6442000000.0,6218000000.0,6077000000.0,,,,,,,7531000000.0,7085000000.0,7119000000.0,6218000000.0,,,,7765000000.0,7085000000.0,6442000000.0,,,,7531000000.0,7119000000.0,,,,7818000000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,2643000000.0,2301000000.0,2340000000.0,2539000000.0,2708000000.0,2662000000.0,2362000000.0,2756000000.0,2226000000.0,2154000000.0,2432000000.0,2327000000.0,2737000000.0,2737000000.0,,,,2643000000.0,2340000000.0,2708000000.0,2362000000.0,2226000000.0,2432000000.0,2737000000.0,,,2340000000.0,2662000000.0,2226000000.0,2327000000.0,,,2340000000.0,2362000000.0,2432000000.0,,,2708000000.0,2154000000.0,,2708000000.0,,,CommonMetricExtracted
OperatingMargin,,,,,4877000000.0,5723000000.0,5582000000.0,6477000000.0,6942000000.0,7774000000.0,8078000000.0,21852000000.0,9828000000.0,9341000000.0,766000000.0,6890000000.0,3824000000.0,7389000000.0,10928000000.0,13658000000.0,,,4877000000.0,5582000000.0,6942000000.0,8078000000.0,9828000000.0,766000000.0,3824000000.0,10928000000.0,,5723000000.0,6942000000.0,21852000000.0,766000000.0,7389000000.0,,4877000000.0,6942000000.0,9828000000.0,3824000000.0,,5723000000.0,8078000000.0,6890000000.0,,8078000000.0,5723000000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,1669000000.0,1816000000.0,2189000000.0,2294000000.0,2407000000.0,2704000000.0,2835000000.0,7608000000.0,-399000000.0,2374000000.0,2064000000.0,2436000000.0,1349000000.0,1625000000.0,2798000000.0,2394000000.0,,,1669000000.0,2189000000.0,2407000000.0,2835000000.0,-399000000.0,2064000000.0,1349000000.0,2798000000.0,,1816000000.0,2407000000.0,7608000000.0,2064000000.0,1625000000.0,,1669000000.0,2407000000.0,-399000000.0,1349000000.0,,1816000000.0,2835000000.0,2436000000.0,,2835000000.0,1816000000.0,,CommonMetricExtracted
NetIncome,,,,,3206000000.0,3905000000.0,3390000000.0,4180000000.0,4535000000.0,5070000000.0,5241000000.0,14239000000.0,10222000000.0,6963000000.0,-1293000000.0,4467000000.0,2475000000.0,5764000000.0,8130000000.0,11264000000.0,,,3206000000.0,3390000000.0,4535000000.0,5241000000.0,10222000000.0,-1293000000.0,2475000000.0,8130000000.0,,3905000000.0,4535000000.0,14239000000.0,-1293000000.0,5764000000.0,,3206000000.0,4535000000.0,10222000000.0,2475000000.0,,3905000000.0,5241000000.0,4467000000.0,,5241000000.0,3905000000.0,,CommonMetricExtracted
Cash,,,4842000000.0,7916000000.0,1871000000.0,2314000000.0,3270000000.0,2900000000.0,3175000000.0,3321000000.0,2369000000.0,4569000000.0,1253000000.0,1333000000.0,2117000000.0,4945000000.0,4544000000.0,4030000000.0,3686000000.0,3127000000.0,,7916000000.0,2314000000.0,2900000000.0,3321000000.0,4569000000.0,1333000000.0,4945000000.0,4030000000.0,3127000000.0,1871000000.0,2900000000.0,2369000000.0,1333000000.0,4544000000.0,3127000000.0,7916000000.0,2900000000.0,4569000000.0,4945000000.0,3127000000.0,1871000000.0,3321000000.0,2117000000.0,3127000000.0,3321000000.0,3127000000.0,3127000000.0,3127000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,269000000.0,461000000.0,167000000.0,116000000.0,,47000000.0,151000000.0,567000000.0,270000000.0,,,,,,269000000.0,167000000.0,,151000000.0,270000000.0,,,,167000000.0,47000000.0,270000000.0,,,269000000.0,,270000000.0,,,116000000.0,270000000.0,,270000000.0,270000000.0,270000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,1810000000.0,1803000000.0,1779000000.0,1746000000.0,1879000000.0,2040000000.0,2031000000.0,2051000000.0,2225000000.0,2331000000.0,2293000000.0,1966000000.0,1194000000.0,1180000000.0,1215000000.0,1080000000.0,,,1803000000.0,1746000000.0,2040000000.0,2051000000.0,2331000000.0,1966000000.0,1180000000.0,1080000000.0,1810000000.0,1746000000.0,2031000000.0,2331000000.0,1194000000.0,1080000000.0,,1746000000.0,2051000000.0,1966000000.0,1080000000.0,1810000000.0,2040000000.0,2293000000.0,1080000000.0,2040000000.0,1080000000.0,1080000000.0,1080000000.0,CommonMetricExtracted
CurrentAssets,,,,,5773000000.0,5981000000.0,7131000000.0,6315000000.0,6590000000.0,6878000000.0,6086000000.0,7260000000.0,4344000000.0,4299000000.0,4824000000.0,7117000000.0,6083000000.0,7220000000.0,5585000000.0,4513000000.0,,,5981000000.0,6315000000.0,6878000000.0,7260000000.0,4299000000.0,7117000000.0,7220000000.0,4513000000.0,5773000000.0,6315000000.0,6086000000.0,4299000000.0,6083000000.0,4513000000.0,,6315000000.0,7260000000.0,7117000000.0,4513000000.0,5773000000.0,6878000000.0,4824000000.0,4513000000.0,6878000000.0,4513000000.0,4513000000.0,4513000000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,2684000000.0,2380000000.0,2216000000.0,2102000000.0,2028000000.0,1983000000.0,1982000000.0,1958000000.0,1914000000.0,1938000000.0,1999000000.0,2012000000.0,1553000000.0,1608000000.0,1652000000.0,1617000000.0,,,2380000000.0,2102000000.0,1983000000.0,1958000000.0,1938000000.0,2012000000.0,1608000000.0,1617000000.0,2684000000.0,2102000000.0,1982000000.0,1938000000.0,1553000000.0,1617000000.0,,2102000000.0,1958000000.0,2012000000.0,1617000000.0,2684000000.0,1983000000.0,1999000000.0,1617000000.0,1983000000.0,1617000000.0,1617000000.0,1617000000.0,CommonMetricExtracted
Goodwill,,,,77000000.0,5174000000.0,5174000000.0,5174000000.0,5174000000.0,5174000000.0,5285000000.0,5285000000.0,5285000000.0,5307000000.0,5196000000.0,5177000000.0,5177000000.0,5177000000.0,5177000000.0,6791000000.0,6945000000.0,,77000000.0,5174000000.0,5174000000.0,5285000000.0,5285000000.0,5196000000.0,5177000000.0,5177000000.0,6945000000.0,5174000000.0,5174000000.0,5285000000.0,5196000000.0,5177000000.0,6945000000.0,77000000.0,5174000000.0,5285000000.0,5177000000.0,6945000000.0,5174000000.0,5285000000.0,5177000000.0,6945000000.0,5285000000.0,6945000000.0,6945000000.0,6945000000.0,CommonMetricExtracted
IntangibleAssets,,,,,12138000000.0,12118000000.0,12098000000.0,12078000000.0,12058000000.0,12049000000.0,12028000000.0,12036000000.0,12400000000.0,12279000000.0,12687000000.0,12615000000.0,12306000000.0,12384000000.0,13686000000.0,12973000000.0,,,12118000000.0,12078000000.0,12049000000.0,12036000000.0,12279000000.0,12615000000.0,12384000000.0,12973000000.0,12138000000.0,12078000000.0,12028000000.0,12279000000.0,12306000000.0,12973000000.0,,12078000000.0,12036000000.0,12615000000.0,12973000000.0,12138000000.0,12049000000.0,12687000000.0,12973000000.0,12049000000.0,12973000000.0,12973000000.0,12973000000.0,CommonMetricExtracted
TotalAssets,,,,,36677000000.0,37402000000.0,36962000000.0,35329000000.0,34859000000.0,34475000000.0,32535000000.0,45932000000.0,43202000000.0,55638000000.0,49271000000.0,47414000000.0,39523000000.0,36954000000.0,38570000000.0,35177000000.0,,,37402000000.0,35329000000.0,34475000000.0,45932000000.0,55638000000.0,47414000000.0,36954000000.0,35177000000.0,36677000000.0,35329000000.0,32535000000.0,55638000000.0,39523000000.0,35177000000.0,,35329000000.0,45932000000.0,47414000000.0,35177000000.0,36677000000.0,34475000000.0,49271000000.0,35177000000.0,34475000000.0,35177000000.0,35177000000.0,35177000000.0,CommonMetricExtracted
ShorttermDebt,,,,,775000000.0,,600000000.0,1459000000.0,525000000.0,1000000000.0,4000000.0,0.0,864000000.0,1144000000.0,1000000000.0,1500000000.0,1105000000.0,1556000000.0,1121000000.0,1527000000.0,,,,1459000000.0,1000000000.0,0.0,1144000000.0,1500000000.0,1556000000.0,1527000000.0,775000000.0,1459000000.0,4000000.0,1144000000.0,1105000000.0,1527000000.0,,1459000000.0,0.0,1500000000.0,1527000000.0,775000000.0,1000000000.0,1000000000.0,1527000000.0,1000000000.0,1527000000.0,1527000000.0,1527000000.0,CommonMetricExtracted
