,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,388665000.0,470929000.0,582382000.0,627921000.0,844452000.0,1207798000.0,1794148000.0,1821072000.0,2207100000.0,,,,,,,470929000.0,627921000.0,1207798000.0,1821072000.0,,,,388665000.0,627921000.0,1794148000.0,,,,470929000.0,1207798000.0,,,,844452000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,67330000.0,97383000.0,94925000.0,100665000.0,110190000.0,129917000.0,152898000.0,177792000.0,212646000.0,259714000.0,281596000.0,378498000.0,522339000.0,745596000.0,799953000.0,986230000.0,,,67330000.0,94925000.0,110190000.0,152898000.0,212646000.0,281596000.0,522339000.0,799953000.0,,97383000.0,110190000.0,177792000.0,281596000.0,745596000.0,,67330000.0,110190000.0,212646000.0,522339000.0,,97383000.0,152898000.0,378498000.0,,152898000.0,97383000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,36752000.0,41169000.0,40280000.0,50018000.0,54624000.0,66755000.0,72312000.0,83012000.0,97257000.0,113803000.0,133542000.0,161670000.0,232415000.0,281596000.0,275740000.0,356764000.0,,,36752000.0,40280000.0,54624000.0,72312000.0,97257000.0,133542000.0,232415000.0,275740000.0,,41169000.0,54624000.0,83012000.0,133542000.0,281596000.0,,36752000.0,54624000.0,97257000.0,232415000.0,,41169000.0,72312000.0,161670000.0,,72312000.0,41169000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,44372000.0,44518000.0,48796000.0,49733000.0,58590000.0,65787000.0,73643000.0,82359000.0,93455000.0,107757000.0,137598000.0,190627000.0,240171000.0,263643000.0,324748000.0,,,,44518000.0,49733000.0,65787000.0,82359000.0,107757000.0,190627000.0,263643000.0,,44372000.0,49733000.0,73643000.0,107757000.0,240171000.0,,,49733000.0,82359000.0,190627000.0,,44372000.0,65787000.0,137598000.0,,65787000.0,44372000.0,,CommonMetricExtracted
OperatingMargin,,,,,,,13726000.0,17890000.0,24007000.0,36392000.0,42491000.0,57264000.0,82944000.0,118482000.0,113120000.0,169342000.0,272219000.0,524937000.0,505841000.0,572912000.0,,,,13726000.0,24007000.0,42491000.0,82944000.0,113120000.0,272219000.0,505841000.0,,,24007000.0,57264000.0,113120000.0,524937000.0,,,24007000.0,82944000.0,272219000.0,,,42491000.0,169342000.0,,42491000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,474000.0,1857000.0,425000.0,2134000.0,1109000.0,897000.0,7319000.0,4544000.0,17741000.0,13214000.0,4281000.0,4967000.0,30196000.0,87265000.0,78467000.0,-1213788000.0,,,474000.0,425000.0,1109000.0,7319000.0,17741000.0,4281000.0,30196000.0,78467000.0,,1857000.0,1109000.0,4544000.0,4281000.0,87265000.0,,474000.0,1109000.0,17741000.0,30196000.0,,1857000.0,7319000.0,4967000.0,,7319000.0,1857000.0,,CommonMetricExtracted
NetIncome,,,,,,29563000.0,13301000.0,15756000.0,22898000.0,35495000.0,35172000.0,52720000.0,65203000.0,105268000.0,108839000.0,164375000.0,242023000.0,437672000.0,427374000.0,1786700000.0,,,,13301000.0,22898000.0,35172000.0,65203000.0,108839000.0,242023000.0,427374000.0,,29563000.0,22898000.0,52720000.0,108839000.0,437672000.0,,,22898000.0,65203000.0,242023000.0,,29563000.0,35172000.0,164375000.0,,35172000.0,29563000.0,,CommonMetricExtracted
Cash,,,,83266000.0,46717000.0,48010000.0,96371000.0,75104000.0,101213000.0,126266000.0,90860000.0,112703000.0,82759000.0,172704000.0,172960000.0,334944000.0,189265000.0,288607000.0,527843000.0,691816000.0,,83266000.0,48010000.0,75104000.0,126266000.0,112703000.0,172704000.0,334944000.0,288607000.0,691816000.0,46717000.0,75104000.0,90860000.0,172704000.0,189265000.0,691816000.0,83266000.0,75104000.0,112703000.0,334944000.0,691816000.0,46717000.0,126266000.0,172960000.0,691816000.0,126266000.0,691816000.0,691816000.0,691816000.0,CommonMetricExtracted
CurrentReceivables,,,,,,18347000.0,15097000.0,19383000.0,23730000.0,25630000.0,30830000.0,34248000.0,38037000.0,55214000.0,52704000.0,66843000.0,104813000.0,182714000.0,179858000.0,172518000.0,,,18347000.0,19383000.0,25630000.0,34248000.0,55214000.0,66843000.0,182714000.0,172518000.0,,19383000.0,30830000.0,55214000.0,104813000.0,172518000.0,,19383000.0,34248000.0,66843000.0,172518000.0,,25630000.0,52704000.0,172518000.0,25630000.0,172518000.0,172518000.0,172518000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,25789000.0,20104000.0,32115000.0,39737000.0,40918000.0,63209000.0,71469000.0,99281000.0,136384000.0,127500000.0,157062000.0,259417000.0,447290000.0,383702000.0,419611000.0,,,25789000.0,32115000.0,40918000.0,71469000.0,136384000.0,157062000.0,447290000.0,419611000.0,,32115000.0,63209000.0,136384000.0,259417000.0,419611000.0,,32115000.0,71469000.0,157062000.0,419611000.0,,40918000.0,127500000.0,419611000.0,40918000.0,419611000.0,419611000.0,419611000.0,CommonMetricExtracted
CurrentAssets,,,,,,224373000.0,211505000.0,214301000.0,292086000.0,308146000.0,331928000.0,382984000.0,449170000.0,580810000.0,655206000.0,841998000.0,1124852000.0,1410619000.0,1819499000.0,1565053000.0,,,224373000.0,214301000.0,308146000.0,382984000.0,580810000.0,841998000.0,1410619000.0,1565053000.0,,214301000.0,331928000.0,580810000.0,1124852000.0,1565053000.0,,214301000.0,382984000.0,841998000.0,1565053000.0,,308146000.0,655206000.0,1565053000.0,308146000.0,1565053000.0,1565053000.0,1565053000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,37262000.0,47794000.0,59412000.0,64837000.0,62942000.0,65359000.0,85171000.0,144636000.0,150001000.0,228315000.0,281528000.0,362962000.0,357157000.0,368952000.0,494945000.0,,,37262000.0,59412000.0,62942000.0,85171000.0,150001000.0,281528000.0,357157000.0,494945000.0,,59412000.0,65359000.0,150001000.0,362962000.0,494945000.0,,59412000.0,85171000.0,281528000.0,494945000.0,,62942000.0,228315000.0,494945000.0,62942000.0,494945000.0,494945000.0,494945000.0,CommonMetricExtracted
