,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,241330000.0,267316000.0,298616000.0,292136000.0,239825000.0,298014000.0,380995000.0,383729000.0,236555000.0,,,,,,,267316000.0,292136000.0,298014000.0,383729000.0,,,,241330000.0,292136000.0,380995000.0,,,,267316000.0,298014000.0,,,,239825000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,86931000.0,121746000.0,138480000.0,138379000.0,163261000.0,190863000.0,208296000.0,232293000.0,226742000.0,186220000.0,229742000.0,287278000.0,293350000.0,191057000.0,,,,86931000.0,138480000.0,163261000.0,208296000.0,226742000.0,229742000.0,293350000.0,,,138480000.0,190863000.0,226742000.0,287278000.0,,,138480000.0,208296000.0,229742000.0,,,163261000.0,186220000.0,,163261000.0,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,12606000.0,13993000.0,14130000.0,18443000.0,20307000.0,20665000.0,23249000.0,27415000.0,29261000.0,30936000.0,31259000.0,29244000.0,31880000.0,41921000.0,43213000.0,27376000.0,,,12606000.0,14130000.0,20307000.0,23249000.0,29261000.0,31259000.0,31880000.0,43213000.0,,13993000.0,20307000.0,27415000.0,31259000.0,41921000.0,,12606000.0,20307000.0,29261000.0,31880000.0,,13993000.0,23249000.0,29244000.0,,23249000.0,13993000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,4892000.0,8398000.0,9721000.0,10030000.0,12527000.0,20971000.0,23407000.0,29988000.0,35655000.0,34458000.0,24456000.0,36408000.0,52134000.0,52062000.0,21142000.0,,,,8398000.0,10030000.0,20971000.0,29988000.0,34458000.0,36408000.0,52062000.0,,4892000.0,10030000.0,23407000.0,34458000.0,52134000.0,,,10030000.0,29988000.0,36408000.0,,4892000.0,20971000.0,24456000.0,,20971000.0,4892000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,-6807000.0,1039000.0,1667000.0,2742000.0,2502000.0,3613000.0,6665000.0,6662000.0,10688000.0,7167000.0,6219000.0,5012000.0,7382000.0,11787000.0,10367000.0,3289000.0,,,-6807000.0,1667000.0,2502000.0,6665000.0,10688000.0,6219000.0,7382000.0,10367000.0,,1039000.0,2502000.0,6662000.0,6219000.0,11787000.0,,-6807000.0,2502000.0,10688000.0,7382000.0,,1039000.0,6665000.0,5012000.0,,6665000.0,1039000.0,,CommonMetricExtracted
NetIncome,,,,,-10693000.0,3853000.0,6731000.0,6979000.0,7528000.0,8914000.0,14306000.0,16745000.0,19300000.0,28488000.0,28239000.0,19444000.0,29026000.0,40347000.0,41695000.0,17853000.0,,,-10693000.0,6731000.0,7528000.0,14306000.0,19300000.0,28239000.0,29026000.0,41695000.0,,3853000.0,7528000.0,16745000.0,28239000.0,40347000.0,,-10693000.0,7528000.0,19300000.0,29026000.0,,3853000.0,14306000.0,19444000.0,,14306000.0,3853000.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,8745000.0,19804000.0,31573000.0,14102000.0,43171000.0,71952000.0,52379000.0,,,,,,,8745000.0,31573000.0,43171000.0,52379000.0,,,,8745000.0,14102000.0,52379000.0,,,,31573000.0,52379000.0,,,19804000.0,52379000.0,,52379000.0,52379000.0,52379000.0,CommonMetricExtracted
CurrentReceivables,,,,,,1178000.0,2209000.0,2188000.0,2713000.0,2492000.0,2076000.0,1116000.0,3765000.0,4324000.0,7514000.0,4706000.0,3272000.0,5368000.0,2836000.0,4615000.0,,,1178000.0,2188000.0,2492000.0,1116000.0,4324000.0,4706000.0,5368000.0,4615000.0,,2188000.0,2076000.0,4324000.0,3272000.0,4615000.0,,2188000.0,1116000.0,4706000.0,4615000.0,,2492000.0,7514000.0,4615000.0,2492000.0,4615000.0,4615000.0,4615000.0,CommonMetricExtracted
