,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,1401981000.0,1348223000.0,1400182000.0,1527953000.0,1787647000.0,1808140000.0,,,,,,,,1401981000.0,1400182000.0,1787647000.0,,,,,1401981000.0,1527953000.0,,,,,1400182000.0,,,,1348223000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,627283000.0,657918000.0,746241000.0,765369000.0,757775000.0,784834000.0,854122000.0,935509000.0,947695000.0,,,,,,,657918000.0,765369000.0,784834000.0,935509000.0,,,,627283000.0,765369000.0,854122000.0,,,,657918000.0,784834000.0,,,,757775000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,270584000.0,230894000.0,262940000.0,306367000.0,312858000.0,309206000.0,322797000.0,315270000.0,308238000.0,300062000.0,324784000.0,330502000.0,290334000.0,332862000.0,338872000.0,396645000.0,394707000.0,,,230894000.0,306367000.0,309206000.0,315270000.0,300062000.0,330502000.0,332862000.0,396645000.0,,262940000.0,309206000.0,308238000.0,330502000.0,338872000.0,,230894000.0,309206000.0,300062000.0,332862000.0,,262940000.0,315270000.0,290334000.0,,315270000.0,262940000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,35020000.0,28781000.0,32784000.0,39245000.0,40900000.0,45858000.0,48247000.0,48630000.0,46847000.0,50061000.0,52696000.0,57848000.0,58268000.0,57793000.0,57012000.0,67988000.0,66526000.0,,,28781000.0,39245000.0,45858000.0,48630000.0,50061000.0,57848000.0,57793000.0,67988000.0,,32784000.0,45858000.0,46847000.0,57848000.0,57012000.0,,28781000.0,45858000.0,50061000.0,57793000.0,,32784000.0,48630000.0,58268000.0,,48630000.0,32784000.0,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,134281000.0,122741000.0,164192000.0,43345000.0,173479000.0,188247000.0,171895000.0,22780000.0,239137000.0,231320000.0,389177000.0,,,,,,122741000.0,43345000.0,188247000.0,22780000.0,231320000.0,,,,164192000.0,188247000.0,239137000.0,,,,43345000.0,22780000.0,,,122741000.0,171895000.0,,122741000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,21660000.0,46733000.0,36889000.0,,,,,,,,,,46733000.0,,,,,,21660000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,42036000.0,22003000.0,18290000.0,34773000.0,41401000.0,35145000.0,41044000.0,44407000.0,57804000.0,2819000.0,37220000.0,46545000.0,43009000.0,1816000.0,58903000.0,148105000.0,90039000.0,,,22003000.0,34773000.0,35145000.0,44407000.0,2819000.0,46545000.0,1816000.0,148105000.0,,18290000.0,35145000.0,57804000.0,46545000.0,58903000.0,,22003000.0,35145000.0,2819000.0,1816000.0,,18290000.0,44407000.0,43009000.0,,44407000.0,18290000.0,,CommonMetricExtracted
NetIncome,,,,70326000.0,43337000.0,39059000.0,70045000.0,91761000.0,88049000.0,87927000.0,67944000.0,93862000.0,26956000.0,125115000.0,139207000.0,125138000.0,21788000.0,179630000.0,58583000.0,284967000.0,,,43337000.0,70045000.0,88049000.0,67944000.0,26956000.0,139207000.0,21788000.0,58583000.0,,39059000.0,88049000.0,93862000.0,139207000.0,179630000.0,,43337000.0,88049000.0,26956000.0,21788000.0,,39059000.0,67944000.0,125138000.0,,67944000.0,39059000.0,,CommonMetricExtracted
Cash,,,74981000.0,50894000.0,61983000.0,59760000.0,59938000.0,82718000.0,96265000.0,105998000.0,105925000.0,113759000.0,134244000.0,140095000.0,152195000.0,160672000.0,140895000.0,162902000.0,146442000.0,164560000.0,,50894000.0,59760000.0,82718000.0,105998000.0,113759000.0,140095000.0,160672000.0,162902000.0,164560000.0,61983000.0,82718000.0,105925000.0,140095000.0,140895000.0,164560000.0,50894000.0,82718000.0,113759000.0,160672000.0,164560000.0,61983000.0,105998000.0,152195000.0,164560000.0,105998000.0,164560000.0,164560000.0,164560000.0,CommonMetricExtracted
CurrentReceivables,,,,,177409000.0,211487000.0,206396000.0,197631000.0,209545000.0,214316000.0,241607000.0,225892000.0,275646000.0,255801000.0,268154000.0,278468000.0,275422000.0,318728000.0,307590000.0,297844000.0,,,211487000.0,197631000.0,214316000.0,225892000.0,255801000.0,278468000.0,318728000.0,297844000.0,177409000.0,197631000.0,241607000.0,255801000.0,275422000.0,297844000.0,,197631000.0,225892000.0,278468000.0,297844000.0,177409000.0,214316000.0,268154000.0,297844000.0,214316000.0,297844000.0,297844000.0,297844000.0,CommonMetricExtracted
