,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,119816000.0,230593000.0,367738000.0,416075000.0,,,,,,,,,119816000.0,367738000.0,,,,,,230593000.0,,,,,119816000.0,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,21015000.0,67182000.0,112883000.0,122928000.0,,,,,,,,,21015000.0,112883000.0,,,,,,67182000.0,,,,,21015000.0,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,72929000.0,128010000.0,198061000.0,220235000.0,,,,,,,,,72929000.0,198061000.0,,,,,,128010000.0,,,,,72929000.0,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,83255000.0,48542000.0,231014000.0,215564000.0,,,,,,,,,83255000.0,231014000.0,,,,,,48542000.0,,,,,83255000.0,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,81215000.0,69705000.0,72372000.0,,,,,,,,,81215000.0,72372000.0,,,,,,72372000.0,,,,,72372000.0,,,,72372000.0,,72372000.0,72372000.0,72372000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,23655000.0,29098000.0,31024000.0,,,,,,,,,23655000.0,31024000.0,,,,,,31024000.0,,,,,31024000.0,,,,31024000.0,,31024000.0,31024000.0,31024000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,40000.0,53000.0,630000.0,,,,,,,,,40000.0,630000.0,,,,,,630000.0,,,,,630000.0,,,,630000.0,,630000.0,630000.0,630000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,,2986122000.0,3306734000.0,3912018000.0,,,,,,,,,2986122000.0,3912018000.0,,,,,,3912018000.0,,,,,3912018000.0,,,,3912018000.0,,3912018000.0,3912018000.0,3912018000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,,13179000.0,17890000.0,21920000.0,,,,,,,,,13179000.0,21920000.0,,,,,,21920000.0,,,,,21920000.0,,,,21920000.0,,21920000.0,21920000.0,21920000.0,CommonMetricExtracted
