,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,91154000000.0,96571000000.0,110360000000.0,125843000000.0,143015000000.0,168088000000.0,198270000000.0,211915000000.0,245122000000.0,,,,,,,96571000000.0,125843000000.0,168088000000.0,211915000000.0,,,,91154000000.0,125843000000.0,198270000000.0,,,,96571000000.0,168088000000.0,,,,143015000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,32780000000.0,34261000000.0,38353000000.0,42910000000.0,46078000000.0,52232000000.0,62650000000.0,65863000000.0,74114000000.0,,,,,,,34261000000.0,42910000000.0,52232000000.0,65863000000.0,,,,32780000000.0,42910000000.0,62650000000.0,,,,34261000000.0,52232000000.0,,,,46078000000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,13940000000.0,13857000000.0,15276000000.0,15811000000.0,15713000000.0,14697000000.0,15539000000.0,17469000000.0,18213000000.0,19598000000.0,20117000000.0,21825000000.0,22759000000.0,24456000000.0,,,,13940000000.0,15276000000.0,15713000000.0,15539000000.0,18213000000.0,20117000000.0,22759000000.0,,,15276000000.0,14697000000.0,18213000000.0,21825000000.0,,,15276000000.0,15539000000.0,20117000000.0,,,15713000000.0,19598000000.0,,15713000000.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,9043000000.0,9811000000.0,10411000000.0,11381000000.0,12046000000.0,11988000000.0,13037000000.0,14726000000.0,16876000000.0,19269000000.0,20716000000.0,24512000000.0,27195000000.0,29510000000.0,,,,9043000000.0,10411000000.0,12046000000.0,13037000000.0,16876000000.0,20716000000.0,27195000000.0,,,10411000000.0,11988000000.0,16876000000.0,24512000000.0,,,10411000000.0,13037000000.0,20716000000.0,,,12046000000.0,19269000000.0,,12046000000.0,,,CommonMetricExtracted
OperatingMargin,,,,,,,27161000000.0,21763000000.0,26764000000.0,27759000000.0,18161000000.0,26078000000.0,29025000000.0,35058000000.0,42959000000.0,52959000000.0,69916000000.0,83383000000.0,88523000000.0,109433000000.0,,,,27161000000.0,26764000000.0,18161000000.0,29025000000.0,42959000000.0,69916000000.0,88523000000.0,,,26764000000.0,26078000000.0,42959000000.0,83383000000.0,,,26764000000.0,29025000000.0,69916000000.0,,,18161000000.0,52959000000.0,,18161000000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,4921000000.0,5289000000.0,5189000000.0,5746000000.0,6314000000.0,5100000000.0,4412000000.0,19903000000.0,4448000000.0,8755000000.0,9831000000.0,10978000000.0,16950000000.0,19651000000.0,,,,4921000000.0,5189000000.0,6314000000.0,4412000000.0,4448000000.0,9831000000.0,16950000000.0,,,5189000000.0,5100000000.0,4448000000.0,10978000000.0,,,5189000000.0,4412000000.0,9831000000.0,,,6314000000.0,8755000000.0,,6314000000.0,,,CommonMetricExtracted
NetIncome,,,,,,,23150000000.0,16978000000.0,21863000000.0,22074000000.0,12193000000.0,20539000000.0,25489000000.0,16571000000.0,39240000000.0,44281000000.0,61271000000.0,72738000000.0,72361000000.0,88136000000.0,,,,23150000000.0,21863000000.0,12193000000.0,25489000000.0,39240000000.0,61271000000.0,72361000000.0,,,21863000000.0,20539000000.0,39240000000.0,72738000000.0,,,21863000000.0,25489000000.0,61271000000.0,,,12193000000.0,44281000000.0,,12193000000.0,,,CommonMetricExtracted
Cash,,,,,,36788000000.0,52772000000.0,63040000000.0,77022000000.0,85709000000.0,96526000000.0,113240000000.0,132981000000.0,133768000000.0,133819000000.0,136527000000.0,130334000000.0,104757000000.0,111262000000.0,75543000000.0,,,36788000000.0,63040000000.0,85709000000.0,113240000000.0,133768000000.0,136527000000.0,104757000000.0,75543000000.0,,63040000000.0,96526000000.0,133768000000.0,130334000000.0,75543000000.0,,63040000000.0,113240000000.0,136527000000.0,75543000000.0,,85709000000.0,133819000000.0,75543000000.0,85709000000.0,75543000000.0,75543000000.0,75543000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,13014000000.0,14987000000.0,15780000000.0,17486000000.0,19544000000.0,17908000000.0,18277000000.0,22431000000.0,26481000000.0,29524000000.0,32011000000.0,38043000000.0,44261000000.0,48688000000.0,56924000000.0,,,13014000000.0,15780000000.0,19544000000.0,18277000000.0,26481000000.0,32011000000.0,44261000000.0,56924000000.0,,15780000000.0,17908000000.0,26481000000.0,38043000000.0,56924000000.0,,15780000000.0,18277000000.0,32011000000.0,56924000000.0,,19544000000.0,29524000000.0,56924000000.0,19544000000.0,56924000000.0,56924000000.0,56924000000.0,CommonMetricExtracted
