,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,3203878000.0,3363817000.0,3192399000.0,3243224000.0,3691893000.0,4009282000.0,3820951000.0,,,,,,,,3363817000.0,3243224000.0,4009282000.0,,,,,3363817000.0,3691893000.0,,,,,3243224000.0,,,,3192399000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,801673000.0,925102000.0,1080867000.0,1277715000.0,1339133000.0,1500866000.0,1593804000.0,1574647000.0,1601497000.0,1810917000.0,1931774000.0,1849077000.0,1909709000.0,2133645000.0,2366317000.0,2248168000.0,,,801673000.0,1080867000.0,1339133000.0,1593804000.0,1601497000.0,1931774000.0,1909709000.0,2366317000.0,,925102000.0,1339133000.0,1574647000.0,1931774000.0,2133645000.0,,801673000.0,1339133000.0,1601497000.0,1909709000.0,,925102000.0,1593804000.0,1849077000.0,,1593804000.0,925102000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,204718000.0,241819000.0,349765000.0,412216000.0,385526000.0,383184000.0,379529000.0,375960000.0,379000000.0,420553000.0,399996000.0,350740000.0,301769000.0,468713000.0,483733000.0,390387000.0,,,204718000.0,349765000.0,385526000.0,379529000.0,379000000.0,399996000.0,301769000.0,483733000.0,,241819000.0,385526000.0,375960000.0,399996000.0,468713000.0,,204718000.0,385526000.0,379000000.0,301769000.0,,241819000.0,379529000.0,350740000.0,,379529000.0,241819000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,17599000.0,22543000.0,25770000.0,,,,,,,,,,22543000.0,,,,,,17599000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,76818000.0,90455000.0,130544000.0,153111000.0,145434000.0,143458000.0,141833000.0,140515000.0,136561000.0,76966000.0,94332000.0,82492000.0,70442000.0,110650000.0,113049000.0,86792000.0,,,76818000.0,130544000.0,145434000.0,141833000.0,136561000.0,94332000.0,70442000.0,113049000.0,,90455000.0,145434000.0,140515000.0,94332000.0,110650000.0,,76818000.0,145434000.0,136561000.0,70442000.0,,90455000.0,141833000.0,82492000.0,,141833000.0,90455000.0,,CommonMetricExtracted
NetIncome,,,,,125122000.0,150373000.0,218786000.0,259031000.0,237995000.0,236067000.0,231308000.0,231216000.0,231431000.0,329223000.0,288865000.0,251117000.0,216907000.0,339786000.0,343233000.0,258594000.0,,,125122000.0,218786000.0,237995000.0,231308000.0,231431000.0,288865000.0,216907000.0,343233000.0,,150373000.0,237995000.0,231216000.0,288865000.0,339786000.0,,125122000.0,237995000.0,231431000.0,216907000.0,,150373000.0,231308000.0,251117000.0,,231308000.0,150373000.0,,CommonMetricExtracted
Cash,,,,,,121191000.0,95959000.0,168453000.0,55876000.0,47154000.0,38267000.0,52890000.0,16083000.0,46217000.0,32286000.0,125211000.0,,43537000.0,50052000.0,29588000.0,,,121191000.0,168453000.0,47154000.0,52890000.0,46217000.0,125211000.0,43537000.0,29588000.0,,168453000.0,38267000.0,46217000.0,,29588000.0,,168453000.0,52890000.0,125211000.0,29588000.0,,47154000.0,32286000.0,29588000.0,47154000.0,29588000.0,29588000.0,29588000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,297215000.0,345366000.0,382784000.0,403468000.0,392463000.0,471795000.0,523892000.0,541091000.0,491743000.0,,687608000.0,435421000.0,412122000.0,,,,297215000.0,382784000.0,392463000.0,523892000.0,491743000.0,687608000.0,412122000.0,,297215000.0,403468000.0,523892000.0,,412122000.0,,297215000.0,392463000.0,491743000.0,412122000.0,,382784000.0,541091000.0,412122000.0,382784000.0,412122000.0,412122000.0,412122000.0,CommonMetricExtracted
