,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,513589000.0,503843000.0,497638000.0,486327000.0,480735000.0,510762000.0,499264000.0,496261000.0,463456000.0,,,,,,,503843000.0,486327000.0,510762000.0,496261000.0,,,,513589000.0,486327000.0,499264000.0,,,,503843000.0,510762000.0,,,,480735000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,93147000.0,96649000.0,99499000.0,99974000.0,91055000.0,91909000.0,102989000.0,109944000.0,129468000.0,,,,,,,96649000.0,99974000.0,91909000.0,109944000.0,,,,93147000.0,99974000.0,102989000.0,,,,96649000.0,91909000.0,,,,91055000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,128472000.0,165732000.0,243029000.0,219845000.0,215089000.0,225086000.0,148522000.0,158740000.0,175045000.0,205525000.0,191235000.0,148910000.0,160141000.0,146882000.0,149671000.0,138081000.0,,,128472000.0,243029000.0,215089000.0,148522000.0,175045000.0,191235000.0,160141000.0,149671000.0,,165732000.0,215089000.0,158740000.0,191235000.0,146882000.0,,128472000.0,215089000.0,175045000.0,160141000.0,,165732000.0,148522000.0,148910000.0,,148522000.0,165732000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,41796000.0,50566000.0,72618000.0,94565000.0,98056000.0,103355000.0,65206000.0,73142000.0,78766000.0,102499000.0,109423000.0,103561000.0,117117000.0,127428000.0,120530000.0,118486000.0,,,41796000.0,72618000.0,98056000.0,65206000.0,78766000.0,109423000.0,117117000.0,120530000.0,,50566000.0,98056000.0,73142000.0,109423000.0,127428000.0,,41796000.0,98056000.0,78766000.0,117117000.0,,50566000.0,65206000.0,103561000.0,,65206000.0,50566000.0,,CommonMetricExtracted
OperatingMargin,,,,,-1459000.0,3982000.0,764000.0,-1035000.0,-3186000.0,5785000.0,3558000.0,3218000.0,-6953000.0,4646000.0,28356000.0,-7038000.0,2287000.0,6413000.0,-5204000.0,3506000.0,,,-1459000.0,764000.0,-3186000.0,3558000.0,-6953000.0,28356000.0,2287000.0,-5204000.0,,3982000.0,-3186000.0,3218000.0,28356000.0,6413000.0,,-1459000.0,-3186000.0,-6953000.0,2287000.0,,3982000.0,3558000.0,-7038000.0,,3558000.0,3982000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,25293000.0,11168000.0,3393000.0,9734000.0,-9799000.0,6016000.0,31933000.0,22694000.0,54964000.0,-2019000.0,3908000.0,-12429000.0,-275909000.0,147332000.0,-553646000.0,-767685000.0,,,25293000.0,3393000.0,-9799000.0,31933000.0,54964000.0,3908000.0,-275909000.0,-553646000.0,,11168000.0,-9799000.0,22694000.0,3908000.0,147332000.0,,25293000.0,-9799000.0,54964000.0,-275909000.0,,11168000.0,31933000.0,-12429000.0,,31933000.0,11168000.0,,CommonMetricExtracted
NetIncome,,,,,74837000.0,43792000.0,17940000.0,20546000.0,83332000.0,5035000.0,105931000.0,92239000.0,18195000.0,22501000.0,34355000.0,-7524000.0,-535480000.0,-1469797000.0,429121000.0,-1166661000.0,,,74837000.0,17940000.0,83332000.0,105931000.0,18195000.0,34355000.0,-535480000.0,429121000.0,,43792000.0,83332000.0,92239000.0,34355000.0,-1469797000.0,,74837000.0,83332000.0,18195000.0,-535480000.0,,43792000.0,105931000.0,-7524000.0,,105931000.0,43792000.0,,CommonMetricExtracted
Cash,,,,122915000.0,224769000.0,174097000.0,199634000.0,224393000.0,220171000.0,146919000.0,292341000.0,401975000.0,420244000.0,109924000.0,456727000.0,59675000.0,63356000.0,43835000.0,46817000.0,38117000.0,,122915000.0,174097000.0,224393000.0,146919000.0,401975000.0,109924000.0,59675000.0,43835000.0,38117000.0,224769000.0,224393000.0,292341000.0,109924000.0,63356000.0,38117000.0,122915000.0,224393000.0,401975000.0,59675000.0,38117000.0,224769000.0,146919000.0,456727000.0,38117000.0,146919000.0,38117000.0,38117000.0,38117000.0,CommonMetricExtracted
CurrentReceivables,,,,,,82056000.0,94723000.0,93758000.0,86181000.0,78633000.0,68154000.0,83319000.0,165364000.0,171359000.0,163516000.0,197461000.0,189280000.0,189280000.0,183815000.0,181203000.0,,,82056000.0,93758000.0,78633000.0,83319000.0,171359000.0,197461000.0,189280000.0,181203000.0,,93758000.0,68154000.0,171359000.0,189280000.0,181203000.0,,93758000.0,83319000.0,197461000.0,181203000.0,,78633000.0,163516000.0,181203000.0,78633000.0,181203000.0,181203000.0,181203000.0,CommonMetricExtracted
