,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,32493000000.0,34275000000.0,35155000000.0,34631000000.0,37945000000.0,40107000000.0,41538000000.0,48757000000.0,59755000000.0,53668000000.0,54143000000.0,61761000000.0,,,,,32493000000.0,35155000000.0,37945000000.0,41538000000.0,59755000000.0,54143000000.0,,,32493000000.0,34631000000.0,41538000000.0,53668000000.0,,,32493000000.0,37945000000.0,59755000000.0,,,35155000000.0,48757000000.0,,35155000000.0,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,38931000000.0,7477000000.0,7311000000.0,7264000000.0,5725000000.0,5209000000.0,5413000000.0,5835000000.0,7016000000.0,8997000000.0,13892000000.0,17098000000.0,10162000000.0,9411000000.0,21595000000.0,50281000000.0,54135000000.0,,,7477000000.0,7264000000.0,5209000000.0,5835000000.0,8997000000.0,17098000000.0,9411000000.0,50281000000.0,,7311000000.0,5209000000.0,7016000000.0,17098000000.0,21595000000.0,,7477000000.0,5209000000.0,8997000000.0,9411000000.0,,7311000000.0,5835000000.0,10162000000.0,,5835000000.0,7311000000.0,,CommonMetricExtracted
Interest,,,,,,,,,32493000000.0,34275000000.0,35155000000.0,34631000000.0,37945000000.0,40107000000.0,41538000000.0,48757000000.0,59755000000.0,53668000000.0,54143000000.0,61761000000.0,,,,,32493000000.0,35155000000.0,37945000000.0,41538000000.0,59755000000.0,54143000000.0,,,32493000000.0,34631000000.0,41538000000.0,53668000000.0,,,32493000000.0,37945000000.0,59755000000.0,,,35155000000.0,48757000000.0,,35155000000.0,,,CommonMetricExtracted
Taxes,,,,16000000.0,-297000000.0,754000000.0,1418000000.0,-161000000.0,902000000.0,-90000000.0,2200000000.0,2726000000.0,4168000000.0,2350000000.0,2064000000.0,3239000000.0,4548000000.0,2910000000.0,2583000000.0,4067000000.0,,,-297000000.0,1418000000.0,902000000.0,2200000000.0,4168000000.0,2064000000.0,4548000000.0,2583000000.0,,754000000.0,902000000.0,2726000000.0,2064000000.0,2910000000.0,,-297000000.0,902000000.0,4168000000.0,4548000000.0,,754000000.0,2200000000.0,3239000000.0,,2200000000.0,754000000.0,,CommonMetricExtracted
NetIncome,,,,1778000000.0,1406000000.0,5702000000.0,4645000000.0,716000000.0,3613000000.0,3667000000.0,6279000000.0,6123000000.0,6216000000.0,8883000000.0,9237000000.0,11179000000.0,15120000000.0,11179000000.0,9230000000.0,13529000000.0,,,1406000000.0,4645000000.0,3613000000.0,6279000000.0,6216000000.0,9237000000.0,15120000000.0,9230000000.0,,5702000000.0,3613000000.0,6123000000.0,9237000000.0,11179000000.0,,1406000000.0,3613000000.0,6216000000.0,15120000000.0,,5702000000.0,6279000000.0,11179000000.0,,6279000000.0,5702000000.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,82171000000.0,105654000000.0,127725000000.0,128127000000.0,89232000000.0,105386000000.0,,,,,,,,105654000000.0,128127000000.0,105386000000.0,,,,,127725000000.0,105386000000.0,,,,105654000000.0,105386000000.0,,,82171000000.0,105386000000.0,,105386000000.0,105386000000.0,105386000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,57104000000.0,58419000000.0,58607000000.0,59004000000.0,67360000000.0,69062000000.0,68223000000.0,110550000000.0,109850000000.0,292325000000.0,298745000000.0,324311000000.0,,,,,58419000000.0,59004000000.0,69062000000.0,110550000000.0,292325000000.0,324311000000.0,,,58607000000.0,69062000000.0,109850000000.0,324311000000.0,,,59004000000.0,110550000000.0,324311000000.0,,58419000000.0,68223000000.0,324311000000.0,58419000000.0,324311000000.0,324311000000.0,324311000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
