,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,1721526000.0,1708526000.0,1520525000.0,1504279000.0,1378364000.0,1039435000.0,942634000.0,1041288000.0,1062483000.0,1066054000.0,1123848000.0,1213977000.0,1199146000.0,1185675000.0,1172785000.0,1155102000.0,1207731000.0,,,1708526000.0,1504279000.0,1039435000.0,1041288000.0,1066054000.0,1213977000.0,1185675000.0,1155102000.0,,1520525000.0,1039435000.0,1062483000.0,1213977000.0,1172785000.0,,1708526000.0,1039435000.0,1066054000.0,1185675000.0,,1520525000.0,1041288000.0,1199146000.0,,1041288000.0,1520525000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,847977000.0,559263000.0,801777000.0,1090034000.0,902229000.0,968709000.0,,,,,,,,847977000.0,801777000.0,902229000.0,,,,,847977000.0,1090034000.0,,,,,801777000.0,,,,559263000.0,,,,,CommonMetricExtracted
Interest,,,,,89266000.0,98589000.0,103271000.0,99344000.0,79663000.0,69648000.0,68932000.0,56672000.0,57035000.0,52993000.0,52656000.0,59595000.0,71360000.0,48054000.0,36905000.0,35602000.0,,,89266000.0,103271000.0,79663000.0,68932000.0,57035000.0,52656000.0,71360000.0,36905000.0,,98589000.0,79663000.0,56672000.0,52656000.0,48054000.0,,89266000.0,79663000.0,57035000.0,71360000.0,,98589000.0,68932000.0,59595000.0,,68932000.0,98589000.0,,CommonMetricExtracted
Taxes,,,,-397798000.0,-442776000.0,4335000.0,1593000.0,-1565000.0,3696000.0,2774000.0,-684313000.0,172197000.0,428735000.0,174053000.0,174214000.0,113170000.0,166794000.0,224685000.0,189280000.0,205715000.0,,,-442776000.0,1593000.0,3696000.0,-684313000.0,428735000.0,174214000.0,166794000.0,189280000.0,,4335000.0,3696000.0,172197000.0,174214000.0,224685000.0,,-442776000.0,3696000.0,428735000.0,166794000.0,,4335000.0,-684313000.0,113170000.0,,-684313000.0,4335000.0,,CommonMetricExtracted
NetIncome,,,,-525355000.0,-1322277000.0,-363735000.0,-485892000.0,-927079000.0,-49848000.0,251949000.0,1172000000.0,342517000.0,355761000.0,670097000.0,673763000.0,446093000.0,634983000.0,865349000.0,712949000.0,762994000.0,,,-1322277000.0,-485892000.0,-49848000.0,1172000000.0,355761000.0,673763000.0,634983000.0,712949000.0,,-363735000.0,-49848000.0,342517000.0,673763000.0,865349000.0,,-1322277000.0,-49848000.0,355761000.0,634983000.0,,-363735000.0,1172000000.0,446093000.0,,1172000000.0,-363735000.0,,CommonMetricExtracted
Cash,,,288933000.0,1097334000.0,1185739000.0,1304154000.0,995799000.0,1027625000.0,332692000.0,197882000.0,181120000.0,155410000.0,99851000.0,151892000.0,161847000.0,287953000.0,284690000.0,327384000.0,363666000.0,229485000.0,,1097334000.0,1304154000.0,1027625000.0,197882000.0,155410000.0,151892000.0,287953000.0,327384000.0,229485000.0,1185739000.0,1027625000.0,181120000.0,151892000.0,284690000.0,229485000.0,1097334000.0,1027625000.0,155410000.0,287953000.0,229485000.0,1185739000.0,197882000.0,161847000.0,229485000.0,197882000.0,229485000.0,229485000.0,229485000.0,CommonMetricExtracted
CurrentReceivables,,,,,169967000.0,149872000.0,126739000.0,95071000.0,93961000.0,87960000.0,88693000.0,96465000.0,100105000.0,103091000.0,105292000.0,106041000.0,108442000.0,113178000.0,117273000.0,118600000.0,,,149872000.0,95071000.0,87960000.0,96465000.0,103091000.0,106041000.0,113178000.0,118600000.0,169967000.0,95071000.0,88693000.0,103091000.0,108442000.0,118600000.0,,95071000.0,96465000.0,106041000.0,118600000.0,169967000.0,87960000.0,105292000.0,118600000.0,87960000.0,118600000.0,118600000.0,118600000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,29556000.0,28638000.0,28145000.0,27190000.0,26185000.0,28693000.0,30095000.0,36088000.0,44936000.0,51734000.0,50121000.0,47144000.0,45614000.0,41419000.0,38755000.0,35679000.0,,,28638000.0,27190000.0,28693000.0,36088000.0,51734000.0,47144000.0,41419000.0,35679000.0,29556000.0,27190000.0,30095000.0,51734000.0,45614000.0,35679000.0,,27190000.0,36088000.0,47144000.0,35679000.0,29556000.0,28693000.0,50121000.0,35679000.0,28693000.0,35679000.0,35679000.0,35679000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,9404419000.0,9333642000.0,7216230000.0,5574324000.0,5601390000.0,5266434000.0,5879545000.0,5734529000.0,5619499000.0,5677802000.0,6229571000.0,7354526000.0,7325008000.0,6213793000.0,6538380000.0,6547235000.0,,,9333642000.0,5574324000.0,5266434000.0,5734529000.0,5677802000.0,7354526000.0,6213793000.0,6547235000.0,9404419000.0,5574324000.0,5879545000.0,5677802000.0,7325008000.0,6547235000.0,,5574324000.0,5734529000.0,7354526000.0,6547235000.0,9404419000.0,5266434000.0,6229571000.0,6547235000.0,5266434000.0,6547235000.0,6547235000.0,6547235000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,79828000.0,70305000.0,55666000.0,27243000.0,31660000.0,30518000.0,40224000.0,44073000.0,46060000.0,48001000.0,49705000.0,49997000.0,51902000.0,55178000.0,58774000.0,61064000.0,,,70305000.0,27243000.0,30518000.0,44073000.0,48001000.0,49997000.0,55178000.0,61064000.0,79828000.0,27243000.0,40224000.0,48001000.0,51902000.0,61064000.0,,27243000.0,44073000.0,49997000.0,61064000.0,79828000.0,30518000.0,49705000.0,61064000.0,30518000.0,61064000.0,61064000.0,61064000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalLiability,,,,,8101838000.0,7664587000.0,6019415000.0,5377384000.0,4856852000.0,4229531000.0,3643405000.0,3185687000.0,2464973000.0,2095911000.0,1920337000.0,2655540000.0,2463626000.0,1571053000.0,1466363000.0,1374860000.0,,,7664587000.0,5377384000.0,4229531000.0,3185687000.0,2095911000.0,2655540000.0,1571053000.0,1374860000.0,8101838000.0,5377384000.0,3643405000.0,2095911000.0,2463626000.0,1374860000.0,,5377384000.0,3185687000.0,2655540000.0,1374860000.0,8101838000.0,4229531000.0,1920337000.0,1374860000.0,4229531000.0,1374860000.0,1374860000.0,1374860000.0,CommonMetricExtracted
ShareholderEquity,,,,,1302581000.0,1669055000.0,1196815000.0,196940000.0,744538000.0,1036903000.0,2236140000.0,2548842000.0,3154526000.0,3581891000.0,4309234000.0,4698986000.0,4861382000.0,4642740000.0,5072017000.0,5172375000.0,,,1669055000.0,196940000.0,1036903000.0,2548842000.0,3581891000.0,4698986000.0,4642740000.0,5172375000.0,1302581000.0,196940000.0,2236140000.0,3581891000.0,4861382000.0,5172375000.0,,196940000.0,2548842000.0,4698986000.0,5172375000.0,1302581000.0,1036903000.0,4309234000.0,5172375000.0,1036903000.0,5172375000.0,5172375000.0,5172375000.0,CommonMetricExtracted
OperatingCashFlow,,,,1364908000.0,329954000.0,-875430000.0,-1883851000.0,-1568600000.0,-971531000.0,,161395000.0,224760000.0,406657000.0,544517000.0,609532000.0,732309000.0,696317000.0,650012000.0,712962000.0,725032000.0,,,329954000.0,-1883851000.0,-971531000.0,161395000.0,406657000.0,609532000.0,696317000.0,712962000.0,,-875430000.0,-971531000.0,224760000.0,609532000.0,650012000.0,,329954000.0,-971531000.0,406657000.0,696317000.0,,-875430000.0,161395000.0,732309000.0,,161395000.0,-875430000.0,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,820000.0,4707000.0,4630000.0,10552000.0,16066000.0,14238000.0,5636000.0,3311000.0,4115000.0,3254000.0,1999000.0,1174000.0,,,,,820000.0,4630000.0,16066000.0,5636000.0,4115000.0,1999000.0,,,820000.0,10552000.0,5636000.0,3254000.0,,,820000.0,16066000.0,4115000.0,,,4630000.0,3311000.0,,4630000.0,,,CommonMetricExtracted
InvestingCashFlow,,,,-1285264000.0,52803000.0,-111904000.0,1754217000.0,1653533000.0,-854127000.0,,-96958000.0,-93392000.0,-303641000.0,-317780000.0,-422108000.0,-772506000.0,-160749000.0,410485000.0,-179190000.0,-142005000.0,,,52803000.0,1754217000.0,-854127000.0,-96958000.0,-303641000.0,-422108000.0,-160749000.0,-179190000.0,,-111904000.0,-854127000.0,-93392000.0,-422108000.0,410485000.0,,52803000.0,-854127000.0,-303641000.0,-160749000.0,,-111904000.0,-96958000.0,-772506000.0,,-96958000.0,-111904000.0,,CommonMetricExtracted
DividendsPaid,,,,-8159000.0,0.0,0.0,,,,,,,0.0,0.0,41914000.0,82061000.0,94219000.0,110947000.0,122965000.0,130500000.0,,,0.0,,,,0.0,41914000.0,94219000.0,122965000.0,,0.0,,,41914000.0,110947000.0,,0.0,,0.0,94219000.0,,0.0,,82061000.0,,,0.0,,CommonMetricExtracted
FinancingCashFlow,,,,728757000.0,-294352000.0,1105749000.0,-178721000.0,-53107000.0,1130725000.0,,-81199000.0,-157078000.0,-158575000.0,-171550000.0,-173406000.0,167821000.0,-527290000.0,-1032542000.0,-496041000.0,-719044000.0,,,-294352000.0,-178721000.0,1130725000.0,-81199000.0,-158575000.0,-173406000.0,-527290000.0,-496041000.0,,1105749000.0,1130725000.0,-157078000.0,-173406000.0,-1032542000.0,,-294352000.0,1130725000.0,-158575000.0,-527290000.0,,1105749000.0,-81199000.0,167821000.0,,-81199000.0,1105749000.0,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,,,,0.6985115862985872,0.4663844102386198,0.6762198747548864,0.9294406050554875,0.7810816707095997,0.8020900349498357,,,,,,,,0.6985115862985872,0.6762198747548864,0.7810816707095997,,,,,0.6985115862985872,0.9294406050554875,,,,,0.6762198747548864,,,,0.4663844102386198,,,,,CommonMetricCalculated
