,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,1638000000.0,1675700000.0,1807600000.0,1791000000.0,1594800000.0,1858300000.0,2125500000.0,2169900000.0,2118500000.0,,,,,,,1675700000.0,1791000000.0,1858300000.0,2169900000.0,,,,1638000000.0,1791000000.0,2125500000.0,,,,1675700000.0,1858300000.0,,,,1594800000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,1177600000.0,1208500000.0,1346200000.0,1350400000.0,1189400000.0,1411800000.0,1660500000.0,1662800000.0,1570800000.0,,,,,,,1208500000.0,1350400000.0,1411800000.0,1662800000.0,,,,1177600000.0,1350400000.0,1660500000.0,,,,1208500000.0,1411800000.0,,,,1189400000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,101857000.0,91075000.0,90474000.0,92058000.0,89161000.0,89231000.0,182200000.0,190100000.0,179400000.0,182400000.0,178600000.0,187500000.0,176500000.0,186200000.0,192100000.0,206000000.0,209200000.0,,,91075000.0,92058000.0,89231000.0,190100000.0,182400000.0,187500000.0,186200000.0,206000000.0,,90474000.0,89231000.0,179400000.0,187500000.0,192100000.0,,91075000.0,89231000.0,182400000.0,186200000.0,,90474000.0,190100000.0,176500000.0,,190100000.0,90474000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,23052000.0,19941000.0,19577000.0,19330000.0,20200000.0,20100000.0,24400000.0,23600000.0,23800000.0,23700000.0,22700000.0,20300000.0,19900000.0,19500000.0,20400000.0,21200000.0,23000000.0,,,19941000.0,19330000.0,20100000.0,23600000.0,23700000.0,20300000.0,19500000.0,21200000.0,,19577000.0,20100000.0,23800000.0,20300000.0,20400000.0,,19941000.0,20100000.0,23700000.0,19500000.0,,19577000.0,23600000.0,19900000.0,,23600000.0,19577000.0,,CommonMetricExtracted
OperatingMargin,,,,81991000.0,-17053000.0,98277000.0,104059000.0,113640000.0,126900000.0,168800000.0,200300000.0,223900000.0,244400000.0,255900000.0,208700000.0,187900000.0,235700000.0,214800000.0,171800000.0,286500000.0,,,-17053000.0,104059000.0,126900000.0,200300000.0,244400000.0,208700000.0,235700000.0,171800000.0,,98277000.0,126900000.0,223900000.0,208700000.0,214800000.0,,-17053000.0,126900000.0,244400000.0,235700000.0,,98277000.0,200300000.0,187900000.0,,200300000.0,98277000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,24079000.0,-5387000.0,28963000.0,28675000.0,31926000.0,34515000.0,30800000.0,22800000.0,35300000.0,-6600000.0,34400000.0,22800000.0,24400000.0,36600000.0,32100000.0,23700000.0,59400000.0,,,-5387000.0,28675000.0,34515000.0,22800000.0,-6600000.0,22800000.0,36600000.0,23700000.0,,28963000.0,34515000.0,35300000.0,22800000.0,32100000.0,,-5387000.0,34515000.0,-6600000.0,36600000.0,,28963000.0,22800000.0,24400000.0,,22800000.0,28963000.0,,CommonMetricExtracted
NetIncome,,,,68470000.0,-20904000.0,69886000.0,70254000.0,76269000.0,83451000.0,95500000.0,111600000.0,137100000.0,199000000.0,173200000.0,136400000.0,115800000.0,168500000.0,126300000.0,88300000.0,170900000.0,,,-20904000.0,70254000.0,83451000.0,111600000.0,199000000.0,136400000.0,168500000.0,88300000.0,,69886000.0,83451000.0,137100000.0,136400000.0,126300000.0,,-20904000.0,83451000.0,199000000.0,168500000.0,,69886000.0,111600000.0,115800000.0,,111600000.0,69886000.0,,CommonMetricExtracted
Cash,,,128985000.0,181876000.0,310946000.0,367827000.0,395200000.0,454100000.0,490300000.0,249600000.0,229400000.0,188500000.0,212200000.0,208800000.0,241600000.0,367700000.0,299500000.0,247200000.0,317200000.0,333100000.0,,181876000.0,367827000.0,454100000.0,249600000.0,188500000.0,208800000.0,367700000.0,247200000.0,333100000.0,310946000.0,454100000.0,229400000.0,208800000.0,299500000.0,333100000.0,181876000.0,454100000.0,188500000.0,367700000.0,333100000.0,310946000.0,249600000.0,241600000.0,333100000.0,249600000.0,333100000.0,333100000.0,333100000.0,CommonMetricExtracted
CurrentReceivables,,,,,173665000.0,181128000.0,194317000.0,193328000.0,204449000.0,412600000.0,348700000.0,341300000.0,383000000.0,387300000.0,376200000.0,369000000.0,367800000.0,404000000.0,399100000.0,385200000.0,,,181128000.0,193328000.0,412600000.0,341300000.0,387300000.0,369000000.0,404000000.0,385200000.0,173665000.0,193328000.0,348700000.0,387300000.0,367800000.0,385200000.0,,193328000.0,341300000.0,369000000.0,385200000.0,173665000.0,412600000.0,376200000.0,385200000.0,412600000.0,385200000.0,385200000.0,385200000.0,CommonMetricExtracted
