,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,2143024000.0,2831292000.0,3726789000.0,4324787000.0,4611803000.0,4208330000.0,5134703000.0,6606978000.0,6909417000.0,7183188000.0,6320975000.0,7951781000.0,9778038000.0,11995934000.0,12300000000.0,,,,2831292000.0,4324787000.0,4208330000.0,6606978000.0,7183188000.0,7951781000.0,11995934000.0,,2143024000.0,4324787000.0,5134703000.0,7183188000.0,9778038000.0,,,4324787000.0,6606978000.0,7951781000.0,,2143024000.0,4208330000.0,6320975000.0,,4208330000.0,2143024000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,5745307000.0,5939308000.0,6070244000.0,5270879000.0,6805735000.0,8586333000.0,10613762000.0,10675987000.0,,,,,,,5745307000.0,6070244000.0,6805735000.0,10613762000.0,,,,,6070244000.0,8586333000.0,,,,5745307000.0,6805735000.0,,,,5270879000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,114072000.0,159280000.0,192719000.0,240214000.0,198430000.0,-67746000.0,225819000.0,371826000.0,365303000.0,510939000.0,425164000.0,430075000.0,43059000.0,-82704000.0,250963000.0,,,,159280000.0,240214000.0,-67746000.0,371826000.0,510939000.0,430075000.0,-82704000.0,,114072000.0,240214000.0,225819000.0,510939000.0,43059000.0,,,240214000.0,371826000.0,430075000.0,,114072000.0,-67746000.0,425164000.0,,-67746000.0,114072000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,112255000.0,234405000.0,193266000.0,,,,,,,,,,234405000.0,,,,,,112255000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,47942000.0,61824000.0,76080000.0,92542000.0,76429000.0,11957000.0,91784000.0,22942000.0,106072000.0,116843000.0,102465000.0,99346000.0,9171000.0,-35408000.0,51542000.0,,,,61824000.0,92542000.0,11957000.0,22942000.0,116843000.0,99346000.0,-35408000.0,,47942000.0,92542000.0,91784000.0,116843000.0,9171000.0,,,92542000.0,22942000.0,99346000.0,,47942000.0,11957000.0,102465000.0,,11957000.0,47942000.0,,CommonMetricExtracted
NetIncome,,,,,,90387000.0,105972000.0,107416000.0,141216000.0,115549000.0,-79703000.0,134035000.0,348884000.0,259231000.0,394096000.0,322699000.0,330729000.0,33888000.0,-47296000.0,199421000.0,,,,105972000.0,141216000.0,-79703000.0,348884000.0,394096000.0,330729000.0,-47296000.0,,90387000.0,141216000.0,134035000.0,394096000.0,33888000.0,,,141216000.0,348884000.0,330729000.0,,90387000.0,-79703000.0,322699000.0,,-79703000.0,90387000.0,,CommonMetricExtracted
Cash,,,,,,158693000.0,20280000.0,26767000.0,22927000.0,9261000.0,4984000.0,38767000.0,40326000.0,27422000.0,71427000.0,423118000.0,360736000.0,370592000.0,529561000.0,399903000.0,,,158693000.0,26767000.0,9261000.0,38767000.0,27422000.0,423118000.0,370592000.0,399903000.0,,26767000.0,4984000.0,27422000.0,360736000.0,399903000.0,,26767000.0,38767000.0,423118000.0,399903000.0,,9261000.0,71427000.0,399903000.0,9261000.0,399903000.0,399903000.0,399903000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,658528000.0,877214000.0,1134693000.0,1185236000.0,911106000.0,1156031000.0,1598015000.0,1923970000.0,850326000.0,784488000.0,1019324000.0,1399732000.0,1370074000.0,1381462000.0,,,,877214000.0,1185236000.0,1156031000.0,1923970000.0,784488000.0,1399732000.0,1381462000.0,,877214000.0,911106000.0,1923970000.0,1019324000.0,1381462000.0,,877214000.0,1156031000.0,784488000.0,1381462000.0,,1185236000.0,850326000.0,1381462000.0,1185236000.0,1381462000.0,1381462000.0,1381462000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,21001000.0,30550000.0,,,58023000.0,41548000.0,101270000.0,56558000.0,52000000.0,60631000.0,91488000.0,122308000.0,105880000.0,118888000.0,,,,30550000.0,,41548000.0,56558000.0,60631000.0,122308000.0,118888000.0,,30550000.0,58023000.0,56558000.0,91488000.0,118888000.0,,30550000.0,41548000.0,60631000.0,118888000.0,,,52000000.0,118888000.0,,118888000.0,118888000.0,118888000.0,CommonMetricExtracted
Inventory,,,,,,,88914000.0,83939000.0,70185000.0,89146000.0,90599000.0,111031000.0,76992000.0,113709000.0,100069000.0,89645000.0,92595000.0,117969000.0,108146000.0,107345000.0,,,,83939000.0,89146000.0,111031000.0,113709000.0,89645000.0,117969000.0,107345000.0,,83939000.0,90599000.0,113709000.0,92595000.0,107345000.0,,83939000.0,111031000.0,89645000.0,107345000.0,,89146000.0,100069000.0,107345000.0,89146000.0,107345000.0,107345000.0,107345000.0,CommonMetricExtracted
