,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,103325000.0,75839000.0,114882000.0,130785000.0,138610000.0,,,,,,,,,75839000.0,130785000.0,,,,,,114882000.0,,,,,75839000.0,,,,103325000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,54488000.0,32536000.0,65164000.0,75172000.0,83182000.0,,,,,,,,,32536000.0,75172000.0,,,,,,65164000.0,,,,,32536000.0,,,,54488000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,12118000.0,10921000.0,19958000.0,24963000.0,,,,27172000.0,25515000.0,29863000.0,34445000.0,32506000.0,,,,,12118000.0,19958000.0,,,25515000.0,34445000.0,,,12118000.0,24963000.0,,29863000.0,,,12118000.0,,25515000.0,,,19958000.0,27172000.0,,19958000.0,,,CommonMetricExtracted
Interest,,,,,,0.0,63000.0,477000.0,453000.0,135000.0,816000.0,14630000.0,,,,10601000.0,10601000.0,10135000.0,7742000.0,5355000.0,,,,63000.0,453000.0,816000.0,,,10601000.0,7742000.0,,0.0,453000.0,14630000.0,,10135000.0,,,453000.0,,10601000.0,,0.0,816000.0,10601000.0,,816000.0,0.0,,CommonMetricExtracted
Taxes,,,,,,2721000.0,1107000.0,3849000.0,4671000.0,5234000.0,7702000.0,4288000.0,,,,4579000.0,4250000.0,4940000.0,7181000.0,7835000.0,,,,1107000.0,4671000.0,7702000.0,,,4250000.0,7181000.0,,2721000.0,4671000.0,4288000.0,,4940000.0,,,4671000.0,,4250000.0,,2721000.0,7702000.0,4579000.0,,7702000.0,2721000.0,,CommonMetricExtracted
NetIncome,,,,,,5569000.0,2213000.0,6158000.0,7468000.0,8327000.0,11703000.0,6096000.0,,,,13435000.0,11075000.0,13596000.0,19623000.0,19616000.0,,,,2213000.0,7468000.0,11703000.0,,,11075000.0,19623000.0,,5569000.0,7468000.0,6096000.0,,13596000.0,,,7468000.0,,11075000.0,,5569000.0,11703000.0,13435000.0,,11703000.0,5569000.0,,CommonMetricExtracted
Cash,,,,,8679000.0,,,6029000.0,13403000.0,22077000.0,51393000.0,50228000.0,56915000.0,57339000.0,75446000.0,77117000.0,81064000.0,50063000.0,29861000.0,21027000.0,,,,6029000.0,22077000.0,50228000.0,57339000.0,77117000.0,50063000.0,21027000.0,8679000.0,6029000.0,51393000.0,57339000.0,81064000.0,21027000.0,,6029000.0,50228000.0,77117000.0,21027000.0,8679000.0,22077000.0,75446000.0,21027000.0,22077000.0,21027000.0,21027000.0,21027000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,6535000.0,6917000.0,7823000.0,9499000.0,8721000.0,8948000.0,10502000.0,10173000.0,11108000.0,11652000.0,13374000.0,15066000.0,14731000.0,,,,6535000.0,7823000.0,8721000.0,10502000.0,11108000.0,13374000.0,14731000.0,,6535000.0,9499000.0,10502000.0,11652000.0,14731000.0,,6535000.0,8721000.0,11108000.0,14731000.0,,7823000.0,10173000.0,14731000.0,7823000.0,14731000.0,14731000.0,14731000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,1394000.0,1096000.0,3129000.0,4532000.0,1343000.0,1093000.0,2873000.0,1007000.0,1181000.0,1325000.0,1441000.0,1895000.0,2176000.0,,,,1394000.0,3129000.0,1343000.0,2873000.0,1181000.0,1441000.0,2176000.0,,1394000.0,4532000.0,2873000.0,1325000.0,2176000.0,,1394000.0,1343000.0,1181000.0,2176000.0,,3129000.0,1007000.0,2176000.0,3129000.0,2176000.0,2176000.0,2176000.0,CommonMetricExtracted
Inventory,,,,,,,,1125000.0,1046000.0,947000.0,822000.0,687000.0,579000.0,384000.0,535000.0,378000.0,624000.0,522000.0,539000.0,842000.0,,,,1125000.0,947000.0,687000.0,384000.0,378000.0,522000.0,842000.0,,1125000.0,822000.0,384000.0,624000.0,842000.0,,1125000.0,687000.0,378000.0,842000.0,,947000.0,535000.0,842000.0,947000.0,842000.0,842000.0,842000.0,CommonMetricExtracted
CurrentAssets,,,,,,,,35550000.0,40988000.0,45189000.0,73337000.0,60979000.0,67535000.0,71708000.0,87161000.0,89784000.0,94665000.0,65400000.0,47361000.0,38776000.0,,,,35550000.0,45189000.0,60979000.0,71708000.0,89784000.0,65400000.0,38776000.0,,35550000.0,73337000.0,71708000.0,94665000.0,38776000.0,,35550000.0,60979000.0,89784000.0,38776000.0,,45189000.0,87161000.0,38776000.0,45189000.0,38776000.0,38776000.0,38776000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,6179000.0,5788000.0,8970000.0,9257000.0,9013000.0,8844000.0,6642000.0,4889000.0,4610000.0,4090000.0,3785000.0,3321000.0,2673000.0,,,,6179000.0,8970000.0,9013000.0,6642000.0,4610000.0,3785000.0,2673000.0,,6179000.0,9257000.0,6642000.0,4090000.0,2673000.0,,6179000.0,9013000.0,4610000.0,2673000.0,,8970000.0,4889000.0,2673000.0,8970000.0,2673000.0,2673000.0,2673000.0,CommonMetricExtracted
Goodwill,,,,,,,,95000.0,95000.0,95000.0,95000.0,95000.0,95000.0,95000.0,95000.0,95000.0,95000.0,95000.0,95000.0,95000.0,,,,95000.0,95000.0,95000.0,95000.0,95000.0,95000.0,95000.0,,95000.0,95000.0,95000.0,95000.0,95000.0,,95000.0,95000.0,95000.0,95000.0,,95000.0,95000.0,95000.0,95000.0,95000.0,95000.0,95000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,1353000.0,1353000.0,1353000.0,1353000.0,1353000.0,1353000.0,1353000.0,1353000.0,1269000.0,1156000.0,1043000.0,869000.0,695000.0,,,,1353000.0,1353000.0,1353000.0,1353000.0,1269000.0,1043000.0,695000.0,,1353000.0,1353000.0,1353000.0,1156000.0,695000.0,,1353000.0,1353000.0,1269000.0,695000.0,,1353000.0,1353000.0,695000.0,1353000.0,695000.0,695000.0,695000.0,CommonMetricExtracted
