,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,3532310000.0,4175013000.0,6136938000.0,6751390000.0,6248631000.0,6809727000.0,3791664000.0,2007108000.0,2565486000.0,3048121000.0,3053596000.0,2135481000.0,2019105000.0,2668758000.0,3049801000.0,2968839000.0,,,3532310000.0,6136938000.0,6248631000.0,3791664000.0,2565486000.0,3053596000.0,2019105000.0,3049801000.0,,4175013000.0,6248631000.0,2007108000.0,3053596000.0,2668758000.0,,3532310000.0,6248631000.0,2565486000.0,2019105000.0,,4175013000.0,3791664000.0,2135481000.0,,3791664000.0,4175013000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,1666004000.0,1790380000.0,1742411000.0,,,,,,,,,,1790380000.0,,,,,,1666004000.0,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,45440000.0,49698000.0,41253000.0,33582000.0,51069000.0,56147000.0,50359000.0,33564000.0,35153000.0,49939000.0,56297000.0,57063000.0,,,,,45440000.0,41253000.0,51069000.0,50359000.0,35153000.0,56297000.0,,,45440000.0,33582000.0,50359000.0,49939000.0,,,45440000.0,51069000.0,35153000.0,,,41253000.0,33564000.0,,41253000.0,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,1438000.0,1557000.0,14992000.0,43820000.0,38713000.0,,,,,,,,,1557000.0,43820000.0,,,,,,14992000.0,,,,,1557000.0,,,,1438000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,177895000.0,185285000.0,210864000.0,,,,,,,,,,185285000.0,,,,,,177895000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,-63937000.0,36950000.0,165083000.0,40986000.0,-55181000.0,62666000.0,-98038000.0,-186831000.0,-82970000.0,79269000.0,91576000.0,57286000.0,55621000.0,61536000.0,79220000.0,56947000.0,,,-63937000.0,165083000.0,-55181000.0,-98038000.0,-82970000.0,91576000.0,55621000.0,79220000.0,,36950000.0,-55181000.0,-186831000.0,91576000.0,61536000.0,,-63937000.0,-55181000.0,-82970000.0,55621000.0,,36950000.0,-98038000.0,57286000.0,,-98038000.0,36950000.0,,CommonMetricExtracted
NetIncome,,,,,-342000.0,85000.0,1045000.0,621000.0,7180000.0,1415000.0,381000.0,135000.0,6178000.0,28222000.0,22375000.0,42795000.0,25582000.0,43043000.0,61688000.0,88097000.0,,,-342000.0,1045000.0,7180000.0,381000.0,6178000.0,22375000.0,25582000.0,61688000.0,,85000.0,7180000.0,135000.0,22375000.0,43043000.0,,-342000.0,7180000.0,6178000.0,25582000.0,,85000.0,381000.0,42795000.0,,381000.0,85000.0,,CommonMetricExtracted
Cash,,,,442087000.0,927815000.0,641702000.0,398575000.0,524922000.0,389915000.0,501149000.0,254530000.0,264093000.0,336997000.0,447766000.0,435990000.0,472246000.0,991471000.0,451025000.0,1057487000.0,389652000.0,,442087000.0,641702000.0,524922000.0,501149000.0,264093000.0,447766000.0,472246000.0,451025000.0,389652000.0,927815000.0,524922000.0,254530000.0,447766000.0,991471000.0,389652000.0,442087000.0,524922000.0,264093000.0,472246000.0,389652000.0,927815000.0,501149000.0,435990000.0,389652000.0,501149000.0,389652000.0,389652000.0,389652000.0,CommonMetricExtracted
CurrentReceivables,,,,,,1116510000.0,1576555000.0,1382623000.0,1399543000.0,1517503000.0,784671000.0,508355000.0,698477000.0,756320000.0,453042000.0,362977000.0,287572000.0,327397000.0,347837000.0,387970000.0,,,1116510000.0,1382623000.0,1517503000.0,508355000.0,756320000.0,362977000.0,327397000.0,387970000.0,,1382623000.0,784671000.0,756320000.0,287572000.0,387970000.0,,1382623000.0,508355000.0,362977000.0,387970000.0,,1517503000.0,453042000.0,387970000.0,1517503000.0,387970000.0,387970000.0,387970000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,158836000.0,272852000.0,251133000.0,209793000.0,230067000.0,153824000.0,103595000.0,166307000.0,165587000.0,176341000.0,160585000.0,126448000.0,127947000.0,147798000.0,129979000.0,,,158836000.0,251133000.0,230067000.0,103595000.0,165587000.0,160585000.0,127947000.0,129979000.0,,251133000.0,153824000.0,165587000.0,126448000.0,129979000.0,,251133000.0,103595000.0,160585000.0,129979000.0,,230067000.0,176341000.0,129979000.0,230067000.0,129979000.0,129979000.0,129979000.0,CommonMetricExtracted
CurrentAssets,,,,,,2612930000.0,3088314000.0,3132857000.0,2753830000.0,2741874000.0,1475897000.0,1155839000.0,1447336000.0,1593563000.0,1248666000.0,1131465000.0,1517809000.0,1000623000.0,1645678000.0,999537000.0,,,2612930000.0,3132857000.0,2741874000.0,1155839000.0,1593563000.0,1131465000.0,1000623000.0,999537000.0,,3132857000.0,1475897000.0,1593563000.0,1517809000.0,999537000.0,,3132857000.0,1155839000.0,1131465000.0,999537000.0,,2741874000.0,1248666000.0,999537000.0,2741874000.0,999537000.0,999537000.0,999537000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,7646050000.0,7815419000.0,8629946000.0,8712088000.0,8597813000.0,8599125000.0,7027802000.0,6267583000.0,6109565000.0,5467870000.0,4930549000.0,3985707000.0,3348498000.0,3026100000.0,2898728000.0,2830957000.0,,,7815419000.0,8712088000.0,8599125000.0,6267583000.0,5467870000.0,3985707000.0,3026100000.0,2830957000.0,7646050000.0,8712088000.0,7027802000.0,5467870000.0,3348498000.0,2830957000.0,,8712088000.0,6267583000.0,3985707000.0,2830957000.0,7646050000.0,8599125000.0,4930549000.0,2830957000.0,8599125000.0,2830957000.0,2830957000.0,2830957000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,10644690000.0,11646569000.0,12912140000.0,12656022000.0,12159811000.0,11879942000.0,9537840000.0,8187015000.0,8401984000.0,7853944000.0,6760658000.0,5503428000.0,5525364000.0,4729854000.0,5277965000.0,4504301000.0,,,11646569000.0,12656022000.0,11879942000.0,8187015000.0,7853944000.0,5503428000.0,4729854000.0,4504301000.0,10644690000.0,12656022000.0,9537840000.0,7853944000.0,5525364000.0,4504301000.0,,12656022000.0,8187015000.0,5503428000.0,4504301000.0,10644690000.0,11879942000.0,6760658000.0,4504301000.0,11879942000.0,4504301000.0,4504301000.0,4504301000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,381070000.0,810463000.0,532638000.0,604146000.0,833281000.0,313378000.0,278389000.0,386251000.0,413604000.0,309787000.0,231079000.0,519806000.0,589606000.0,578937000.0,565149000.0,,,381070000.0,532638000.0,833281000.0,278389000.0,413604000.0,231079000.0,589606000.0,565149000.0,,532638000.0,313378000.0,413604000.0,519806000.0,565149000.0,,532638000.0,278389000.0,231079000.0,565149000.0,,833281000.0,309787000.0,565149000.0,833281000.0,565149000.0,565149000.0,565149000.0,CommonMetricExtracted
CurrentLiability,,,,,,2154380000.0,1802562000.0,1132382000.0,1311424000.0,1567475000.0,1006499000.0,821934000.0,919476000.0,832077000.0,670027000.0,523774000.0,777821000.0,850749000.0,1449644000.0,802444000.0,,,2154380000.0,1132382000.0,1567475000.0,821934000.0,832077000.0,523774000.0,850749000.0,802444000.0,,1132382000.0,1006499000.0,832077000.0,777821000.0,802444000.0,,1132382000.0,821934000.0,523774000.0,802444000.0,,1567475000.0,670027000.0,802444000.0,1567475000.0,802444000.0,802444000.0,802444000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,245765000.0,292758000.0,518664000.0,377744000.0,601816000.0,552947000.0,522456000.0,301633000.0,274485000.0,292184000.0,318034000.0,340347000.0,377671000.0,270014000.0,218343000.0,,,245765000.0,518664000.0,601816000.0,522456000.0,274485000.0,318034000.0,377671000.0,218343000.0,,518664000.0,552947000.0,274485000.0,340347000.0,218343000.0,,518664000.0,522456000.0,318034000.0,218343000.0,,601816000.0,292184000.0,218343000.0,601816000.0,218343000.0,218343000.0,218343000.0,CommonMetricExtracted
TotalLiability,,,,,,6234518000.0,7241735000.0,6629717000.0,6109446000.0,6961153000.0,5243972000.0,4932220000.0,5259213000.0,4698757000.0,4285101000.0,3803780000.0,4131143000.0,3514459000.0,3996880000.0,3297963000.0,,,6234518000.0,6629717000.0,6961153000.0,4932220000.0,4698757000.0,3803780000.0,3514459000.0,3297963000.0,,6629717000.0,5243972000.0,4698757000.0,4131143000.0,3297963000.0,,6629717000.0,4932220000.0,3803780000.0,3297963000.0,,6961153000.0,4285101000.0,3297963000.0,6961153000.0,3297963000.0,3297963000.0,3297963000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,,203998000.0,404861000.0,425392000.0,442840000.0,675283000.0,678604000.0,739075000.0,785091000.0,,,,,,,404861000.0,442840000.0,678604000.0,785091000.0,,,,404861000.0,675283000.0,785091000.0,,,,442840000.0,785091000.0,,,425392000.0,785091000.0,,785091000.0,785091000.0,785091000.0,CommonMetricExtracted
OperatingCashFlow,,,,,1616972000.0,1106984000.0,1456487000.0,1562705000.0,1418223000.0,1781911000.0,856556000.0,531905000.0,62756000.0,325773000.0,684558000.0,349761000.0,428776000.0,501089000.0,637862000.0,581432000.0,,,1616972000.0,1456487000.0,1418223000.0,856556000.0,62756000.0,684558000.0,428776000.0,637862000.0,,1106984000.0,1418223000.0,531905000.0,684558000.0,501089000.0,,1616972000.0,1418223000.0,62756000.0,428776000.0,,1106984000.0,856556000.0,349761000.0,,856556000.0,1106984000.0,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,427741000.0,195523000.0,234040000.0,373445000.0,540851000.0,567919000.0,,,,,,,,427741000.0,234040000.0,540851000.0,,,,,427741000.0,373445000.0,,,,,234040000.0,,,,195523000.0,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,-1162777000.0,-1673305000.0,-1859479000.0,-1179628000.0,-815468000.0,-1716909000.0,-227449000.0,-382123000.0,-497868000.0,-367088000.0,-355856000.0,-165457000.0,-117225000.0,-368708000.0,-570424000.0,-555458000.0,,,-1162777000.0,-1859479000.0,-815468000.0,-227449000.0,-497868000.0,-355856000.0,-117225000.0,-570424000.0,,-1673305000.0,-815468000.0,-382123000.0,-355856000.0,-368708000.0,,-1162777000.0,-815468000.0,-497868000.0,-117225000.0,,-1673305000.0,-227449000.0,-165457000.0,,-227449000.0,-1673305000.0,,CommonMetricExtracted
DividendsPaid,,,,,,,,,47168000.0,59145000.0,69363000.0,50924000.0,68503000.0,,,22538000.0,7380000.0,65000.0,194000.0,87000.0,,,,,47168000.0,69363000.0,68503000.0,,7380000.0,194000.0,,,47168000.0,50924000.0,,65000.0,,,47168000.0,68503000.0,7380000.0,,,69363000.0,22538000.0,,69363000.0,,,CommonMetricExtracted
FinancingCashFlow,,,,,19373000.0,280254000.0,163245000.0,-254127000.0,-729586000.0,69848000.0,-849941000.0,-138216000.0,512180000.0,155629000.0,-331573000.0,-148001000.0,488421000.0,-661532000.0,592592000.0,-662050000.0,,,19373000.0,163245000.0,-729586000.0,-849941000.0,512180000.0,-331573000.0,488421000.0,592592000.0,,280254000.0,-729586000.0,-138216000.0,-331573000.0,-661532000.0,,19373000.0,-729586000.0,512180000.0,488421000.0,,280254000.0,-849941000.0,-148001000.0,,-849941000.0,280254000.0,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,,,,0.624261922587211,0.5870481385506792,0.5868997948356243,,,,,,,,,,0.5870481385506792,,,,,,0.624261922587211,,,,,,,,,,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,,,,,1002754000.0,1259421000.0,1226428000.0,,,,,,,,,,1259421000.0,,,,,,1002754000.0,,,,,,,,,,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,,,,,0.37573807741278903,0.4129518614493208,0.4131002051643757,,,,,,,,,,0.4129518614493208,,,,,,0.37573807741278903,,,,,,,,,,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,0.007271992857315467,0.0072980899234286484,0.010879919739723774,0.01673153612062729,0.019906169825132547,0.018420200510412807,0.016491703552139837,0.015717302097279253,0.017410189167972937,0.01871244976127472,0.0184592371764584,0.019220644837931594,,,,,0.007271992857315467,0.010879919739723774,0.019906169825132547,0.016491703552139837,0.017410189167972937,0.0184592371764584,,,0.007271992857315467,0.01673153612062729,0.016491703552139837,0.01871244976127472,,,0.007271992857315467,0.019906169825132547,0.017410189167972937,,,0.010879919739723774,0.015717302097279253,,0.010879919739723774,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,,,,,0.0006733845911061723,0.0007711337449018254,0.0056175944015905525,0.01436815057769343,0.013039777502249196,,,,,,,,,0.0007711337449018254,0.01436815057769343,,,,,,0.0056175944015905525,,,,,0.0007711337449018254,,,,0.0006733845911061723,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,11.865995197438634,4.228320401643085,5.446852478495596,,,,,,,,,,4.228320401643085,,,,,,11.865995197438634,,,,,,,,,,,,,,CommonMetricCalculated
TaxesPercentOfOperatingMargin,,,,,,,,,,,,,,,,39.837273991655074,35.72318561335902,4.104589114194237,1.807850296668188,1.4710045721075609,,,,,,,,,35.72318561335902,1.807850296668188,,,,,,4.104589114194237,,,,,35.72318561335902,,,,39.837273991655074,,,,,CommonMetricCalculated
NetIncomePercentOfRevenue,,,,,-9.682049423748199e-05,2.0359218043153397e-05,0.00017028035805478236,9.198105871531641e-05,0.0011490516882818012,0.00020779100248805862,0.00010048358715329206,6.726095456746722e-05,0.002408120722545358,0.009258818793610884,0.007327426417902041,0.02003998162474871,0.012669970110519265,0.016128476242506812,0.02022689349239508,0.02967388935540122,,,-9.682049423748199e-05,0.00017028035805478236,0.0011490516882818012,0.00010048358715329206,0.002408120722545358,0.007327426417902041,0.012669970110519265,0.02022689349239508,,2.0359218043153397e-05,0.0011490516882818012,6.726095456746722e-05,0.007327426417902041,0.016128476242506812,,-9.682049423748199e-05,0.0011490516882818012,0.002408120722545358,0.012669970110519265,,2.0359218043153397e-05,0.00010048358715329206,0.02003998162474871,,0.00010048358715329206,2.0359218043153397e-05,,CommonMetricCalculated
CashPercentOfCurrentAssets,,,,,,0.2455871378108101,0.12905909178924163,0.167553769610295,0.14159007636636975,0.18277608672025045,0.17245783411715046,0.22848597425766046,0.23283950651403681,0.28098418449725554,0.34916462849152613,0.4173757031812738,0.653225142293925,0.4507441863718903,0.6425843937878492,0.3898324924440016,,,0.2455871378108101,0.167553769610295,0.18277608672025045,0.22848597425766046,0.28098418449725554,0.4173757031812738,0.4507441863718903,0.3898324924440016,,0.167553769610295,0.17245783411715046,0.28098418449725554,0.653225142293925,0.3898324924440016,,0.167553769610295,0.22848597425766046,0.4173757031812738,0.3898324924440016,,0.18277608672025045,0.34916462849152613,0.3898324924440016,0.18277608672025045,0.3898324924440016,0.3898324924440016,0.3898324924440016,CommonMetricCalculated
