,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,15643000000.0,15317000000.0,15341000000.0,14256000000.0,15136000000.0,17021000000.0,17486000000.0,16155000000.0,17195000000.0,16727000000.0,19204000000.0,17997000000.0,17069000000.0,20956000000.0,28114000000.0,24753000000.0,,,15643000000.0,15341000000.0,15136000000.0,17486000000.0,17195000000.0,19204000000.0,17069000000.0,28114000000.0,,15317000000.0,15136000000.0,16155000000.0,19204000000.0,20956000000.0,,15643000000.0,15136000000.0,17195000000.0,17069000000.0,,15317000000.0,17486000000.0,17997000000.0,,17486000000.0,15317000000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,53000000.0,37000000.0,39000000.0,67000000.0,63000000.0,37000000.0,70000000.0,86000000.0,92000000.0,96000000.0,67000000.0,93000000.0,142000000.0,112000000.0,161000000.0,198000000.0,,,53000000.0,39000000.0,63000000.0,70000000.0,92000000.0,67000000.0,142000000.0,161000000.0,,37000000.0,63000000.0,86000000.0,67000000.0,112000000.0,,53000000.0,63000000.0,92000000.0,142000000.0,,37000000.0,70000000.0,93000000.0,,70000000.0,37000000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,2825000000.0,2594000000.0,3243000000.0,3378000000.0,3276000000.0,3241000000.0,4384000000.0,4632000000.0,4608000000.0,5326000000.0,4280000000.0,5353000000.0,5116000000.0,2913000000.0,4081000000.0,10237000000.0,7479000000.0,,,2594000000.0,3378000000.0,3241000000.0,4632000000.0,5326000000.0,5353000000.0,2913000000.0,10237000000.0,,3243000000.0,3241000000.0,4608000000.0,5353000000.0,4081000000.0,,2594000000.0,3241000000.0,5326000000.0,2913000000.0,,3243000000.0,4632000000.0,5116000000.0,,4632000000.0,3243000000.0,,CommonMetricExtracted
Interest,,,,813000000.0,849000000.0,979000000.0,1035000000.0,1038000000.0,1121000000.0,1261000000.0,1211000000.0,1098000000.0,1558000000.0,1498000000.0,2249000000.0,1950000000.0,1270000000.0,585000000.0,3324000000.0,2235000000.0,,,849000000.0,1035000000.0,1121000000.0,1211000000.0,1558000000.0,2249000000.0,1270000000.0,3324000000.0,,979000000.0,1121000000.0,1098000000.0,2249000000.0,585000000.0,,849000000.0,1121000000.0,1558000000.0,1270000000.0,,979000000.0,1211000000.0,1950000000.0,,1211000000.0,979000000.0,,CommonMetricExtracted
Taxes,,,,,1230000000.0,1164000000.0,1204000000.0,1186000000.0,1280000000.0,1362000000.0,1399000000.0,1350000000.0,1455000000.0,1551000000.0,1804000000.0,1709000000.0,1801000000.0,2077000000.0,2265000000.0,2278000000.0,,,1230000000.0,1204000000.0,1280000000.0,1399000000.0,1455000000.0,1804000000.0,1801000000.0,2265000000.0,,1164000000.0,1280000000.0,1350000000.0,1804000000.0,2077000000.0,,1230000000.0,1280000000.0,1455000000.0,1801000000.0,,1164000000.0,1399000000.0,1709000000.0,,1399000000.0,1164000000.0,,CommonMetricExtracted
NetIncome,,,,,1615000000.0,1957000000.0,1923000000.0,1911000000.0,1908000000.0,2465000000.0,2752000000.0,2912000000.0,5380000000.0,6638000000.0,3769000000.0,2919000000.0,3573000000.0,4147000000.0,7310000000.0,6946000000.0,,,1615000000.0,1923000000.0,1908000000.0,2752000000.0,5380000000.0,3769000000.0,3573000000.0,7310000000.0,,1957000000.0,1908000000.0,2912000000.0,3769000000.0,4147000000.0,,1615000000.0,1908000000.0,5380000000.0,3573000000.0,,1957000000.0,2752000000.0,2919000000.0,,2752000000.0,1957000000.0,,CommonMetricExtracted
Cash,,,290000000.0,535000000.0,238000000.0,377000000.0,377000000.0,438000000.0,438000000.0,577000000.0,571000000.0,1292000000.0,1714000000.0,638000000.0,600000000.0,1105000000.0,639000000.0,1601000000.0,2690000000.0,1487000000.0,,535000000.0,377000000.0,438000000.0,577000000.0,1292000000.0,638000000.0,1105000000.0,1601000000.0,1487000000.0,238000000.0,438000000.0,571000000.0,638000000.0,639000000.0,1487000000.0,535000000.0,438000000.0,1292000000.0,1105000000.0,1487000000.0,238000000.0,577000000.0,600000000.0,1487000000.0,577000000.0,1487000000.0,1487000000.0,1487000000.0,CommonMetricExtracted
CurrentReceivables,,,,,1431000000.0,2582000000.0,1802000000.0,2056000000.0,2289000000.0,2159000000.0,2265000000.0,2439000000.0,2737000000.0,2969000000.0,2807000000.0,2974000000.0,4108000000.0,5093000000.0,4553000000.0,4516000000.0,,,2582000000.0,2056000000.0,2159000000.0,2439000000.0,2969000000.0,2974000000.0,5093000000.0,4516000000.0,1431000000.0,2056000000.0,2265000000.0,2969000000.0,4108000000.0,4516000000.0,,2056000000.0,2439000000.0,2974000000.0,4516000000.0,1431000000.0,2159000000.0,2807000000.0,4516000000.0,2159000000.0,4516000000.0,4516000000.0,4516000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,857000000.0,1074000000.0,1073000000.0,1153000000.0,1292000000.0,1259000000.0,1289000000.0,1273000000.0,1223000000.0,1328000000.0,1552000000.0,1561000000.0,1934000000.0,2106000000.0,2214000000.0,,,857000000.0,1073000000.0,1292000000.0,1289000000.0,1223000000.0,1552000000.0,1934000000.0,2214000000.0,,1073000000.0,1259000000.0,1223000000.0,1561000000.0,2214000000.0,,1073000000.0,1289000000.0,1552000000.0,2214000000.0,,1292000000.0,1328000000.0,2214000000.0,1292000000.0,2214000000.0,2214000000.0,2214000000.0,CommonMetricExtracted
CurrentAssets,,,,,4337000000.0,5258000000.0,4872000000.0,5237000000.0,5842000000.0,6944000000.0,6795000000.0,7409000000.0,7181000000.0,6393000000.0,7408000000.0,7382000000.0,9288000000.0,13490000000.0,15361000000.0,11951000000.0,,,5258000000.0,5237000000.0,6944000000.0,7409000000.0,6393000000.0,7382000000.0,13490000000.0,11951000000.0,4337000000.0,5237000000.0,6795000000.0,6393000000.0,9288000000.0,11951000000.0,,5237000000.0,7409000000.0,7382000000.0,11951000000.0,4337000000.0,6944000000.0,7408000000.0,11951000000.0,6944000000.0,11951000000.0,11951000000.0,11951000000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,36078000000.0,39075000000.0,42490000000.0,49413000000.0,52720000000.0,55705000000.0,61386000000.0,66912000000.0,72416000000.0,70334000000.0,82010000000.0,91803000000.0,99348000000.0,111059000000.0,125776000000.0,138852000000.0,,,39075000000.0,49413000000.0,55705000000.0,66912000000.0,70334000000.0,91803000000.0,111059000000.0,138852000000.0,36078000000.0,49413000000.0,61386000000.0,70334000000.0,99348000000.0,138852000000.0,,49413000000.0,66912000000.0,91803000000.0,138852000000.0,36078000000.0,55705000000.0,82010000000.0,138852000000.0,55705000000.0,138852000000.0,138852000000.0,138852000000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,891000000.0,4204000000.0,4254000000.0,4844000000.0,4854000000.0,5091000000.0,4866000000.0,,,,,,,891000000.0,4254000000.0,4854000000.0,4866000000.0,,,,891000000.0,4844000000.0,4866000000.0,,,,4254000000.0,4866000000.0,,,4204000000.0,4866000000.0,,4866000000.0,4866000000.0,4866000000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,44821000000.0,48458000000.0,52994000000.0,57188000000.0,64439000000.0,69306000000.0,74929000000.0,82479000000.0,90474000000.0,97963000000.0,103702000000.0,117691000000.0,127684000000.0,140912000000.0,158935000000.0,177489000000.0,190144000000.0,,44821000000.0,52994000000.0,64439000000.0,74929000000.0,90474000000.0,103702000000.0,127684000000.0,158935000000.0,190144000000.0,48458000000.0,64439000000.0,82479000000.0,103702000000.0,140912000000.0,190144000000.0,44821000000.0,64439000000.0,90474000000.0,127684000000.0,190144000000.0,48458000000.0,74929000000.0,117691000000.0,190144000000.0,74929000000.0,190144000000.0,190144000000.0,190144000000.0,CommonMetricExtracted
ShorttermDebt,,,,,569000000.0,1920000000.0,808000000.0,2771000000.0,3766000000.0,3515000000.0,2220000000.0,2604000000.0,1676000000.0,2716000000.0,2124000000.0,4138000000.0,1785000000.0,6633000000.0,6901000000.0,8061000000.0,,,1920000000.0,2771000000.0,3515000000.0,2604000000.0,2716000000.0,4138000000.0,6633000000.0,8061000000.0,569000000.0,2771000000.0,2220000000.0,2716000000.0,1785000000.0,8061000000.0,,2771000000.0,2604000000.0,4138000000.0,8061000000.0,569000000.0,3515000000.0,2124000000.0,8061000000.0,3515000000.0,8061000000.0,8061000000.0,8061000000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,942000000.0,833000000.0,982000000.0,841000000.0,1312000000.0,1150000000.0,1370000000.0,1600000000.0,1655000000.0,1672000000.0,1710000000.0,1510000000.0,1903000000.0,2479000000.0,2831000000.0,3362000000.0,,,833000000.0,841000000.0,1150000000.0,1600000000.0,1672000000.0,1510000000.0,2479000000.0,3362000000.0,942000000.0,841000000.0,1370000000.0,1672000000.0,1903000000.0,3362000000.0,,841000000.0,1600000000.0,1510000000.0,3362000000.0,942000000.0,1150000000.0,1710000000.0,3362000000.0,1150000000.0,3362000000.0,3362000000.0,3362000000.0,CommonMetricExtracted
CurrentLiability,,,,,7162000000.0,7872000000.0,7471000000.0,9783000000.0,10119000000.0,10414000000.0,10976000000.0,12444000000.0,13534000000.0,19693000000.0,17325000000.0,18844000000.0,22169000000.0,32889000000.0,32785000000.0,30418000000.0,,,7872000000.0,9783000000.0,10414000000.0,12444000000.0,19693000000.0,18844000000.0,32889000000.0,30418000000.0,7162000000.0,9783000000.0,10976000000.0,19693000000.0,22169000000.0,30418000000.0,,9783000000.0,12444000000.0,18844000000.0,30418000000.0,7162000000.0,10414000000.0,17325000000.0,30418000000.0,10414000000.0,30418000000.0,30418000000.0,30418000000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,14154000000.0,15033000000.0,16140000000.0,17769000000.0,19365000000.0,22408000000.0,29190000000.0,32880000000.0,37360000000.0,32450000000.0,74621000000.0,81373000000.0,93260000000.0,98035000000.0,106054000000.0,120051000000.0,,,15033000000.0,17769000000.0,22408000000.0,32880000000.0,32450000000.0,81373000000.0,98035000000.0,120051000000.0,14154000000.0,17769000000.0,29190000000.0,32450000000.0,93260000000.0,120051000000.0,,17769000000.0,32880000000.0,81373000000.0,120051000000.0,14154000000.0,22408000000.0,74621000000.0,120051000000.0,22408000000.0,120051000000.0,120051000000.0,120051000000.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,75844000000.0,82755000000.0,95243000000.0,109499000000.0,118465000000.0,129283000000.0,,,,,,,,82755000000.0,109499000000.0,129283000000.0,,,,,95243000000.0,129283000000.0,,,,82755000000.0,129283000000.0,,,75844000000.0,129283000000.0,,129283000000.0,129283000000.0,129283000000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,14943000000.0,16068000000.0,18040000000.0,20168000000.0,23112000000.0,25358000000.0,29531000000.0,37413000000.0,41360000000.0,44929000000.0,45424000000.0,48326000000.0,57768000000.0,60460000000.0,,,,16068000000.0,20168000000.0,25358000000.0,37413000000.0,44929000000.0,48326000000.0,60460000000.0,,16068000000.0,23112000000.0,37413000000.0,45424000000.0,60460000000.0,,16068000000.0,25358000000.0,44929000000.0,60460000000.0,,20168000000.0,41360000000.0,60460000000.0,20168000000.0,60460000000.0,60460000000.0,60460000000.0,CommonMetricExtracted
OperatingCashFlow,,,,3403000000.0,4463000000.0,3834000000.0,4074000000.0,3992000000.0,5102000000.0,5500000000.0,6116000000.0,6369000000.0,6458000000.0,6593000000.0,8155000000.0,,7553000000.0,8262000000.0,11301000000.0,13260000000.0,,,4463000000.0,4074000000.0,5102000000.0,6116000000.0,6458000000.0,8155000000.0,7553000000.0,11301000000.0,,3834000000.0,5102000000.0,6369000000.0,8155000000.0,8262000000.0,,4463000000.0,5102000000.0,6458000000.0,7553000000.0,,3834000000.0,6116000000.0,,,6116000000.0,3834000000.0,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
