,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,335846000.0,345925000.0,353794000.0,,,,,,,,,,345925000.0,,,,,,335846000.0,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,1484000.0,545000.0,7949000.0,,,,,,,,,,545000.0,,,,,,1484000.0,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,27000.0,734000.0,1051000.0,,,,,,,,,,734000.0,,,,,,27000.0,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,51740000.0,66078000.0,69447000.0,,,,,,,,,,66078000.0,,,,,,51740000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,201000.0,303000.0,262000.0,,,,,,,,,,303000.0,,,,,,201000.0,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,-135000.0,-82000.0,-567000.0,,,,,,,,,,-82000.0,,,,,,-135000.0,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,22884000.0,44907000.0,52443000.0,,,,,,,,,22884000.0,52443000.0,,,,,,52443000.0,,,,,52443000.0,,,,52443000.0,,52443000.0,52443000.0,52443000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,35781000.0,40033000.0,,,,,,,,,,40033000.0,,,,,,40033000.0,,,,,40033000.0,,,,40033000.0,,40033000.0,40033000.0,40033000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,2621634000.0,2486930000.0,,,,,,,,,,2486930000.0,,,,,,2486930000.0,,,,,2486930000.0,,,,2486930000.0,,2486930000.0,2486930000.0,2486930000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,293295000.0,284447000.0,,,,,,,,,,284447000.0,,,,,,284447000.0,,,,,284447000.0,,,,284447000.0,,284447000.0,284447000.0,284447000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,,,2145159000.0,1946023000.0,,,,,,,,,,1946023000.0,,,,,,1946023000.0,,,,,1946023000.0,,,,1946023000.0,,1946023000.0,1946023000.0,1946023000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,808995000.0,779160000.0,,,,,,,,,,779160000.0,,,,,,779160000.0,,,,,779160000.0,,,,779160000.0,,779160000.0,779160000.0,779160000.0,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,,,,48356000.0,89575000.0,,,,,,,,,,89575000.0,,,,,,89575000.0,,,,,89575000.0,,,,89575000.0,,89575000.0,89575000.0,89575000.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,,,,1244576000.0,1255898000.0,,,,,,,,,,1255898000.0,,,,,,1255898000.0,,,,,1255898000.0,,,,1255898000.0,,1255898000.0,1255898000.0,1255898000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,,,,,,1040400000.0,999190000.0,900583000.0,690125000.0,,,,,,,,,999190000.0,690125000.0,,,,,1040400000.0,690125000.0,,,,,690125000.0,,,,690125000.0,,690125000.0,690125000.0,690125000.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,,,,,28295000.0,21624000.0,-79846000.0,,,,,,,,,,21624000.0,,,,,,28295000.0,,,,,,,,,,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,,,27993000.0,22397000.0,21908000.0,,,,,,,,,,22397000.0,,,,,,27993000.0,,,,,,,,,,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,,,,,,,,,-41782000.0,-62817000.0,63972000.0,,,,,,,,,,-62817000.0,,,,,,-41782000.0,,,,,,,,,,,,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,184000.0,185000.0,184000.0,,,,,,,,,,185000.0,,,,,,184000.0,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,,,,,,,,4643000.0,55971000.0,-1347000.0,,,,,,,,,,55971000.0,,,,,,4643000.0,,,,,,,,,,,,,,CommonMetricExtracted
