,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,-65058.0,3219.0,205207.0,-11454.0,,,,,,,,,-65058.0,205207.0,,,,,,3219.0,,,,,-65058.0,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,27138.0,17164.0,17980.0,14795.0,93017.0,15235.0,7192.0,11454.0,,,,,,,27138.0,17980.0,93017.0,7192.0,,,,,17980.0,15235.0,,,,27138.0,93017.0,,,,14795.0,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,,,CommonMetricExtracted
NetIncome,,,-482.0,-32423.0,-21664.0,-64124.0,-113969.0,-107323.0,-414115.0,-510407.0,-306928.0,-185150.0,-620235.0,-769776.0,-571577.0,-35017.0,-242968.0,-149283.0,23498.0,-170340.0,,-482.0,-21664.0,-113969.0,-414115.0,-306928.0,-620235.0,-571577.0,-242968.0,23498.0,-482.0,-64124.0,-414115.0,-185150.0,-571577.0,-149283.0,,-21664.0,-414115.0,-620235.0,-242968.0,,-64124.0,-306928.0,-35017.0,,-306928.0,-64124.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,967.0,25813.0,,53139.0,,,,,,,,,25813.0,53139.0,,,,,967.0,53139.0,,,,,53139.0,,,,53139.0,,53139.0,53139.0,53139.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,0.0,5015.0,35400.0,4720.0,7789.0,5235.0,79401.0,36847.0,17986.0,967.0,25813.0,,53139.0,,,,0.0,35400.0,7789.0,79401.0,17986.0,25813.0,53139.0,,0.0,4720.0,79401.0,967.0,53139.0,,0.0,7789.0,17986.0,53139.0,,35400.0,36847.0,53139.0,35400.0,53139.0,53139.0,53139.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
