,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,569000.0,763000.0,3926000.0,3862000.0,5669000.0,,,,,,,,,763000.0,3862000.0,,,,,,3926000.0,,,,,763000.0,,,,569000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,11806000.0,12743000.0,10777000.0,,,,,,,,,,12743000.0,,,,,,11806000.0,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,13256000.0,13555000.0,36926000.0,30324000.0,33510000.0,,,,,,,,,13555000.0,30324000.0,,,,,,36926000.0,,,,,13555000.0,,,,13256000.0,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,8777000.0,9465000.0,17059000.0,19503000.0,16242000.0,,,,,,,,,9465000.0,19503000.0,,,,,,17059000.0,,,,,9465000.0,,,,8777000.0,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,-188000.0,-26000.0,-184000.0,-220000.0,970000.0,,,,,,,,,-26000.0,-220000.0,,,,,,-184000.0,,,,,-26000.0,,,,-188000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,38000.0,52000.0,-28000.0,221000.0,173000.0,,,,,,,,,52000.0,221000.0,,,,,,-28000.0,,,,,52000.0,,,,38000.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,-137336000.0,-144666000.0,-40116000.0,-71735000.0,-101879000.0,,,,,,,,,-144666000.0,-71735000.0,,,,,,-40116000.0,,,,,-144666000.0,,,,-137336000.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,47230000.0,81878000.0,39330000.0,,,,,,,,,47230000.0,39330000.0,,,,,,39330000.0,,,,,39330000.0,,,,39330000.0,,39330000.0,39330000.0,39330000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,1740000.0,2168000.0,2332000.0,3301000.0,,,,,,,,,2168000.0,3301000.0,,,,,1740000.0,3301000.0,,,,,3301000.0,,,,3301000.0,,3301000.0,3301000.0,3301000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,106332000.0,61190000.0,91220000.0,86045000.0,,,,,,,,,61190000.0,86045000.0,,,,,106332000.0,86045000.0,,,,,86045000.0,,,,86045000.0,,86045000.0,86045000.0,86045000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,19180000.0,21561000.0,17974000.0,,,,,,,,,19180000.0,17974000.0,,,,,,17974000.0,,,,,17974000.0,,,,17974000.0,,17974000.0,17974000.0,17974000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,0.0,17493000.0,17977000.0,16966000.0,,,,,,,,,17493000.0,16966000.0,,,,,0.0,16966000.0,,,,,16966000.0,,,,16966000.0,,16966000.0,16966000.0,16966000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,10625000.0,9589000.0,,,,,,,,,,9589000.0,,,,,,9589000.0,,,,,9589000.0,,,,9589000.0,,9589000.0,9589000.0,9589000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,136823000.0,123788000.0,162158000.0,161740000.0,,,,,,,,,123788000.0,161740000.0,,,,,136823000.0,161740000.0,,,,,161740000.0,,,,161740000.0,,161740000.0,161740000.0,161740000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,5048000.0,6260000.0,6983000.0,9394000.0,,,,,,,,,6260000.0,9394000.0,,,,,5048000.0,9394000.0,,,,,9394000.0,,,,9394000.0,,9394000.0,9394000.0,9394000.0,CommonMetricExtracted
