,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,-53775000.0,-5226000.0,-6060000.0,,,,,,,,,,-5226000.0,,,,,,-53775000.0,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,1941000.0,10539000.0,-2474000.0,96000.0,,,,,,,,,1941000.0,-2474000.0,,,,,,10539000.0,,,,,1941000.0,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,197793000.0,207677000.0,313885000.0,374371000.0,419923000.0,494363000.0,514969000.0,404724000.0,434197000.0,385094000.0,,,,,,207677000.0,374371000.0,494363000.0,404724000.0,385094000.0,,,197793000.0,374371000.0,514969000.0,385094000.0,,,207677000.0,494363000.0,385094000.0,,,419923000.0,385094000.0,,385094000.0,385094000.0,385094000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,1364000.0,1431000.0,1996000.0,1898000.0,16319000.0,8787000.0,2524000.0,66276000.0,98286000.0,76522000.0,,,,,,1431000.0,1898000.0,8787000.0,66276000.0,76522000.0,,,1364000.0,1898000.0,2524000.0,76522000.0,,,1431000.0,8787000.0,76522000.0,,,16319000.0,76522000.0,,76522000.0,76522000.0,76522000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,7452000.0,7547000.0,,,,,,,,,,7547000.0,,,,,,7547000.0,,,,,7547000.0,,,,7547000.0,,7547000.0,7547000.0,7547000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,2912000.0,18194000.0,17722000.0,17250000.0,10039000.0,100000.0,,,,,,,,18194000.0,17250000.0,100000.0,,,,,17722000.0,100000.0,,,,18194000.0,100000.0,,,2912000.0,100000.0,,100000.0,100000.0,100000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,258624000.0,278703000.0,376988000.0,458492000.0,508159000.0,617603000.0,651782000.0,614232000.0,654886000.0,526545000.0,,,,,,278703000.0,458492000.0,617603000.0,614232000.0,526545000.0,,,258624000.0,458492000.0,651782000.0,526545000.0,,,278703000.0,617603000.0,526545000.0,,,508159000.0,526545000.0,,526545000.0,526545000.0,526545000.0,CommonMetricExtracted
