,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,76856000.0,104382000.0,131556000.0,160820000.0,241752000.0,557690000.0,720653000.0,839922000.0,,,,,,,76856000.0,131556000.0,241752000.0,720653000.0,,,,,131556000.0,557690000.0,,,,76856000.0,241752000.0,,,,160820000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,3197000.0,6450000.0,12483000.0,23741000.0,34228000.0,59799000.0,115872000.0,149918000.0,,,,,,,3197000.0,12483000.0,34228000.0,115872000.0,,,,,12483000.0,59799000.0,,,,3197000.0,34228000.0,,,,23741000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,0.0,0.0,0.0,181000.0,260000.0,3886000.0,-1023000.0,-144513000.0,,,,,,,0.0,0.0,260000.0,-1023000.0,,,,,0.0,3886000.0,,,,0.0,260000.0,,,,181000.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,5837000.0,10917000.0,-55534000.0,-9382000.0,31366000.0,-84465000.0,-79880000.0,,,,,,,,10917000.0,-9382000.0,-84465000.0,,,,,10917000.0,31366000.0,,,,,-9382000.0,,,,-55534000.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,243101000.0,,212832000.0,211192000.0,,,,,,,,,,211192000.0,,,,,243101000.0,211192000.0,,,,,211192000.0,,,,211192000.0,,211192000.0,211192000.0,211192000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,10033000.0,16819000.0,10672000.0,76320000.0,,294117000.0,362000000.0,,,,,,,10033000.0,10672000.0,,362000000.0,,,,10033000.0,76320000.0,362000000.0,,,,10672000.0,362000000.0,,,16819000.0,362000000.0,,362000000.0,362000000.0,362000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,89533000.0,274320000.0,,615742000.0,,936248000.0,1027503000.0,,,,,,,89533000.0,,,1027503000.0,,,,89533000.0,615742000.0,1027503000.0,,,,,1027503000.0,,,274320000.0,1027503000.0,,1027503000.0,1027503000.0,1027503000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,1328457000.0,1745060000.0,,2909613000.0,,5638794000.0,7411954000.0,,,,,,,1328457000.0,,,7411954000.0,,,,1328457000.0,2909613000.0,7411954000.0,,,,,7411954000.0,,,1745060000.0,7411954000.0,,7411954000.0,7411954000.0,7411954000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,190520000.0,,134058000.0,105214000.0,,,,,,,,,,105214000.0,,,,,190520000.0,105214000.0,,,,,105214000.0,,,,105214000.0,,105214000.0,105214000.0,105214000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,1665085000.0,2487067000.0,,5504234000.0,,11340971000.0,13353699000.0,,,,,,,1665085000.0,,,13353699000.0,,,,1665085000.0,5504234000.0,13353699000.0,,,,,13353699000.0,,,2487067000.0,13353699000.0,,13353699000.0,13353699000.0,13353699000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,97464000.0,,129793000.0,,483497000.0,327228000.0,,,,,,,,,,327228000.0,,,,,129793000.0,327228000.0,,,,,327228000.0,,,97464000.0,327228000.0,,327228000.0,327228000.0,327228000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,38725000.0,75734000.0,,136754000.0,,478146000.0,830662000.0,,,,,,,38725000.0,,,830662000.0,,,,38725000.0,136754000.0,830662000.0,,,,,830662000.0,,,75734000.0,830662000.0,,830662000.0,830662000.0,830662000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,127268000.0,256350000.0,,436968000.0,,1351296000.0,1620878000.0,,,,,,,127268000.0,,,1620878000.0,,,,127268000.0,436968000.0,1620878000.0,,,,,1620878000.0,,,256350000.0,1620878000.0,,1620878000.0,1620878000.0,1620878000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,66453000.0,127406000.0,,436043000.0,,1086011000.0,1211676000.0,,,,,,,66453000.0,,,1211676000.0,,,,66453000.0,436043000.0,1211676000.0,,,,,1211676000.0,,,127406000.0,1211676000.0,,1211676000.0,1211676000.0,1211676000.0,CommonMetricExtracted
