,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,0.0,145877000.0,341543000.0,46199000.0,,,,,,,,,0.0,341543000.0,,,,,,145877000.0,,,,,0.0,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,0.0,86580000.0,324012000.0,40012000.0,,,,,,,,,0.0,324012000.0,,,,,,86580000.0,,,,,0.0,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,845000.0,12582000.0,18210000.0,15839000.0,,,,,,,,,845000.0,18210000.0,,,,,,12582000.0,,,,,845000.0,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,7912000.0,50058000.0,37104000.0,25999000.0,,,,,,,,,7912000.0,37104000.0,,,,,,50058000.0,,,,,7912000.0,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,8152000.0,5537000.0,,,,,,,,,,8152000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,35000.0,123000.0,,,,,,,,,,35000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,-166000.0,188000.0,519000.0,640000.0,,,,,,,,,-166000.0,519000.0,,,,,,188000.0,,,,,-166000.0,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,,0.0,-63000.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,105125000.0,203037000.0,109923000.0,27091000.0,,,,,,,,,203037000.0,27091000.0,,,,,105125000.0,27091000.0,,,,,27091000.0,,,,27091000.0,,27091000.0,27091000.0,27091000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,0.0,38960000.0,29814000.0,16713000.0,,,,,,,,,38960000.0,16713000.0,,,,,0.0,16713000.0,,,,,16713000.0,,,,16713000.0,,16713000.0,16713000.0,16713000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,5538000.0,31569000.0,4520000.0,3595000.0,,,,,,,,,31569000.0,3595000.0,,,,,5538000.0,3595000.0,,,,,3595000.0,,,,3595000.0,,3595000.0,3595000.0,3595000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,0.0,4378000.0,415000.0,107000.0,,,,,,,,,4378000.0,107000.0,,,,,0.0,107000.0,,,,,107000.0,,,,107000.0,,107000.0,107000.0,107000.0,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,110663000.0,390067000.0,279582000.0,68905000.0,,,,,,,,,390067000.0,68905000.0,,,,,110663000.0,68905000.0,,,,,68905000.0,,,,68905000.0,,68905000.0,68905000.0,68905000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,0.0,1786000.0,4538000.0,,,,,,,,,0.0,4538000.0,,,,,,4538000.0,,,,,4538000.0,,,,4538000.0,,4538000.0,4538000.0,4538000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,288026701.0,416713000.0,340753000.0,183889000.0,,,,,,,,,416713000.0,183889000.0,,,,,288026701.0,183889000.0,,,,,183889000.0,,,,183889000.0,,183889000.0,183889000.0,183889000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,6683000.0,75064000.0,106207000.0,45218000.0,,,,,,,,,75064000.0,45218000.0,,,,,6683000.0,45218000.0,,,,,45218000.0,,,,45218000.0,,45218000.0,45218000.0,45218000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,12047000.0,190331000.0,202543000.0,89060000.0,,,,,,,,,190331000.0,89060000.0,,,,,12047000.0,89060000.0,,,,,89060000.0,,,,89060000.0,,89060000.0,89060000.0,89060000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,,2234000.0,3677000.0,5106000.0,2978000.0,,,,,,,,,3677000.0,2978000.0,,,,,2234000.0,2978000.0,,,,,2978000.0,,,,2978000.0,,2978000.0,2978000.0,2978000.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,,18646412.0,129000000.0,116960000.0,57633000.0,,,,,,,,,129000000.0,57633000.0,,,,,18646412.0,57633000.0,,,,,57633000.0,,,,57633000.0,,57633000.0,57633000.0,57633000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,,,,,,,287713000.0,223793000.0,126256000.0,,,,,,,,,287713000.0,126256000.0,,,,,,126256000.0,,,,,126256000.0,,,,126256000.0,,126256000.0,126256000.0,126256000.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,,,,-1153887.0,-23346000.0,-92655000.0,-55860000.0,,,,,,,,,-1153887.0,-92655000.0,,,,,,-23346000.0,,,,,-1153887.0,,,,,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,,170000.0,2319000.0,30431000.0,58853000.0,,,,,,,,,170000.0,30431000.0,,,,,,2319000.0,,,,,170000.0,,,,,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,,,,,,,,-1170000.0,-13319000.0,-42542000.0,-58736000.0,,,,,,,,,-1170000.0,-42542000.0,,,,,,-13319000.0,,,,,-1170000.0,,,,,,,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,,,,,,,288877328.0,217771000.0,-5482000.0,-252000.0,,,,,,,,,288877328.0,-5482000.0,,,,,,217771000.0,,,,,288877328.0,,,,,,,,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,,,,0.0,59297000.0,17531000.0,6187000.0,,,,,,,,,0.0,17531000.0,,,,,,59297000.0,,,,,0.0,,,,,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,,,,,,,,0.023868151301593064,0.11985107902768458,,,,,,,,,,0.023868151301593064,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
