,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,6885000000.0,8952000000.0,8849000000.0,9079000000.0,8422000000.0,11295000000.0,15868000000.0,14674000000.0,12351000000.0,10629000000.0,9478000000.0,9821000000.0,9093000000.0,26989000000.0,31543000000.0,28823000000.0,28130000000.0,,,8952000000.0,9079000000.0,11295000000.0,14674000000.0,10629000000.0,9821000000.0,26989000000.0,28823000000.0,,8849000000.0,11295000000.0,12351000000.0,9821000000.0,31543000000.0,,8952000000.0,11295000000.0,10629000000.0,26989000000.0,,8849000000.0,14674000000.0,9093000000.0,,14674000000.0,8849000000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,7303000000.0,6540000000.0,20482000000.0,27446000000.0,26526000000.0,22100000000.0,,,,,,,,7303000000.0,20482000000.0,26526000000.0,,,,,7303000000.0,27446000000.0,,,,,20482000000.0,,,,6540000000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,319000000.0,550000000.0,598000000.0,668000000.0,892000000.0,904000000.0,1042000000.0,1228000000.0,1101000000.0,907000000.0,799000000.0,827000000.0,933000000.0,1293000000.0,1228000000.0,1968000000.0,2031000000.0,,,550000000.0,668000000.0,904000000.0,1228000000.0,907000000.0,827000000.0,1293000000.0,1968000000.0,,598000000.0,904000000.0,1101000000.0,827000000.0,1228000000.0,,550000000.0,904000000.0,907000000.0,1293000000.0,,598000000.0,1228000000.0,933000000.0,,1228000000.0,598000000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,2273000000.0,2159000000.0,1308000000.0,635000000.0,350000000.0,343000000.0,1271000000.0,-4040000000.0,527000000.0,-587000000.0,982000000.0,1290000000.0,1105000000.0,3341000000.0,2018000000.0,384000000.0,2424000000.0,,,2159000000.0,635000000.0,343000000.0,-4040000000.0,-587000000.0,1290000000.0,3341000000.0,384000000.0,,1308000000.0,343000000.0,527000000.0,1290000000.0,2018000000.0,,2159000000.0,343000000.0,-587000000.0,3341000000.0,,1308000000.0,-4040000000.0,1105000000.0,,-4040000000.0,1308000000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,417000000.0,667000000.0,651000000.0,,,,,,,,,,667000000.0,,,,,,417000000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,713000000.0,728000000.0,277000000.0,-843000000.0,-327000000.0,-282000000.0,3000000.0,1345000000.0,25000000.0,8000000.0,7000000.0,-3334000000.0,251000000.0,672000000.0,442000000.0,-11000000.0,323000000.0,,,728000000.0,-843000000.0,-282000000.0,1345000000.0,8000000.0,-3334000000.0,672000000.0,-11000000.0,,277000000.0,-282000000.0,25000000.0,-3334000000.0,442000000.0,,728000000.0,-282000000.0,8000000.0,672000000.0,,277000000.0,1345000000.0,251000000.0,,1345000000.0,277000000.0,,CommonMetricExtracted
NetIncome,,,,1225000000.0,941000000.0,476000000.0,197000000.0,579000000.0,-352000000.0,132000000.0,-6436000000.0,-891000000.0,-2337000000.0,268000000.0,4441000000.0,510000000.0,2187000000.0,1221000000.0,-202000000.0,1125000000.0,,,941000000.0,197000000.0,-352000000.0,-6436000000.0,-2337000000.0,4441000000.0,2187000000.0,-202000000.0,,476000000.0,-352000000.0,-891000000.0,4441000000.0,1221000000.0,,941000000.0,-352000000.0,-2337000000.0,2187000000.0,,476000000.0,-6436000000.0,510000000.0,,-6436000000.0,476000000.0,,CommonMetricExtracted
Cash,,,1132000000.0,1494000000.0,2304000000.0,2951000000.0,1105000000.0,2087000000.0,2254000000.0,2116000000.0,1518000000.0,,991000000.0,563000000.0,,3905000000.0,250000000.0,430000000.0,541000000.0,966000000.0,,1494000000.0,2951000000.0,2087000000.0,2116000000.0,,563000000.0,3905000000.0,430000000.0,966000000.0,2304000000.0,2087000000.0,1518000000.0,563000000.0,250000000.0,966000000.0,1494000000.0,2087000000.0,,3905000000.0,966000000.0,2304000000.0,2116000000.0,,966000000.0,2116000000.0,966000000.0,966000000.0,966000000.0,CommonMetricExtracted
CurrentReceivables,,,,,876000000.0,734000000.0,834000000.0,1061000000.0,1214000000.0,1322000000.0,1157000000.0,,1079000000.0,1024000000.0,,904000000.0,3245000000.0,4773000000.0,3542000000.0,3488000000.0,,,734000000.0,1061000000.0,1322000000.0,,1024000000.0,904000000.0,4773000000.0,3488000000.0,876000000.0,1061000000.0,1157000000.0,1024000000.0,3245000000.0,3488000000.0,,1061000000.0,,904000000.0,3488000000.0,876000000.0,1322000000.0,,3488000000.0,1322000000.0,3488000000.0,3488000000.0,3488000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,279000000.0,296000000.0,273000000.0,535000000.0,498000000.0,447000000.0,455000000.0,,261000000.0,302000000.0,,257000000.0,395000000.0,383000000.0,626000000.0,830000000.0,,,296000000.0,535000000.0,447000000.0,,302000000.0,257000000.0,383000000.0,830000000.0,279000000.0,535000000.0,455000000.0,302000000.0,395000000.0,830000000.0,,535000000.0,,257000000.0,830000000.0,279000000.0,447000000.0,,830000000.0,447000000.0,830000000.0,830000000.0,830000000.0,CommonMetricExtracted
Inventory,,,,,541000000.0,453000000.0,308000000.0,931000000.0,898000000.0,1247000000.0,1252000000.0,,532000000.0,412000000.0,,327000000.0,498000000.0,751000000.0,607000000.0,478000000.0,,,453000000.0,931000000.0,1247000000.0,,412000000.0,327000000.0,751000000.0,478000000.0,541000000.0,931000000.0,1252000000.0,412000000.0,498000000.0,478000000.0,,931000000.0,,327000000.0,478000000.0,541000000.0,1247000000.0,,478000000.0,1247000000.0,478000000.0,478000000.0,478000000.0,CommonMetricExtracted
