,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,5485515000.0,6703623000.0,7080136000.0,7731190000.0,8340579000.0,9436113000.0,10431191000.0,9175840000.0,8701698000.0,,,,,,,6703623000.0,7731190000.0,9436113000.0,9175840000.0,,,,5485515000.0,7731190000.0,10431191000.0,,,,6703623000.0,9436113000.0,,,,8340579000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,4163833000.0,4578071000.0,4581765000.0,4445460000.0,4603826000.0,4656758000.0,4742413000.0,5785053000.0,6086418000.0,6593092000.0,7040637000.0,7988556000.0,8794624000.0,7506315000.0,6935682000.0,,,,4578071000.0,4445460000.0,4656758000.0,5785053000.0,6593092000.0,7988556000.0,7506315000.0,,4163833000.0,4445460000.0,4742413000.0,6593092000.0,8794624000.0,,,4445460000.0,5785053000.0,7988556000.0,,4163833000.0,4656758000.0,7040637000.0,,4656758000.0,4163833000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,519065000.0,556689000.0,565206000.0,564910000.0,576967000.0,584906000.0,585243000.0,723328000.0,756529000.0,880737000.0,1013765000.0,1117130000.0,1216660000.0,1236243000.0,1343151000.0,,,,556689000.0,564910000.0,584906000.0,723328000.0,880737000.0,1117130000.0,1236243000.0,,519065000.0,564910000.0,585243000.0,880737000.0,1216660000.0,,,564910000.0,723328000.0,1117130000.0,,519065000.0,584906000.0,1013765000.0,,584906000.0,519065000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,124076000.0,147383000.0,148153000.0,121237000.0,131003000.0,126519000.0,148832000.0,179265000.0,233483000.0,240594000.0,271575000.0,332061000.0,413700000.0,419795000.0,388584000.0,,,,147383000.0,121237000.0,126519000.0,179265000.0,240594000.0,332061000.0,419795000.0,,124076000.0,121237000.0,148832000.0,240594000.0,413700000.0,,,121237000.0,179265000.0,332061000.0,,124076000.0,126519000.0,271575000.0,,126519000.0,124076000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,39497000.0,41124000.0,58036000.0,,,,,,,,,,41124000.0,,,,,,39497000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,39689000.0,41454000.0,51905000.0,43503000.0,48688000.0,43325000.0,54768000.0,68415000.0,48225000.0,52309000.0,55812000.0,73212000.0,93825000.0,96545000.0,83222000.0,,,,41454000.0,43503000.0,43325000.0,68415000.0,52309000.0,73212000.0,96545000.0,,39689000.0,43503000.0,54768000.0,52309000.0,93825000.0,,,43503000.0,68415000.0,73212000.0,,39689000.0,43325000.0,55812000.0,,43325000.0,39689000.0,,CommonMetricExtracted
NetIncome,,,,,,75485000.0,100235000.0,92763000.0,71021000.0,75684000.0,75851000.0,84690000.0,90683000.0,163677000.0,159407000.0,172640000.0,219345000.0,280608000.0,281309000.0,249691000.0,,,,100235000.0,71021000.0,75851000.0,90683000.0,159407000.0,219345000.0,281309000.0,,75485000.0,71021000.0,84690000.0,159407000.0,280608000.0,,,71021000.0,90683000.0,219345000.0,,75485000.0,75851000.0,172640000.0,,75851000.0,75485000.0,,CommonMetricExtracted
Cash,,,,49175000.0,68066000.0,123763000.0,128336000.0,152119000.0,126817000.0,164524000.0,187978000.0,202882000.0,105831000.0,142655000.0,114668000.0,128313000.0,103840000.0,163637000.0,268730000.0,259234000.0,,49175000.0,123763000.0,152119000.0,164524000.0,202882000.0,142655000.0,128313000.0,163637000.0,259234000.0,68066000.0,152119000.0,187978000.0,142655000.0,103840000.0,259234000.0,49175000.0,152119000.0,202882000.0,128313000.0,259234000.0,68066000.0,164524000.0,114668000.0,259234000.0,164524000.0,259234000.0,259234000.0,259234000.0,CommonMetricExtracted
CurrentReceivables,,,,,,1135951000.0,1208276000.0,1371356000.0,1257910000.0,1309209000.0,1315094000.0,1436742000.0,1814560000.0,1931736000.0,2511383000.0,2685448000.0,2936732000.0,3272371000.0,3568290000.0,4172104000.0,,,1135951000.0,1371356000.0,1309209000.0,1436742000.0,1931736000.0,2685448000.0,3272371000.0,4172104000.0,,1371356000.0,1315094000.0,1931736000.0,2936732000.0,4172104000.0,,1371356000.0,1436742000.0,2685448000.0,4172104000.0,,1309209000.0,2511383000.0,4172104000.0,1309209000.0,4172104000.0,4172104000.0,4172104000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,119820000.0,148203000.0,194529000.0,148503000.0,190833000.0,185650000.0,328101000.0,265154000.0,184605000.0,122581000.0,,,,,,148203000.0,148503000.0,185650000.0,265154000.0,122581000.0,,,119820000.0,148503000.0,328101000.0,122581000.0,,,148203000.0,185650000.0,122581000.0,,,190833000.0,122581000.0,,122581000.0,122581000.0,122581000.0,CommonMetricExtracted
