,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,909918000.0,891820000.0,831282000.0,855575000.0,914530000.0,829455000.0,,,,,,,,909918000.0,831282000.0,914530000.0,,,,,909918000.0,855575000.0,,,,,831282000.0,,,,891820000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,56064000.0,61361000.0,65672000.0,74008000.0,84513000.0,94561000.0,328449000.0,346139000.0,271905000.0,254127000.0,242192000.0,222097000.0,214186000.0,223098000.0,187412000.0,,,,61361000.0,74008000.0,94561000.0,346139000.0,254127000.0,222097000.0,223098000.0,,56064000.0,74008000.0,328449000.0,254127000.0,214186000.0,,,74008000.0,346139000.0,222097000.0,,56064000.0,94561000.0,242192000.0,,94561000.0,56064000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,99059000.0,105271000.0,109624000.0,116807000.0,129611000.0,136446000.0,293335000.0,328628000.0,312536000.0,291870000.0,276523000.0,242730000.0,264191000.0,276913000.0,270979000.0,,,,105271000.0,116807000.0,136446000.0,328628000.0,291870000.0,242730000.0,276913000.0,,99059000.0,116807000.0,293335000.0,291870000.0,264191000.0,,,116807000.0,328628000.0,242730000.0,,99059000.0,136446000.0,276523000.0,,136446000.0,99059000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,36650000.0,40628000.0,49478000.0,61546000.0,70454000.0,75242000.0,208630000.0,232701000.0,215076000.0,203588000.0,188294000.0,179163000.0,171131000.0,176173000.0,161213000.0,,,,40628000.0,61546000.0,75242000.0,232701000.0,203588000.0,179163000.0,176173000.0,,36650000.0,61546000.0,208630000.0,203588000.0,171131000.0,,,61546000.0,232701000.0,179163000.0,,36650000.0,75242000.0,188294000.0,,75242000.0,36650000.0,,CommonMetricExtracted
OperatingMargin,,,,,,-2832000.0,-1772000.0,-2765000.0,-793000.0,-158000.0,-1808000.0,-6889000.0,-9879000.0,-14601000.0,-21332000.0,-15714000.0,-14826000.0,-5742000.0,-9249000.0,5316000.0,,,,-1772000.0,-793000.0,-1808000.0,-9879000.0,-21332000.0,-14826000.0,-9249000.0,,-2832000.0,-793000.0,-6889000.0,-21332000.0,-5742000.0,,,-793000.0,-9879000.0,-14826000.0,,-2832000.0,-1808000.0,-15714000.0,,-1808000.0,-2832000.0,,CommonMetricExtracted
Interest,,,,,,3464000.0,2452000.0,1766000.0,1291000.0,768000.0,773000.0,6329000.0,9184000.0,12633000.0,26143000.0,20597000.0,10879000.0,8048000.0,10248000.0,8651000.0,,,,2452000.0,1291000.0,773000.0,9184000.0,26143000.0,10879000.0,10248000.0,,3464000.0,1291000.0,6329000.0,26143000.0,8048000.0,,,1291000.0,9184000.0,10879000.0,,3464000.0,773000.0,20597000.0,,773000.0,3464000.0,,CommonMetricExtracted
Taxes,,,,,,15154000.0,19028000.0,18490000.0,23127000.0,28750000.0,33773000.0,-4070000.0,18894000.0,-98471000.0,-19588000.0,4678000.0,2952000.0,7018000.0,8767000.0,3224000.0,,,,19028000.0,23127000.0,33773000.0,18894000.0,-19588000.0,2952000.0,8767000.0,,15154000.0,23127000.0,-4070000.0,-19588000.0,7018000.0,,,23127000.0,18894000.0,2952000.0,,15154000.0,33773000.0,4678000.0,,33773000.0,15154000.0,,CommonMetricExtracted
NetIncome,,,,,,27917000.0,37265000.0,32428000.0,40609000.0,49106000.0,61192000.0,-28369000.0,33291000.0,79812000.0,-73324000.0,-2754000.0,19352000.0,35874000.0,59648000.0,-147734000.0,,,,37265000.0,40609000.0,61192000.0,33291000.0,-73324000.0,19352000.0,59648000.0,,27917000.0,40609000.0,-28369000.0,-73324000.0,35874000.0,,,40609000.0,33291000.0,19352000.0,,27917000.0,61192000.0,-2754000.0,,61192000.0,27917000.0,,CommonMetricExtracted
Cash,,,,,82222000.0,63322000.0,67168000.0,117255000.0,99930000.0,102076000.0,104893000.0,210711000.0,304880000.0,369821000.0,409632000.0,338489000.0,467176000.0,636161000.0,386794000.0,389674000.0,,,63322000.0,117255000.0,102076000.0,210711000.0,369821000.0,338489000.0,636161000.0,389674000.0,82222000.0,117255000.0,104893000.0,369821000.0,467176000.0,389674000.0,,117255000.0,210711000.0,338489000.0,389674000.0,82222000.0,102076000.0,409632000.0,389674000.0,102076000.0,389674000.0,389674000.0,389674000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,62801000.0,69795000.0,73900000.0,60518000.0,82226000.0,247199000.0,294374000.0,213438000.0,235318000.0,213514000.0,197717000.0,148245000.0,143855000.0,192096000.0,,,,69795000.0,60518000.0,247199000.0,213438000.0,213514000.0,148245000.0,192096000.0,,69795000.0,82226000.0,213438000.0,197717000.0,192096000.0,,69795000.0,247199000.0,213514000.0,192096000.0,,60518000.0,235318000.0,192096000.0,60518000.0,192096000.0,192096000.0,192096000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,4814000.0,6162000.0,9043000.0,11496000.0,13495000.0,78399000.0,36972000.0,33502000.0,35658000.0,24039000.0,23583000.0,32927000.0,34316000.0,32094000.0,,,,6162000.0,11496000.0,78399000.0,33502000.0,24039000.0,32927000.0,32094000.0,,6162000.0,13495000.0,33502000.0,23583000.0,32094000.0,,6162000.0,78399000.0,24039000.0,32094000.0,,11496000.0,35658000.0,32094000.0,11496000.0,32094000.0,32094000.0,32094000.0,CommonMetricExtracted
Inventory,,,,,,,8925000.0,8021000.0,7563000.0,12580000.0,12130000.0,58029000.0,40002000.0,34774000.0,26270000.0,22227000.0,22813000.0,28220000.0,17956000.0,14095000.0,,,,8021000.0,12580000.0,58029000.0,34774000.0,22227000.0,28220000.0,14095000.0,,8021000.0,12130000.0,34774000.0,22813000.0,14095000.0,,8021000.0,58029000.0,22227000.0,14095000.0,,12580000.0,26270000.0,14095000.0,12580000.0,14095000.0,14095000.0,14095000.0,CommonMetricExtracted
CurrentAssets,,,,,,,283726000.0,289687000.0,237312000.0,278762000.0,337284000.0,740478000.0,854466000.0,752408000.0,801222000.0,659743000.0,722472000.0,921939000.0,617360000.0,672494000.0,,,,289687000.0,278762000.0,740478000.0,752408000.0,659743000.0,921939000.0,672494000.0,,289687000.0,337284000.0,752408000.0,722472000.0,672494000.0,,289687000.0,740478000.0,659743000.0,672494000.0,,278762000.0,801222000.0,672494000.0,278762000.0,672494000.0,672494000.0,672494000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,13467000.0,16457000.0,19678000.0,23098000.0,23864000.0,62033000.0,61393000.0,52511000.0,58951000.0,57715000.0,48474000.0,41337000.0,34735000.0,26487000.0,,,,16457000.0,23098000.0,62033000.0,52511000.0,57715000.0,41337000.0,26487000.0,,16457000.0,23864000.0,52511000.0,48474000.0,26487000.0,,16457000.0,62033000.0,57715000.0,26487000.0,,23098000.0,58951000.0,26487000.0,23098000.0,26487000.0,26487000.0,26487000.0,CommonMetricExtracted
Goodwill,,,,,,128177000.0,128177000.0,170384000.0,202453000.0,203446000.0,197445000.0,1709369000.0,1718162000.0,1712764000.0,1715485000.0,1725680000.0,1717554000.0,1723156000.0,1724404000.0,1502820000.0,,,128177000.0,170384000.0,203446000.0,1709369000.0,1712764000.0,1725680000.0,1723156000.0,1502820000.0,,170384000.0,197445000.0,1712764000.0,1717554000.0,1502820000.0,,170384000.0,1709369000.0,1725680000.0,1502820000.0,,203446000.0,1715485000.0,1502820000.0,203446000.0,1502820000.0,1502820000.0,1502820000.0,CommonMetricExtracted
