,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,3434300000.0,3753700000.0,3852100000.0,3995000000.0,4361100000.0,4432600000.0,4361800000.0,4727800000.0,,,,,,,3434300000.0,3852100000.0,4361100000.0,4361800000.0,,,,,3852100000.0,4432600000.0,,,,3434300000.0,4361100000.0,,,,3995000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,1406000000.0,1296700000.0,1408600000.0,1287700000.0,1155500000.0,1186900000.0,1224000000.0,1416900000.0,1769400000.0,2321400000.0,2499900000.0,1643500000.0,1406500000.0,2877700000.0,7325000000.0,9762300000.0,,,1406000000.0,1408600000.0,1155500000.0,1224000000.0,1769400000.0,2499900000.0,1406500000.0,7325000000.0,,1296700000.0,1155500000.0,1416900000.0,2499900000.0,2877700000.0,,1406000000.0,1155500000.0,1769400000.0,1406500000.0,,1296700000.0,1224000000.0,1643500000.0,,1224000000.0,1296700000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,990500000.0,5343000000.0,7585200000.0,,,,,,,,,,5343000000.0,,,,,,990500000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,391000000.0,320300000.0,280100000.0,305000000.0,344200000.0,378400000.0,491200000.0,484600000.0,434900000.0,401400000.0,451900000.0,418300000.0,464800000.0,430300000.0,357500000.0,628400000.0,,,391000000.0,280100000.0,344200000.0,491200000.0,434900000.0,451900000.0,464800000.0,357500000.0,,320300000.0,344200000.0,484600000.0,451900000.0,430300000.0,,391000000.0,344200000.0,434900000.0,464800000.0,,320300000.0,491200000.0,418300000.0,,491200000.0,320300000.0,,CommonMetricExtracted
NetIncome,,,,794800000.0,864200000.0,669500000.0,603600000.0,687300000.0,731300000.0,811800000.0,973800000.0,1032500000.0,1199000000.0,1556400000.0,1492200000.0,1209300000.0,1545300000.0,1336000000.0,1107300000.0,2031100000.0,,,864200000.0,603600000.0,731300000.0,973800000.0,1199000000.0,1492200000.0,1545300000.0,1107300000.0,,669500000.0,731300000.0,1032500000.0,1492200000.0,1336000000.0,,864200000.0,731300000.0,1199000000.0,1545300000.0,,669500000.0,973800000.0,1209300000.0,,973800000.0,669500000.0,,CommonMetricExtracted
Cash,,,3921600000.0,2648200000.0,2491800000.0,2818000000.0,4315300000.0,3752700000.0,3162400000.0,3050600000.0,6444600000.0,5332000000.0,4518100000.0,4581600000.0,4459200000.0,4389500000.0,3056800000.0,4654200000.0,4791500000.0,4677200000.0,,2648200000.0,2818000000.0,3752700000.0,3050600000.0,5332000000.0,4581600000.0,4389500000.0,4654200000.0,4677200000.0,2491800000.0,3752700000.0,6444600000.0,4581600000.0,3056800000.0,4677200000.0,2648200000.0,3752700000.0,5332000000.0,4389500000.0,4677200000.0,2491800000.0,3050600000.0,4459200000.0,4677200000.0,3050600000.0,4677200000.0,4677200000.0,4677200000.0,CommonMetricExtracted
CurrentReceivables,,,,,794800000.0,701300000.0,778300000.0,2049100000.0,1355200000.0,1568800000.0,2157000000.0,1043700000.0,1647000000.0,1646100000.0,845700000.0,34919900000.0,42421800000.0,44591600000.0,47829600000.0,43431700000.0,,,701300000.0,2049100000.0,1568800000.0,1043700000.0,1646100000.0,34919900000.0,44591600000.0,43431700000.0,794800000.0,2049100000.0,2157000000.0,1646100000.0,42421800000.0,43431700000.0,,2049100000.0,1043700000.0,34919900000.0,43431700000.0,794800000.0,1568800000.0,845700000.0,43431700000.0,1568800000.0,43431700000.0,43431700000.0,43431700000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,543500000.0,504500000.0,494500000.0,469900000.0,458800000.0,444300000.0,446900000.0,466600000.0,464600000.0,428200000.0,483300000.0,514900000.0,488700000.0,500500000.0,502200000.0,490300000.0,,,504500000.0,469900000.0,444300000.0,466600000.0,428200000.0,514900000.0,500500000.0,490300000.0,543500000.0,469900000.0,446900000.0,428200000.0,488700000.0,490300000.0,,469900000.0,466600000.0,514900000.0,490300000.0,543500000.0,444300000.0,483300000.0,490300000.0,444300000.0,490300000.0,490300000.0,490300000.0,CommonMetricExtracted
Goodwill,,,,389400000.0,401600000.0,400900000.0,532000000.0,537800000.0,540700000.0,533200000.0,526400000.0,519400000.0,605600000.0,669300000.0,696800000.0,707200000.0,706200000.0,691300000.0,702300000.0,694900000.0,,389400000.0,400900000.0,537800000.0,533200000.0,519400000.0,669300000.0,707200000.0,691300000.0,694900000.0,401600000.0,537800000.0,526400000.0,669300000.0,706200000.0,694900000.0,389400000.0,537800000.0,519400000.0,707200000.0,694900000.0,401600000.0,533200000.0,696800000.0,694900000.0,533200000.0,694900000.0,694900000.0,694900000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,82053600000.0,82141500000.0,83843900000.0,100223700000.0,97463800000.0,102947300000.0,109946500000.0,116749600000.0,123926900000.0,138590500000.0,132212500000.0,136828400000.0,170003900000.0,183889800000.0,155036700000.0,150783100000.0,155508400000.0,,82053600000.0,83843900000.0,97463800000.0,109946500000.0,123926900000.0,132212500000.0,170003900000.0,155036700000.0,155508400000.0,82141500000.0,97463800000.0,116749600000.0,132212500000.0,183889800000.0,155508400000.0,82053600000.0,97463800000.0,123926900000.0,170003900000.0,155508400000.0,82141500000.0,109946500000.0,136828400000.0,155508400000.0,109946500000.0,155508400000.0,155508400000.0,155508400000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,75781700000.0,78491100000.0,69593200000.0,96928500000.0,94688800000.0,,,,,,,,75781700000.0,69593200000.0,94688800000.0,,,,,78491100000.0,94688800000.0,,,,75781700000.0,94688800000.0,,,,94688800000.0,,94688800000.0,94688800000.0,94688800000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,2066200000.0,4065000000.0,4081300000.0,,,,,,,,,2066200000.0,4081300000.0,,,,,,4081300000.0,,,,,4081300000.0,,,,4081300000.0,,4081300000.0,4081300000.0,4081300000.0,CommonMetricExtracted
LongtermLiability,,,,,2305800000.0,10601600000.0,26280400000.0,24031800000.0,18770500000.0,25538200000.0,30155400000.0,30162900000.0,28591000000.0,22728100000.0,26292100000.0,43110700000.0,48315500000.0,25340300000.0,22831100000.0,24353500000.0,,,10601600000.0,24031800000.0,25538200000.0,30162900000.0,22728100000.0,43110700000.0,25340300000.0,24353500000.0,2305800000.0,24031800000.0,30155400000.0,22728100000.0,48315500000.0,24353500000.0,,24031800000.0,30162900000.0,43110700000.0,24353500000.0,2305800000.0,25538200000.0,26292100000.0,24353500000.0,25538200000.0,24353500000.0,24353500000.0,24353500000.0,CommonMetricExtracted
TotalLiability,,,,,75829400000.0,77013600000.0,93106400000.0,89936800000.0,95035300000.0,101497600000.0,108043700000.0,114156500000.0,128374300000.0,121704200000.0,125737400000.0,158315600000.0,171873000000.0,143777200000.0,138885200000.0,142720000000.0,,,77013600000.0,89936800000.0,101497600000.0,114156500000.0,121704200000.0,158315600000.0,143777200000.0,142720000000.0,75829400000.0,89936800000.0,108043700000.0,121704200000.0,171873000000.0,142720000000.0,,89936800000.0,114156500000.0,158315600000.0,142720000000.0,75829400000.0,101497600000.0,125737400000.0,142720000000.0,101497600000.0,142720000000.0,142720000000.0,142720000000.0,CommonMetricExtracted
ShareholderEquity,,,,6389400000.0,6312100000.0,6830300000.0,7117300000.0,7527000000.0,7912000000.0,8448900000.0,8705900000.0,9770400000.0,10216200000.0,10508300000.0,11091000000.0,11688300000.0,12016800000.0,11259500000.0,11897900000.0,12788400000.0,,6389400000.0,6830300000.0,7527000000.0,8448900000.0,9770400000.0,10508300000.0,11688300000.0,11259500000.0,12788400000.0,6312100000.0,7527000000.0,8705900000.0,10508300000.0,12016800000.0,12788400000.0,6389400000.0,7527000000.0,9770400000.0,11688300000.0,12788400000.0,6312100000.0,8448900000.0,11091000000.0,12788400000.0,8448900000.0,12788400000.0,12788400000.0,12788400000.0,CommonMetricExtracted
OperatingCashFlow,,,,855300000.0,1014700000.0,790200000.0,1254300000.0,814400000.0,839300000.0,936000000.0,1834400000.0,1510000000.0,1720400000.0,1767500000.0,2592000000.0,1896800000.0,1356000000.0,2392400000.0,2625600000.0,-486000000.0,,,1014700000.0,1254300000.0,839300000.0,1834400000.0,1720400000.0,2592000000.0,1356000000.0,2625600000.0,,790200000.0,839300000.0,1510000000.0,2592000000.0,2392400000.0,,1014700000.0,839300000.0,1720400000.0,1356000000.0,,790200000.0,1834400000.0,1896800000.0,,1834400000.0,790200000.0,,CommonMetricExtracted
CapitalExpenditures,,,,102300000.0,132600000.0,90500000.0,96900000.0,73300000.0,91900000.0,81900000.0,98500000.0,111300000.0,91600000.0,97600000.0,158000000.0,135800000.0,95500000.0,128600000.0,116500000.0,101500000.0,,,132600000.0,96900000.0,91900000.0,98500000.0,91600000.0,158000000.0,95500000.0,116500000.0,,90500000.0,91900000.0,111300000.0,158000000.0,128600000.0,,132600000.0,91900000.0,91600000.0,95500000.0,,90500000.0,98500000.0,135800000.0,,98500000.0,90500000.0,,CommonMetricExtracted
InvestingCashFlow,,,,-14347200000.0,-1678600000.0,-1768000000.0,-15388400000.0,1627600000.0,-5683300000.0,-8212400000.0,-6900100000.0,-10192100000.0,-14021600000.0,4327100000.0,-3405000000.0,-29923000000.0,-18602600000.0,25929800000.0,4784100000.0,-2563500000.0,,,-1678600000.0,-15388400000.0,-5683300000.0,-6900100000.0,-14021600000.0,-3405000000.0,-18602600000.0,4784100000.0,,-1768000000.0,-5683300000.0,-10192100000.0,-3405000000.0,25929800000.0,,-1678600000.0,-5683300000.0,-14021600000.0,-18602600000.0,,-1768000000.0,-6900100000.0,-29923000000.0,,-6900100000.0,-1768000000.0,,CommonMetricExtracted
DividendsPaid,,,,247700000.0,306900000.0,273200000.0,273700000.0,354300000.0,220600000.0,302900000.0,348400000.0,356400000.0,406600000.0,451800000.0,576100000.0,630500000.0,625100000.0,796700000.0,663300000.0,644100000.0,,,306900000.0,273700000.0,220600000.0,348400000.0,406600000.0,576100000.0,625100000.0,663300000.0,,273200000.0,220600000.0,356400000.0,576100000.0,796700000.0,,306900000.0,220600000.0,406600000.0,625100000.0,,273200000.0,348400000.0,630500000.0,,348400000.0,273200000.0,,CommonMetricExtracted
FinancingCashFlow,,,,12376100000.0,421200000.0,1145100000.0,15803600000.0,-3072900000.0,4388300000.0,7073700000.0,8534100000.0,7536900000.0,11252700000.0,-5818200000.0,615900000.0,27871900000.0,16073500000.0,-26437400000.0,-7182600000.0,3439500000.0,,,421200000.0,15803600000.0,4388300000.0,8534100000.0,11252700000.0,615900000.0,16073500000.0,-7182600000.0,,1145100000.0,4388300000.0,7536900000.0,615900000.0,-26437400000.0,,421200000.0,4388300000.0,11252700000.0,16073500000.0,,1145100000.0,8534100000.0,27871900000.0,,8534100000.0,1145100000.0,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,,0.5152141630026498,0.6184298159149639,0.6489706913112329,0.4113892365456821,0.32251037582261355,0.6492126517168253,1.6793525608693658,2.064871610474216,,,,,,,0.5152141630026498,0.6489706913112329,0.32251037582261355,1.6793525608693658,,,,,0.6489706913112329,0.6492126517168253,,,,0.5152141630026498,0.32251037582261355,,,,0.4113892365456821,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,0.3441984918511311,0.729419795221843,0.7769890292246704,,,,,,,,,,0.729419795221843,,,,,,0.3441984918511311,,,,,,,,,,,,,,CommonMetricCalculated
