,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,33727000.0,59140000.0,96279000.0,131905000.0,162784000.0,,,,,,,,,59140000.0,131905000.0,,,,,,96279000.0,,,,,59140000.0,,,,33727000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,10422000.0,15459000.0,30807000.0,50075000.0,63677000.0,76871000.0,,,,,,,,10422000.0,30807000.0,63677000.0,,,,,10422000.0,50075000.0,,,,,30807000.0,,,,15459000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,19805000.0,33727000.0,59140000.0,93934000.0,123967000.0,150823000.0,,,,,,,,19805000.0,59140000.0,123967000.0,,,,,19805000.0,93934000.0,,,,,59140000.0,,,,33727000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,9181000.0,19058000.0,30324000.0,,,,,,,,,,19058000.0,,,,,,9181000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,55000.0,253000.0,4057000.0,19758000.0,-14822000.0,1269000.0,,,,,,,,55000.0,4057000.0,-14822000.0,,,,,55000.0,19758000.0,,,,,4057000.0,,,,253000.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,0.0,-518000.0,104000.0,88000.0,53000.0,-63000.0,,,,,,,,0.0,104000.0,53000.0,,,,,0.0,88000.0,,,,,104000.0,,,,-518000.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,1950000.0,1556000.0,92643000.0,7603000.0,70543000.0,29929000.0,14320000.0,,,,,,,1950000.0,92643000.0,70543000.0,14320000.0,,,,1950000.0,7603000.0,14320000.0,,,,92643000.0,14320000.0,,,1556000.0,14320000.0,,14320000.0,14320000.0,14320000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,547733000.0,926392000.0,1308230000.0,1610705000.0,1971665000.0,,,,,,,,547733000.0,1308230000.0,1971665000.0,,,,,926392000.0,1971665000.0,,,,547733000.0,1971665000.0,,,,1971665000.0,,1971665000.0,1971665000.0,1971665000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,75024000.0,124772000.0,151006000.0,161354000.0,164392000.0,,,,,,,,75024000.0,151006000.0,164392000.0,,,,,124772000.0,164392000.0,,,,75024000.0,164392000.0,,,,164392000.0,,164392000.0,164392000.0,164392000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,725815000.0,1068441000.0,1605692000.0,1946236000.0,2259346000.0,,,,,,,,725815000.0,1605692000.0,2259346000.0,,,,,1068441000.0,2259346000.0,,,,725815000.0,2259346000.0,,,,2259346000.0,,2259346000.0,2259346000.0,2259346000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,174330000.0,373296000.0,521912000.0,622608000.0,,,,,,,,,373296000.0,622608000.0,,,,,174330000.0,622608000.0,,,,,622608000.0,,,,622608000.0,,622608000.0,622608000.0,622608000.0,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,6308000.0,16980000.0,22540000.0,36498000.0,29664000.0,,,,,,,,6308000.0,22540000.0,29664000.0,,,,,16980000.0,29664000.0,,,,6308000.0,29664000.0,,,,29664000.0,,29664000.0,29664000.0,29664000.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,197742000.0,278626000.0,547269000.0,672804000.0,921214000.0,,,,,,,,197742000.0,547269000.0,921214000.0,,,,,278626000.0,921214000.0,,,,197742000.0,921214000.0,,,,921214000.0,,921214000.0,921214000.0,921214000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,,,,,528073000.0,789815000.0,1058423000.0,1273432000.0,1338132000.0,,,,,,,,528073000.0,1058423000.0,1338132000.0,,,,,789815000.0,1338132000.0,,,,528073000.0,1338132000.0,,,,1338132000.0,,1338132000.0,1338132000.0,1338132000.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,,,12749000.0,31478000.0,50647000.0,80155000.0,90164000.0,,,,,,,,,31478000.0,80155000.0,,,,,,50647000.0,,,,,31478000.0,,,,12749000.0,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,51000.0,732000.0,1208000.0,35000.0,8000.0,,,,,,,,,732000.0,35000.0,,,,,,1208000.0,,,,,732000.0,,,,51000.0,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,,,,,,,-362133000.0,-430128000.0,-468361000.0,-451953000.0,-432875000.0,,,,,,,,,-430128000.0,-451953000.0,,,,,,-468361000.0,,,,,-430128000.0,,,,-362133000.0,,,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,8852000.0,31338000.0,40291000.0,52230000.0,64425000.0,,,,,,,,,31338000.0,52230000.0,,,,,,40291000.0,,,,,31338000.0,,,,8852000.0,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,,,,,,272708000.0,313610000.0,480654000.0,331184000.0,327102000.0,,,,,,,,,313610000.0,331184000.0,,,,,,480654000.0,,,,,313610000.0,,,,272708000.0,,,,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,,0.458356806119726,0.5209164693946567,0.5201030338910874,0.48274894810659186,0.47222700019657954,,,,,,,,,0.5209164693946567,0.48274894810659186,,,,,,0.5201030338910874,,,,,0.5209164693946567,,,,0.458356806119726,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,,,18268000.0,28333000.0,46204000.0,68228000.0,85913000.0,,,,,,,,,28333000.0,68228000.0,,,,,,46204000.0,,,,,28333000.0,,,,18268000.0,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,,,0.5416431938802739,0.47908353060534326,0.47989696610891264,0.5172510518934081,0.5277729998034205,,,,,,,,,0.47908353060534326,0.5172510518934081,,,,,,0.47989696610891264,,,,,0.47908353060534326,,,,0.5416431938802739,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,,,,,1.0,1.0,0.9756437021572721,0.93982032523407,0.926522262630234,,,,,,,,,1.0,0.93982032523407,,,,,,0.9756437021572721,,,,,1.0,,,,1.0,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,0.09773883790746694,0.1537344615905846,0.201056867984326,,,,,,,,,,0.1537344615905846,,,,,,0.09773883790746694,,,,,,,,,,,,,,CommonMetricCalculated
TaxesPercentOfOperatingMargin,,,,,,,,,,,,,,,0.002777076495834385,0.007501408367183562,0.06859993236388232,0.21033917431387997,-0.11956407753676382,0.008413836086008103,,,,,,,,0.002777076495834385,0.06859993236388232,-0.11956407753676382,,,,,0.002777076495834385,0.21033917431387997,,,,,0.06859993236388232,,,,0.007501408367183562,,,,,CommonMetricCalculated
NetIncomePercentOfRevenue,,,,,,,,,,,,,,,,-0.015358614759688083,0.0017585390598579642,0.0009140103241620706,0.00040180432887305256,-0.00038701592294082955,,,,,,,,,0.0017585390598579642,0.00040180432887305256,,,,,,0.0009140103241620706,,,,,0.0017585390598579642,,,,-0.015358614759688083,,,,,CommonMetricCalculated
CashPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ReceivablesCurrentPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
PrepaidExpensesPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
InventoryPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
CurrentAssetsPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
PropertyPlantEquipmentPercentOfTotaltAssets,,,,,,,,,,,,,,,,0.7546454675089382,0.8670502161560629,0.8147452936179541,0.827600044393383,0.8726706754963605,,,,,,,,0.7546454675089382,0.8147452936179541,0.8726706754963605,,,,,0.8670502161560629,0.8726706754963605,,,,0.7546454675089382,0.8726706754963605,,,,0.8726706754963605,,0.8726706754963605,0.8726706754963605,0.8726706754963605,CommonMetricCalculated
GoodwillPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
IntangibleAssetsPercentOfTotaltAssets,,,,,,,,,,,,,,,,0.10336518258784952,0.11677949460943561,0.09404418780189476,0.08290567022704338,0.07276087859053018,,,,,,,,0.10336518258784952,0.09404418780189476,0.07276087859053018,,,,,0.11677949460943561,0.07276087859053018,,,,0.10336518258784952,0.07276087859053018,,,,0.07276087859053018,,0.07276087859053018,0.07276087859053018,0.07276087859053018,CommonMetricCalculated
ShorttermDebtPercentOfCurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
PayablesAndAccruedExpensesPercentOfCurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
CurrentLiabilityPercentOfTotalLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
LongtermDebtPercentOfTotalLiability,,,,,,,,,,,,,,,,,0.6256774313954907,0.6821069711604348,0.7757266603646827,0.6758559900305466,,,,,,,,,0.6821069711604348,0.6758559900305466,,,,,0.6256774313954907,0.6758559900305466,,,,,0.6758559900305466,,,,0.6758559900305466,,0.6758559900305466,0.6758559900305466,0.6758559900305466,CommonMetricCalculated
