,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,-1107841.0,4510790.0,-10621158.0,-7736695.0,1839367.0,-4322106.0,-2004613.0,,,,,-11855819.0,723413.0,,,,,4510790.0,-7736695.0,-4322106.0,,,-11855819.0,,,4510790.0,1839367.0,,,,,4510790.0,-4322106.0,,,,-7736695.0,,,-7736695.0,,,CommonMetricExtracted
NetIncome,,,,,,,,2446544.0,7863143.0,-11356047.0,-5548818.0,3402761.0,-4978030.0,4306888.0,8583399.0,937081.0,1778257.0,-851156.0,-5243748.0,683873.0,,,,,7863143.0,-5548818.0,-4978030.0,8583399.0,1778257.0,-5243748.0,,,7863143.0,3402761.0,8583399.0,-851156.0,,,7863143.0,-4978030.0,1778257.0,,,-5548818.0,937081.0,,-5548818.0,,,CommonMetricExtracted
Cash,,,,,,,,,7874318.0,11462695.0,14168957.0,11557527.0,14172954.0,22088853.0,17366364.0,20166830.0,33705154.0,23963797.0,15533254.0,19127165.0,,,,,11462695.0,11557527.0,22088853.0,20166830.0,23963797.0,19127165.0,,,14168957.0,22088853.0,33705154.0,19127165.0,,,11557527.0,20166830.0,19127165.0,,11462695.0,17366364.0,19127165.0,11462695.0,19127165.0,19127165.0,19127165.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,5219275.0,6480344.0,9691229.0,6583199.0,12775461.0,12332714.0,10131752.0,4184096.0,8669202.0,11714422.0,13049614.0,,,,,5219275.0,9691229.0,12775461.0,10131752.0,8669202.0,13049614.0,,,6480344.0,12775461.0,4184096.0,13049614.0,,,9691229.0,10131752.0,13049614.0,,5219275.0,12332714.0,13049614.0,5219275.0,13049614.0,13049614.0,13049614.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,26862560.0,31510665.0,40451826.0,44272075.0,57350896.0,54591816.0,51895711.0,55578774.0,49428136.0,41603867.0,47462083.0,,,,,26862560.0,40451826.0,57350896.0,51895711.0,49428136.0,47462083.0,,,31510665.0,57350896.0,55578774.0,47462083.0,,,40451826.0,51895711.0,47462083.0,,26862560.0,54591816.0,47462083.0,26862560.0,47462083.0,47462083.0,47462083.0,CommonMetricExtracted
