,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,1260793000.0,1141910000.0,1110720000.0,1117316000.0,1070342000.0,1154519000.0,1204863000.0,1214299000.0,1257247000.0,1305652000.0,1192009000.0,1257910000.0,1198670000.0,1372316000.0,1477837000.0,1422143000.0,1513898000.0,,,1141910000.0,1117316000.0,1154519000.0,1214299000.0,1305652000.0,1257910000.0,1372316000.0,1422143000.0,,1110720000.0,1154519000.0,1257247000.0,1257910000.0,1477837000.0,,1141910000.0,1154519000.0,1305652000.0,1372316000.0,,1110720000.0,1214299000.0,1198670000.0,,1214299000.0,1110720000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,170216000.0,153985000.0,162617000.0,165549000.0,177185000.0,171033000.0,178018000.0,265816000.0,254977000.0,271749000.0,266272000.0,276850000.0,236204000.0,275681000.0,263079000.0,300455000.0,323321000.0,,,153985000.0,165549000.0,171033000.0,265816000.0,271749000.0,276850000.0,275681000.0,300455000.0,,162617000.0,171033000.0,254977000.0,276850000.0,263079000.0,,153985000.0,171033000.0,271749000.0,275681000.0,,162617000.0,265816000.0,236204000.0,,265816000.0,162617000.0,,CommonMetricExtracted
Interest,,,,63952000.0,67760000.0,65826000.0,66859000.0,65062000.0,70486000.0,77802000.0,92153000.0,94970000.0,92263000.0,91988000.0,95068000.0,96812000.0,93674000.0,100110000.0,114617000.0,131673000.0,,,67760000.0,66859000.0,70486000.0,92153000.0,92263000.0,95068000.0,93674000.0,114617000.0,,65826000.0,70486000.0,94970000.0,95068000.0,100110000.0,,67760000.0,70486000.0,92263000.0,93674000.0,,65826000.0,92153000.0,96812000.0,,92153000.0,65826000.0,,CommonMetricExtracted
Taxes,,,,80602000.0,79582000.0,88198000.0,89122000.0,97674000.0,105540000.0,114592000.0,133442000.0,148098000.0,162614000.0,171259000.0,171888000.0,179517000.0,173444000.0,192524000.0,153068000.0,163853000.0,,,79582000.0,89122000.0,105540000.0,133442000.0,162614000.0,171888000.0,173444000.0,153068000.0,,88198000.0,105540000.0,148098000.0,171888000.0,192524000.0,,79582000.0,105540000.0,162614000.0,173444000.0,,88198000.0,133442000.0,179517000.0,,133442000.0,88198000.0,,CommonMetricExtracted
NetIncome,,,,,73420000.0,77376000.0,92556000.0,98406000.0,93983000.0,120686000.0,151209000.0,164172000.0,162703000.0,196960000.0,202120000.0,155215000.0,186840000.0,183008000.0,194131000.0,224111000.0,,,73420000.0,92556000.0,93983000.0,151209000.0,162703000.0,202120000.0,186840000.0,194131000.0,,77376000.0,93983000.0,164172000.0,202120000.0,183008000.0,,73420000.0,93983000.0,162703000.0,186840000.0,,77376000.0,151209000.0,155215000.0,,151209000.0,77376000.0,,CommonMetricExtracted
Cash,,,,,13608000.0,12862000.0,12716000.0,6700000.0,6896000.0,29662000.0,6634000.0,4426000.0,3556000.0,7451000.0,6925000.0,11285000.0,15942000.0,13974000.0,16023000.0,24734000.0,,,12862000.0,6700000.0,29662000.0,4426000.0,7451000.0,11285000.0,13974000.0,24734000.0,13608000.0,6700000.0,6634000.0,7451000.0,15942000.0,24734000.0,,6700000.0,4426000.0,11285000.0,24734000.0,13608000.0,29662000.0,6925000.0,24734000.0,29662000.0,24734000.0,24734000.0,24734000.0,CommonMetricExtracted
CurrentReceivables,,,,,143759000.0,143304000.0,147151000.0,143695000.0,174913000.0,163479000.0,154410000.0,159556000.0,182282000.0,162373000.0,167405000.0,168229000.0,198671000.0,244952000.0,212257000.0,187764000.0,,,143304000.0,143695000.0,163479000.0,159556000.0,162373000.0,168229000.0,244952000.0,187764000.0,143759000.0,143695000.0,154410000.0,162373000.0,198671000.0,187764000.0,,143695000.0,159556000.0,168229000.0,187764000.0,143759000.0,163479000.0,167405000.0,187764000.0,163479000.0,187764000.0,187764000.0,187764000.0,CommonMetricExtracted
