,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,5663000.0,5448000.0,,7021000.0,8761000.0,7136000.0,7399000.0,,,,,,,,5448000.0,7021000.0,7136000.0,,,,,5448000.0,8761000.0,,,,,7021000.0,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,25687000.0,27770000.0,29414000.0,28259000.0,27768000.0,27779000.0,,38988000.0,42496000.0,47284000.0,,71070000.0,75666000.0,95540000.0,112580000.0,,,,27770000.0,28259000.0,27779000.0,38988000.0,47284000.0,71070000.0,95540000.0,,25687000.0,28259000.0,,47284000.0,75666000.0,,,28259000.0,38988000.0,71070000.0,,25687000.0,27779000.0,,,27779000.0,25687000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,33473000.0,50389000.0,,,,,,,,,,33473000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,2969000.0,2527000.0,1950000.0,1662000.0,2032000.0,1918000.0,,3548000.0,3573000.0,3277000.0,,4055000.0,7262000.0,8389000.0,8948000.0,,,,2527000.0,1662000.0,1918000.0,3548000.0,3277000.0,4055000.0,8389000.0,,2969000.0,1662000.0,,3277000.0,7262000.0,,,1662000.0,3548000.0,4055000.0,,2969000.0,1918000.0,,,1918000.0,2969000.0,,CommonMetricExtracted
NetIncome,,,,,,7313000.0,7356000.0,8403000.0,8465000.0,7657000.0,5908000.0,6711000.0,8198000.0,13651000.0,14215000.0,15080000.0,24915000.0,29233000.0,16759000.0,-160000.0,,,,7356000.0,8465000.0,5908000.0,8198000.0,14215000.0,24915000.0,16759000.0,,7313000.0,8465000.0,6711000.0,14215000.0,29233000.0,,,8465000.0,8198000.0,24915000.0,,7313000.0,5908000.0,15080000.0,,5908000.0,7313000.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,18348000.0,15415000.0,,206681000.0,31866000.0,66120000.0,72339000.0,,,,,,,18348000.0,,31866000.0,72339000.0,,,,18348000.0,206681000.0,72339000.0,,,,,72339000.0,,,15415000.0,72339000.0,,72339000.0,72339000.0,72339000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,2468000.0,2393000.0,2422000.0,2339000.0,2363000.0,3643000.0,3716000.0,3776000.0,3719000.0,,5889000.0,6917000.0,1592773000.0,1702261000.0,,,,2393000.0,2339000.0,3643000.0,3776000.0,,6917000.0,1702261000.0,,2393000.0,2363000.0,3776000.0,5889000.0,1702261000.0,,2393000.0,3643000.0,,1702261000.0,,2339000.0,3719000.0,1702261000.0,2339000.0,1702261000.0,1702261000.0,1702261000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,7479000.0,7326000.0,7125000.0,6734000.0,6472000.0,13531000.0,13864000.0,13846000.0,14228000.0,,17289000.0,17924000.0,17838000.0,19657000.0,,,,7326000.0,6734000.0,13531000.0,13846000.0,,17924000.0,19657000.0,,7326000.0,6472000.0,13846000.0,17289000.0,19657000.0,,7326000.0,13531000.0,,19657000.0,,6734000.0,14228000.0,19657000.0,6734000.0,19657000.0,19657000.0,19657000.0,CommonMetricExtracted
Goodwill,,,,,,,9715000.0,9715000.0,9715000.0,9715000.0,9715000.0,11331000.0,11331000.0,11331000.0,11331000.0,17959000.0,29266000.0,29266000.0,29266000.0,29266000.0,,,,9715000.0,9715000.0,11331000.0,11331000.0,17959000.0,29266000.0,29266000.0,,9715000.0,9715000.0,11331000.0,29266000.0,29266000.0,,9715000.0,11331000.0,17959000.0,29266000.0,,9715000.0,11331000.0,29266000.0,9715000.0,29266000.0,29266000.0,29266000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,647000.0,510000.0,389000.0,285000.0,612000.0,462000.0,336000.0,235000.0,,407000.0,306000.0,221000.0,152000.0,,,,647000.0,389000.0,612000.0,336000.0,,306000.0,152000.0,,647000.0,285000.0,336000.0,407000.0,152000.0,,647000.0,612000.0,,152000.0,,389000.0,235000.0,152000.0,389000.0,152000.0,152000.0,152000.0,CommonMetricExtracted
TotalAssets,,,,,,,668814000.0,672299000.0,711234000.0,711635000.0,750505000.0,1111183000.0,1132916000.0,1184559000.0,1230610000.0,,2068504000.0,2047070000.0,2201079000.0,2317462000.0,,,,672299000.0,711635000.0,1111183000.0,1184559000.0,,2047070000.0,2317462000.0,,672299000.0,750505000.0,1184559000.0,2068504000.0,2317462000.0,,672299000.0,1111183000.0,,2317462000.0,,711635000.0,1230610000.0,2317462000.0,711635000.0,2317462000.0,2317462000.0,2317462000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,,,1584650000.0,1693795000.0,,,,,,,,,,1693795000.0,,,,,,1693795000.0,,,,,1693795000.0,,,,1693795000.0,,1693795000.0,1693795000.0,1693795000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,71959000.0,82075000.0,92684000.0,98064000.0,107814000.0,191445000.0,205138000.0,201457000.0,207299000.0,,440652000.0,434529000.0,399545000.0,381479000.0,,,,82075000.0,98064000.0,191445000.0,201457000.0,,434529000.0,381479000.0,,82075000.0,107814000.0,201457000.0,440652000.0,381479000.0,,82075000.0,191445000.0,,381479000.0,,98064000.0,207299000.0,381479000.0,98064000.0,381479000.0,381479000.0,381479000.0,CommonMetricExtracted
TotalLiability,,,,,,,580753000.0,579878000.0,619370000.0,612594000.0,649507000.0,1000104000.0,1017177000.0,1062274000.0,1093182000.0,,1863242000.0,1879985000.0,2020009000.0,2103954000.0,,,,579878000.0,612594000.0,1000104000.0,1062274000.0,,1879985000.0,2103954000.0,,579878000.0,649507000.0,1062274000.0,1863242000.0,2103954000.0,,579878000.0,1000104000.0,,2103954000.0,,612594000.0,1093182000.0,2103954000.0,612594000.0,2103954000.0,2103954000.0,2103954000.0,CommonMetricExtracted
ShareholderEquity,,,,,64471000.0,67698000.0,88061000.0,92421000.0,91864000.0,99041000.0,100998000.0,111079000.0,115739000.0,122285000.0,137428000.0,44803000.0,205262000.0,167085000.0,181070000.0,213508000.0,,,67698000.0,92421000.0,99041000.0,111079000.0,122285000.0,44803000.0,167085000.0,213508000.0,64471000.0,92421000.0,100998000.0,122285000.0,205262000.0,213508000.0,,92421000.0,111079000.0,44803000.0,213508000.0,64471000.0,99041000.0,137428000.0,213508000.0,99041000.0,213508000.0,213508000.0,213508000.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
DividendsPaid,,,,,,,,3932000.0,4155000.0,4370000.0,4527000.0,,,,,,,,,,,,,,4155000.0,4527000.0,,,,,,,4155000.0,,,,,,4155000.0,,,,,4527000.0,,,4527000.0,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,,,7.504149743951969,8.679148311306902,,10.122489673835636,8.63668530989613,13.388452914798206,15.21556967157724,,,,,,,,8.679148311306902,10.122489673835636,13.388452914798206,,,,,8.679148311306902,8.63668530989613,,,,,10.122489673835636,,,,,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,,0.350355871886121,0.4475839403091135,,,,,,,,,,0.350355871886121,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
TaxesPercentOfOperatingMargin,,,,,,0.11558375832132986,0.09099747929420238,0.0662949615829197,0.05881312148342121,0.073177758571017,0.06904496202167104,,0.09100235970042064,0.0840785015060241,0.06930462735809154,,0.057056423244688334,0.09597441387148785,0.08780615449026585,0.07948125777225085,,,,0.09099747929420238,0.05881312148342121,0.06904496202167104,0.09100235970042064,0.06930462735809154,0.057056423244688334,0.08780615449026585,,0.11558375832132986,0.05881312148342121,,0.06930462735809154,0.09597441387148785,,,0.05881312148342121,0.09100235970042064,0.057056423244688334,,0.11558375832132986,0.06904496202167104,,,0.06904496202167104,0.11558375832132986,,CommonMetricCalculated
NetIncomePercentOfRevenue,,,,,,,,,,,,,,2.4105597739713933,2.6092143906020557,,3.5486397949010113,3.336719552562493,2.3485145739910314,-0.021624543857278012,,,,,,,,2.6092143906020557,3.5486397949010113,2.3485145739910314,,,,,2.6092143906020557,3.336719552562493,,,,,3.5486397949010113,,,,,,,,,CommonMetricCalculated
CashPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ReceivablesCurrentPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
PrepaidExpensesPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
InventoryPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
CurrentAssetsPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
PropertyPlantEquipmentPercentOfTotaltAssets,,,,,,,0.011182481227964726,0.010896937225847428,0.010017800048929045,0.009462716139594034,0.008623526825270985,0.012177112140844487,0.012237447436526628,0.011688738171758434,0.011561745800862987,,0.0083582144390342,0.008755929206133644,0.008104207072985568,0.008482123978731906,,,,0.010896937225847428,0.009462716139594034,0.012177112140844487,0.011688738171758434,,0.008755929206133644,0.008482123978731906,,0.010896937225847428,0.008623526825270985,0.011688738171758434,0.0083582144390342,0.008482123978731906,,0.010896937225847428,0.012177112140844487,,0.008482123978731906,,0.009462716139594034,0.011561745800862987,0.008482123978731906,0.009462716139594034,0.008482123978731906,0.008482123978731906,0.008482123978731906,CommonMetricCalculated
GoodwillPercentOfTotaltAssets,,,,,,,0.01452571267945946,0.014450415663268873,0.013659358242153778,0.013651661315140486,0.012944617291024044,0.010197240238556565,0.010001624127472823,0.00956558516713815,0.009207628736967845,,0.014148389367388218,0.014296531139628836,0.013296206088014106,0.012628470283439384,,,,0.014450415663268873,0.013651661315140486,0.010197240238556565,0.00956558516713815,,0.014296531139628836,0.012628470283439384,,0.014450415663268873,0.012944617291024044,0.00956558516713815,0.014148389367388218,0.012628470283439384,,0.014450415663268873,0.010197240238556565,,0.012628470283439384,,0.013651661315140486,0.009207628736967845,0.012628470283439384,0.013651661315140486,0.012628470283439384,0.012628470283439384,0.012628470283439384,CommonMetricCalculated
IntangibleAssetsPercentOfTotaltAssets,,,,,,,,0.0009623694219387505,0.0007170635824496579,0.0005466285385063972,0.0003797443055009627,0.0005507643655455492,0.0004077972241543062,0.0002836498646331673,0.000190962205735367,,0.00019676055738833477,0.00014948194248364736,0.00010040530121817527,6.55889934764842e-05,,,,0.0009623694219387505,0.0005466285385063972,0.0005507643655455492,0.0002836498646331673,,0.00014948194248364736,6.55889934764842e-05,,0.0009623694219387505,0.0003797443055009627,0.0002836498646331673,0.00019676055738833477,6.55889934764842e-05,,0.0009623694219387505,0.0005507643655455492,,6.55889934764842e-05,,0.0005466285385063972,0.000190962205735367,6.55889934764842e-05,0.0005466285385063972,6.55889934764842e-05,6.55889934764842e-05,6.55889934764842e-05,CommonMetricCalculated
ShorttermDebtPercentOfCurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
PayablesAndAccruedExpensesPercentOfCurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
CurrentLiabilityPercentOfTotalLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
LongtermDebtPercentOfTotalLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
LongtermLiabilityPercentOfTotalLiability,,,,,,,0.12390637672125672,0.1415383925584347,0.14964237854594184,0.16007992242823144,0.1659935920629031,0.1914250917904538,0.20167384830762,0.18964692725229085,0.1896289913298975,,0.23649745980393314,0.23113429096508747,0.19779367319650557,0.1813152759043211,,,,0.1415383925584347,0.16007992242823144,0.1914250917904538,0.18964692725229085,,0.23113429096508747,0.1813152759043211,,0.1415383925584347,0.1659935920629031,0.18964692725229085,0.23649745980393314,0.1813152759043211,,0.1415383925584347,0.1914250917904538,,0.1813152759043211,,0.16007992242823144,0.1896289913298975,0.1813152759043211,0.16007992242823144,0.1813152759043211,0.1813152759043211,0.1813152759043211,CommonMetricCalculated
TotalLiabilitiesPercentOfTotalAssets,,,,,,,0.10759194634083617,0.12208109784485772,0.13031435505051783,0.1378009794346821,0.1436552721167747,0.17228935287886873,0.18107079430425557,0.17006919874822612,0.16845223100738657,,0.21302931974025674,0.21226875485449936,0.1815223351819721,0.1646106818579981,,,,0.12208109784485772,0.1378009794346821,0.17228935287886873,0.17006919874822612,,0.21226875485449936,0.1646106818579981,,0.12208109784485772,0.1436552721167747,0.17006919874822612,0.21302931974025674,0.1646106818579981,,0.12208109784485772,0.17228935287886873,,0.1646106818579981,,0.1378009794346821,0.16845223100738657,0.1646106818579981,0.1378009794346821,0.1646106818579981,0.1646106818579981,0.1646106818579981,CommonMetricCalculated
EquityPercentOfTotalAssets,,,,,,,0.1316673993068327,0.13747008399536514,0.12916142929050073,0.13917387424733185,0.13457338725258325,0.09996463228829094,0.10216026607444859,0.1032325110019847,0.11167469791404262,,0.09923210204089526,0.08162153712379157,0.08226419860441174,0.09213009749458675,,,,0.13747008399536514,0.13917387424733185,0.09996463228829094,0.1032325110019847,,0.08162153712379157,0.09213009749458675,,0.13747008399536514,0.13457338725258325,0.1032325110019847,0.09923210204089526,0.09213009749458675,,0.13747008399536514,0.09996463228829094,,0.09213009749458675,,0.13917387424733185,0.11167469791404262,0.09213009749458675,0.13917387424733185,0.09213009749458675,0.09213009749458675,0.09213009749458675,CommonMetricCalculated
NetCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingCashFlowPercentOfNetCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
CapitalExpendituresPercentOfInvestingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
InvestingCashFlowPercentOfNetCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
DividendsPaidPercentOfFinancingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
FinancingCashFlowPercentOfNetCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
NetCashFlowPercentOfNetIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
FreeCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
FreeCashFlowPercentOfNetProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
NetOperatingProfitAfterTaxes,,,,,,22718000.0,25243000.0,27464000.0,26597000.0,25736000.0,25861000.0,,35440000.0,38923000.0,44007000.0,,67015000.0,68404000.0,87151000.0,103632000.0,,,,25243000.0,26597000.0,25861000.0,35440000.0,44007000.0,67015000.0,87151000.0,,22718000.0,26597000.0,,44007000.0,68404000.0,,,26597000.0,35440000.0,67015000.0,,22718000.0,25861000.0,,,25861000.0,22718000.0,,CommonMetricCalculated
NetWorkingCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
InvestedCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ReturnOnInvestedCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ReturnOnAssets,,,,,,,0.01099857359445227,0.012498903017853663,0.011901849461639911,0.010759729355638776,0.007872032831226974,0.006039509243751929,0.0072361940338030355,0.011524119946748115,0.011551181934162732,,0.01204493682390752,0.014280410537988442,0.0076139929552733,-6.90410457647202e-05,,,,0.010941560228410276,0.011895142875209904,0.005316855999416838,0.006920719018639004,,0.012171054238496975,0.007231618037318411,,0.010877600591403528,0.011279072091458418,0.0056653995284321,0.006872116273403387,0.01261423056775041,,,0.007618007114939663,,0.010750985345175023,,0.01027633548096988,0.004800871112700206,0.006507118563324879,,0.0025493406148622932,0.0031556072979837427,,CommonMetricCalculated
ReturnOnEquity,,,,,,0.10802387071996218,0.08353300553025743,0.0909208946018762,0.09214708699817122,0.07731141648408235,0.058496207845699914,0.060416460357043185,0.07083178531005106,0.11163266140573251,0.10343598102279011,0.336584603709573,0.12138145394666329,0.17495885327827154,0.09255536532832606,-0.0007493864398523709,,,,0.07959230045119615,0.08546965398168435,0.053187371150262425,0.0670401112156029,0.31727786085753185,0.1491157195439447,0.07849354590928677,,0.07912703822724272,0.0838135408621953,0.054879993457905715,0.06925295476025763,0.13691758622627723,,,0.07620702382988684,0.18297881838269758,0.11669351968076137,,0.07383810745044982,0.042989783741304535,0.07062967195608595,,0.027671094291548796,0.034251643966502425,,CommonMetricCalculated
