,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,2048000.0,4089000.0,8688000.0,,,,,,,,,,4089000.0,,,,,,2048000.0,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,1699000.0,854000.0,965000.0,1543000.0,1792000.0,3715000.0,5940000.0,,,,,,,,854000.0,1543000.0,3715000.0,,,,,854000.0,1792000.0,,,,,1543000.0,,,,965000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,2402000.0,1787000.0,1969000.0,2548000.0,3237000.0,3993000.0,6224000.0,,,,,,,,1787000.0,2548000.0,3993000.0,,,,,1787000.0,3237000.0,,,,,2548000.0,,,,1969000.0,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,31000.0,367000.0,103000.0,78000.0,,,,,,,,,31000.0,103000.0,,,,,,367000.0,,,,,31000.0,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,3000.0,19000.0,98000.0,,,,,,,,,,19000.0,,,,,,3000.0,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,15000.0,81000.0,,,,,,,,,,15000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,,-31000.0,-182000.0,,,,,,,,,,-31000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,34000.0,,,209000.0,222000.0,633000.0,,,,,,,,34000.0,,222000.0,,,,,34000.0,209000.0,,,,,,,,,,,,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,407000.0,,,582000.0,678000.0,2224000.0,,,,,,,,407000.0,,678000.0,,,,,407000.0,582000.0,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,407000.0,,,3413000.0,1308000.0,2928000.0,,,,,,,,407000.0,,1308000.0,,,,,407000.0,3413000.0,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,0.0,,,1744000.0,1593000.0,1727000.0,,,,,,,,0.0,,1593000.0,,,,,0.0,1744000.0,,,,,,,,,,,,,,,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,-1544000.0,-1814000.0,-1801000.0,-2753000.0,-2992000.0,-3236000.0,-3867000.0,,,,,,,,-1814000.0,-2753000.0,-3236000.0,,,,,-1814000.0,-2992000.0,,,,,-2753000.0,,,,-1801000.0,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,0.0,312000.0,269000.0,96000.0,696000.0,443000.0,,,,,,,,0.0,269000.0,696000.0,,,,,0.0,96000.0,,,,,269000.0,,,,312000.0,,,,,CommonMetricExtracted
