,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,889785000.0,893841000.0,,1072149000.0,1221502000.0,1130583000.0,1277862000.0,,,,,,,,893841000.0,1072149000.0,1130583000.0,,,,,893841000.0,1221502000.0,,,,,1072149000.0,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,697022000.0,694420000.0,,831541000.0,953004000.0,853059000.0,972238000.0,,,,,,,,694420000.0,831541000.0,853059000.0,,,,,694420000.0,953004000.0,,,,,831541000.0,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,71954000.0,83994000.0,111577000.0,109325000.0,82150000.0,86536000.0,114910000.0,,103758000.0,101292000.0,,115967000.0,117108000.0,123957000.0,190470000.0,,,,83994000.0,109325000.0,86536000.0,,101292000.0,115967000.0,123957000.0,,71954000.0,109325000.0,114910000.0,101292000.0,117108000.0,,,109325000.0,,115967000.0,,71954000.0,86536000.0,,,86536000.0,71954000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,-179098000.0,37297000.0,16478000.0,-8862000.0,-17729000.0,14276000.0,24675000.0,36353000.0,,36375000.0,-26427000.0,,81870000.0,111281000.0,110701000.0,54826000.0,,,-179098000.0,16478000.0,-17729000.0,24675000.0,,-26427000.0,81870000.0,110701000.0,,37297000.0,-17729000.0,36353000.0,-26427000.0,111281000.0,,-179098000.0,-17729000.0,,81870000.0,,37297000.0,24675000.0,,,24675000.0,37297000.0,,CommonMetricExtracted
Interest,,,,,,440000.0,449000.0,454000.0,640000.0,562000.0,991000.0,36498000.0,,11100000.0,9643000.0,,2530000.0,2559000.0,8136000.0,20593000.0,,,,449000.0,640000.0,991000.0,,9643000.0,2530000.0,8136000.0,,440000.0,640000.0,36498000.0,9643000.0,2559000.0,,,640000.0,,2530000.0,,440000.0,991000.0,,,991000.0,440000.0,,CommonMetricExtracted
Taxes,,,,,,,,-2507000.0,-6888000.0,5468000.0,7539000.0,-3765000.0,,-800000.0,10776000.0,,23114000.0,21427000.0,14545000.0,9023000.0,,,,,-6888000.0,7539000.0,,10776000.0,23114000.0,14545000.0,,,-6888000.0,-3765000.0,10776000.0,21427000.0,,,-6888000.0,,23114000.0,,,7539000.0,,,7539000.0,,,CommonMetricExtracted
NetIncome,,,,,,23098000.0,9066000.0,-16534000.0,,,,,,26553000.0,-46730000.0,,56980000.0,88336000.0,82501000.0,33059000.0,,,,9066000.0,,,,-46730000.0,56980000.0,82501000.0,,23098000.0,,,-46730000.0,88336000.0,,,,,56980000.0,,23098000.0,,,,,23098000.0,,CommonMetricExtracted
Cash,,,,,123499000.0,187178000.0,89619000.0,71255000.0,49734000.0,120384000.0,23125000.0,25526000.0,17455000.0,29003000.0,30868000.0,51621000.0,40061000.0,55093000.0,58474000.0,97744000.0,,,187178000.0,71255000.0,120384000.0,25526000.0,29003000.0,51621000.0,55093000.0,97744000.0,123499000.0,71255000.0,23125000.0,29003000.0,40061000.0,97744000.0,,71255000.0,25526000.0,51621000.0,97744000.0,123499000.0,120384000.0,30868000.0,97744000.0,120384000.0,97744000.0,97744000.0,97744000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,81969000.0,85644000.0,59460000.0,55193000.0,64080000.0,83625000.0,79411000.0,84014000.0,82946000.0,88287000.0,108309000.0,96018000.0,105609000.0,203626000.0,,,,85644000.0,55193000.0,83625000.0,84014000.0,88287000.0,96018000.0,203626000.0,,85644000.0,64080000.0,84014000.0,108309000.0,203626000.0,,85644000.0,83625000.0,88287000.0,203626000.0,,55193000.0,82946000.0,203626000.0,55193000.0,203626000.0,203626000.0,203626000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,6423000.0,7628000.0,4911000.0,6052000.0,7992000.0,10488000.0,7406000.0,7296000.0,9353000.0,6217000.0,8148000.0,8664000.0,11558000.0,29097000.0,,,,7628000.0,6052000.0,10488000.0,7296000.0,6217000.0,8664000.0,29097000.0,,7628000.0,7992000.0,7296000.0,8148000.0,29097000.0,,7628000.0,10488000.0,6217000.0,29097000.0,,6052000.0,9353000.0,29097000.0,6052000.0,29097000.0,29097000.0,29097000.0,CommonMetricExtracted
Inventory,,,,,,,55842000.0,65904000.0,41679000.0,57358000.0,63029000.0,84335000.0,87529000.0,70730000.0,67159000.0,61181000.0,92529000.0,120890000.0,97959000.0,275550000.0,,,,65904000.0,57358000.0,84335000.0,70730000.0,61181000.0,120890000.0,275550000.0,,65904000.0,63029000.0,70730000.0,92529000.0,275550000.0,,65904000.0,84335000.0,61181000.0,275550000.0,,57358000.0,67159000.0,275550000.0,57358000.0,275550000.0,275550000.0,275550000.0,CommonMetricExtracted
CurrentAssets,,,,,,,245073000.0,250870000.0,236283000.0,260429000.0,172250000.0,203974000.0,191801000.0,191043000.0,190326000.0,207306000.0,249047000.0,280665000.0,273600000.0,611268000.0,,,,250870000.0,260429000.0,203974000.0,191043000.0,207306000.0,280665000.0,611268000.0,,250870000.0,172250000.0,191043000.0,249047000.0,611268000.0,,250870000.0,203974000.0,207306000.0,611268000.0,,260429000.0,190326000.0,611268000.0,260429000.0,611268000.0,611268000.0,611268000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,158209000.0,168877000.0,106821000.0,109487000.0,140672000.0,198497000.0,211131000.0,201370000.0,193600000.0,184104000.0,178630000.0,180400000.0,250664000.0,402466000.0,,,,168877000.0,109487000.0,198497000.0,201370000.0,184104000.0,180400000.0,402466000.0,,168877000.0,140672000.0,201370000.0,178630000.0,402466000.0,,168877000.0,198497000.0,184104000.0,402466000.0,,109487000.0,193600000.0,402466000.0,109487000.0,402466000.0,402466000.0,402466000.0,CommonMetricExtracted
Goodwill,,,,,,,69432000.0,68331000.0,71866000.0,70546000.0,129770000.0,217035000.0,222194000.0,219627000.0,145563000.0,146154000.0,149205000.0,137855000.0,182956000.0,574711000.0,,,,68331000.0,70546000.0,217035000.0,219627000.0,146154000.0,137855000.0,574711000.0,,68331000.0,129770000.0,219627000.0,149205000.0,574711000.0,,68331000.0,217035000.0,146154000.0,574711000.0,,70546000.0,145563000.0,574711000.0,70546000.0,574711000.0,574711000.0,574711000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,87943000.0,78380000.0,78962000.0,70150000.0,120810000.0,154180000.0,139778000.0,121919000.0,107297000.0,93068000.0,82410000.0,65035000.0,74115000.0,597909000.0,,,,78380000.0,70150000.0,154180000.0,121919000.0,93068000.0,65035000.0,597909000.0,,78380000.0,120810000.0,121919000.0,82410000.0,597909000.0,,78380000.0,154180000.0,93068000.0,597909000.0,,70150000.0,107297000.0,597909000.0,70150000.0,597909000.0,597909000.0,597909000.0,CommonMetricExtracted
TotalAssets,,,,,,591250000.0,584929000.0,589538000.0,571815000.0,517113000.0,572031000.0,780353000.0,773879000.0,743214000.0,645110000.0,691585000.0,717323000.0,724617000.0,831143000.0,2319788000.0,,,591250000.0,589538000.0,517113000.0,780353000.0,743214000.0,691585000.0,724617000.0,2319788000.0,,589538000.0,572031000.0,743214000.0,717323000.0,2319788000.0,,589538000.0,780353000.0,691585000.0,2319788000.0,,517113000.0,645110000.0,2319788000.0,517113000.0,2319788000.0,2319788000.0,2319788000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,352000.0,368000.0,162000.0,199000.0,2359000.0,10520000.0,21242000.0,1224000.0,746000.0,692000.0,846000.0,1046000.0,2365000.0,25745000.0,,,,368000.0,199000.0,10520000.0,1224000.0,692000.0,1046000.0,25745000.0,,368000.0,2359000.0,1224000.0,846000.0,25745000.0,,368000.0,10520000.0,692000.0,25745000.0,,199000.0,746000.0,25745000.0,199000.0,25745000.0,25745000.0,25745000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,104397000.0,127444000.0,72342000.0,74077000.0,85889000.0,103614000.0,85213000.0,101137000.0,109008000.0,122089000.0,148959000.0,131070000.0,125074000.0,234647000.0,,,,127444000.0,74077000.0,103614000.0,101137000.0,122089000.0,131070000.0,234647000.0,,127444000.0,85889000.0,101137000.0,148959000.0,234647000.0,,127444000.0,103614000.0,122089000.0,234647000.0,,74077000.0,109008000.0,234647000.0,74077000.0,234647000.0,234647000.0,234647000.0,CommonMetricExtracted
CurrentLiability,,,,,,,142807000.0,174271000.0,156678000.0,106758000.0,125612000.0,169235000.0,145326000.0,148329000.0,148975000.0,175988000.0,222353000.0,199684000.0,192206000.0,388965000.0,,,,174271000.0,106758000.0,169235000.0,148329000.0,175988000.0,199684000.0,388965000.0,,174271000.0,125612000.0,148329000.0,222353000.0,388965000.0,,174271000.0,169235000.0,175988000.0,388965000.0,,106758000.0,148975000.0,388965000.0,106758000.0,388965000.0,388965000.0,388965000.0,CommonMetricExtracted
LongtermDebt,,,,,,,1314000.0,1033000.0,701000.0,586000.0,55041000.0,259011000.0,218184000.0,209332000.0,156414000.0,116728000.0,52094000.0,29628000.0,66435000.0,737198000.0,,,,1033000.0,586000.0,259011000.0,209332000.0,116728000.0,29628000.0,737198000.0,,1033000.0,55041000.0,209332000.0,52094000.0,737198000.0,,1033000.0,259011000.0,116728000.0,737198000.0,,586000.0,156414000.0,737198000.0,586000.0,737198000.0,737198000.0,737198000.0,CommonMetricExtracted
LongtermLiability,,,,,,,22635000.0,22166000.0,20034000.0,16513000.0,22505000.0,12888000.0,16000000.0,14571000.0,16070000.0,58819000.0,60744000.0,64117000.0,55358000.0,136673000.0,,,,22166000.0,16513000.0,12888000.0,14571000.0,58819000.0,64117000.0,136673000.0,,22166000.0,22505000.0,14571000.0,60744000.0,136673000.0,,22166000.0,12888000.0,58819000.0,136673000.0,,16513000.0,16070000.0,136673000.0,16513000.0,136673000.0,136673000.0,136673000.0,CommonMetricExtracted
TotalLiability,,,,,,,147703000.0,167711000.0,155621000.0,96193000.0,176736000.0,412522000.0,367032000.0,347992000.0,314923000.0,335826000.0,297541000.0,259782000.0,285589000.0,1309042000.0,,,,167711000.0,96193000.0,412522000.0,347992000.0,335826000.0,259782000.0,1309042000.0,,167711000.0,176736000.0,347992000.0,297541000.0,1309042000.0,,167711000.0,412522000.0,335826000.0,1309042000.0,,96193000.0,314923000.0,1309042000.0,96193000.0,1309042000.0,1309042000.0,1309042000.0,CommonMetricExtracted
ShareholderEquity,,,,,422526000.0,441432000.0,437226000.0,421827000.0,416194000.0,420920000.0,395295000.0,368676000.0,407692000.0,395222000.0,330187000.0,355759000.0,419782000.0,464835000.0,545554000.0,1010746000.0,,,441432000.0,421827000.0,420920000.0,368676000.0,395222000.0,355759000.0,464835000.0,1010746000.0,422526000.0,421827000.0,395295000.0,395222000.0,419782000.0,1010746000.0,,421827000.0,368676000.0,355759000.0,1010746000.0,422526000.0,420920000.0,330187000.0,1010746000.0,420920000.0,1010746000.0,1010746000.0,1010746000.0,CommonMetricExtracted
OperatingCashFlow,,,,,,89132000.0,52876000.0,26478000.0,,,,,79778000.0,104611000.0,96372000.0,100796000.0,78588000.0,97965000.0,147052000.0,88812000.0,,,,52876000.0,,,79778000.0,96372000.0,78588000.0,147052000.0,,89132000.0,,,96372000.0,97965000.0,,,,79778000.0,78588000.0,,89132000.0,,100796000.0,,,89132000.0,,CommonMetricExtracted
CapitalExpenditures,,,,,,14720000.0,25312000.0,42871000.0,37931000.0,33779000.0,,37243000.0,34564000.0,26484000.0,24883000.0,25726000.0,24008000.0,33121000.0,37390000.0,37086000.0,,,,25312000.0,37931000.0,,34564000.0,24883000.0,24008000.0,37390000.0,,14720000.0,37931000.0,37243000.0,24883000.0,33121000.0,,,37931000.0,34564000.0,24008000.0,,14720000.0,,25726000.0,,,14720000.0,,CommonMetricExtracted
