,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,16540000000.0,22387000000.0,17677000000.0,21698000000.0,,,,,,,,,16540000000.0,17677000000.0,,,,,,22387000000.0,,,,,16540000000.0,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,11667306000.0,14221906000.0,9095705000.0,10957509000.0,12425435000.0,10281718000.0,12313034000.0,10088548000.0,5641052000.0,6496124000.0,9538045000.0,9422708000.0,6788040000.0,5110146000.0,12257000000.0,17910000000.0,11929000000.0,13311000000.0,,11667306000.0,9095705000.0,12425435000.0,12313034000.0,5641052000.0,9538045000.0,6788040000.0,12257000000.0,11929000000.0,11667306000.0,10957509000.0,12313034000.0,6496124000.0,6788040000.0,17910000000.0,,9095705000.0,12313034000.0,9538045000.0,12257000000.0,,10957509000.0,5641052000.0,5110146000.0,,5641052000.0,10957509000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,822543000.0,917004000.0,894640000.0,944017000.0,1158913000.0,1102500000.0,926734000.0,1143571000.0,996159000.0,1285676000.0,1391771000.0,1835464000.0,1914353000.0,1361357000.0,2596259000.0,2807419000.0,4072000000.0,4989000000.0,,822543000.0,894640000.0,1158913000.0,926734000.0,996159000.0,1391771000.0,1914353000.0,2596259000.0,4072000000.0,822543000.0,944017000.0,926734000.0,1285676000.0,1914353000.0,2807419000.0,,894640000.0,926734000.0,1391771000.0,2596259000.0,,944017000.0,996159000.0,1361357000.0,,996159000.0,944017000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,676000000.0,866000000.0,1371000000.0,,,,,,,,,,866000000.0,,,,,,676000000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,184597000.0,194071000.0,207321000.0,213834000.0,226048000.0,215195000.0,166080000.0,151158000.0,136600000.0,212406000.0,447282000.0,362903000.0,372414000.0,189507000.0,484498000.0,528000000.0,838000000.0,998000000.0,,184597000.0,207321000.0,226048000.0,166080000.0,136600000.0,447282000.0,372414000.0,484498000.0,838000000.0,184597000.0,213834000.0,166080000.0,212406000.0,372414000.0,528000000.0,,207321000.0,166080000.0,447282000.0,484498000.0,,213834000.0,136600000.0,189507000.0,,136600000.0,213834000.0,,CommonMetricExtracted
NetIncome,,,498120000.0,600467000.0,491204000.0,541330000.0,759744000.0,743530000.0,576961000.0,663108000.0,379195000.0,743499000.0,593519000.0,1155032000.0,1278577000.0,612809000.0,1500000000.0,1722221000.0,2659000000.0,3112000000.0,,498120000.0,491204000.0,759744000.0,576961000.0,379195000.0,593519000.0,1278577000.0,1500000000.0,2659000000.0,498120000.0,541330000.0,576961000.0,743499000.0,1278577000.0,1722221000.0,,491204000.0,576961000.0,593519000.0,1500000000.0,,541330000.0,379195000.0,612809000.0,,379195000.0,541330000.0,,CommonMetricExtracted
Cash,,68268000.0,19105000.0,510058000.0,30917000.0,31034000.0,65953000.0,583618000.0,149313000.0,172812000.0,97619000.0,248875000.0,37193000.0,11975000.0,20958000.0,524496000.0,146391000.0,220227000.0,338000000.0,733000000.0,68268000.0,510058000.0,31034000.0,583618000.0,172812000.0,248875000.0,11975000.0,524496000.0,220227000.0,733000000.0,30917000.0,583618000.0,97619000.0,11975000.0,146391000.0,733000000.0,510058000.0,583618000.0,248875000.0,524496000.0,733000000.0,30917000.0,172812000.0,20958000.0,733000000.0,172812000.0,733000000.0,733000000.0,733000000.0,CommonMetricExtracted
CurrentReceivables,,,,1265300000.0,1437994000.0,1332726000.0,1339933000.0,1349371000.0,1549563000.0,745494000.0,593979000.0,872430000.0,1202951000.0,818958000.0,835121000.0,829796000.0,1441786000.0,1532292000.0,1705000000.0,2326000000.0,,1265300000.0,1332726000.0,1349371000.0,745494000.0,872430000.0,818958000.0,829796000.0,1532292000.0,2326000000.0,1437994000.0,1349371000.0,593979000.0,818958000.0,1441786000.0,2326000000.0,1265300000.0,1349371000.0,872430000.0,829796000.0,2326000000.0,1437994000.0,745494000.0,835121000.0,2326000000.0,745494000.0,2326000000.0,2326000000.0,2326000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,858966000.0,583127000.0,708933000.0,549915000.0,517014000.0,417077000.0,134134000.0,128084000.0,140034000.0,342293000.0,296667000.0,304926000.0,227810000.0,427880000.0,432000000.0,639000000.0,748000000.0,,858966000.0,708933000.0,517014000.0,134134000.0,140034000.0,296667000.0,227810000.0,432000000.0,748000000.0,583127000.0,517014000.0,128084000.0,296667000.0,427880000.0,748000000.0,858966000.0,517014000.0,140034000.0,227810000.0,748000000.0,583127000.0,134134000.0,304926000.0,748000000.0,134134000.0,748000000.0,748000000.0,748000000.0,CommonMetricExtracted
CurrentAssets,,,,3377602000.0,2588464000.0,2379735000.0,2318812000.0,2764660000.0,2404724000.0,1307244000.0,975210000.0,1429684000.0,1764458000.0,1398632000.0,1470334000.0,1869775000.0,2374374000.0,2548000000.0,3108000000.0,4238000000.0,,3377602000.0,2379735000.0,2764660000.0,1307244000.0,1429684000.0,1398632000.0,1869775000.0,2548000000.0,4238000000.0,2588464000.0,2764660000.0,975210000.0,1398632000.0,2374374000.0,4238000000.0,3377602000.0,2764660000.0,1429684000.0,1869775000.0,4238000000.0,2588464000.0,1307244000.0,1470334000.0,4238000000.0,1307244000.0,4238000000.0,4238000000.0,4238000000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,7263769000.0,7793658000.0,7313183000.0,8444333000.0,10114340000.0,12297504000.0,11662437000.0,12373989000.0,12571403000.0,12698126000.0,14766651000.0,18348685000.0,19154928000.0,19319874000.0,19952526000.0,32697000000.0,45935000000.0,,7263769000.0,7313183000.0,10114340000.0,11662437000.0,12571403000.0,14766651000.0,19154928000.0,19952526000.0,45935000000.0,7793658000.0,10114340000.0,12373989000.0,14766651000.0,19319874000.0,45935000000.0,7263769000.0,10114340000.0,12571403000.0,19154928000.0,45935000000.0,7793658000.0,11662437000.0,18348685000.0,45935000000.0,11662437000.0,45935000000.0,45935000000.0,45935000000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,528000000.0,4952000000.0,8091000000.0,,,,,,,,,528000000.0,8091000000.0,,,,,,8091000000.0,,,,,8091000000.0,,,,8091000000.0,,8091000000.0,8091000000.0,8091000000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,225000000.0,1316000000.0,3039000000.0,,,,,,,,,225000000.0,3039000000.0,,,,,,3039000000.0,,,,,3039000000.0,,,,3039000000.0,,3039000000.0,3039000000.0,3039000000.0,CommonMetricExtracted
TotalAssets,,,,13126062000.0,12827683000.0,12499175000.0,13696635000.0,15900973000.0,17741481000.0,15304560000.0,15446111000.0,16138751000.0,16845937000.0,18231671000.0,21812121000.0,23078754000.0,23622000000.0,24379094000.0,44266000000.0,64069000000.0,,13126062000.0,12499175000.0,15900973000.0,15304560000.0,16138751000.0,18231671000.0,23078754000.0,24379094000.0,64069000000.0,12827683000.0,15900973000.0,15446111000.0,18231671000.0,23622000000.0,64069000000.0,13126062000.0,15900973000.0,16138751000.0,23078754000.0,64069000000.0,12827683000.0,15304560000.0,21812121000.0,64069000000.0,15304560000.0,64069000000.0,64069000000.0,64069000000.0,CommonMetricExtracted
ShorttermDebt,,,,118195000.0,268215000.0,643236000.0,364391000.0,10855000.0,10656000.0,10650000.0,110650000.0,410650000.0,432650000.0,507650000.0,7650000.0,7650000.0,895814000.0,925000000.0,484000000.0,1059000000.0,,118195000.0,643236000.0,10855000.0,10650000.0,410650000.0,507650000.0,7650000.0,925000000.0,1059000000.0,268215000.0,10855000.0,110650000.0,507650000.0,895814000.0,1059000000.0,118195000.0,10855000.0,410650000.0,7650000.0,1059000000.0,268215000.0,10650000.0,7650000.0,1059000000.0,10650000.0,1059000000.0,1059000000.0,1059000000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,1122761000.0,1240207000.0,1215468000.0,1341718000.0,1333489000.0,1503699000.0,996290000.0,745025000.0,987245000.0,1275880000.0,1279479000.0,1400650000.0,964455000.0,1567993000.0,1728528000.0,2160000000.0,2919000000.0,,1122761000.0,1215468000.0,1333489000.0,996290000.0,987245000.0,1279479000.0,964455000.0,1728528000.0,2919000000.0,1240207000.0,1333489000.0,745025000.0,1279479000.0,1567993000.0,2919000000.0,1122761000.0,1333489000.0,987245000.0,964455000.0,2919000000.0,1240207000.0,996290000.0,1400650000.0,2919000000.0,996290000.0,2919000000.0,2919000000.0,2919000000.0,CommonMetricExtracted
CurrentLiability,,,,4513536000.0,3827399000.0,3864184000.0,3793764000.0,3454484000.0,3345329000.0,2782430000.0,1845282000.0,3145389000.0,3011467000.0,2429743000.0,2410347000.0,1613951000.0,3891648000.0,3573437000.0,4260000000.0,5460000000.0,,4513536000.0,3864184000.0,3454484000.0,2782430000.0,3145389000.0,2429743000.0,1613951000.0,3573437000.0,5460000000.0,3827399000.0,3454484000.0,1845282000.0,2429743000.0,3891648000.0,5460000000.0,4513536000.0,3454484000.0,3145389000.0,1613951000.0,5460000000.0,3827399000.0,2782430000.0,2410347000.0,5460000000.0,2782430000.0,5460000000.0,5460000000.0,5460000000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,715052000.0,662514000.0,568364000.0,674586000.0,2996116000.0,2885048000.0,1995160000.0,1982175000.0,2274985000.0,750545000.0,1120985000.0,1622658000.0,2169469000.0,2106064000.0,2469113000.0,3700000000.0,6947000000.0,,715052000.0,568364000.0,2996116000.0,1995160000.0,2274985000.0,1120985000.0,2169469000.0,2469113000.0,6947000000.0,662514000.0,2996116000.0,1982175000.0,1120985000.0,2106064000.0,6947000000.0,715052000.0,2996116000.0,2274985000.0,2169469000.0,6947000000.0,662514000.0,1995160000.0,1622658000.0,6947000000.0,1995160000.0,6947000000.0,6947000000.0,6947000000.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,,1166690000.0,1739000000.0,2594000000.0,5451000000.0,,,,,,,,,1739000000.0,5451000000.0,,,,,1166690000.0,5451000000.0,,,,,5451000000.0,,,,5451000000.0,,5451000000.0,5451000000.0,5451000000.0,CommonMetricExtracted
ShareholderEquity,,3016603000.0,2771272000.0,3167539000.0,3445462000.0,3920841000.0,3799732000.0,4232450000.0,4845180000.0,4005883000.0,3766336000.0,3428915000.0,5685352000.0,6579543000.0,,,6016000000.0,6494000000.0,16484000000.0,22133000000.0,3016603000.0,3167539000.0,3920841000.0,4232450000.0,4005883000.0,3428915000.0,6579543000.0,,6494000000.0,22133000000.0,3445462000.0,4232450000.0,3766336000.0,6579543000.0,6016000000.0,22133000000.0,3167539000.0,4232450000.0,3428915000.0,,22133000000.0,3445462000.0,4005883000.0,,22133000000.0,4005883000.0,22133000000.0,22133000000.0,22133000000.0,CommonMetricExtracted
OperatingCashFlow,,,1029660000.0,475677000.0,1452694000.0,834042000.0,1359972000.0,990943000.0,1294767000.0,1285610000.0,1022828000.0,1353341000.0,1315412000.0,2186719000.0,1946779000.0,1899068000.0,2546272000.0,2906000000.0,4421000000.0,4888000000.0,,1029660000.0,1452694000.0,1359972000.0,1294767000.0,1022828000.0,1315412000.0,1946779000.0,2546272000.0,4421000000.0,1029660000.0,834042000.0,1294767000.0,1353341000.0,1946779000.0,2906000000.0,,1452694000.0,1294767000.0,1315412000.0,2546272000.0,,834042000.0,1022828000.0,1899068000.0,,1022828000.0,834042000.0,,CommonMetricExtracted
CapitalExpenditures,,,883703000.0,1473136000.0,791245000.0,582748000.0,1336067000.0,1866153000.0,2256585000.0,1779150000.0,1188312000.0,624634000.0,512393000.0,2141475000.0,3848349000.0,2195381000.0,697000000.0,1202057000.0,1595000000.0,2021000000.0,,883703000.0,791245000.0,1336067000.0,2256585000.0,1188312000.0,512393000.0,3848349000.0,697000000.0,1595000000.0,883703000.0,582748000.0,2256585000.0,624634000.0,3848349000.0,1202057000.0,,791245000.0,2256585000.0,512393000.0,697000000.0,,582748000.0,1188312000.0,2195381000.0,,1188312000.0,582748000.0,,CommonMetricExtracted
InvestingCashFlow,,,-1151784000.0,-1454301000.0,-787794000.0,-134356000.0,-1371626000.0,-1814199000.0,-2642031000.0,-2566223000.0,-1190719000.0,-615445000.0,-567633000.0,-2114888000.0,-3768758000.0,-2270529000.0,-665000000.0,-1139000000.0,-6404000000.0,-6612000000.0,,-1151784000.0,-787794000.0,-1371626000.0,-2642031000.0,-1190719000.0,-567633000.0,-3768758000.0,-665000000.0,-6404000000.0,-1151784000.0,-134356000.0,-2642031000.0,-615445000.0,-3768758000.0,-1139000000.0,,-787794000.0,-2642031000.0,-567633000.0,-665000000.0,,-134356000.0,-1190719000.0,-2270529000.0,,-1190719000.0,-134356000.0,,CommonMetricExtracted
DividendsPaid,,,150188000.0,162785000.0,172774000.0,193542000.0,227020000.0,261969000.0,304742000.0,443817000.0,509197000.0,517601000.0,829414000.0,1335058000.0,1457628000.0,1605366000.0,1667431000.0,1672000000.0,1839000000.0,2313000000.0,,150188000.0,172774000.0,227020000.0,304742000.0,509197000.0,829414000.0,1457628000.0,1667431000.0,1839000000.0,150188000.0,193542000.0,304742000.0,517601000.0,1457628000.0,1672000000.0,,172774000.0,304742000.0,829414000.0,1667431000.0,,193542000.0,509197000.0,1605366000.0,,509197000.0,193542000.0,,CommonMetricExtracted
FinancingCashFlow,,,72961000.0,1469577000.0,-1145559000.0,-698051000.0,59238000.0,1339010000.0,912959000.0,1304499000.0,108589000.0,-584792000.0,-959461000.0,-97049000.0,1830962000.0,874999000.0,-2259000000.0,-1692883000.0,2101000000.0,2119000000.0,,72961000.0,-1145559000.0,59238000.0,912959000.0,108589000.0,-959461000.0,1830962000.0,-2259000000.0,2101000000.0,72961000.0,-698051000.0,912959000.0,-584792000.0,1830962000.0,-1692883000.0,,-1145559000.0,912959000.0,-959461000.0,-2259000000.0,,-698051000.0,108589000.0,874999000.0,,108589000.0,-698051000.0,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,,,0.7410519951632406,0.8000178675123956,0.6748317022119138,0.6134666789565859,,,,,,,,,0.7410519951632406,0.6748317022119138,,,,,,0.8000178675123956,,,,,0.7410519951632406,,,,,,,,,CommonMetricCalculated
