,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,15078000.0,49935000.0,102602000.0,115375000.0,130376000.0,113689000.0,,,,,,,,15078000.0,102602000.0,130376000.0,,,,,15078000.0,115375000.0,,,,,102602000.0,,,,49935000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,32880000.0,62972000.0,94994000.0,97542000.0,101376000.0,75125000.0,,,,,,,,32880000.0,94994000.0,101376000.0,,,,,32880000.0,97542000.0,,,,,94994000.0,,,,62972000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,20259000.0,45068000.0,65070000.0,89482000.0,96232000.0,70044000.0,,,,,,,,20259000.0,65070000.0,96232000.0,,,,,20259000.0,89482000.0,,,,,65070000.0,,,,45068000.0,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,23327000.0,28850000.0,36741000.0,48855000.0,57307000.0,38397000.0,,,,,,,,23327000.0,36741000.0,57307000.0,,,,,23327000.0,48855000.0,,,,,36741000.0,,,,28850000.0,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,2485000.0,526000.0,498000.0,3291000.0,10171000.0,9761000.0,,,,,,,,2485000.0,498000.0,10171000.0,,,,,2485000.0,3291000.0,,,,,498000.0,,,,526000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,4257000.0,2891000.0,1715000.0,3566000.0,12675000.0,23871000.0,,,,,,,,4257000.0,1715000.0,12675000.0,,,,,4257000.0,3566000.0,,,,,1715000.0,,,,2891000.0,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,20000.0,0.0,199000.0,295000.0,523000.0,491000.0,,,,,,,,20000.0,199000.0,523000.0,,,,,20000.0,295000.0,,,,,199000.0,,,,0.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,-49780000.0,-68299000.0,-121492000.0,-131935000.0,-162956000.0,-172797000.0,-127976000.0,,,,,,,,-68299000.0,-131935000.0,-172797000.0,,,,,-68299000.0,-162956000.0,,,,,-131935000.0,,,,-121492000.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,36926000.0,294972000.0,182348000.0,73222000.0,68509000.0,124014000.0,,,,,,,,294972000.0,73222000.0,124014000.0,,,,,182348000.0,124014000.0,,,,294972000.0,124014000.0,,,36926000.0,124014000.0,,124014000.0,124014000.0,124014000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,6468000.0,25600000.0,28070000.0,32980000.0,35619000.0,,,,,,,,6468000.0,28070000.0,35619000.0,,,,,25600000.0,35619000.0,,,,6468000.0,35619000.0,,,,35619000.0,,35619000.0,35619000.0,35619000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,6189000.0,5529000.0,6597000.0,5700000.0,4530000.0,,,,,,,,6189000.0,6597000.0,4530000.0,,,,,5529000.0,4530000.0,,,,6189000.0,4530000.0,,,,4530000.0,,4530000.0,4530000.0,4530000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,18384000.0,39185000.0,51476000.0,49215000.0,59387000.0,,,,,,,,18384000.0,51476000.0,59387000.0,,,,,39185000.0,59387000.0,,,,18384000.0,59387000.0,,,,59387000.0,,59387000.0,59387000.0,59387000.0,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,345911000.0,409802000.0,373645000.0,291219000.0,258221000.0,,,,,,,,345911000.0,373645000.0,258221000.0,,,,,409802000.0,258221000.0,,,,345911000.0,258221000.0,,,,258221000.0,,258221000.0,258221000.0,258221000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,14998000.0,12964000.0,15876000.0,13273000.0,8133000.0,,,,,,,,14998000.0,15876000.0,8133000.0,,,,,12964000.0,8133000.0,,,,14998000.0,8133000.0,,,,8133000.0,,8133000.0,8133000.0,8133000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,403829000.0,463464000.0,400115000.0,313801000.0,275795000.0,,,,,,,,403829000.0,400115000.0,275795000.0,,,,,463464000.0,275795000.0,,,,403829000.0,275795000.0,,,,275795000.0,,275795000.0,275795000.0,275795000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,29696000.0,40500000.0,38349000.0,38291000.0,28888000.0,,,,,,,,29696000.0,38349000.0,28888000.0,,,,,40500000.0,28888000.0,,,,29696000.0,28888000.0,,,,28888000.0,,28888000.0,28888000.0,28888000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,40775000.0,59186000.0,61929000.0,68643000.0,59930000.0,,,,,,,,40775000.0,61929000.0,59930000.0,,,,,59186000.0,59930000.0,,,,40775000.0,59930000.0,,,,59930000.0,,59930000.0,59930000.0,59930000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,8614000.0,7205000.0,5727000.0,4583000.0,3528000.0,,,,,,,,8614000.0,5727000.0,3528000.0,,,,,7205000.0,3528000.0,,,,8614000.0,3528000.0,,,,3528000.0,,3528000.0,3528000.0,3528000.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,75220000.0,89383000.0,154125000.0,190915000.0,248976000.0,,,,,,,,75220000.0,154125000.0,248976000.0,,,,,89383000.0,248976000.0,,,,75220000.0,248976000.0,,,,248976000.0,,248976000.0,248976000.0,248976000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,,,-287950000.0,-372187000.0,328609000.0,374081000.0,245990000.0,122886000.0,26819000.0,,,,,,,-287950000.0,328609000.0,245990000.0,26819000.0,,,,-287950000.0,374081000.0,26819000.0,,,,328609000.0,26819000.0,,,-372187000.0,26819000.0,,26819000.0,26819000.0,26819000.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,,,-99015000.0,-130264000.0,-145729000.0,-131373000.0,-116303000.0,,,,,,,,,-130264000.0,-131373000.0,,,,,,-145729000.0,,,,,-130264000.0,,,,-99015000.0,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,9077000.0,3108000.0,8325000.0,3440000.0,912000.0,,,,,,,,,3108000.0,3440000.0,,,,,,8325000.0,,,,,3108000.0,,,,9077000.0,,,,,CommonMetricExtracted
