,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,392522000.0,340677000.0,296848000.0,326593000.0,344699000.0,,,,447134000.0,495336000.0,632045000.0,730387000.0,663308000.0,638649000.0,1454202000.0,2206821000.0,2601651000.0,,,340677000.0,326593000.0,,,495336000.0,730387000.0,638649000.0,2206821000.0,,296848000.0,,447134000.0,730387000.0,1454202000.0,,340677000.0,,495336000.0,638649000.0,,296848000.0,,663308000.0,,,296848000.0,,CommonMetricExtracted
Interest,,,,297229000.0,338956000.0,314305000.0,348521000.0,365758000.0,,,,454147000.0,448836000.0,517261000.0,508487000.0,541417000.0,501379000.0,1038183000.0,1026306000.0,1094423000.0,,,338956000.0,348521000.0,,,448836000.0,508487000.0,501379000.0,1026306000.0,,314305000.0,,454147000.0,508487000.0,1038183000.0,,338956000.0,,448836000.0,501379000.0,,314305000.0,,541417000.0,,,314305000.0,,CommonMetricExtracted
Taxes,,,,87066000.0,90087000.0,71057000.0,51682000.0,44059000.0,,,,57005000.0,63031000.0,80168000.0,113832000.0,98953000.0,98031000.0,204004000.0,263210000.0,323703000.0,,,90087000.0,51682000.0,,,63031000.0,113832000.0,98031000.0,263210000.0,,71057000.0,,57005000.0,113832000.0,204004000.0,,90087000.0,,63031000.0,98031000.0,,71057000.0,,98953000.0,,,71057000.0,,CommonMetricExtracted
NetIncome,,,,62478000.0,13737000.0,38214000.0,72460000.0,91675000.0,100920000.0,103667000.0,116716000.0,134264000.0,95725000.0,190830000.0,238206000.0,226409000.0,277538000.0,428287000.0,581992000.0,539188000.0,,,13737000.0,72460000.0,100920000.0,116716000.0,95725000.0,238206000.0,277538000.0,581992000.0,,38214000.0,100920000.0,134264000.0,238206000.0,428287000.0,,13737000.0,100920000.0,95725000.0,277538000.0,,38214000.0,116716000.0,226409000.0,,116716000.0,38214000.0,,CommonMetricExtracted
Cash,,,,,,,,264060000.0,206723000.0,239963000.0,219818000.0,255519000.0,290432000.0,317165000.0,276337000.0,589712000.0,822019000.0,728412000.0,1175058000.0,1227968000.0,,,,264060000.0,239963000.0,255519000.0,317165000.0,589712000.0,728412000.0,1227968000.0,,264060000.0,219818000.0,317165000.0,822019000.0,1227968000.0,,264060000.0,255519000.0,589712000.0,1227968000.0,,239963000.0,276337000.0,1227968000.0,239963000.0,1227968000.0,1227968000.0,1227968000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,14911000.0,101517000.0,27636208000.0,27239150000.0,63781758000.0,67607543000.0,74373753000.0,,,,,,,14911000.0,27636208000.0,63781758000.0,74373753000.0,,,,14911000.0,27239150000.0,74373753000.0,,,,27636208000.0,74373753000.0,,,101517000.0,74373753000.0,,74373753000.0,74373753000.0,74373753000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
