,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,73684000.0,84485000.0,,,,,,,,,,84485000.0,,,,,,84485000.0,,,,,84485000.0,,,,84485000.0,,84485000.0,84485000.0,84485000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,0.0,2310000.0,13643000.0,23394000.0,35449000.0,33932000.0,19926000.0,26392000.0,,,,,,,2310000.0,23394000.0,33932000.0,26392000.0,,,,2310000.0,35449000.0,26392000.0,,,,23394000.0,26392000.0,,,13643000.0,26392000.0,,26392000.0,26392000.0,26392000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,2865000.0,3671000.0,3503000.0,,,,,,,,,2865000.0,3503000.0,,,,,,3503000.0,,,,,3503000.0,,,,3503000.0,,3503000.0,3503000.0,3503000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,0.0,2013000.0,7132000.0,3484000.0,9042000.0,11847000.0,9443000.0,8052000.0,11463000.0,,,,,,0.0,7132000.0,9042000.0,9443000.0,11463000.0,,,,7132000.0,11847000.0,11463000.0,,,0.0,9042000.0,11463000.0,,,3484000.0,11463000.0,,11463000.0,11463000.0,11463000.0,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,40675000.0,238167000.0,212857000.0,168060000.0,180652000.0,160379000.0,140484000.0,105333000.0,125843000.0,,,,,,40675000.0,212857000.0,180652000.0,140484000.0,125843000.0,,,,212857000.0,160379000.0,125843000.0,,,40675000.0,180652000.0,125843000.0,,,168060000.0,125843000.0,,125843000.0,125843000.0,125843000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,323000.0,2564000.0,3884000.0,3052000.0,2028000.0,1347000.0,795000.0,815000.0,605000.0,,,,,,323000.0,3884000.0,2028000.0,795000.0,605000.0,,,,3884000.0,1347000.0,605000.0,,,323000.0,2028000.0,605000.0,,,3052000.0,605000.0,,605000.0,605000.0,605000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
