,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,662591000.0,692812000.0,719267000.0,746044000.0,705342000.0,663084000.0,734159000.0,829424000.0,879654000.0,,,,,,,692812000.0,746044000.0,663084000.0,829424000.0,,,,662591000.0,746044000.0,734159000.0,,,,692812000.0,663084000.0,,,,705342000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,242052000.0,291551000.0,295603000.0,320109000.0,379980000.0,373421000.0,355773000.0,376365000.0,391796000.0,424360000.0,448832000.0,476721000.0,429067000.0,398746000.0,465335000.0,565406000.0,607035000.0,,,291551000.0,320109000.0,373421000.0,376365000.0,424360000.0,476721000.0,398746000.0,565406000.0,,295603000.0,373421000.0,391796000.0,476721000.0,465335000.0,,291551000.0,373421000.0,424360000.0,398746000.0,,295603000.0,376365000.0,429067000.0,,376365000.0,295603000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,10885000.0,14584000.0,13447000.0,16207000.0,16122000.0,24613000.0,15425000.0,16077000.0,16424000.0,15600000.0,19802000.0,15047000.0,17384000.0,15199000.0,16193000.0,18306000.0,17694000.0,,,14584000.0,16207000.0,24613000.0,16077000.0,15600000.0,15047000.0,15199000.0,18306000.0,,13447000.0,24613000.0,16424000.0,15047000.0,16193000.0,,14584000.0,24613000.0,15600000.0,15199000.0,,13447000.0,16077000.0,17384000.0,,16077000.0,13447000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,4595000.0,10502000.0,10120000.0,8801000.0,6108000.0,4965000.0,783000.0,1780000.0,2762000.0,3157000.0,4183000.0,4647000.0,5395000.0,4129000.0,5078000.0,7215000.0,6501000.0,,,10502000.0,8801000.0,4965000.0,1780000.0,3157000.0,4647000.0,4129000.0,7215000.0,,10120000.0,4965000.0,2762000.0,4647000.0,5078000.0,,10502000.0,4965000.0,3157000.0,4129000.0,,10120000.0,1780000.0,5395000.0,,1780000.0,10120000.0,,CommonMetricExtracted
OperatingMargin,,,,50652000.0,66594000.0,23568000.0,64007000.0,-155085000.0,96958000.0,143490000.0,164061000.0,201882000.0,205018000.0,185110000.0,193796000.0,214013000.0,169357000.0,152803000.0,166585000.0,172470000.0,,,66594000.0,64007000.0,96958000.0,164061000.0,205018000.0,193796000.0,169357000.0,166585000.0,,23568000.0,96958000.0,201882000.0,193796000.0,152803000.0,,66594000.0,96958000.0,205018000.0,169357000.0,,23568000.0,164061000.0,214013000.0,,164061000.0,23568000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,87743000.0,98881000.0,134031000.0,,,,,,,,,,98881000.0,,,,,,87743000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,42549000.0,69735000.0,36957000.0,-43173000.0,-205960000.0,41867000.0,47670000.0,124350000.0,101044000.0,174439000.0,110539000.0,88360000.0,105284000.0,79300000.0,81953000.0,129740000.0,124662000.0,,,69735000.0,-43173000.0,41867000.0,124350000.0,174439000.0,88360000.0,79300000.0,129740000.0,,36957000.0,41867000.0,101044000.0,88360000.0,81953000.0,,69735000.0,41867000.0,174439000.0,79300000.0,,36957000.0,124350000.0,105284000.0,,124350000.0,36957000.0,,CommonMetricExtracted
NetIncome,,,,43292000.0,68553000.0,37228000.0,-42724000.0,-206016000.0,42031000.0,55015000.0,123349000.0,101516000.0,170184000.0,110111000.0,93543000.0,101806000.0,76077000.0,77795000.0,133137000.0,131241000.0,,,68553000.0,-42724000.0,42031000.0,123349000.0,170184000.0,93543000.0,76077000.0,133137000.0,,37228000.0,42031000.0,101516000.0,93543000.0,77795000.0,,68553000.0,42031000.0,170184000.0,76077000.0,,37228000.0,123349000.0,101806000.0,,123349000.0,37228000.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,91962000.0,111377000.0,,,,,,,,,,111377000.0,,,,,,111377000.0,,,,,111377000.0,,,,111377000.0,,111377000.0,111377000.0,111377000.0,CommonMetricExtracted
CurrentReceivables,,,,,53423000.0,62668000.0,60689000.0,64312000.0,,58750000.0,63186000.0,98289000.0,124238000.0,156974000.0,,167157000.0,141088000.0,161233000.0,253234000.0,214842000.0,,,62668000.0,64312000.0,58750000.0,98289000.0,156974000.0,167157000.0,161233000.0,214842000.0,53423000.0,64312000.0,63186000.0,156974000.0,141088000.0,214842000.0,,64312000.0,98289000.0,167157000.0,214842000.0,53423000.0,58750000.0,,214842000.0,58750000.0,214842000.0,214842000.0,214842000.0,CommonMetricExtracted
