,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,37792000000.0,39383000000.0,39506000000.0,39068000000.0,40479000000.0,42440000000.0,49954000000.0,52961000000.0,,,,,,,37792000000.0,39506000000.0,40479000000.0,49954000000.0,,,,,39506000000.0,42440000000.0,,,,37792000000.0,40479000000.0,,,,39068000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,117000000.0,154000000.0,208000000.0,56000000.0,-604000000.0,41000000.0,211000000.0,42000000.0,103000000.0,52000000.0,44000000.0,56000000.0,138000000.0,4713000000.0,190000000.0,314000000.0,,,117000000.0,208000000.0,-604000000.0,211000000.0,103000000.0,44000000.0,138000000.0,190000000.0,,154000000.0,-604000000.0,42000000.0,44000000.0,4713000000.0,,117000000.0,-604000000.0,103000000.0,138000000.0,,154000000.0,211000000.0,56000000.0,,211000000.0,154000000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,4638000000.0,5080000000.0,6579000000.0,7127000000.0,7328000000.0,7567000000.0,7655000000.0,7884000000.0,8197000000.0,8433000000.0,8509000000.0,8094000000.0,7682000000.0,8047000000.0,8833000000.0,8274000000.0,,,4638000000.0,6579000000.0,7328000000.0,7655000000.0,8197000000.0,8509000000.0,7682000000.0,8833000000.0,,5080000000.0,7328000000.0,7884000000.0,8509000000.0,8047000000.0,,4638000000.0,7328000000.0,8197000000.0,7682000000.0,,5080000000.0,7655000000.0,8094000000.0,,7655000000.0,5080000000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,2767000000.0,3254000000.0,4519000000.0,4523000000.0,4850000000.0,5151000000.0,5524000000.0,5787000000.0,6159000000.0,6091000000.0,6026000000.0,6067000000.0,6527000000.0,7219000000.0,8623000000.0,8915000000.0,,,2767000000.0,4519000000.0,4850000000.0,5524000000.0,6159000000.0,6026000000.0,6527000000.0,8623000000.0,,3254000000.0,4850000000.0,5787000000.0,6026000000.0,7219000000.0,,2767000000.0,4850000000.0,6159000000.0,6527000000.0,,3254000000.0,5524000000.0,6067000000.0,,5524000000.0,3254000000.0,,CommonMetricExtracted
OperatingMargin,,,,,8321000000.0,9062000000.0,12033000000.0,13706000000.0,14684000000.0,14759000000.0,13871000000.0,12604000000.0,12913000000.0,13679000000.0,13535000000.0,13896000000.0,15213000000.0,10926000000.0,13093000000.0,15353000000.0,,,8321000000.0,12033000000.0,14684000000.0,13871000000.0,12913000000.0,13535000000.0,15213000000.0,13093000000.0,,9062000000.0,14684000000.0,12604000000.0,13535000000.0,10926000000.0,,8321000000.0,14684000000.0,12913000000.0,15213000000.0,,9062000000.0,13871000000.0,13896000000.0,,13871000000.0,9062000000.0,,CommonMetricExtracted
Interest,,,,,630000000.0,754000000.0,808000000.0,766000000.0,797000000.0,914000000.0,1143000000.0,1467000000.0,1798000000.0,2025000000.0,2082000000.0,1995000000.0,2496000000.0,2755000000.0,3505000000.0,3514000000.0,,,630000000.0,808000000.0,797000000.0,1143000000.0,1798000000.0,2082000000.0,2496000000.0,3505000000.0,,754000000.0,797000000.0,1467000000.0,2082000000.0,2755000000.0,,630000000.0,797000000.0,1798000000.0,2496000000.0,,754000000.0,1143000000.0,1995000000.0,,1143000000.0,754000000.0,,CommonMetricExtracted
Taxes,,,,,2241000000.0,2108000000.0,2864000000.0,2981000000.0,2973000000.0,2749000000.0,2896000000.0,2541000000.0,2228000000.0,9066000000.0,1185000000.0,1928000000.0,-747000000.0,932000000.0,623000000.0,1274000000.0,,,2241000000.0,2864000000.0,2973000000.0,2896000000.0,2228000000.0,1185000000.0,-747000000.0,623000000.0,,2108000000.0,2973000000.0,2541000000.0,1185000000.0,932000000.0,,2241000000.0,2973000000.0,2228000000.0,-747000000.0,,2108000000.0,2896000000.0,1928000000.0,,2896000000.0,2108000000.0,,CommonMetricExtracted
NetIncome,,,,,,6135000000.0,8547000000.0,9981000000.0,10925000000.0,10955000000.0,9938000000.0,8901000000.0,9452000000.0,3825000000.0,11083000000.0,10135000000.0,13746000000.0,6717000000.0,8503000000.0,10467000000.0,,,,8547000000.0,10925000000.0,9938000000.0,9452000000.0,11083000000.0,13746000000.0,8503000000.0,,6135000000.0,10925000000.0,8901000000.0,11083000000.0,6717000000.0,,,10925000000.0,9452000000.0,13746000000.0,,6135000000.0,9938000000.0,10135000000.0,,9938000000.0,6135000000.0,,CommonMetricExtracted
Cash,,,,8262000000.0,8995000000.0,9914000000.0,16163000000.0,14955000000.0,14613000000.0,17769000000.0,21716000000.0,20152000000.0,21784000000.0,21620000000.0,20514000000.0,37239000000.0,30098000000.0,21383000000.0,9765000000.0,10454000000.0,,8262000000.0,9914000000.0,14955000000.0,17769000000.0,20152000000.0,21620000000.0,37239000000.0,21383000000.0,10454000000.0,8995000000.0,14955000000.0,21716000000.0,21620000000.0,30098000000.0,10454000000.0,8262000000.0,14955000000.0,20152000000.0,37239000000.0,10454000000.0,8995000000.0,17769000000.0,20514000000.0,10454000000.0,17769000000.0,10454000000.0,10454000000.0,10454000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,5585000000.0,6628000000.0,6377000000.0,6049000000.0,6087000000.0,5618000000.0,5385000000.0,5300000000.0,5279000000.0,5134000000.0,5551000000.0,5409000000.0,5953000000.0,6915000000.0,7874000000.0,,,5585000000.0,6377000000.0,6087000000.0,5385000000.0,5279000000.0,5551000000.0,5953000000.0,7874000000.0,,6377000000.0,5618000000.0,5279000000.0,5409000000.0,7874000000.0,,6377000000.0,5385000000.0,5551000000.0,7874000000.0,,6087000000.0,5134000000.0,7874000000.0,6087000000.0,7874000000.0,7874000000.0,7874000000.0,CommonMetricExtracted
