,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,520894000.0,708390000.0,709942000.0,601360000.0,748322000.0,711778000.0,796394000.0,,,,,,,,708390000.0,601360000.0,711778000.0,,,,,708390000.0,748322000.0,,,,,601360000.0,,,,709942000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,516313000.0,504118000.0,644349000.0,625239000.0,560393000.0,697580000.0,650115000.0,705234000.0,,,,,,,516313000.0,644349000.0,560393000.0,650115000.0,,,,,644349000.0,697580000.0,,,,516313000.0,560393000.0,,,,625239000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,30695000.0,32646000.0,29519000.0,28573000.0,32110000.0,34691000.0,47715000.0,64987000.0,66026000.0,61460000.0,61012000.0,65091000.0,60181000.0,62503000.0,69431000.0,82537000.0,,,30695000.0,29519000.0,32110000.0,47715000.0,66026000.0,61012000.0,60181000.0,69431000.0,,32646000.0,32110000.0,64987000.0,61012000.0,62503000.0,,30695000.0,32110000.0,66026000.0,60181000.0,,32646000.0,47715000.0,65091000.0,,47715000.0,32646000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,32002000.0,32587000.0,-19281000.0,-14203000.0,-106000.0,10262000.0,-7533000.0,4074000.0,1538000.0,-100540000.0,2193000.0,26586000.0,-9317000.0,-8030000.0,-6630000.0,11521000.0,,,32002000.0,-19281000.0,-106000.0,-7533000.0,1538000.0,2193000.0,-9317000.0,-6630000.0,,32587000.0,-106000.0,4074000.0,2193000.0,-8030000.0,,32002000.0,-106000.0,1538000.0,-9317000.0,,32587000.0,-7533000.0,26586000.0,,-7533000.0,32587000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,4456000.0,11659000.0,13381000.0,,,,,,,,,,11659000.0,,,,,,4456000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,11534000.0,11959000.0,-6347000.0,-4640000.0,-937000.0,3175000.0,-2519000.0,1581000.0,-4541000.0,-12233000.0,1868000.0,1976000.0,502000.0,429000.0,330000.0,348000.0,,,11534000.0,-6347000.0,-937000.0,-2519000.0,-4541000.0,1868000.0,502000.0,330000.0,,11959000.0,-937000.0,1581000.0,1868000.0,429000.0,,11534000.0,-937000.0,-4541000.0,502000.0,,11959000.0,-2519000.0,1976000.0,,-2519000.0,11959000.0,,CommonMetricExtracted
NetIncome,,,,,20030000.0,21882000.0,-13114000.0,-11866000.0,331000.0,6877000.0,-8060000.0,-3620000.0,400000.0,-94422000.0,-5359000.0,20220000.0,-14560000.0,-12612000.0,-17875000.0,-1644000.0,,,20030000.0,-13114000.0,331000.0,-8060000.0,400000.0,-5359000.0,-14560000.0,-17875000.0,,21882000.0,331000.0,-3620000.0,-5359000.0,-12612000.0,,20030000.0,331000.0,400000.0,-14560000.0,,21882000.0,-8060000.0,20220000.0,,-8060000.0,21882000.0,,CommonMetricExtracted
Cash,,,,25712000.0,104736000.0,23174000.0,38979000.0,43084000.0,40859000.0,38893000.0,1345000.0,305000.0,9086000.0,,128000.0,1589000.0,12293000.0,3784000.0,30938000.0,28316000.0,,25712000.0,23174000.0,43084000.0,38893000.0,305000.0,,1589000.0,3784000.0,28316000.0,104736000.0,43084000.0,1345000.0,,12293000.0,28316000.0,25712000.0,43084000.0,305000.0,1589000.0,28316000.0,104736000.0,38893000.0,128000.0,28316000.0,38893000.0,28316000.0,28316000.0,28316000.0,CommonMetricExtracted
CurrentReceivables,,,,,,12656000.0,36063000.0,49894000.0,41483000.0,39236000.0,77754000.0,96969000.0,88998000.0,,120182000.0,156280000.0,106163000.0,110686000.0,105719000.0,109914000.0,,,12656000.0,49894000.0,39236000.0,96969000.0,,156280000.0,110686000.0,109914000.0,,49894000.0,77754000.0,,106163000.0,109914000.0,,49894000.0,96969000.0,156280000.0,109914000.0,,39236000.0,120182000.0,109914000.0,39236000.0,109914000.0,109914000.0,109914000.0,CommonMetricExtracted
