,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,12915000000.0,13118000000.0,12756000000.0,14298000000.0,13685000000.0,14209000000.0,14261000000.0,,,,,,,,13118000000.0,14298000000.0,14209000000.0,,,,,13118000000.0,13685000000.0,,,,,14298000000.0,,,,12756000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,1735000000.0,1810000000.0,1924000000.0,1948000000.0,1763000000.0,1884000000.0,1861000000.0,,,,,,,,1810000000.0,1948000000.0,1884000000.0,,,,,1810000000.0,1763000000.0,,,,,1948000000.0,,,,1924000000.0,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,181000000.0,163000000.0,152000000.0,159000000.0,150000000.0,144000000.0,152000000.0,,,,,,,,163000000.0,159000000.0,144000000.0,,,,,163000000.0,150000000.0,,,,,159000000.0,,,,152000000.0,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,1893000000.0,1861000000.0,1511000000.0,1961000000.0,1888000000.0,2031000000.0,2039000000.0,,,,,,,,1861000000.0,1961000000.0,2031000000.0,,,,,1861000000.0,1888000000.0,,,,,1961000000.0,,,,1511000000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,683000000.0,594000000.0,455000000.0,541000000.0,519000000.0,533000000.0,305000000.0,,,,,,,,594000000.0,541000000.0,533000000.0,,,,,594000000.0,519000000.0,,,,,541000000.0,,,,455000000.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,1210000000.0,1267000000.0,1056000000.0,1420000000.0,1369000000.0,1498000000.0,1734000000.0,,,,,,,,1267000000.0,1420000000.0,1498000000.0,,,,,1267000000.0,1369000000.0,,,,,1420000000.0,,,,1056000000.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,1329000000.0,,1782000000.0,1565000000.0,1189000000.0,1274000000.0,2300000000.0,,,,,,,1329000000.0,1782000000.0,1189000000.0,2300000000.0,,,,1329000000.0,1565000000.0,2300000000.0,,,,1782000000.0,2300000000.0,,,,2300000000.0,,2300000000.0,2300000000.0,2300000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,3148000000.0,3232000000.0,3357000000.0,3538000000.0,3428000000.0,,,,,,,,3148000000.0,3357000000.0,3428000000.0,,,,,3232000000.0,3428000000.0,,,,3148000000.0,3428000000.0,,,,3428000000.0,,3428000000.0,3428000000.0,3428000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,659000000.0,622000000.0,617000000.0,612000000.0,557000000.0,,,,,,,,659000000.0,617000000.0,557000000.0,,,,,622000000.0,557000000.0,,,,659000000.0,557000000.0,,,,557000000.0,,557000000.0,557000000.0,557000000.0,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,6493000000.0,8261000000.0,6143000000.0,6400000000.0,7670000000.0,,,,,,,,6493000000.0,6143000000.0,7670000000.0,,,,,8261000000.0,7670000000.0,,,,6493000000.0,7670000000.0,,,,7670000000.0,,7670000000.0,7670000000.0,7670000000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,678000000.0,,774000000.0,774000000.0,719000000.0,727000000.0,701000000.0,,,,,,,678000000.0,774000000.0,719000000.0,701000000.0,,,,678000000.0,774000000.0,701000000.0,,,,774000000.0,701000000.0,,,,701000000.0,,701000000.0,701000000.0,701000000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,1688000000.0,,1773000000.0,1667000000.0,1567000000.0,1588000000.0,1548000000.0,,,,,,,1688000000.0,1773000000.0,1567000000.0,1548000000.0,,,,1688000000.0,1667000000.0,1548000000.0,,,,1773000000.0,1548000000.0,,,,1548000000.0,,1548000000.0,1548000000.0,1548000000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,484000000.0,419000000.0,369000000.0,335000000.0,311000000.0,,,,,,,,484000000.0,369000000.0,311000000.0,,,,,419000000.0,311000000.0,,,,484000000.0,311000000.0,,,,311000000.0,,311000000.0,311000000.0,311000000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,10710000000.0,12279000000.0,9819000000.0,10117000000.0,11316000000.0,,,,,,,,10710000000.0,9819000000.0,11316000000.0,,,,,12279000000.0,11316000000.0,,,,10710000000.0,11316000000.0,,,,11316000000.0,,11316000000.0,11316000000.0,11316000000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,24000000.0,670000000.0,32000000.0,1351000000.0,,,,,,,,,670000000.0,1351000000.0,,,,,24000000.0,1351000000.0,,,,,1351000000.0,,,,1351000000.0,,1351000000.0,1351000000.0,1351000000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,3430000000.0,3549000000.0,3511000000.0,3751000000.0,3800000000.0,,,,,,,,3430000000.0,3511000000.0,3800000000.0,,,,,3549000000.0,3800000000.0,,,,3430000000.0,3800000000.0,,,,3800000000.0,,3800000000.0,3800000000.0,3800000000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,11192000000.0,10914000000.0,11299000000.0,11048000000.0,12268000000.0,,,,,,,,11192000000.0,11299000000.0,12268000000.0,,,,,10914000000.0,12268000000.0,,,,11192000000.0,12268000000.0,,,,12268000000.0,,12268000000.0,12268000000.0,12268000000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,1655000000.0,1500000000.0,1263000000.0,1247000000.0,1115000000.0,,,,,,,,1655000000.0,1263000000.0,1115000000.0,,,,,1500000000.0,1115000000.0,,,,1655000000.0,1115000000.0,,,,1115000000.0,,1115000000.0,1115000000.0,1115000000.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,13911000000.0,15263000000.0,14483000000.0,14837000000.0,16044000000.0,,,,,,,,13911000000.0,14483000000.0,16044000000.0,,,,,15263000000.0,16044000000.0,,,,13911000000.0,16044000000.0,,,,16044000000.0,,16044000000.0,16044000000.0,16044000000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,,131000000.0,203000000.0,,194000000.0,160000000.0,135000000.0,135000000.0,57000000.0,,,,,,,203000000.0,194000000.0,135000000.0,57000000.0,,,,203000000.0,160000000.0,57000000.0,,,,194000000.0,57000000.0,,,,57000000.0,,57000000.0,57000000.0,57000000.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,1550000000.0,1469000000.0,1480000000.0,1750000000.0,1560000000.0,1627000000.0,1563000000.0,,,,,,,,1469000000.0,1750000000.0,1627000000.0,,,,,1469000000.0,1560000000.0,,,,,1750000000.0,,,,1480000000.0,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,,,,,-201000000.0,-203000000.0,-353000000.0,-89000000.0,-33000000.0,-183000000.0,-164000000.0,,,,,,,,-203000000.0,-89000000.0,-183000000.0,,,,,-203000000.0,-33000000.0,,,,,-89000000.0,,,,-353000000.0,,,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,173000000.0,163000000.0,409000000.0,548000000.0,583000000.0,624000000.0,700000000.0,,,,,,,,163000000.0,548000000.0,624000000.0,,,,,163000000.0,583000000.0,,,,,548000000.0,,,,409000000.0,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,,,,-1497000000.0,-1133000000.0,-844000000.0,58000000.0,-3652000000.0,-1350000000.0,-309000000.0,,,,,,,,-1133000000.0,58000000.0,-1350000000.0,,,,,-1133000000.0,-3652000000.0,,,,,58000000.0,,,,-844000000.0,,,,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,0.1343399148277197,0.13797835035828632,0.15083098149890248,0.13624283116519792,0.1288271830471319,0.1325920191427968,0.1304957576607531,,,,,,,,0.13797835035828632,0.13624283116519792,0.1325920191427968,,,,,0.13797835035828632,0.1288271830471319,,,,,0.13624283116519792,,,,0.15083098149890248,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,0.014014711575687186,0.012425674645525233,0.01191596111633741,0.011120436424674779,0.010960906101571063,0.010134421845309311,0.010658439099642382,,,,,,,,0.012425674645525233,0.011120436424674779,0.010134421845309311,,,,,0.012425674645525233,0.010960906101571063,,,,,0.011120436424674779,,,,0.01191596111633741,,,,,CommonMetricCalculated
