,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,20118500000.0,21386900000.0,22785100000.0,23179400000.0,20443900000.0,25554700000.0,27814800000.0,29527400000.0,30455200000.0,,,,,,,21386900000.0,23179400000.0,25554700000.0,29527400000.0,,,,20118500000.0,23179400000.0,27814800000.0,,,,21386900000.0,25554700000.0,,,,20443900000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,9846932000.0,7926180000.0,9012037000.0,9730842000.0,11150569000.0,12445600000.0,14652800000.0,16417400000.0,17151900000.0,18164400000.0,19370200000.0,19723900000.0,17259400000.0,21113900000.0,22976000000.0,24593600000.0,25441900000.0,,,7926180000.0,9730842000.0,12445600000.0,16417400000.0,18164400000.0,19723900000.0,21113900000.0,24593600000.0,,9012037000.0,12445600000.0,17151900000.0,19723900000.0,22976000000.0,,7926180000.0,12445600000.0,18164400000.0,21113900000.0,,9012037000.0,16417400000.0,17259400000.0,,16417400000.0,9012037000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,1493903000.0,1315225000.0,1411814000.0,1478297000.0,1594095000.0,1761900000.0,2008600000.0,2223000000.0,2302000000.0,2516000000.0,2646300000.0,2693200000.0,2364500000.0,2962900000.0,3223700000.0,3400600000.0,3538500000.0,,,1315225000.0,1478297000.0,1761900000.0,2223000000.0,2516000000.0,2693200000.0,2962900000.0,3400600000.0,,1411814000.0,1761900000.0,2302000000.0,2693200000.0,3223700000.0,,1315225000.0,1761900000.0,2516000000.0,2962900000.0,,1411814000.0,2223000000.0,2364500000.0,,2223000000.0,1411814000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,-401035000.0,208517000.0,258737000.0,298190000.0,365400000.0,436200000.0,504100000.0,566500000.0,574900000.0,611400000.0,664900000.0,652700000.0,704500000.0,1356400000.0,1487800000.0,1351500000.0,1316800000.0,,,208517000.0,298190000.0,436200000.0,566500000.0,611400000.0,652700000.0,1356400000.0,1351500000.0,,258737000.0,436200000.0,574900000.0,652700000.0,1487800000.0,,208517000.0,436200000.0,611400000.0,1356400000.0,,258737000.0,566500000.0,704500000.0,,566500000.0,258737000.0,,CommonMetricExtracted
Interest,,,,64188000.0,35552000.0,34981000.0,28515000.0,38797000.0,43600000.0,46500000.0,44500000.0,50900000.0,63400000.0,80900000.0,84500000.0,46300000.0,26200000.0,52400000.0,133100000.0,189800000.0,,,35552000.0,28515000.0,43600000.0,44500000.0,63400000.0,84500000.0,26200000.0,133100000.0,,34981000.0,43600000.0,50900000.0,84500000.0,52400000.0,,35552000.0,43600000.0,63400000.0,26200000.0,,34981000.0,44500000.0,46300000.0,,44500000.0,34981000.0,,CommonMetricExtracted
Taxes,,,,-105741000.0,45200000.0,64732000.0,71933000.0,94600000.0,124300000.0,153200000.0,158000000.0,160700000.0,-64800000.0,134300000.0,156700000.0,162700000.0,416300000.0,473000000.0,360900000.0,316500000.0,,,45200000.0,71933000.0,124300000.0,158000000.0,-64800000.0,156700000.0,416300000.0,360900000.0,,64732000.0,124300000.0,160700000.0,156700000.0,473000000.0,,45200000.0,124300000.0,-64800000.0,416300000.0,,64732000.0,158000000.0,162700000.0,,158000000.0,64732000.0,,CommonMetricExtracted
NetIncome,,,,-418903000.0,76920000.0,109347000.0,178300000.0,187200000.0,245700000.0,290100000.0,330400000.0,346400000.0,612800000.0,470300000.0,435100000.0,545300000.0,1192700000.0,1386200000.0,1058600000.0,923400000.0,,,76920000.0,178300000.0,245700000.0,330400000.0,612800000.0,435100000.0,1192700000.0,1058600000.0,,109347000.0,245700000.0,346400000.0,435100000.0,1386200000.0,,76920000.0,245700000.0,612800000.0,1192700000.0,,109347000.0,330400000.0,545300000.0,,330400000.0,109347000.0,,CommonMetricExtracted
Cash,,,13616000.0,17108000.0,13999000.0,19688000.0,29116000.0,43900000.0,50300000.0,36300000.0,62400000.0,24000000.0,45700000.0,,,49500000.0,100700000.0,106500000.0,96400000.0,72400000.0,,17108000.0,19688000.0,43900000.0,36300000.0,24000000.0,,49500000.0,106500000.0,72400000.0,13999000.0,43900000.0,62400000.0,,100700000.0,72400000.0,17108000.0,43900000.0,24000000.0,49500000.0,72400000.0,13999000.0,36300000.0,,72400000.0,36300000.0,72400000.0,72400000.0,72400000.0,CommonMetricExtracted
CurrentReceivables,,,,,,397255000.0,444673000.0,552868000.0,606200000.0,707100000.0,782300000.0,879000000.0,954900000.0,977300000.0,,806900000.0,734000000.0,906700000.0,1114600000.0,1002100000.0,,,397255000.0,552868000.0,707100000.0,879000000.0,977300000.0,806900000.0,906700000.0,1002100000.0,,552868000.0,782300000.0,977300000.0,734000000.0,1002100000.0,,552868000.0,879000000.0,806900000.0,1002100000.0,,707100000.0,,1002100000.0,707100000.0,1002100000.0,1002100000.0,1002100000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,1524226000.0,1605280000.0,1991167000.0,2538300000.0,2836400000.0,3463500000.0,3408200000.0,3944100000.0,3930700000.0,,3425600000.0,3129000000.0,3509100000.0,4293100000.0,4640200000.0,,,1524226000.0,1991167000.0,2836400000.0,3408200000.0,3930700000.0,3425600000.0,3509100000.0,4640200000.0,,1991167000.0,3463500000.0,3930700000.0,3129000000.0,4640200000.0,,1991167000.0,3408200000.0,3425600000.0,4640200000.0,,2836400000.0,,4640200000.0,2836400000.0,4640200000.0,4640200000.0,4640200000.0,CommonMetricExtracted
