,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,6262305000.0,5569171000.0,5425254000.0,5122596000.0,4904015000.0,3869401000.0,3821504000.0,3578060000.0,3406575000.0,3549948000.0,3522380000.0,3205125000.0,3554075000.0,3673561000.0,3538042000.0,3266348000.0,2026598000.0,,,5569171000.0,5122596000.0,3869401000.0,3578060000.0,3549948000.0,3205125000.0,3673561000.0,3266348000.0,,5425254000.0,3869401000.0,3406575000.0,3205125000.0,3538042000.0,,5569171000.0,3869401000.0,3549948000.0,3673561000.0,,5425254000.0,3578060000.0,3554075000.0,,3578060000.0,5425254000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,1970868000.0,1800714000.0,1760677000.0,1690360000.0,1598286000.0,1432401000.0,1378400000.0,1279961000.0,1200327000.0,1237739000.0,1123116000.0,1003989000.0,963323000.0,924163000.0,905570000.0,897260000.0,717894000.0,,,1800714000.0,1690360000.0,1432401000.0,1279961000.0,1237739000.0,1003989000.0,924163000.0,897260000.0,,1760677000.0,1432401000.0,1200327000.0,1003989000.0,905570000.0,,1800714000.0,1432401000.0,1237739000.0,924163000.0,,1760677000.0,1279961000.0,963323000.0,,1279961000.0,1760677000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,205620000.0,182191000.0,156371000.0,148645000.0,136908000.0,110412000.0,109931000.0,110156000.0,121306000.0,129767000.0,125588000.0,51258000.0,38384000.0,46777000.0,43657000.0,41405000.0,31957000.0,,,182191000.0,148645000.0,110412000.0,110156000.0,129767000.0,51258000.0,46777000.0,41405000.0,,156371000.0,110412000.0,121306000.0,51258000.0,43657000.0,,182191000.0,110412000.0,129767000.0,46777000.0,,156371000.0,110156000.0,38384000.0,,110156000.0,156371000.0,,CommonMetricExtracted
OperatingMargin,,,,447493000.0,431554000.0,324267000.0,437593000.0,435932000.0,301733000.0,300006000.0,402672000.0,95506000.0,261340000.0,199978000.0,40149000.0,-190491000.0,3507000.0,145696000.0,-61267000.0,102502000.0,,,431554000.0,437593000.0,301733000.0,402672000.0,261340000.0,40149000.0,3507000.0,-61267000.0,,324267000.0,301733000.0,95506000.0,40149000.0,145696000.0,,431554000.0,301733000.0,261340000.0,3507000.0,,324267000.0,402672000.0,-190491000.0,,402672000.0,324267000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,87306000.0,98769000.0,110094000.0,,,,,,,,,,98769000.0,,,,,,87306000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,-0.61,-1.85,-1.68,,,,,,,,,,-1.85,,,,,,-0.61,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,419793000.0,423445000.0,292379000.0,617480000.0,445163000.0,142835000.0,333755000.0,407943000.0,92805000.0,261340000.0,241811000.0,194609000.0,-180376000.0,-1351000.0,36940000.0,-385627000.0,-203597000.0,,,423445000.0,617480000.0,142835000.0,407943000.0,261340000.0,194609000.0,-1351000.0,-385627000.0,,292379000.0,142835000.0,92805000.0,194609000.0,36940000.0,,423445000.0,142835000.0,261340000.0,-1351000.0,,292379000.0,407943000.0,-180376000.0,,407943000.0,292379000.0,,CommonMetricExtracted
Cash,,,,,412737000.0,484363000.0,856238000.0,913276000.0,907806000.0,1079145000.0,650557000.0,764522000.0,1009021000.0,867262000.0,924442000.0,921450000.0,732480000.0,669981000.0,601053000.0,469726000.0,,,484363000.0,913276000.0,1079145000.0,764522000.0,867262000.0,921450000.0,669981000.0,469726000.0,412737000.0,913276000.0,650557000.0,867262000.0,732480000.0,469726000.0,,913276000.0,764522000.0,921450000.0,469726000.0,412737000.0,1079145000.0,924442000.0,469726000.0,1079145000.0,469726000.0,469726000.0,469726000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,2077276000.0,1968378000.0,1601655000.0,1478121000.0,1418337000.0,1360850000.0,1410866000.0,1251415000.0,1008679000.0,980509000.0,909204000.0,917319000.0,906336000.0,705988000.0,,,,1968378000.0,1478121000.0,1360850000.0,1251415000.0,980509000.0,917319000.0,705988000.0,,1968378000.0,1418337000.0,1251415000.0,909204000.0,705988000.0,,1968378000.0,1360850000.0,980509000.0,705988000.0,,1478121000.0,1008679000.0,705988000.0,1478121000.0,705988000.0,705988000.0,705988000.0,CommonMetricExtracted
