,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,14628000000.0,13399000000.0,13841000000.0,14956000000.0,15040000000.0,15598000000.0,17090000000.0,16833000000.0,17666000000.0,17135000000.0,16759000000.0,17129000000.0,18469000000.0,20642000000.0,21680000000.0,24428000000.0,24419000000.0,,,13399000000.0,14956000000.0,15598000000.0,16833000000.0,17135000000.0,17129000000.0,20642000000.0,24428000000.0,,13841000000.0,15598000000.0,17666000000.0,17129000000.0,21680000000.0,,13399000000.0,15598000000.0,17135000000.0,20642000000.0,,13841000000.0,16833000000.0,18469000000.0,,16833000000.0,13841000000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,2261000000.0,2299000000.0,2308000000.0,1942000000.0,1693000000.0,1762000000.0,2450000000.0,1508000000.0,2177000000.0,2956000000.0,-9700000000.0,-10094000000.0,1755000000.0,1883000000.0,1837000000.0,2671000000.0,4459000000.0,,,2299000000.0,1942000000.0,1762000000.0,1508000000.0,2956000000.0,-10094000000.0,1883000000.0,2671000000.0,,2308000000.0,1762000000.0,2177000000.0,-10094000000.0,1837000000.0,,2299000000.0,1762000000.0,2956000000.0,1883000000.0,,2308000000.0,1508000000.0,1755000000.0,,1508000000.0,2308000000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,1917000000.0,2850000000.0,3051000000.0,,,,,,,,,,2850000000.0,,,,,,1917000000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,425000000.0,460000000.0,547000000.0,440000000.0,262000000.0,268000000.0,345000000.0,-27000000.0,55000000.0,511000000.0,-3292000000.0,-3400000000.0,362000000.0,836000000.0,-1338000000.0,-1557000000.0,-200000000.0,,,460000000.0,440000000.0,268000000.0,-27000000.0,511000000.0,-3400000000.0,836000000.0,-1557000000.0,,547000000.0,268000000.0,55000000.0,-3400000000.0,-1338000000.0,,460000000.0,268000000.0,511000000.0,836000000.0,,547000000.0,-27000000.0,362000000.0,,-27000000.0,547000000.0,,CommonMetricExtracted
NetIncome,,,,1352000000.0,1234000000.0,1113000000.0,858000000.0,830000000.0,828000000.0,1450000000.0,888000000.0,1407000000.0,1660000000.0,-6837000000.0,-7642000000.0,-1304000000.0,-88000000.0,1814000000.0,2256000000.0,2512000000.0,,,1234000000.0,858000000.0,828000000.0,888000000.0,1660000000.0,-7642000000.0,-88000000.0,2256000000.0,,1113000000.0,828000000.0,1407000000.0,-7642000000.0,1814000000.0,,1234000000.0,828000000.0,1660000000.0,-88000000.0,,1113000000.0,888000000.0,-1304000000.0,,888000000.0,1113000000.0,,CommonMetricExtracted
Cash,,,345000000.0,219000000.0,527000000.0,291000000.0,513000000.0,401000000.0,296000000.0,151000000.0,123000000.0,177000000.0,449000000.0,1668000000.0,1570000000.0,484000000.0,291000000.0,734000000.0,635000000.0,940000000.0,,219000000.0,291000000.0,401000000.0,151000000.0,177000000.0,1668000000.0,484000000.0,734000000.0,940000000.0,527000000.0,401000000.0,123000000.0,1668000000.0,291000000.0,940000000.0,219000000.0,401000000.0,177000000.0,484000000.0,940000000.0,527000000.0,151000000.0,1570000000.0,940000000.0,151000000.0,940000000.0,940000000.0,940000000.0,CommonMetricExtracted
CurrentReceivables,,,,,859000000.0,944000000.0,992000000.0,937000000.0,1091000000.0,960000000.0,1106000000.0,1252000000.0,1243000000.0,1148000000.0,1287000000.0,1883000000.0,2345000000.0,2645000000.0,3542000000.0,4030000000.0,,,944000000.0,937000000.0,960000000.0,1252000000.0,1148000000.0,1883000000.0,2645000000.0,4030000000.0,859000000.0,937000000.0,1106000000.0,1148000000.0,2345000000.0,4030000000.0,,937000000.0,1252000000.0,1883000000.0,4030000000.0,859000000.0,960000000.0,1287000000.0,4030000000.0,960000000.0,4030000000.0,4030000000.0,4030000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
