,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,79630000.0,117823000.0,166351000.0,213556000.0,281396000.0,370793000.0,430699000.0,,,,,,,,117823000.0,213556000.0,370793000.0,,,,,117823000.0,281396000.0,,,,,213556000.0,,,,166351000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,12717000.0,17255000.0,24579000.0,30686000.0,48361000.0,70434000.0,77832000.0,,,,,,,,17255000.0,30686000.0,70434000.0,,,,,17255000.0,48361000.0,,,,,30686000.0,,,,24579000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,47354000.0,64060000.0,97350000.0,122155000.0,161624000.0,195622000.0,196769000.0,,,,,,,,64060000.0,122155000.0,195622000.0,,,,,64060000.0,161624000.0,,,,,122155000.0,,,,97350000.0,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,33532000.0,38858000.0,49011000.0,64566000.0,95690000.0,134876000.0,139769000.0,,,,,,,,38858000.0,64566000.0,134876000.0,,,,,38858000.0,95690000.0,,,,,64566000.0,,,,49011000.0,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,682000.0,1032000.0,203000.0,-794000.0,-573000.0,-19000.0,-433000.0,,,,,,,,1032000.0,-794000.0,-19000.0,,,,,1032000.0,-573000.0,,,,,-794000.0,,,,203000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,5433000.0,6500000.0,,,,,,,,,,5433000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,184000.0,701000.0,675000.0,-3906000.0,535000.0,-839000.0,-12000.0,,,,,,,,701000.0,-3906000.0,-839000.0,,,,,701000.0,535000.0,,,,,-3906000.0,,,,675000.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,0.0,0.0,6568000.0,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,43999000.0,127875000.0,124024000.0,339166000.0,349785000.0,274019000.0,363011000.0,,,,,,,43999000.0,124024000.0,349785000.0,363011000.0,,,,43999000.0,339166000.0,363011000.0,,,,124024000.0,363011000.0,,,127875000.0,363011000.0,,363011000.0,363011000.0,363011000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,33538000.0,37128000.0,55119000.0,75279000.0,91345000.0,100413000.0,,,,,,,,37128000.0,75279000.0,100413000.0,,,,,55119000.0,100413000.0,,,,37128000.0,100413000.0,,,33538000.0,100413000.0,,100413000.0,100413000.0,100413000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,5422000.0,7163000.0,10587000.0,9777000.0,13350000.0,12094000.0,,,,,,,,7163000.0,9777000.0,12094000.0,,,,,10587000.0,12094000.0,,,,7163000.0,12094000.0,,,5422000.0,12094000.0,,12094000.0,12094000.0,12094000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,172837000.0,404991000.0,638314000.0,645084000.0,600336000.0,703198000.0,,,,,,,,404991000.0,645084000.0,703198000.0,,,,,638314000.0,703198000.0,,,,404991000.0,703198000.0,,,172837000.0,703198000.0,,703198000.0,703198000.0,703198000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,5772000.0,12369000.0,12639000.0,18229000.0,18390000.0,17632000.0,,,,,,,,12369000.0,18229000.0,17632000.0,,,,,12639000.0,17632000.0,,,,12369000.0,17632000.0,,,5772000.0,17632000.0,,17632000.0,17632000.0,17632000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,0.0,72126000.0,72126000.0,118862000.0,137401000.0,,,,,,,,0.0,72126000.0,137401000.0,,,,,72126000.0,137401000.0,,,,0.0,137401000.0,,,,137401000.0,,137401000.0,137401000.0,137401000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,0.0,26633000.0,23133000.0,37224000.0,32616000.0,,,,,,,,0.0,23133000.0,32616000.0,,,,,26633000.0,32616000.0,,,,0.0,32616000.0,,,,32616000.0,,32616000.0,32616000.0,32616000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,197234000.0,435398000.0,795443000.0,806448000.0,817873000.0,925306000.0,,,,,,,,435398000.0,806448000.0,925306000.0,,,,,795443000.0,925306000.0,,,,435398000.0,925306000.0,,,197234000.0,925306000.0,,925306000.0,925306000.0,925306000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,0.0,,0.0,0.0,0.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,14802000.0,13631000.0,15374000.0,23145000.0,19202000.0,21714000.0,,,,,,,,13631000.0,23145000.0,21714000.0,,,,,15374000.0,21714000.0,,,,13631000.0,21714000.0,,,14802000.0,21714000.0,,21714000.0,21714000.0,21714000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,169961000.0,223630000.0,339641000.0,444475000.0,534756000.0,557068000.0,,,,,,,,223630000.0,444475000.0,557068000.0,,,,,339641000.0,557068000.0,,,,223630000.0,557068000.0,,,169961000.0,557068000.0,,557068000.0,557068000.0,557068000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,4332000.0,12428000.0,38494000.0,31414000.0,21802000.0,16728000.0,,,,,,,,12428000.0,31414000.0,16728000.0,,,,,38494000.0,16728000.0,,,,12428000.0,16728000.0,,,4332000.0,16728000.0,,16728000.0,16728000.0,16728000.0,CommonMetricExtracted
