,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,41651000000.0,81288000000.0,101175000000.0,59553000000.0,63627000000.0,,,,,,,,,81288000000.0,59553000000.0,,,,,,101175000000.0,,,,,81288000000.0,,,,41651000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,8459000000.0,15838000000.0,15085000000.0,11334000000.0,9586000000.0,,,12322000000.0,11228000000.0,11248000000.0,10219000000.0,8692000000.0,30821000000.0,34344000000.0,24954000000.0,17851000000.0,,,8459000000.0,15085000000.0,9586000000.0,,11228000000.0,10219000000.0,30821000000.0,24954000000.0,,15838000000.0,9586000000.0,12322000000.0,10219000000.0,34344000000.0,,8459000000.0,9586000000.0,11228000000.0,30821000000.0,,15838000000.0,,8692000000.0,,,15838000000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,14752000000.0,19480000000.0,19468000000.0,16616000000.0,14355000000.0,14097000000.0,14809000000.0,14844000000.0,14804000000.0,14455000000.0,14350000000.0,11615000000.0,12703000000.0,13677000000.0,14771000000.0,14730000000.0,,,14752000000.0,19468000000.0,14355000000.0,14809000000.0,14804000000.0,14350000000.0,12703000000.0,14771000000.0,,19480000000.0,14355000000.0,14844000000.0,14350000000.0,13677000000.0,,14752000000.0,14355000000.0,14804000000.0,12703000000.0,,19480000000.0,14809000000.0,11615000000.0,,14809000000.0,19480000000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,7824000000.0,9483000000.0,9112000000.0,7870000000.0,6678000000.0,8393000000.0,7690000000.0,7892000000.0,7683000000.0,8006000000.0,8650000000.0,9405000000.0,13829000000.0,11428000000.0,10679000000.0,10822000000.0,,,7824000000.0,9112000000.0,6678000000.0,7690000000.0,7683000000.0,8650000000.0,13829000000.0,10679000000.0,,9483000000.0,6678000000.0,7892000000.0,8650000000.0,11428000000.0,,7824000000.0,6678000000.0,7683000000.0,13829000000.0,,9483000000.0,7690000000.0,9405000000.0,,7690000000.0,9483000000.0,,CommonMetricExtracted
OperatingMargin,,,,,8529000000.0,8318000000.0,8739000000.0,9518000000.0,11410000000.0,9119000000.0,6975000000.0,7229000000.0,21353000000.0,11179000000.0,16298000000.0,7021000000.0,22459000000.0,31401000000.0,2172000000.0,8051000000.0,,,8529000000.0,8739000000.0,11410000000.0,6975000000.0,21353000000.0,16298000000.0,22459000000.0,2172000000.0,,8318000000.0,11410000000.0,7229000000.0,16298000000.0,31401000000.0,,8529000000.0,11410000000.0,21353000000.0,22459000000.0,,8318000000.0,6975000000.0,7021000000.0,,6975000000.0,8318000000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,114000000.0,77000000.0,2189000000.0,5577000000.0,10662000000.0,48000000.0,11000000.0,17000000.0,2000000.0,7328000000.0,5435000000.0,2631000000.0,-434000000.0,6000000.0,-15000000.0,11000000.0,,,114000000.0,2189000000.0,10662000000.0,11000000.0,2000000.0,5435000000.0,-434000000.0,-15000000.0,,77000000.0,10662000000.0,17000000.0,5435000000.0,6000000.0,,114000000.0,10662000000.0,2000000.0,-434000000.0,,77000000.0,11000000.0,2631000000.0,,11000000.0,77000000.0,,CommonMetricExtracted
NetIncome,,,,,8643000000.0,8288000000.0,10051000000.0,14598000000.0,22072000000.0,9168000000.0,6986000000.0,7246000000.0,21355000000.0,11188000000.0,16302000000.0,9652000000.0,22025000000.0,31407000000.0,2158000000.0,8062000000.0,,,8643000000.0,10051000000.0,22072000000.0,6986000000.0,21355000000.0,16302000000.0,22025000000.0,2158000000.0,,8288000000.0,22072000000.0,7246000000.0,16302000000.0,31407000000.0,,8643000000.0,22072000000.0,21355000000.0,22025000000.0,,8288000000.0,6986000000.0,9652000000.0,,6986000000.0,8288000000.0,,CommonMetricExtracted
Cash,,,3406000000.0,2122000000.0,4234000000.0,1735000000.0,3539000000.0,10389000000.0,2183000000.0,3343000000.0,3641000000.0,2595000000.0,1342000000.0,,,1786000000.0,1944000000.0,416000000.0,2853000000.0,1043000000.0,,2122000000.0,1735000000.0,10389000000.0,3343000000.0,2595000000.0,,1786000000.0,416000000.0,1043000000.0,4234000000.0,10389000000.0,3641000000.0,,1944000000.0,1043000000.0,2122000000.0,10389000000.0,2595000000.0,1786000000.0,1043000000.0,4234000000.0,3343000000.0,,1043000000.0,3343000000.0,1043000000.0,1043000000.0,1043000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,14612000000.0,13608000000.0,12378000000.0,9357000000.0,8669000000.0,8176000000.0,8225000000.0,8221000000.0,8234000000.0,,7930000000.0,11479000000.0,10952000000.0,11566000000.0,11463000000.0,,,14612000000.0,12378000000.0,8669000000.0,8225000000.0,8234000000.0,7930000000.0,10952000000.0,11463000000.0,,12378000000.0,8176000000.0,8234000000.0,11479000000.0,11463000000.0,,12378000000.0,8225000000.0,7930000000.0,11463000000.0,,8669000000.0,,11463000000.0,8669000000.0,11463000000.0,11463000000.0,11463000000.0,CommonMetricExtracted
