,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,79834000.0,99889000.0,124784000.0,148677000.0,213233000.0,280910000.0,356299000.0,,,,,,,,99889000.0,148677000.0,280910000.0,,,,,99889000.0,213233000.0,,,,,148677000.0,,,,124784000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,12562000.0,15105000.0,16831000.0,23461000.0,42669000.0,58944000.0,61025000.0,,,,,,,,15105000.0,23461000.0,58944000.0,,,,,15105000.0,42669000.0,,,,,23461000.0,,,,16831000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,24761000.0,26367000.0,32357000.0,42972000.0,106421000.0,151263000.0,147008000.0,,,,,,,,26367000.0,42972000.0,151263000.0,,,,,26367000.0,106421000.0,,,,,42972000.0,,,,32357000.0,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,11377000.0,14349000.0,18623000.0,22622000.0,52265000.0,91244000.0,112346000.0,,,,,,,,14349000.0,22622000.0,91244000.0,,,,,14349000.0,52265000.0,,,,,22622000.0,,,,18623000.0,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,1064000.0,2211000.0,,,,,,,,,,1064000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,0.0,0.0,-1780000.0,49000.0,182000.0,483000.0,1543000.0,,,,,,,,0.0,49000.0,483000.0,,,,,0.0,182000.0,,,,,49000.0,,,,-1780000.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,-18192000.0,-15062000.0,-20293000.0,-27292000.0,-118161000.0,-176146000.0,-136885000.0,,,,,,,,-15062000.0,-27292000.0,-176146000.0,,,,,-15062000.0,-118161000.0,,,,,-27292000.0,,,,-20293000.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,1543000.0,90315000.0,218781000.0,313812000.0,176683000.0,87520000.0,,,,,,,,90315000.0,313812000.0,87520000.0,,,,,218781000.0,87520000.0,,,,90315000.0,87520000.0,,,1543000.0,87520000.0,,87520000.0,87520000.0,87520000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,16073000.0,21978000.0,29052000.0,40262000.0,51394000.0,64863000.0,,,,,,,,21978000.0,40262000.0,64863000.0,,,,,29052000.0,64863000.0,,,,21978000.0,64863000.0,,,16073000.0,64863000.0,,64863000.0,64863000.0,64863000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,3811000.0,5157000.0,7254000.0,11043000.0,10709000.0,14461000.0,,,,,,,,5157000.0,11043000.0,14461000.0,,,,,7254000.0,14461000.0,,,,5157000.0,14461000.0,,,3811000.0,14461000.0,,14461000.0,14461000.0,14461000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,33317000.0,131538000.0,272268000.0,386349000.0,262441000.0,195684000.0,,,,,,,,131538000.0,386349000.0,195684000.0,,,,,272268000.0,195684000.0,,,,131538000.0,195684000.0,,,33317000.0,195684000.0,,195684000.0,195684000.0,195684000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,250000.0,250000.0,8307000.0,33621000.0,33736000.0,75845000.0,,,,,,,,250000.0,33621000.0,75845000.0,,,,,8307000.0,75845000.0,,,,250000.0,75845000.0,,,250000.0,75845000.0,,75845000.0,75845000.0,75845000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,1437000.0,1199000.0,2725000.0,12772000.0,11401000.0,31625000.0,,,,,,,,1199000.0,12772000.0,31625000.0,,,,,2725000.0,31625000.0,,,,1199000.0,31625000.0,,,1437000.0,31625000.0,,31625000.0,31625000.0,31625000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,59262000.0,158758000.0,326666000.0,494476000.0,370057000.0,370326000.0,,,,,,,,158758000.0,494476000.0,370326000.0,,,,,326666000.0,370326000.0,,,,158758000.0,370326000.0,,,59262000.0,370326000.0,,370326000.0,370326000.0,370326000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,2324000.0,4864000.0,5821000.0,5172000.0,6056000.0,,,,,,,,2324000.0,5821000.0,6056000.0,,,,,4864000.0,6056000.0,,,,2324000.0,6056000.0,,,,6056000.0,,6056000.0,6056000.0,6056000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,9257000.0,15260000.0,22713000.0,25247000.0,32646000.0,45610000.0,,,,,,,,15260000.0,25247000.0,45610000.0,,,,,22713000.0,45610000.0,,,,15260000.0,45610000.0,,,9257000.0,45610000.0,,45610000.0,45610000.0,45610000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,50141000.0,62365000.0,100727000.0,125924000.0,142070000.0,205702000.0,,,,,,,,62365000.0,125924000.0,205702000.0,,,,,100727000.0,205702000.0,,,,62365000.0,205702000.0,,,50141000.0,205702000.0,,205702000.0,205702000.0,205702000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,21540000.0,6471000.0,7423000.0,2725000.0,5400000.0,,,,,,,,21540000.0,7423000.0,5400000.0,,,,,6471000.0,5400000.0,,,,21540000.0,5400000.0,,,,5400000.0,,5400000.0,5400000.0,5400000.0,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,0.0,1899000.0,1341000.0,474000.0,3358000.0,,,,,,,,0.0,1341000.0,3358000.0,,,,,1899000.0,3358000.0,,,,0.0,3358000.0,,,,3358000.0,,3358000.0,3358000.0,3358000.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,63746000.0,56893000.0,63360000.0,77196000.0,82238000.0,118877000.0,,,,,,,,56893000.0,77196000.0,118877000.0,,,,,63360000.0,118877000.0,,,,56893000.0,118877000.0,,,63746000.0,118877000.0,,118877000.0,118877000.0,118877000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,,-130462000.0,-167683000.0,-210974000.0,101865000.0,263306000.0,417280000.0,287819000.0,251449000.0,,,,,,,-167683000.0,101865000.0,417280000.0,251449000.0,,,,-167683000.0,263306000.0,251449000.0,,,,101865000.0,251449000.0,,,-210974000.0,251449000.0,,251449000.0,251449000.0,251449000.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,-11142000.0,-2130000.0,826000.0,2890000.0,-74710000.0,-90123000.0,-32378000.0,,,,,,,,-2130000.0,2890000.0,-90123000.0,,,,,-2130000.0,-74710000.0,,,,,2890000.0,,,,826000.0,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,6590000.0,4724000.0,7015000.0,11241000.0,18420000.0,4732000.0,5806000.0,,,,,,,,4724000.0,11241000.0,4732000.0,,,,,4724000.0,18420000.0,,,,,11241000.0,,,,7015000.0,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,,,,,-11965000.0,-11023000.0,-12320000.0,-25085000.0,-65228000.0,-26203000.0,-39670000.0,,,,,,,,-11023000.0,-25085000.0,-26203000.0,,,,,-11023000.0,-65228000.0,,,,,-25085000.0,,,,-12320000.0,,,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,,,,31286000.0,4193000.0,100266000.0,150661000.0,234969000.0,-20803000.0,-17115000.0,,,,,,,,4193000.0,150661000.0,-20803000.0,,,,,4193000.0,234969000.0,,,,,150661000.0,,,,100266000.0,,,,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,0.157351504371571,0.15121785181551523,0.13488107449673034,0.15779844898672962,0.20010504940604878,0.20983233063970666,0.17127468783241043,,,,,,,,0.15121785181551523,0.15779844898672962,0.20983233063970666,,,,,0.15121785181551523,0.20010504940604878,,,,,0.15779844898672962,,,,0.13488107449673034,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,67272000.0,84784000.0,107953000.0,125216000.0,170564000.0,221966000.0,295274000.0,,,,,,,,84784000.0,125216000.0,221966000.0,,,,,84784000.0,170564000.0,,,,,125216000.0,,,,107953000.0,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,0.842648495628429,0.8487821481844848,0.8651189255032696,0.8422015510132704,0.7998949505939512,0.7901676693602934,0.8287253121675896,,,,,,,,0.8487821481844848,0.8422015510132704,0.7901676693602934,,,,,0.8487821481844848,0.7998949505939512,,,,,0.8422015510132704,,,,0.8651189255032696,,,,,CommonMetricCalculated
