,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,3498682000.0,3565296000.0,3691247000.0,3471209000.0,3586982000.0,3803835000.0,4324385000.0,4695991000.0,5124915000.0,,,,,,,3565296000.0,3471209000.0,3803835000.0,4695991000.0,,,,3498682000.0,3471209000.0,4324385000.0,,,,3565296000.0,3803835000.0,,,,3586982000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,981301000.0,1076116000.0,1042237000.0,993419000.0,1152551000.0,1629343000.0,1792657000.0,1822566000.0,,,,,,,981301000.0,1042237000.0,1152551000.0,1792657000.0,,,,,1042237000.0,1629343000.0,,,,981301000.0,1152551000.0,,,,993419000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,582647000.0,616128000.0,723884000.0,746508000.0,851755000.0,846323000.0,811242000.0,854602000.0,855984000.0,934427000.0,773687000.0,671960000.0,788152000.0,805310000.0,731911000.0,824640000.0,1012063000.0,,,616128000.0,746508000.0,846323000.0,854602000.0,934427000.0,671960000.0,805310000.0,824640000.0,,723884000.0,846323000.0,855984000.0,671960000.0,731911000.0,,616128000.0,846323000.0,934427000.0,805310000.0,,723884000.0,854602000.0,788152000.0,,854602000.0,723884000.0,,CommonMetricExtracted
Interest,,,,219916000.0,237766000.0,244174000.0,241995000.0,214616000.0,201888000.0,200950000.0,194964000.0,205720000.0,219796000.0,243465000.0,235251000.0,247501000.0,254314000.0,283569000.0,374887000.0,425742000.0,,,237766000.0,241995000.0,201888000.0,194964000.0,219796000.0,235251000.0,254314000.0,374887000.0,,244174000.0,201888000.0,205720000.0,235251000.0,283569000.0,,237766000.0,201888000.0,219796000.0,254314000.0,,244174000.0,194964000.0,247501000.0,,194964000.0,244174000.0,,CommonMetricExtracted
Taxes,,,,124853000.0,123277000.0,135334000.0,147408000.0,159323000.0,164167000.0,172295000.0,171812000.0,166499000.0,184347000.0,212849000.0,218579000.0,224835000.0,234639000.0,220370000.0,224013000.0,227395000.0,,,123277000.0,147408000.0,164167000.0,171812000.0,184347000.0,218579000.0,234639000.0,224013000.0,,135334000.0,164167000.0,166499000.0,218579000.0,220370000.0,,123277000.0,164167000.0,184347000.0,234639000.0,,135334000.0,171812000.0,224835000.0,,171812000.0,135334000.0,,CommonMetricExtracted
NetIncome,,,,259620000.0,72764000.0,370209000.0,366940000.0,413164000.0,439966000.0,423696000.0,456190000.0,461527000.0,507949000.0,530540000.0,557813000.0,570052000.0,635944000.0,500826000.0,518781000.0,626030000.0,,,72764000.0,366940000.0,439966000.0,456190000.0,507949000.0,557813000.0,635944000.0,518781000.0,,370209000.0,439966000.0,461527000.0,557813000.0,500826000.0,,72764000.0,439966000.0,507949000.0,635944000.0,,370209000.0,456190000.0,570052000.0,,456190000.0,370209000.0,,CommonMetricExtracted
Cash,,,56321000.0,105245000.0,145378000.0,110188000.0,33583000.0,26202000.0,9526000.0,7604000.0,39488000.0,8881000.0,13892000.0,5766000.0,,59968000.0,9969000.0,4832000.0,4955000.0,3838000.0,,105245000.0,110188000.0,26202000.0,7604000.0,8881000.0,5766000.0,59968000.0,4832000.0,3838000.0,145378000.0,26202000.0,39488000.0,5766000.0,9969000.0,3838000.0,105245000.0,26202000.0,8881000.0,59968000.0,3838000.0,145378000.0,7604000.0,,3838000.0,7604000.0,3838000.0,3838000.0,3838000.0,CommonMetricExtracted
CurrentReceivables,,,,,334073000.0,334671000.0,294397000.0,282988000.0,438624000.0,303932000.0,278405000.0,257279000.0,307660000.0,271956000.0,,340150000.0,424791000.0,491073000.0,536657000.0,550457000.0,,,334671000.0,282988000.0,303932000.0,257279000.0,271956000.0,340150000.0,491073000.0,550457000.0,334073000.0,282988000.0,278405000.0,271956000.0,424791000.0,550457000.0,,282988000.0,257279000.0,340150000.0,550457000.0,334073000.0,303932000.0,,550457000.0,303932000.0,550457000.0,550457000.0,550457000.0,CommonMetricExtracted
