,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,2570803000.0,2788188000.0,2998097000.0,3199517000.0,3936623000.0,5295584000.0,6179727000.0,5541595000.0,5310953000.0,,,,,,,2788188000.0,3199517000.0,5295584000.0,5541595000.0,,,,2570803000.0,3199517000.0,6179727000.0,,,,2788188000.0,5295584000.0,,,,3936623000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,1268455000.0,1090070000.0,1142484000.0,1261728000.0,1386567000.0,1488423000.0,1603222000.0,1687495000.0,1829716000.0,1982899000.0,2127924000.0,2274592000.0,2805721000.0,3678492000.0,4246315000.0,3881551000.0,3735606000.0,,,1090070000.0,1261728000.0,1488423000.0,1687495000.0,1982899000.0,2274592000.0,3678492000.0,3881551000.0,,1142484000.0,1488423000.0,1829716000.0,2274592000.0,4246315000.0,,1090070000.0,1488423000.0,1982899000.0,3678492000.0,,1142484000.0,1687495000.0,2805721000.0,,1687495000.0,1142484000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,399752000.0,361284000.0,370017000.0,406523000.0,415592000.0,425791000.0,454470000.0,459422000.0,485228000.0,520918000.0,556284000.0,583679000.0,659931000.0,786808000.0,907629000.0,913477000.0,958143000.0,,,361284000.0,406523000.0,425791000.0,459422000.0,520918000.0,583679000.0,786808000.0,913477000.0,,370017000.0,425791000.0,485228000.0,583679000.0,907629000.0,,361284000.0,425791000.0,520918000.0,786808000.0,,370017000.0,459422000.0,659931000.0,,459422000.0,370017000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,115476000.0,88440000.0,101245000.0,125067000.0,144869000.0,165486000.0,188870000.0,216222000.0,255859000.0,284371000.0,313889000.0,341246000.0,464027000.0,832784000.0,1025783000.0,746567000.0,617204000.0,,,88440000.0,125067000.0,165486000.0,216222000.0,284371000.0,341246000.0,832784000.0,746567000.0,,101245000.0,165486000.0,255859000.0,341246000.0,1025783000.0,,88440000.0,165486000.0,284371000.0,832784000.0,,101245000.0,216222000.0,464027000.0,,216222000.0,101245000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,37911000.0,30957000.0,37093000.0,45319000.0,56744000.0,61590000.0,70559000.0,80137000.0,92931000.0,77982000.0,58774000.0,56161000.0,85231000.0,173812000.0,236763000.0,165084000.0,132836000.0,,,30957000.0,45319000.0,61590000.0,80137000.0,77982000.0,56161000.0,173812000.0,165084000.0,,37093000.0,61590000.0,92931000.0,56161000.0,236763000.0,,30957000.0,61590000.0,77982000.0,173812000.0,,37093000.0,80137000.0,85231000.0,,80137000.0,37093000.0,,CommonMetricExtracted
NetIncome,,,,56956000.0,19202000.0,57638000.0,71993000.0,81972000.0,97330000.0,110692000.0,128275000.0,148955000.0,191633000.0,234461000.0,261575000.0,366738000.0,650624000.0,748462000.0,523229000.0,434325000.0,,,19202000.0,71993000.0,97330000.0,128275000.0,191633000.0,261575000.0,650624000.0,523229000.0,,57638000.0,97330000.0,148955000.0,261575000.0,748462000.0,,19202000.0,97330000.0,191633000.0,650624000.0,,57638000.0,128275000.0,366738000.0,,128275000.0,57638000.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,21956000.0,29940000.0,16358000.0,,34128000.0,24321000.0,45591000.0,66540000.0,77862000.0,,,,,,21956000.0,16358000.0,34128000.0,45591000.0,77862000.0,,,,16358000.0,24321000.0,77862000.0,,,21956000.0,34128000.0,77862000.0,,,,77862000.0,,77862000.0,77862000.0,77862000.0,CommonMetricExtracted
CurrentReceivables,,,,,96364000.0,101543000.0,110555000.0,113859000.0,45138000.0,51014000.0,54173000.0,61437000.0,76597000.0,69493000.0,,122252000.0,376571000.0,351448000.0,342910000.0,314861000.0,,,101543000.0,113859000.0,51014000.0,61437000.0,69493000.0,122252000.0,351448000.0,314861000.0,96364000.0,113859000.0,54173000.0,69493000.0,376571000.0,314861000.0,,113859000.0,61437000.0,122252000.0,314861000.0,96364000.0,51014000.0,,314861000.0,51014000.0,314861000.0,314861000.0,314861000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,7678000.0,11298000.0,11280000.0,9802000.0,11659000.0,11946000.0,15318000.0,19569000.0,18506000.0,,17610000.0,29093000.0,30892000.0,40444000.0,47091000.0,,,7678000.0,11280000.0,11659000.0,15318000.0,18506000.0,17610000.0,30892000.0,47091000.0,,11280000.0,11946000.0,18506000.0,29093000.0,47091000.0,,11280000.0,15318000.0,17610000.0,47091000.0,,11659000.0,,47091000.0,11659000.0,47091000.0,47091000.0,47091000.0,CommonMetricExtracted
Inventory,,,,,,,,400308000.0,429197000.0,466962000.0,474275000.0,486116000.0,536474000.0,672579000.0,,780989000.0,1339100000.0,1591060000.0,1365466000.0,1289300000.0,,,,400308000.0,466962000.0,486116000.0,672579000.0,780989000.0,1591060000.0,1289300000.0,,400308000.0,474275000.0,672579000.0,1339100000.0,1289300000.0,,400308000.0,486116000.0,780989000.0,1289300000.0,,466962000.0,,1289300000.0,466962000.0,1289300000.0,1289300000.0,1289300000.0,CommonMetricExtracted
CurrentAssets,,,,,491317000.0,476592000.0,538001000.0,543096000.0,577749000.0,637213000.0,661744000.0,695557000.0,782248000.0,915244000.0,,1121927000.0,1769085000.0,2018991000.0,1815360000.0,1729114000.0,,,476592000.0,543096000.0,637213000.0,695557000.0,915244000.0,1121927000.0,2018991000.0,1729114000.0,491317000.0,543096000.0,661744000.0,915244000.0,1769085000.0,1729114000.0,,543096000.0,695557000.0,1121927000.0,1729114000.0,491317000.0,637213000.0,,1729114000.0,637213000.0,1729114000.0,1729114000.0,1729114000.0,CommonMetricExtracted
